origin,execution_date,origin_index,simulation_only,requested_quantity,reference_weight,action,output_candidate,budget_source,used_band,exposure_multiplier,filter_direction,return_threshold,observed_daily_return,addition_allowed,normal_requested_quantity,addition_suppressed,own_close_equity,own_close_shares,signal_state,decision_time,source_model,source_cost,node,cost,used_zero_count,waiting_zero_confirmation,exit_policy,entry_mode,exit_reasons,entry_rearmed,learning_cycle_id,learning_status,continuation_prediction,learning_fit_origin,model_selection_index,model_selection_origin,fixed_prediction_identity,negative_confirmation_count,learned_exit_requested,log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20
2020-12-14,2020-12-15,2081,True,46300,1.0,调整到中文方案所定仓位,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.008881711748082388,0.0,46300.0,0.0,231727.5653,0.0,MODEL_VIEW_AVAILABLE,2020-12-14 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2020-12-15,2020-12-16,2082,True,0,1.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.0030012004801920344,0.0,0.0,0.0,232236.85603999996,46300.0,MODEL_VIEW_AVAILABLE,2020-12-15 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2020-12-16,2020-12-17,2083,True,0,1.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.0019948134849390176,0.0,0.0,0.0,232699.85603999996,46300.0,MODEL_VIEW_AVAILABLE,2020-12-16 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2020-12-17,2020-12-18,2084,True,0,1.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.014134979096157796,1.0,0.0,0.0,235987.15603999997,46300.0,MODEL_VIEW_AVAILABLE,2020-12-17 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2020-12-18,2020-12-21,2085,True,0,1.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,-0.005692972124067497,0.0,0.0,0.0,234644.45604,46300.0,MODEL_VIEW_AVAILABLE,2020-12-18 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2020-12-21,2020-12-22,2086,True,0,1.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.008884501480750151,0.0,0.0,0.0,236727.95604,46300.0,MODEL_VIEW_AVAILABLE,2020-12-21 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2020-12-22,2020-12-23,2087,True,0,1.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,-0.015068493150684925,0.0,0.0,0.0,233162.85603999998,46300.0,MODEL_VIEW_AVAILABLE,2020-12-22 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2020-12-23,2020-12-24,2088,True,0,1.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.008146234849989886,0.0,0.0,0.0,235061.15603999994,46300.0,MODEL_VIEW_AVAILABLE,2020-12-23 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2020-12-24,2020-12-25,2089,True,0,1.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.0,0.0,0.0,0.0,235061.15603999994,46300.0,MODEL_VIEW_AVAILABLE,2020-12-24 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2020-12-25,2020-12-28,2090,True,0,1.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.008277493102089029,0.0,0.0,0.0,237005.75603999995,46300.0,MODEL_VIEW_AVAILABLE,2020-12-25 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,2020-12-29,2091,True,0,1.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.002736512900703758,0.0,0.0,0.0,237653.95603999996,46300.0,MODEL_VIEW_AVAILABLE,2020-12-28 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,2020-12-30,2092,True,0,1.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,-0.003118908382066299,0.0,0.0,0.0,236913.15603999994,46300.0,MODEL_VIEW_AVAILABLE,2020-12-29 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,2020-12-31,2093,True,0,1.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.012514665623777788,1.0,0.0,0.0,239876.35603999996,46300.0,MODEL_VIEW_AVAILABLE,2020-12-30 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,2021-01-04,2094,True,0,1.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.021050598686751743,1.0,0.0,0.0,244923.05603999997,46300.0,MODEL_VIEW_AVAILABLE,2020-12-31 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,2021-01-05,2095,True,0,1.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.008889729525250578,0.0,0.0,0.0,247099.15603999994,46300.0,MODEL_VIEW_AVAILABLE,2021-01-04 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,2021-01-06,2096,True,0,1.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.01856017997750281,1.0,0.0,0.0,251682.85603999996,46300.0,MODEL_VIEW_AVAILABLE,2021-01-05 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,2021-01-07,2097,True,0,1.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.00901895821829557,0.0,0.0,0.0,253951.55603999997,46300.0,MODEL_VIEW_AVAILABLE,2021-01-06 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,2021-01-08,2098,True,0,1.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.021342575702298472,1.0,0.0,0.0,259368.65603999997,46300.0,MODEL_VIEW_AVAILABLE,2021-01-07 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,2021-01-11,2099,True,0,1.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,-0.0050008930166102195,0.0,0.0,0.0,258072.25603999995,46300.0,MODEL_VIEW_AVAILABLE,2021-01-08 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,2021-01-12,2100,True,0,1.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,-0.011308562197092087,0.0,0.0,0.0,255155.35603999996,46300.0,MODEL_VIEW_AVAILABLE,2021-01-11 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,2021-01-13,2101,True,0,1.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.029048656499636838,1.0,0.0,0.0,262563.35604,46300.0,MODEL_VIEW_AVAILABLE,2021-01-12 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,2021-01-14,2102,True,-17100,0.6311470887442856,调整到中文方案所定仓位,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,-0.003881439661256203,0.0,-17100.0,0.0,261544.75603999995,46300.0,MODEL_VIEW_AVAILABLE,2021-01-13 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,2021-01-15,2103,True,0,0.626064012326807,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,-0.01824300389656386,0.0,0.0,0.0,258466.55697999996,29200.0,MODEL_VIEW_AVAILABLE,2021-01-14 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,2021-01-18,2104,True,0,0.6251877787913575,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,-0.0030669312646581792,0.0,0.0,0.0,257970.15697999994,29200.0,MODEL_VIEW_AVAILABLE,2021-01-15 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,2021-01-19,2105,True,0,0.620117571584362,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.010676800579080714,1.0,0.0,0.0,259692.95697999996,29200.0,MODEL_VIEW_AVAILABLE,2021-01-18 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,2021-01-20,2106,True,-29200,0.0,调整到中文方案所定仓位,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,-0.013604208235080795,0.0,-29200.0,0.0,257502.95697999996,29200.0,MODEL_VIEW_AVAILABLE,2021-01-19 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,2021-01-21,2107,True,0,0.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.0055167340934167974,0.0,0.0,0.0,257325.22825999995,0.0,MODEL_VIEW_AVAILABLE,2021-01-20 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,2021-01-22,2108,True,0,0.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.017190929041697167,1.0,0.0,0.0,257325.22825999995,0.0,MODEL_VIEW_AVAILABLE,2021-01-21 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2024-09-23,2024-09-24,2997,True,0,0.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.002748930971288921,0.0,0.0,0.0,266954.76013999997,0.0,MODEL_VIEW_AVAILABLE,2024-09-23 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2024-09-24,2024-09-25,2998,True,77800,1.0,调整到中文方案所定仓位,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.04386232104782217,1.0,77800.0,0.0,266954.76013999997,0.0,MODEL_VIEW_AVAILABLE,2024-09-24 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2024-09-25,2024-09-26,2999,True,0,1.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.013714619200466904,1.0,0.0,0.0,265602.61766,76400.0,MODEL_VIEW_AVAILABLE,2024-09-25 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2024-09-26,2024-09-27,3000,True,0,0.9557973396111682,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.04778353483016695,1.0,0.0,0.0,278285.01765999995,76400.0,MODEL_VIEW_AVAILABLE,2024-09-26 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2024-09-27,2024-09-30,3001,True,0,0.9162753719564555,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.06291208791208791,1.0,0.0,0.0,295780.61766,76400.0,MODEL_VIEW_AVAILABLE,2024-09-27 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2024-09-30,2024-10-08,3002,True,-76400,0.0,调整到中文方案所定仓位,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.0940811579219436,1.0,-76400.0,0.0,323590.2176599999,76400.0,MODEL_VIEW_AVAILABLE,2024-09-30 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2024-10-08,2024-10-09,3003,True,31200,0.38723523583264785,调整到中文方案所定仓位,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.042286794235766756,1.0,31200.0,0.0,355607.11981999996,0.0,MODEL_VIEW_AVAILABLE,2024-10-08 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2024-10-09,2024-10-10,3004,True,0,0.36041541352200895,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,-0.08839528558476872,0.0,0.0,0.0,347281.1627,31200.0,MODEL_VIEW_AVAILABLE,2024-10-09 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2025-04-07,2025-04-08,3124,True,0,0.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,-0.06668350593584249,0.0,0.0,0.0,347818.97182,0.0,MODEL_VIEW_AVAILABLE,2025-04-07 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2025-04-08,2025-04-09,3125,True,74600,0.8007634302096224,调整到中文方案所定仓位,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.009472259810554773,0.0,74600.0,0.0,347818.97182,0.0,MODEL_VIEW_AVAILABLE,2025-04-08 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2025-04-09,2025-04-10,3126,True,0,1.0,已有持仓，本次收益或资料条件不允许加仓，保留原目标和份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.00965147453083115,0.0,19100.0,1.0,352911.21257999993,74600.0,MODEL_VIEW_AVAILABLE,2025-04-09 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2025-04-10,2025-04-11,3127,True,18700,1.0,调整到中文方案所定仓位,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.016728624535315983,1.0,18700.0,0.0,357611.01258,74600.0,MODEL_VIEW_AVAILABLE,2025-04-10 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2025-04-11,2025-04-14,3128,True,0,1.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.0028728127448418572,0.0,0.0,0.0,358940.95569999993,93300.0,MODEL_VIEW_AVAILABLE,2025-04-11 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2025-04-14,2025-04-15,3129,True,0,1.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.002083333333333437,0.0,0.0,0.0,359687.3556999999,93300.0,MODEL_VIEW_AVAILABLE,2025-04-14 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2025-04-15,2025-04-16,3130,True,0,1.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.0007796257796257589,0.0,0.0,0.0,359967.2556999999,93300.0,MODEL_VIEW_AVAILABLE,2025-04-15 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2025-04-16,2025-04-17,3131,True,0,1.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.002337055310309033,0.0,0.0,0.0,360806.95569999993,93300.0,MODEL_VIEW_AVAILABLE,2025-04-16 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2025-04-17,2025-04-18,3132,True,0,1.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.0007772020725389517,0.0,0.0,0.0,361086.85569999996,93300.0,MODEL_VIEW_AVAILABLE,2025-04-17 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2025-04-18,2025-04-21,3133,True,0,1.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.0025886616619208436,0.0,0.0,0.0,362019.85569999996,93300.0,MODEL_VIEW_AVAILABLE,2025-04-18 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2025-04-21,2025-04-22,3134,True,0,1.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.0005163955589981839,0.0,0.0,0.0,362206.45569999993,93300.0,MODEL_VIEW_AVAILABLE,2025-04-21 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2025-04-22,2025-04-23,3135,True,0,1.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.0007741935483871476,0.0,0.0,0.0,362486.35569999996,93300.0,MODEL_VIEW_AVAILABLE,2025-04-22 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2025-04-23,2025-04-24,3136,True,-93300,0.0,调整到中文方案所定仓位,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.001031459515214106,0.0,-93300.0,0.0,362859.55569999997,93300.0,MODEL_VIEW_AVAILABLE,2025-04-23 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2025-04-24,2025-04-25,3137,True,0,0.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.0,0.0,0.0,0.0,362600.55489999993,0.0,MODEL_VIEW_AVAILABLE,2025-04-24 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2025-04-25,2025-04-28,3138,True,0,0.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.0,0.0,0.0,0.0,362600.55489999993,0.0,MODEL_VIEW_AVAILABLE,2025-04-25 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2025-05-29,2025-05-30,3159,True,0,0.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.0060882800608828,0.0,0.0,0.0,362600.55489999993,0.0,MODEL_VIEW_AVAILABLE,2025-05-29 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
