entry,start_index,start_equity,exit,end_index,days,profit,total_return,end_equity,drawdown,commission,slippage,period,cost
2020-03-23,51,208654.82232,2020-04-07,61,11,265.5999999999767,0.0012729157037771888,208920.42231999998,-0.00024897009889379706,10.0,10.399999999999432,main,STRESS
2020-07-01,117,208920.42231999998,2020-07-08,122,6,23535.418280000013,0.11265254980171924,232455.8406,-0.011204568282537575,165.68172000000004,463.00000000000256,main,STRESS
2020-08-19,152,232455.8406,2020-10-09,183,32,-2813.099519999989,-0.012101651275954195,229642.74108,-0.02120631573760734,67.49952000000002,175.99999999999625,main,STRESS
2020-12-15,230,229642.74108,2021-01-20,255,26,23824.903440000024,0.1037476879432484,253467.64452000003,-0.020157731174328397,184.09656,481.8000000000053,main,STRESS
2021-02-03,265,253467.64452000003,2021-02-19,272,8,2040.2091599999985,0.00804918972543267,255507.85368000003,-0.0024894493276588214,39.09084,104.40000000000396,main,STRESS
2021-03-11,286,255507.85368000003,2021-03-25,296,11,-151.89999999999418,-0.000594502273852715,255355.95368000004,-0.0010566215615022134,10.0,12.100000000000133,main,STRESS
2021-06-08,345,255355.95368000004,2021-07-22,376,32,-2861.0652799999807,-0.011204223903020227,252494.88840000005,-0.011627554545764807,174.56528000000003,492.00000000001864,main,STRESS
2021-07-29,381,252494.88840000005,2021-08-12,391,11,7801.544960000028,0.030897833256889218,260296.43336000008,-0.009245502053853771,204.85504000000003,565.3999999999605,main,STRESS
2021-10-29,440,260296.43336000008,2021-12-14,472,33,4896.469800000021,0.018811129053113218,265192.9031600001,-0.011805031864295046,253.03020000000004,689.199999999978,main,STRESS
2022-01-10,490,265192.9031600001,2022-01-24,500,11,-85.59999999997672,-0.00032278390175599636,265107.3031600001,-0.0005655701199981378,10.0,11.999999999999744,main,STRESS
2022-01-27,503,265107.3031600001,2022-02-17,513,11,-137.39999999996508,-0.0005182807050662097,264969.90316000016,-0.0007593151814399013,10.0,13.000000000000878,main,STRESS
2022-03-11,529,264969.90316000016,2022-03-16,532,4,-294.20000000001164,-0.001110314781004984,264675.70316000015,-0.001790433270303038,10.0,13.999999999999702,main,STRESS
2022-04-25,558,264675.70316000015,2022-05-12,568,11,-6.7999999999883585,-2.5691818020368018e-05,264668.90316000016,-0.0010223832288692725,10.0,12.800000000000722,main,STRESS
2022-05-13,569,264668.90316000016,2022-06-13,589,21,3528.544119999977,0.013331918022370992,268197.44728000014,-0.009227071875847481,359.55588,1073.4000000000158,main,STRESS
2022-08-05,628,268197.44728000014,2022-09-05,649,22,-5545.8447199999355,-0.02067821590490393,262651.6025600002,-0.027579484701674373,193.34472000000002,566.9999999999892,main,STRESS
2022-09-21,660,262651.6025600002,2022-10-12,670,11,-331.5999999999767,-0.001262508953944863,262320.0025600002,-0.001262508953944863,10.0,12.800000000000011,main,STRESS
2022-10-27,681,262320.0025600002,2022-11-07,688,8,90.79999999998836,0.00034614211312078424,262410.8025600002,-0.0011047575372514773,10.0,12.800000000000011,main,STRESS
2023-01-10,733,262410.8025600002,2023-01-19,740,8,-624.8640399999858,-0.002381243584120729,261785.93852000023,-0.006241198192149855,176.36404,534.0000000000362,main,STRESS
2023-03-30,785,261785.93852000023,2023-04-14,795,11,1417.6210800000408,0.005415191847257139,263203.55960000027,-0.010989101899194331,206.27892000000003,626.3999999999836,main,STRESS
2023-05-29,823,263203.55960000027,2023-06-12,833,11,-51.600000000034925,-0.00019604598083111657,263151.95960000023,-0.00042020708294421283,10.0,12.7999999999993,main,STRESS
2023-08-23,883,263151.95960000023,2023-09-05,892,10,137.20000000001164,0.0005213717587684297,263289.15960000025,-0.00029868673643718147,10.0,12.800000000000011,main,STRESS
2023-10-18,917,263289.15960000025,2023-11-01,927,11,-53.20000000001164,-0.00020205921155602713,263235.95960000023,-0.0009852285616090972,10.0,12.800000000000722,main,STRESS
2023-11-29,947,263235.95960000023,2023-12-13,957,11,-200.40000000002328,-0.0007612941647658911,263035.5596000002,-0.0008972938209464987,10.0,13.600000000000012,main,STRESS
2024-02-19,998,263035.5596000002,2024-02-26,1003,6,3302.742799999949,0.012556259712650508,266338.30240000016,-0.0019105518961826107,190.2572,552.0000000000005,main,STRESS
2024-03-05,1009,266338.30240000016,2024-05-27,1063,55,5572.300799999968,0.020921890504622898,271910.6032000001,-0.032686462000762195,200.49920000000003,563.2000000000005,main,STRESS
2024-06-04,1069,271910.6032000001,2024-07-19,1101,33,3633.6840800000355,0.013363524765995782,275544.28728000016,-0.0026866287739287786,122.41592000000001,340.8000000000003,main,STRESS
2024-08-02,1111,275544.28728000016,2024-08-07,1114,4,-4624.053719999967,-0.016781526358777832,270920.2335600002,-0.016781526358777832,181.95372000000003,530.399999999971,main,STRESS
2024-08-28,1129,270920.2335600002,2024-09-20,1144,16,-9730.784239999979,-0.03591752491917488,261189.44932000022,-0.04032211136834041,192.78424,575.2000000000005,main,STRESS
2024-09-25,1147,261189.44932000022,2024-10-08,1151,5,78868.90591999996,0.30196053525643185,340058.3552400002,-0.005333786504879812,222.49408,614.699999999993,main,STRESS
2024-10-09,1152,340058.3552400002,2024-10-23,1162,11,-7181.574000000022,-0.021118651811779632,332876.78124000016,-0.03504782228211556,92.574,277.9999999999941,main,STRESS
2025-01-08,1216,332876.78124000016,2025-01-22,1226,11,66.0,0.0001982715638926269,332942.78124000016,-0.0004115637008074158,10.0,16.000000000000014,main,STRESS
2025-04-09,1274,332942.78124000016,2025-04-24,1285,12,13598.506639999978,0.0408433743160137,346541.28788000013,-0.001212757813575438,271.29336,713.6000000000316,main,STRESS
2025-06-03,1309,346541.28788000013,2025-07-30,1350,42,19560.177280000004,0.05644400238615521,366101.46516000014,-0.00774084906751038,291.02272000000005,791.1999999999927,main,STRESS
2025-09-05,1377,366101.46516000014,2025-09-16,1384,8,12913.764239999931,0.035273730014590665,379015.22940000007,-0.007837023329243298,278.63576,766.9999999999836,main,STRESS
2025-11-26,1429,379015.22940000007,2025-12-08,1437,9,181.90000000002328,0.0004799279445524274,379197.1294000001,-0.0002104618921855428,10.0,19.000000000001283,main,STRESS
2025-12-19,1446,379197.1294000001,2026-02-10,1481,36,9929.129679999955,0.026184611934459312,389126.25908000005,-0.02393065227169333,264.47032,701.0000000000473,main,STRESS
2026-03-25,1506,389126.25908000005,2026-04-09,1516,11,96.0,0.0002467065579869754,389222.25908000005,-0.000503623961007893,10.0,19.999999999999574,main,STRESS
2026-05-06,1532,389222.25908000005,2026-05-19,1541,10,-2714.6329600000754,-0.0069745059453090175,386507.62612,-0.03330669370565564,285.83296000000007,736.0000000000497,main,STRESS
2026-06-05,1554,386507.62612,2026-06-24,1566,13,1595.9882400000351,0.0041292542039119695,388103.61436,-0.03287420278754094,283.01176,717.9999999999847,main,STRESS
2026-07-21,1585,388103.61436,2026-08-04,1595,11,-5609.203600000008,-0.014452850714234744,382494.41076,-0.017145236427404176,265.2036,704.9999999999868,main,STRESS
2026-08-07,1598,382494.41076,2026-08-21,1608,11,3958.011119999981,0.01034789269766212,386452.42188,-0.0052924091773624005,234.58888000000005,617.9999999999868,main,STRESS
2015-01-05,0,200000.0,2015-05-18,88,89,42000.4939,0.2100024695,242000.4939,-0.055986451079579114,106.5061,330.80000000000547,earlier,BASE
2015-06-03,100,242000.4939,2015-06-29,117,18,-7209.197999999975,-0.02979001358145561,234791.29590000003,-0.03943150030394771,19.198,59.99999999999339,earlier,BASE
2015-08-27,160,234791.29590000003,2015-09-14,170,11,450.70000000001164,0.0019195771217683788,235241.99590000004,-0.0008165531314148211,10.0,6.800000000000006,earlier,BASE
2015-09-29,181,235241.99590000004,2015-12-30,242,62,28042.823219999962,0.11920840542400768,263284.81912,-0.03980313028531446,89.07678000000001,253.19999999999408,earlier,BASE
2016-01-13,251,263284.81912,2016-01-27,261,11,-553.4000000000233,-0.0021019062240265063,262731.41912,-0.002111781461074602,10.0,7.6000000000008505,earlier,BASE
2016-05-03,323,262731.41912,2016-07-29,384,62,3854.7135599999456,0.014671688574252162,266586.1326799999,-0.0447661699055516,95.68644,300.40000000002505,earlier,BASE
2016-09-07,412,266586.1326799999,2016-10-11,429,18,-4043.445219999994,-0.015167500197219907,262542.6874599999,-0.035030579895953595,101.34522000000001,299.6000000000297,earlier,BASE
2017-02-13,512,262542.6874599999,2017-02-28,523,12,1801.9404799999902,0.006863419040282759,264344.6279399999,-0.013429796000377858,105.25952000000001,307.2000000000003,earlier,BASE
2017-05-10,571,264344.6279399999,2017-05-17,576,6,128.60000000003492,0.0004864861487907657,264473.22793999995,-0.00012105409612206408,10.0,7.200000000000006,earlier,BASE
2017-05-18,577,264473.22793999995,2017-08-15,638,62,25985.018839999975,0.09825198203386809,290458.2467799999,-0.013642843789595238,100.58116000000001,280.4000000000002,earlier,BASE
2017-10-23,682,290458.2467799999,2017-12-29,731,50,6671.282559999963,0.02296812927144387,297129.5293399999,-0.05463170857332489,117.51744,363.99999999999227,earlier,BASE
2018-01-12,740,297129.5293399999,2018-01-23,747,8,7894.227220000001,0.026568302509464736,305023.7565599999,-0.002613846870239911,103.87278,362.39999999996746,earlier,BASE
2018-02-13,762,305023.7565599999,2018-03-07,773,12,9062.333319999976,0.02971025411988637,314086.08987999987,-0.020866233038870474,98.86668,309.5000000000209,earlier,BASE
2018-03-28,788,314086.08987999987,2018-04-13,798,11,60.29999999998836,0.0001919855795684544,314146.38987999986,-0.00032661585966764495,10.0,7.599999999999163,earlier,BASE
2018-04-19,802,314146.38987999986,2018-05-07,812,11,3.2999999999883585,1.0504656765997211e-05,314149.68987999985,-0.0005984926197262208,10.0,7.599999999999163,earlier,BASE
2018-06-25,846,314149.68987999985,2018-06-28,849,4,-414.0,-0.0013178430962581533,313735.68987999985,-0.0013178430962581533,10.0,8.000000000000007,earlier,BASE
2018-09-27,913,313735.68987999985,2018-10-22,925,13,-5158.529599999951,-0.016442278536984545,308577.1602799999,-0.048153900288166795,90.92960000000002,275.9999999999972,earlier,BASE
2018-12-25,971,308577.1602799999,2019-01-10,981,11,123.39999999996508,0.0003998999792724778,308700.56027999986,-0.0004397445316840498,10.0,9.199999999998987,earlier,BASE
2019-02-28,1011,308700.56027999986,2019-03-07,1016,6,9491.594400000002,0.030746929618109098,318192.15467999986,-0.0018951400791201722,117.2056,311.2000000000003,earlier,BASE
2019-04-30,1053,318192.15467999986,2019-05-07,1055,3,-397.5999999999767,-0.0012495594066416205,317794.5546799999,-0.001331558530886845,10.0,7.6000000000008505,earlier,BASE
2019-05-31,1073,317794.5546799999,2019-06-26,1090,18,11476.480280000018,0.03611289152375874,329271.0349599999,-0.018784150175294556,115.71972000000002,311.2000000000003,earlier,BASE
2019-08-20,1129,329271.0349599999,2019-09-30,1157,29,4275.824000000022,0.012985727701555705,333546.8589599999,-0.03046428497957987,124.17600000000002,320.0000000000358,earlier,BASE
2019-11-12,1183,333546.8589599999,2019-12-10,1203,21,-1557.2579200000037,-0.004668783045523317,331989.6010399999,-0.03003302596457602,129.25792,326.8000000000003,earlier,BASE
2019-12-30,1217,331989.6010399999,2019-12-31,1218,2,4508.33899999992,0.013579759684872572,336497.94003999984,-0.002368224765462945,131.461,488.4000000000185,earlier,BASE
2015-01-05,0,200000.0,2015-05-18,88,89,41601.08136000001,0.20800540680000013,241601.08136,-0.05600822500856428,213.01864000000003,607.5999999999946,earlier,STRESS
2015-06-03,100,241601.08136,2015-06-29,117,18,-7278.399999999994,-0.03012569297715495,234322.68136000002,-0.03950285112766205,38.400000000000006,110.00000000000121,earlier,STRESS
2015-08-27,160,234322.68136000002,2015-09-14,170,11,443.8999999999942,0.0018943962121960034,234766.58136,-0.0008181947382166488,10.0,13.600000000000012,earlier,STRESS
2015-09-29,181,234766.58136,2015-12-30,242,62,27618.904280000017,0.11764410471032138,262385.48564,-0.03992268606560767,177.59572000000003,504.8000000000004,earlier,STRESS
2016-01-13,251,262385.48564,2016-01-27,261,11,-559.1000000000058,-0.002130834328111786,261826.38564000002,-0.002133502158606637,10.0,13.300000000000223,earlier,STRESS
2016-05-03,323,261826.38564000002,2016-07-29,384,62,3469.3817599999893,0.013250695691037873,265295.7674,-0.04477500539684298,190.61824000000001,598.4000000000005,earlier,STRESS
2016-09-07,412,265295.7674,2016-10-11,429,18,-4427.67816000001,-0.016689592161205358,260868.08924,-0.03581430768050775,201.87816000000004,596.8000000000006,earlier,STRESS
2017-02-13,512,260868.08924,2017-02-28,523,12,1379.651840000064,0.005288695309646707,262247.74108000007,-0.014211978687026505,209.14816000000002,610.4000000000005,earlier,STRESS
2017-05-10,571,262247.74108000007,2017-05-17,576,6,121.40000000002328,0.00046292105129319694,262369.1410800001,-0.00013574950103811823,10.0,14.400000000000013,earlier,STRESS
2017-05-18,577,262369.1410800001,2017-08-15,638,62,25388.55800000002,0.09676655530254874,287757.6990800001,-0.013644169910066561,199.442,556.0000000000005,earlier,STRESS
2017-10-23,682,287757.6990800001,2017-12-29,731,50,6187.25052000006,0.02150159853161715,293944.94960000017,-0.05478600726771499,232.44948000000002,647.9999999999925,earlier,STRESS
2018-01-12,740,293944.94960000017,2018-01-23,747,8,7453.863280000049,0.02535802465782533,301398.8128800002,-0.0026130658527522277,205.33672,596.9999999999873,earlier,STRESS
2018-02-13,762,301398.8128800002,2018-03-07,773,12,8617.302720000036,0.028591030726557554,310016.11560000025,-0.020889262528224206,195.49728000000005,550.8000000000209,earlier,STRESS
2018-03-28,788,310016.11560000025,2018-04-13,798,11,52.70000000001164,0.0001699911628723072,310068.81560000026,-0.0003309072012886993,10.0,15.200000000000014,earlier,STRESS
2018-04-19,802,310068.81560000026,2018-05-07,812,11,-4.2999999999883585,-1.3867889267271671e-05,310064.5156000003,-0.0006063669191873622,10.0,15.19999999999917,earlier,STRESS
2018-06-25,846,310064.5156000003,2018-06-28,849,4,-422.0,-0.001361007076812415,309642.5156000003,-0.001361007076812415,10.0,16.000000000000014,earlier,STRESS
2018-09-27,913,309642.5156000003,2018-10-22,925,13,-5447.149359999923,-0.01759173590695351,304195.36624000035,-0.0486648376763148,178.94936,544.8000000000004,earlier,STRESS
2018-12-25,971,304195.36624000035,2019-01-10,981,11,114.20000000001164,0.0003754166324476671,304309.56624000036,-0.00044608536324020065,10.0,18.400000000000016,earlier,STRESS
2019-02-28,1011,304309.56624000036,2019-03-07,1016,6,8928.500479999988,0.029340189959583318,313238.06672000035,-0.0025718599411549414,231.09952000000004,613.6000000000006,earlier,STRESS
2019-04-30,1053,313238.06672000035,2019-05-07,1055,3,-384.3999999999651,-0.0012271816258641044,312853.6667200004,-0.0012814444458342233,10.0,14.400000000000013,earlier,STRESS
2019-05-31,1073,312853.6667200004,2019-07-04,1096,24,20450.30031999998,0.06536698301926158,333303.96704000037,-0.019454825330359138,231.69968,612.8000000000005,earlier,STRESS
2019-08-20,1129,333303.96704000037,2019-09-30,1157,29,3438.9040800000075,0.010317621210872874,336742.8711200004,-0.027689506837218825,222.89592,574.4000000000005,earlier,STRESS
2019-11-12,1183,336742.8711200004,2019-12-10,1203,21,-2030.3308800000232,-0.006029321046195246,334712.54024000035,-0.030023493898785225,260.73088,659.2000000000005,earlier,STRESS
2019-12-30,1217,334712.54024000035,2019-12-31,1218,2,4086.1170000000275,0.012207839589966296,338798.6572400004,-0.0030501893330836527,265.18300000000005,820.9999999999825,earlier,STRESS
