date,open,mark,mark_clock,cash,shares,dividend_receivable,equity,net_return,pnl,price_pnl,dividend_recognized,dividend_paid,exposure,accounting_error,origin,terminal_unliquidated,turnover,requested_quantity,filled_quantity,open_price,fill_price,commission,slippage_cost,notional,status,cash_before,shares_before,cash_after,shares_after,node,cost,cycle_id,mode,execution_reasons
2020-12-29,5.138,5.114,CLOSE,134.95603999996092,46300,0.0,236913.15603999994,-0.0031171372542829756,-740.8000000000175,-740.8000000000006,0.0,0.0,0.9994303564974789,-1.6825651982799172e-11,2020-12-28,False,0.0,0,0,5.138,,0.0,0.0,0.0,NO_TRADE,134.95603999996092,46300,,,ADD_GATE_EXPOSURE_115,BASE,,,
2020-12-30,5.11,5.178,CLOSE,134.95603999996092,46300,0.0,239876.35603999996,0.012507536725819168,2963.2000000000116,2963.2000000000025,0.0,0.0,0.9994373933211764,9.094947017729282e-12,2020-12-29,False,0.0,0,0,5.11,,0.0,0.0,0.0,NO_TRADE,134.95603999996092,46300,,,ADD_GATE_EXPOSURE_115,BASE,,,
2020-12-31,5.188,5.287,CLOSE,134.95603999996092,46300,0.0,244923.05603999997,0.0210387554793372,5046.700000000012,5046.699999999999,0.0,0.0,0.9994489859706065,1.2732925824820995e-11,2020-12-30,False,0.0,0,0,5.188,,0.0,0.0,0.0,NO_TRADE,134.95603999996092,46300,,,ADD_GATE_EXPOSURE_115,BASE,,,
2021-01-04,5.28,5.334,CLOSE,134.95603999996092,46300,0.0,247099.15603999994,0.008884831159564621,2176.0999999999767,2176.0999999999863,0.0,0.0,0.9994538385231145,-9.549694368615746e-12,2020-12-31,False,0.0,0,0,5.28,,0.0,0.0,0.0,NO_TRADE,134.95603999996092,46300,,,ADD_GATE_EXPOSURE_115,BASE,,,
2021-01-05,5.321,5.433,CLOSE,134.95603999996092,46300,0.0,251682.85603999996,0.018550043122194992,4583.700000000012,4583.70000000001,0.0,0.0,0.9994637853283955,1.8189894035458565e-12,2021-01-04,False,0.0,0,0,5.321,,0.0,0.0,0.0,NO_TRADE,134.95603999996092,46300,,,ADD_GATE_EXPOSURE_115,BASE,,,
2021-01-06,5.447,5.482,CLOSE,134.95603999996092,46300,0.0,253951.55603999997,0.009014122120576396,2268.7000000000116,2268.7000000000176,0.0,0.0,0.999468575652363,-5.9117155615240335e-12,2021-01-05,False,0.0,0,0,5.447,,0.0,0.0,0.0,NO_TRADE,134.95603999996092,46300,,,ADD_GATE_EXPOSURE_115,BASE,,,
2021-01-07,5.49,5.599,CLOSE,134.95603999996092,46300,0.0,259368.65603999997,0.021331233737929,5417.100000000006,5417.099999999999,0.0,0.0,0.9994796748301802,6.366462912410498e-12,2021-01-06,False,0.0,0,0,5.49,,0.0,0.0,0.0,NO_TRADE,134.95603999996092,46300,,,ADD_GATE_EXPOSURE_115,BASE,,,
2021-01-08,5.608,5.571,CLOSE,134.95603999996092,46300,0.0,258072.25603999995,-0.004998290926102045,-1296.4000000000233,-1296.4000000000215,0.0,0.0,0.9994770610290669,-1.8189894035458565e-12,2021-01-07,False,0.0,0,0,5.608,,0.0,0.0,0.0,NO_TRADE,134.95603999996092,46300,,,ADD_GATE_EXPOSURE_115,BASE,,,
2021-01-11,5.572,5.508,CLOSE,134.95603999996092,46300,0.0,255155.35603999996,-0.01130264850921403,-2916.899999999994,-2916.899999999987,0.0,0.0,0.9994710828645949,-7.275957614183426e-12,2021-01-08,False,0.0,0,0,5.572,,0.0,0.0,0.0,NO_TRADE,134.95603999996092,46300,,,ADD_GATE_EXPOSURE_115,BASE,,,
2021-01-12,5.496,5.668,CLOSE,134.95603999996092,46300,0.0,262563.35604,0.029033292167453872,7408.000000000029,7408.000000000007,0.0,0.0,0.9994860058081395,2.1827872842550278e-11,2021-01-11,False,0.0,0,0,5.496,,0.0,0.0,0.0,NO_TRADE,134.95603999996092,46300,,,ADD_GATE_EXPOSURE_115,BASE,,,
2021-01-13,5.684,5.646,CLOSE,134.95603999996092,46300,0.0,261544.75603999995,-0.0038794446238143987,-1018.6000000000349,-1018.6000000000113,0.0,0.0,0.9994840040303491,-2.3646862246096134e-11,2021-01-12,False,0.0,0,0,5.684,,0.0,0.0,0.0,NO_TRADE,134.95603999996092,46300,,,ADD_GATE_EXPOSURE_115,BASE,,,
2021-01-14,5.646,5.543,CLOSE,96610.95697999996,29200,0.0,258466.55697999996,-0.011769301386907571,-3078.1990599999845,-3007.599999999993,0.0,0.0,0.6262148646663186,1.057287590811029e-11,2021-01-13,False,0.3689437381999824,-17100,-17100,5.646,5.643,19.29906,51.300000000001944,96495.3,FILLED,134.95603999996092,46300,96610.95697999996,29200.0,ADD_GATE_EXPOSURE_115,BASE,,,
2021-01-15,5.543,5.526,CLOSE,96610.95697999996,29200,0.0,257970.15697999994,-0.0019205579468388745,-496.4000000000233,-496.40000000001015,0.0,0.0,0.6254956072787518,-1.3130829756846651e-11,2021-01-14,False,0.0,0,0,5.543,,0.0,0.0,0.0,NO_TRADE,96610.95697999996,29200,,,ADD_GATE_EXPOSURE_115,BASE,,,
2021-01-18,5.451,5.513,CLOSE,96610.95697999996,29200,2102.3999999999996,259692.95697999996,0.0066782918620063025,1722.8000000000175,-379.59999999999695,2102.3999999999996,0.0,0.6198843506271821,1.4551915228366852e-11,2021-01-15,False,0.0,0,0,5.451,,0.0,0.0,0.0,NO_TRADE,96610.95697999996,29200,,,ADD_GATE_EXPOSURE_115,BASE,,,
2021-01-19,5.518,5.438,CLOSE,96610.95697999996,29200,2102.3999999999996,257502.95697999996,-0.008433035787600018,-2190.0,-2190.0000000000055,0.0,0.0,0.6166515595094042,5.4569682106375694e-12,2021-01-18,False,0.0,0,0,5.518,,0.0,0.0,0.0,NO_TRADE,96610.95697999996,29200,,,ADD_GATE_EXPOSURE_115,BASE,,,
2021-01-20,5.436,5.468,CLOSE,255222.82825999995,0,2102.3999999999996,257325.22825999995,-0.0006902006954965234,-177.7287200000137,-58.39999999999357,0.0,0.0,0.0,-1.6825651982799172e-11,2021-01-19,False,0.6162243314094402,-29200,-29200,5.436,5.433,31.728720000000003,87.60000000000332,158643.6,FILLED,96610.95697999996,29200,255222.82825999995,0.0,ADD_GATE_EXPOSURE_115,BASE,,,
2021-01-21,5.483,5.562,CLOSE,257325.22825999995,0,0.0,257325.22825999995,0.0,0.0,0.0,0.0,2102.3999999999996,0.0,0.0,2021-01-20,False,0.0,0,0,5.483,,0.0,0.0,0.0,NO_TRADE,255222.82825999995,0,,,ADD_GATE_EXPOSURE_115,BASE,,,
2024-09-23,3.269,3.283,CLOSE,266954.76013999997,0,0.0,266954.76013999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-09-20,False,0.0,0,0,3.269,,0.0,0.0,0.0,NO_TRADE,266954.76013999997,0,,,ADD_GATE_EXPOSURE_115,BASE,,,
2024-09-24,3.314,3.427,CLOSE,266954.76013999997,0,0.0,266954.76013999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-09-23,False,0.0,0,0,3.314,,0.0,0.0,0.0,NO_TRADE,266954.76013999997,0,,,ADD_GATE_EXPOSURE_115,BASE,,,
2024-09-25,3.489,3.474,CLOSE,189.01765999995405,76400,0.0,265602.61766,-0.005065062257331054,-1352.1424799999804,-1145.9999999999757,0.0,0.0,0.9992883441373236,1.2363443602225743e-11,2024-09-24,False,0.9990921302925153,77800,76400,3.489,3.491,53.34248000000001,152.8000000000171,266712.4,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,266954.76013999997,0,189.01765999995405,76400.0,ADD_GATE_EXPOSURE_115,BASE,,,
2024-09-26,3.468,3.64,CLOSE,189.01765999995405,76400,0.0,278285.01765999995,0.04774952939746546,12682.399999999965,12682.399999999994,0.0,0.0,0.9993207767288755,-2.9103830456733704e-11,2024-09-25,False,0.0,0,0,3.468,,0.0,0.0,0.0,NO_TRADE,189.01765999995405,76400,,,ADD_GATE_EXPOSURE_115,BASE,,,
2024-09-27,3.7,3.869,CLOSE,189.01765999995405,76400,0.0,295780.61766,0.06286935655794301,17495.600000000035,17495.600000000006,0.0,0.0,0.9993609531905934,2.9103830456733704e-11,2024-09-26,False,0.0,0,0,3.7,,0.0,0.0,0.0,NO_TRADE,189.01765999995405,76400,,,ADD_GATE_EXPOSURE_115,BASE,,,
2024-09-30,4.007,4.233,CLOSE,189.01765999995405,76400,0.0,323590.2176599999,0.09402103565814812,27809.59999999992,27809.599999999955,0.0,0.0,0.9994158733803302,-3.637978807091713e-11,2024-09-27,False,0.0,0,0,4.007,,0.0,0.0,0.0,NO_TRADE,189.01765999995405,76400,,,ADD_GATE_EXPOSURE_115,BASE,,,
2024-10-08,4.656,4.412,CLOSE,355607.11981999996,0,0.0,355607.11981999996,0.09894273810724585,32016.902160000056,32317.200000000004,0.0,0.0,0.0,-7.503331289626658e-12,2024-09-30,False,0.9988249256990777,-76400,-76400,4.656,4.6530000000000005,71.09784,229.19999999994081,355489.2,FILLED,189.01765999995405,76400,355607.11981999996,0.0,ADD_GATE_EXPOSURE_115,BASE,,,
2024-10-09,4.285,4.022,CLOSE,221794.76269999996,31200,0.0,347281.1627,-0.02341335888948004,-8325.957119999977,-8205.599999999997,0.0,0.0,0.36133949513524827,2.297895207448164e-11,2024-10-08,False,0.376217439256332,31200,31200,4.285,4.288,26.757120000000004,93.60000000000355,133785.6,FILLED,355607.11981999996,0,221794.76269999996,31200.0,ADD_GATE_EXPOSURE_115,BASE,,,
2025-04-07,3.8,3.695,CLOSE,347818.97182,0,0.0,347818.97182,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,2025-04-03,False,0.0,0,0,3.8,,0.0,0.0,0.0,NO_TRADE,347818.97182,0,,,ADD_GATE_EXPOSURE_115,BASE,,,
2025-04-08,3.698,3.73,CLOSE,347818.97182,0,0.0,347818.97182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-04-07,False,0.0,0,0,3.698,,0.0,0.0,0.0,NO_TRADE,347818.97182,0,,,ADD_GATE_EXPOSURE_115,BASE,,,
2025-04-09,3.695,3.766,CLOSE,71967.61257999996,74600,0.0,352911.21257999993,0.014640491671153777,5092.240759999957,5296.600000000013,0.0,0.0,0.7960744515486713,-3.944933268940076e-11,2025-04-08,False,0.7929302951959949,74600,74600,3.695,3.697,55.159240000000004,149.2000000000167,275796.2,FILLED,347818.97182,0,71967.61257999996,74600.0,ADD_GATE_EXPOSURE_115,BASE,,,
2025-04-10,3.817,3.829,CLOSE,71967.61257999996,74600,0.0,357611.01258,0.013317230602115426,4699.800000000047,4699.800000000013,0.0,0.0,0.7987544844864074,3.3651303965598345e-11,2025-04-09,False,0.0,0,0,3.817,,0.0,0.0,0.0,NO_TRADE,71967.61257999996,74600,,,ADD_GATE_EXPOSURE_115,BASE,,,
2025-04-11,3.81,3.84,CLOSE,668.9556999999477,93300,0.0,358940.95569999993,0.0037189657846525837,1329.9431199999526,1381.5999999999722,0.0,0.0,0.9981363071296911,-1.5369039374490967e-11,2025-04-10,False,0.20012823779648703,18700,18700,3.81,3.8120000000000003,14.256880000000002,37.400000000004184,71284.40000000001,FILLED,71967.61257999996,74600,668.9556999999477,93300.0,ADD_GATE_EXPOSURE_115,BASE,,,
2025-04-14,3.859,3.848,CLOSE,668.9556999999477,93300,0.0,359687.3556999999,0.002079450639853375,746.3999999999651,746.4000000000005,0.0,0.0,0.9981401745449238,-3.54702933691442e-11,2025-04-11,False,0.0,0,0,3.859,,0.0,0.0,0.0,NO_TRADE,668.9556999999477,93300,,,ADD_GATE_EXPOSURE_115,BASE,,,
2025-04-15,3.844,3.851,CLOSE,668.9556999999477,93300,0.0,359967.2556999999,0.0007781758117555437,279.9000000000233,279.9000000000106,0.0,0.0,0.9981416206907513,1.2676082405960187e-11,2025-04-14,False,0.0,0,0,3.844,,0.0,0.0,0.0,NO_TRADE,668.9556999999477,93300,,,ADD_GATE_EXPOSURE_115,BASE,,,
2025-04-16,3.841,3.86,CLOSE,668.9556999999477,93300,0.0,360806.95569999993,0.0023327121750758018,839.7000000000116,839.6999999999904,0.0,0.0,0.9981459456658698,2.1259438653942198e-11,2025-04-15,False,0.0,0,0,3.841,,0.0,0.0,0.0,NO_TRADE,668.9556999999477,93300,,,ADD_GATE_EXPOSURE_115,BASE,,,
2025-04-17,3.842,3.863,CLOSE,668.9556999999477,93300,0.0,361086.85569999996,0.0007757610976677487,279.9000000000233,279.90000000001055,0.0,0.0,0.9981473828541804,1.2732925824820995e-11,2025-04-16,False,0.0,0,0,3.842,,0.0,0.0,0.0,NO_TRADE,668.9556999999477,93300,,,ADD_GATE_EXPOSURE_115,BASE,,,
2025-04-18,3.857,3.873,CLOSE,668.9556999999477,93300,0.0,362019.85569999996,0.002583865862941126,933.0,933.0000000000215,0.0,0.0,0.9981521574315131,-2.148681232938543e-11,2025-04-17,False,0.0,0,0,3.857,,0.0,0.0,0.0,NO_TRADE,668.9556999999477,93300,,,ADD_GATE_EXPOSURE_115,BASE,,,
2025-04-21,3.865,3.875,CLOSE,668.9556999999477,93300,0.0,362206.45569999993,0.000515441341301992,186.59999999997672,186.59999999997945,0.0,0.0,0.9981531093952837,-2.7284841053187847e-12,2025-04-18,False,0.0,0,0,3.865,,0.0,0.0,0.0,NO_TRADE,668.9556999999477,93300,,,ADD_GATE_EXPOSURE_115,BASE,,,
2025-04-22,3.875,3.878,CLOSE,668.9556999999477,93300,0.0,362486.35569999996,0.0007727636975964902,279.9000000000233,279.9000000000106,0.0,0.0,0.998154535503252,1.2676082405960187e-11,2025-04-21,False,0.0,0,0,3.875,,0.0,0.0,0.0,NO_TRADE,668.9556999999477,93300,,,ADD_GATE_EXPOSURE_115,BASE,,,
2025-04-23,3.892,3.882,CLOSE,668.9556999999477,93300,0.0,362859.55569999997,0.001029555993298903,373.20000000001164,373.2000000000004,0.0,0.0,0.9981564335581312,1.1254996934439987e-11,2025-04-22,False,0.0,0,0,3.892,,0.0,0.0,0.0,NO_TRADE,668.9556999999477,93300,,,ADD_GATE_EXPOSURE_115,BASE,,,
2025-04-24,3.882,3.882,CLOSE,362600.55489999993,0,0.0,362600.55489999993,-0.0007137769859757448,-259.000800000038,0.0,0.0,0.0,0.0,-1.7109869077103212e-11,2025-04-23,False,0.9976421850091574,-93300,-93300,3.882,3.88,72.4008,186.60000000002088,362004.0,FILLED,668.9556999999477,93300,362600.55489999993,0.0,ADD_GATE_EXPOSURE_115,BASE,,,
2025-04-25,3.887,3.882,CLOSE,362600.55489999993,0,0.0,362600.55489999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-04-24,False,0.0,0,0,3.887,,0.0,0.0,0.0,NO_TRADE,362600.55489999993,0,,,ADD_GATE_EXPOSURE_115,BASE,,,
2025-05-29,3.945,3.966,CLOSE,362600.55489999993,0,0.0,362600.55489999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-05-28,False,0.0,0,0,3.945,,0.0,0.0,0.0,NO_TRADE,362600.55489999993,0,,,ADD_GATE_EXPOSURE_115,BASE,,,
2025-05-30,3.959,3.959,CLOSE,362600.55489999993,0,0.0,362600.55489999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-05-29,False,0.0,0,0,3.959,,0.0,0.0,0.0,NO_TRADE,362600.55489999993,0,,,ADD_GATE_EXPOSURE_115,BASE,,,
2025-06-03,3.946,3.957,CLOSE,273752.7888999999,22500,0.0,362785.2888999999,0.0005094697112388857,184.73399999999674,247.49999999999272,0.0,0.0,0.24541375497875106,-9.379164112033322e-13,2025-05-30,False,0.2449803200783795,22500,22500,3.946,3.948,17.766000000000002,44.99999999999504,88830.0,FILLED,362600.55489999993,0,273752.7888999999,22500.0,ADD_GATE_EXPOSURE_115,BASE,,,
2025-06-04,3.959,3.974,CLOSE,273752.7888999999,22500,0.0,363167.7888999999,0.001054342642061945,382.5,382.50000000000784,0.0,0.0,0.24620850949041867,-7.844391802791506e-12,2025-06-03,False,0.0,0,0,3.959,,0.0,0.0,0.0,NO_TRADE,273752.7888999999,22500,,,ADD_GATE_EXPOSURE_115,BASE,,,
2025-06-05,3.978,3.984,CLOSE,273752.7888999999,22500,0.0,363392.7888999999,0.0006195483379225486,225.0,224.9999999999952,0.0,0.0,0.2466752305992168,4.803268893738277e-12,2025-06-04,False,0.0,0,0,3.978,,0.0,0.0,0.0,NO_TRADE,273752.7888999999,22500,,,ADD_GATE_EXPOSURE_115,BASE,,,
2025-06-06,3.987,3.986,CLOSE,273752.7888999999,22500,0.0,363437.7888999999,0.00012383294708806503,45.0,45.00000000000504,0.0,0.0,0.24676850547502333,-5.03774799653911e-12,2025-06-05,False,0.0,0,0,3.987,,0.0,0.0,0.0,NO_TRADE,273752.7888999999,22500,,,ADD_GATE_EXPOSURE_115,BASE,,,
2025-06-09,3.989,3.995,CLOSE,273752.7888999999,22500,0.0,363640.2888999999,0.000557179264745411,202.5,202.49999999999767,0.0,0.0,0.24718795673578076,2.3305801732931286e-12,2025-06-06,False,0.0,0,0,3.989,,0.0,0.0,0.0,NO_TRADE,273752.7888999999,22500,,,ADD_GATE_EXPOSURE_115,BASE,,,
2025-06-10,3.997,3.972,CLOSE,273752.7888999999,22500,0.0,363122.7888999999,-0.0014231096382786301,-517.5,-517.500000000003,0.0,0.0,0.24611509586255004,2.9558577807620168e-12,2025-06-09,False,0.0,0,0,3.997,,0.0,0.0,0.0,NO_TRADE,273752.7888999999,22500,,,ADD_GATE_EXPOSURE_115,BASE,,,
2025-06-11,3.974,4.004,CLOSE,273752.7888999999,22500,0.0,363842.7888999999,0.001982800369486837,720.0,719.9999999999906,0.0,0.0,0.2476069410977407,9.43600753089413e-12,2025-06-10,False,0.0,0,0,3.974,,0.0,0.0,0.0,NO_TRADE,273752.7888999999,22500,,,ADD_GATE_EXPOSURE_115,BASE,,,
2025-06-12,3.998,4.006,CLOSE,273752.7888999999,22500,0.0,363887.7888999999,0.00012367979075800228,45.0,45.000000000015035,0.0,0.0,0.24769998540613303,-1.503508428868372e-11,2025-06-11,False,0.0,0,0,3.998,,0.0,0.0,0.0,NO_TRADE,273752.7888999999,22500,,,ADD_GATE_EXPOSURE_115,BASE,,,
2025-06-13,3.998,3.98,CLOSE,273752.7888999999,22500,0.0,363302.7888999999,-0.0016076384474686956,-585.0,-585.0000000000055,0.0,0.0,0.24648861152741902,5.4569682106375694e-12,2025-06-12,False,0.0,0,0,3.998,,0.0,0.0,0.0,NO_TRADE,273752.7888999999,22500,,,ADD_GATE_EXPOSURE_115,BASE,,,
2025-06-16,3.974,3.99,CLOSE,273752.7888999999,22500,0.0,363527.7888999999,0.0006193181194156239,225.0,225.00000000000523,0.0,0.0,0.24695498594935616,-5.229594535194337e-12,2025-06-13,False,0.0,0,0,3.974,,0.0,0.0,0.0,NO_TRADE,273752.7888999999,22500,,,ADD_GATE_EXPOSURE_115,BASE,,,
2025-06-17,3.991,3.989,CLOSE,273752.7888999999,22500,0.0,363505.2888999999,-6.189348018781349e-05,-22.5,-22.500000000007518,0.0,0.0,0.24690837448775294,7.51754214434186e-12,2025-06-16,False,0.0,0,0,3.991,,0.0,0.0,0.0,NO_TRADE,273752.7888999999,22500,,,ADD_GATE_EXPOSURE_115,BASE,,,
2025-06-18,3.903,3.904,CLOSE,273752.7888999999,22500,1979.9999999999998,363572.7888999999,0.0001856919336833407,67.5,-1912.4999999999993,1979.9999999999998,0.0,0.24160223944636364,-4.547473508864641e-13,2025-06-17,False,0.0,0,0,3.903,,0.0,0.0,0.0,NO_TRADE,273752.7888999999,22500,,,ADD_GATE_EXPOSURE_115,BASE,,,
2025-06-19,3.898,3.873,CLOSE,273752.7888999999,22500,1979.9999999999998,362875.2888999999,-0.001918460405439859,-697.5,-697.4999999999931,0.0,0.0,0.24014448673030053,-6.934897101018578e-12,2025-06-18,False,0.0,0,0,3.898,,0.0,0.0,0.0,NO_TRADE,273752.7888999999,22500,,,ADD_GATE_EXPOSURE_115,BASE,,,
