fit_origin,status,training_cycle_count,training_rows,latest_exit_date,kind
2025-12-01,FIT_COMPLETE,20,842,2025-10-14,within
2026-01-05,FIT_COMPLETE,20,842,2025-10-14,within
2026-02-02,FIT_COMPLETE,20,842,2026-01-13,within
2026-03-02,FIT_COMPLETE,20,795,2026-02-04,within
2026-04-01,FIT_COMPLETE,20,795,2026-02-04,within
2026-05-06,FIT_COMPLETE,20,795,2026-02-04,within
2026-06-01,FIT_COMPLETE,20,795,2026-02-04,within
2026-07-01,FIT_COMPLETE,20,795,2026-02-04,within
2026-08-03,FIT_COMPLETE,20,790,2026-07-20,within
2026-09-01,FIT_COMPLETE,20,790,2026-07-20,within
