cost,entry,exit,scenario,quantity,raw_price,fill_price,fixed_quantity_exit_cash_delta,cycle_profit_if_only_exit_cash_changed,status
STRESS,2020-12-15,2021-01-20,NEXT_DAY_OPEN,28200,5.483,5.477,1324.8698399999994,25149.773280000023,FIXED_QUANTITY_PRICE_SENSITIVITY_NOT_EXECUTION_EVIDENCE
STRESS,2020-07-01,2020-07-08,ORIGINAL_OPEN,46300,4.734,4.729,0.0,23535.418280000013,FIXED_QUANTITY_PRICE_SENSITIVITY_NOT_EXECUTION_EVIDENCE
STRESS,2020-07-01,2020-07-08,SAME_DAY_CLOSE,46300,4.798,4.793,2962.0147199999774,26497.43299999999,FIXED_QUANTITY_PRICE_SENSITIVITY_NOT_EXECUTION_EVIDENCE
STRESS,2020-07-01,2020-07-08,NEXT_DAY_OPEN,46300,4.796,4.791,2869.4517599999963,26404.87004000001,FIXED_QUANTITY_PRICE_SENSITIVITY_NOT_EXECUTION_EVIDENCE
STRESS,2025-06-03,2025-07-30,ORIGINAL_OPEN,59800,4.227,4.222,0.0,19560.177280000004,FIXED_QUANTITY_PRICE_SENSITIVITY_NOT_EXECUTION_EVIDENCE
STRESS,2025-06-03,2025-07-30,SAME_DAY_CLOSE,59800,4.232,4.227,298.88039999999455,19859.05767999997,FIXED_QUANTITY_PRICE_SENSITIVITY_NOT_EXECUTION_EVIDENCE
STRESS,2025-06-03,2025-07-30,NEXT_DAY_OPEN,59800,4.221,4.216,-358.6564800000051,19201.5208,FIXED_QUANTITY_PRICE_SENSITIVITY_NOT_EXECUTION_EVIDENCE
STRESS,2025-04-09,2025-04-24,ORIGINAL_OPEN,75800,3.882,3.878,0.0,13598.506639999978,FIXED_QUANTITY_PRICE_SENSITIVITY_NOT_EXECUTION_EVIDENCE
STRESS,2025-04-09,2025-04-24,SAME_DAY_CLOSE,75800,3.882,3.878,0.0,13598.506639999978,FIXED_QUANTITY_PRICE_SENSITIVITY_NOT_EXECUTION_EVIDENCE
STRESS,2025-04-09,2025-04-24,NEXT_DAY_OPEN,75800,3.887,3.883,378.84840000001714,13977.355039999995,FIXED_QUANTITY_PRICE_SENSITIVITY_NOT_EXECUTION_EVIDENCE
