scenario,period,cost,days,end_equity,profit,annual_return,sharpe,volatility,max_drawdown,fills,commission,slippage,mean_exposure,max_accounting_error
CONSTANT20,main,BASE,1624,209177.90137999997,9177.901379999967,0.006708355150501166,0.19249876350688275,0.03860250761512682,-0.10776029627568962,1,7.99862,29.100000000001103,0.2041041315084099,3.433342499192804e-11
CONSTANT20,main,STRESS,1624,209150.49499999997,9150.494999999966,0.00668869924299087,0.1919747566429379,0.03860708662670931,-0.10777390618185778,1,16.005,48.49999999999896,0.20413154926333085,3.433342499192804e-11
ETF_VOL10,earlier,BASE,1219,284621.5636200001,84621.56362000009,0.07255923564094613,0.7049031273003321,0.10759722585680626,-0.21276804875993882,83,633.53638,1927.1000000000222,0.5990379799606775,7.66249286243692e-11
ETF_VOL10,earlier,STRESS,1219,281362.55523999996,81362.55523999996,0.0701098756938896,0.6836883881502568,0.10759006690762536,-0.21433055064705464,83,1249.1447600000001,3623.7000000000057,0.5992116529532906,7.821654435247183e-11
ETF_VOL10,main,BASE,1624,214724.5001599999,14724.500159999909,0.010642005755874706,0.14972280813451824,0.11456895182970402,-0.32965358688076196,145,924.0998400000001,2687.199999999977,0.6632160690729344,5.2949644668842666e-11
ETF_VOL10,main,STRESS,1624,212038.81371999992,12038.813719999918,0.00874825233002019,0.13335479607697423,0.11452567042495308,-0.33733138831491305,141,1718.78628,4767.700000000015,0.6634909446854078,5.616129783447832e-11
FINAL_RISK_CAP10,main,BASE,1624,304060.13070000015,104060.13070000015,0.06441302788158998,1.1854949933877288,0.05387306063337202,-0.05309255753433906,130,2072.0693,6053.699999999897,0.14370404899139025,6.957634468562901e-11
FINAL_RISK_CAP10,main,STRESS,1624,295337.31208000006,95337.31208000006,0.05980621453858603,1.10574696731898,0.053833060341340465,-0.05734102473474312,130,3902.1879200000003,10642.200000000008,0.14337019063866235,1.127773430198431e-10
NO_115_MULTIPLIER,main,BASE,1624,378065.5392800002,178065.5392800002,0.09953261016653436,1.3037995135035068,0.07489090666362845,-0.06144490617260512,122,2782.8607200000006,8310.399999999827,0.16568236870331743,8.492406777804717e-11
NO_115_MULTIPLIER,main,STRESS,1624,366645.3600799999,166645.3600799999,0.09451849183307726,1.2442261576016098,0.0747967404506676,-0.06449733398580226,122,5288.03992,14491.00000000002,0.1659544297002908,7.958078640513122e-11
NO_115_MULTIPLIER__CONFIRMED_RISK_EPISODE_30_10,main,BASE,1624,375032.75721999997,175032.75721999997,0.09821375002481592,1.1675231026630783,0.08312267682837753,-0.08510681953661803,92,2548.64278,7795.999999999801,0.1685498328637656,9.367795428261161e-11
NO_115_MULTIPLIER__CONFIRMED_RISK_EPISODE_30_10,main,STRESS,1624,364655.14159999974,164655.14159999974,0.09363110642519201,1.118281922456566,0.08303663348718983,-0.09083254067120461,90,4954.058400000001,13656.499999999964,0.16879992608862837,9.71596136878361e-11
NO_115_MULTIPLIER__MEAN_REBOUND_AUX_50,main,BASE,1624,387197.31142000045,187197.31142000045,0.10345007418913688,1.2623547054751536,0.08053402448634488,-0.07847618956528524,156,4706.18858,14316.89999999999,0.24289412292269297,1.2377654456940945e-10
NO_115_MULTIPLIER__MEAN_REBOUND_AUX_50,main,STRESS,1624,367084.6031200002,167084.60312000022,0.09471378626830584,1.1642859267060743,0.08048458643444646,-0.08519259113443534,156,9127.99688,25172.00000000011,0.2430146195650633,1.0913936421275139e-10
NO_115_MULTIPLIER__SOURCE_A,main,BASE,1624,387556.36334000016,187556.36334000016,0.10360249197803784,1.248364478740137,0.08157723020609439,-0.06683929199766159,113,2985.5366600000007,8987.099999999798,0.17465343835349945,7.435119186993688e-11
NO_115_MULTIPLIER__SOURCE_A,main,STRESS,1624,375129.02172000014,175129.02172000014,0.09825575161637357,1.1902055414586028,0.08147536759378046,-0.0715760186859129,113,5680.17828,15642.200000000026,0.17504262326309938,9.958966984413564e-11
NO_115_MULTIPLIER__TWO_CLOSE_ZERO_EXIT,main,BASE,1624,392646.4747400003,192646.47474000033,0.10575042246197075,1.233403452719704,0.0843321552351343,-0.07808473542008043,114,3425.92526,10566.79999999976,0.19938652371820426,8.640199666842818e-11
NO_115_MULTIPLIER__TWO_CLOSE_ZERO_EXIT,main,STRESS,1624,377188.58216,177188.58216,0.09915217753787564,1.164647487648722,0.08415849623767821,-0.08340941783287348,114,6685.41784,18514.60000000004,0.1995628505816324,9.515588317299262e-11
NO_FINAL_BAND,main,BASE,1624,395970.55522000015,195970.55522000015,0.10714036618220457,1.2895792704777125,0.0814443828368665,-0.06242816714545818,202,3392.74478,9290.1999999998,0.17906483362727793,1.0413714335300028e-10
NO_FINAL_BAND,main,STRESS,1624,381698.81256,181698.81256,0.10110080288595946,1.2233959837245028,0.08137324174644625,-0.06703232145385296,203,6120.78744,16160.30000000002,0.17873452747437224,9.00399754755199e-11
NO_INTERNAL_UPSCALE,main,BASE,1624,323492.5886199997,123492.5886199997,0.07428473036565109,1.3962060840968955,0.05229611916918196,-0.03380026113511958,114,1873.31138,5454.199999999905,0.12638644440570063,7.048583938740194e-11
NO_INTERNAL_UPSCALE,main,STRESS,1624,314890.77363999997,114890.77363999997,0.06997904996964821,1.3176457827216532,0.05236844683202727,-0.03407699441142065,114,3494.32636,9499.10000000005,0.1266336736724762,6.377831596182659e-11
NO_INTERNAL_UPSCALE__CONFIRMED_RISK_EPISODE_30_10,main,BASE,1624,316374.43342,116374.43342000002,0.07072878877994349,1.38536159084717,0.05023763432580427,-0.041136562892415074,91,1710.26658,5279.199999999873,0.1309284386069066,8.060396794462577e-11
NO_INTERNAL_UPSCALE__CONFIRMED_RISK_EPISODE_30_10,main,STRESS,1624,309645.8540399997,109645.85403999971,0.0673043051839135,1.3218994969547975,0.050225047041078365,-0.04386170195036376,92,3353.4459600000005,9315.300000000027,0.13088567954850847,9.112000043387525e-11
NO_INTERNAL_UPSCALE__MEAN_REBOUND_AUX_50,main,BASE,1624,324940.9465000002,124940.9465000002,0.07500010648975852,1.2489582977411724,0.05931263616490534,-0.07745555521041891,138,3043.2535,9225.900000000025,0.18281783343559727,7.844391802791506e-11
NO_INTERNAL_UPSCALE__MEAN_REBOUND_AUX_50,main,STRESS,1624,312704.74696000014,112704.74696000014,0.06886888737419872,1.1527336963457746,0.059299865866984124,-0.08212390141185111,138,5927.25304,16342.500000000055,0.18283384748824852,7.821654435247183e-11
NO_INTERNAL_UPSCALE__SOURCE_A,main,BASE,1624,320370.58836000017,120370.58836000017,0.07273338774135163,1.3399753574818014,0.05345701296729587,-0.034461889560150505,104,1890.5116400000002,5554.399999999897,0.12747921362021028,6.639311322942376e-11
NO_INTERNAL_UPSCALE__SOURCE_A,main,STRESS,1624,311681.4477999999,111681.4477999999,0.06834693914529444,1.2614812857100683,0.05353794027285708,-0.03552538948924999,104,3527.8522000000003,9658.800000000061,0.1277099166554478,7.855760486563668e-11
NO_INTERNAL_UPSCALE__TWO_CLOSE_ZERO_EXIT,main,BASE,1624,317374.19660000014,117374.19660000014,0.07123231417398279,1.3950804507112418,0.0502242566305999,-0.04108192970842606,92,1718.6034000000002,5302.999999999873,0.1308215925303015,7.782574584780377e-11
NO_INTERNAL_UPSCALE__TWO_CLOSE_ZERO_EXIT,main,STRESS,1624,310212.8393199996,110212.83931999962,0.06759530050364893,1.3282522734688924,0.05018877195543404,-0.04385758764166081,92,3366.66068,9351.100000000028,0.1308529435605614,8.421352504228707e-11
NO_ZERO_WAIT,main,BASE,1624,371233.8915199997,171233.8915199997,0.0965488794667968,1.397555517792927,0.06756831251234165,-0.06188341172765455,118,3122.90848,9319.299999999941,0.1676472811281353,1.0152234608540311e-10
NO_ZERO_WAIT,main,STRESS,1624,358602.05547999986,158602.05547999986,0.09090663099070873,1.321478922183063,0.06755228266279058,-0.0629326997243087,118,5948.844520000001,16378.499999999976,0.1678018570389634,9.799805411603302e-11
NO_ZERO_WAIT__CONFIRMED_RISK_EPISODE_30_10,main,BASE,1624,347727.6453800001,147727.64538000012,0.08591222979361213,1.3191711334002607,0.06402024041812449,-0.071575953702958,96,2602.7546200000006,7913.399999999884,0.15710172083476237,1.085140866052825e-10
NO_ZERO_WAIT__CONFIRMED_RISK_EPISODE_30_10,main,STRESS,1624,336918.8182800002,136918.81828000018,0.08081445134185783,1.2469221307437914,0.06395147819596785,-0.07736936713898113,94,5076.98172,14058.599999999917,0.15749049154282652,5.894662535865791e-11
NO_ZERO_WAIT__MEAN_REBOUND_AUX_50,main,BASE,1624,387197.31142000045,187197.31142000045,0.10345007418913688,1.2623547054751536,0.08053402448634488,-0.07847618956528524,156,4706.18858,14316.89999999999,0.24289412292269297,1.2377654456940945e-10
NO_ZERO_WAIT__MEAN_REBOUND_AUX_50,main,STRESS,1624,367084.6031200002,167084.60312000022,0.09471378626830584,1.1642859267060743,0.08048458643444646,-0.08519259113443534,156,9127.99688,25172.00000000011,0.2430146195650633,1.0913936421275139e-10
NO_ZERO_WAIT__SOURCE_A,main,BASE,1624,379224.33742000035,179224.33742000035,0.10003415811725214,1.3544583906152807,0.07230004056849378,-0.06717865295154035,115,3383.7625800000005,10177.299999999934,0.17748455397997057,8.139977580867708e-11
NO_ZERO_WAIT__SOURCE_A,main,STRESS,1624,365306.1175600001,165306.1175600001,0.09392181186623838,1.2776996772015092,0.07227997614729703,-0.06836309830527909,115,6456.18244,17866.899999999972,0.17769445258128047,8.594724931754172e-11
NO_ZERO_WAIT__TWO_CLOSE_ZERO_EXIT,main,BASE,1624,367708.8527200001,167708.85272000008,0.0949909957003241,1.2932093583186368,0.07216644565105435,-0.0671811199895811,117,3480.64728,10689.59999999993,0.18709175773500972,1.0400214023320586e-10
NO_ZERO_WAIT__TWO_CLOSE_ZERO_EXIT,main,STRESS,1624,353050.5813200001,153050.5813200001,0.08837330408802102,1.2098145237812898,0.07212647048885794,-0.07154080545080099,117,6790.918680000001,18854.0,0.18727451238489454,9.112000043387525e-11
SOURCE_A_ONLY,main,BASE,1624,409577.0216000002,209577.0216000002,0.11272829891063552,1.237679355405103,0.08945161287322638,-0.06953300477797031,111,3298.5784000000003,10005.299999999766,0.18820653948619057,1.0459189070388675e-10
SOURCE_A_ONLY,main,STRESS,1624,393869.7254399997,193869.72543999972,0.10626307753247444,1.1736104135046113,0.08936167499335108,-0.0721754279328608,111,6284.77456,17342.70000000002,0.18784554252524807,1.0754774848464876e-10
SOURCE_B_ONLY,main,BASE,1624,324755.87241999997,124755.87241999997,0.07490884568808154,1.572884955253006,0.046616862563117055,-0.03373681033500875,94,1820.6275800000003,5531.399999999975,0.12845084871045132,7.94670995674096e-11
SOURCE_B_ONLY,main,STRESS,1624,317718.23959999986,117718.23959999986,0.07140527744437097,1.5026637357177917,0.046622270011019325,-0.0365470337853222,95,3566.3604000000005,9854.300000000012,0.1286759760925102,6.80699940858176e-11
