period,date,quantity_fixed,additional_friction_cashflow,cumulative_cashflow_delta,hypothetical_cash_after,cash_feasible_at_this_trade
main,2022-06-13,-56500,-160.4939000000013,-3021.0505600000142,268492.22468,True
main,2022-08-05,1500,-3.0000000000009095,-3024.050560000015,262245.72468,True
main,2022-08-12,55900,-159.4156199999852,-3183.4661800000003,24184.238159999997,True
main,2022-08-26,-49600,-140.58623999997508,-3324.0524199999754,231131.82600000003,True
main,2022-09-05,-7800,-21.94607999999789,-3345.9984999999733,262865.1276,True
main,2022-09-21,1600,-3.1999999999989086,-3349.1984999999722,256485.7276,True
main,2022-10-12,-1600,-3.199999999999818,-3352.398499999972,262533.52760000003,True
main,2022-10-27,1600,-3.199999999999818,-3355.598499999972,256539.7276,True
main,2022-11-07,-1600,-3.199999999999818,-3358.7984999999717,262624.3276,True
main,2023-01-10,7900,-22.238500000006752,-3381.0369999999784,230434.75692,True
main,2023-01-17,46200,-130.74600000001374,-3511.782999999992,38720.501880000025,True
main,2023-01-18,-7700,-21.774059999999736,-3533.557059999992,70593.44760000003,True
main,2023-01-19,-46400,-130.97792000000481,-3664.5349799999967,261499.45464,True
main,2023-03-30,8700,-24.36695999999938,-3688.901939999996,227173.72768,True
main,2023-04-03,55700,-156.5949799999653,-3845.4969199999614,1219.8822800000344,True
main,2023-04-13,-54600,-153.66624000002048,-3999.163159999982,223571.30612000002,True
main,2023-04-14,-9800,-27.57328000000416,-4026.736439999986,263441.35172000004,True
main,2023-05-29,1600,-3.199999999999818,-4029.936439999986,257257.15172000005,True
main,2023-06-12,-1600,-3.199999999999818,-4033.1364399999857,263389.75172000006,True
main,2023-08-23,1600,-3.1999999999989086,-4036.3364399999846,257282.35172000004,True
main,2023-09-05,-1600,-3.199999999999818,-4039.5364399999844,263526.95172,True
main,2023-10-18,1600,-3.199999999999818,-4042.736439999984,257597.15172000002,True
main,2023-11-01,-1600,-3.199999999999818,-4045.936439999984,263473.75172000006,True
main,2023-11-29,1700,-3.399999999999636,-4049.3364399999837,257365.75172000003,True
main,2023-12-13,-1700,-3.399999999999636,-4052.7364399999833,263273.35172000004,True
main,2024-02-19,28500,-76.26600000000326,-4129.002439999987,166961.84252000006,True
main,2024-02-22,41600,-111.92895999999018,-4240.931399999977,23342.817880000042,True
main,2024-02-26,-70100,-188.84940000000643,-4429.780799999983,266632.663,True
main,2024-03-05,71600,-193.62072000006447,-4623.401520000048,14571.478839999992,True
main,2024-05-27,-71600,-194.7376800000202,-4818.139200000068,272299.9462,True
main,2024-06-04,1800,-3.5999999999994543,-4821.739200000067,265834.74620000005,True
main,2024-07-10,41700,-112.33980000001611,-4934.079000000083,121161.29996000003,True
main,2024-07-19,-43500,-117.96330000000307,-5052.0423000000865,276002.83856000006,True
main,2024-08-02,67900,-182.86827999996603,-5234.9105800000525,40703.15632000007,True
main,2024-08-07,-67900,-181.9040999999852,-5416.814680000038,271267.1938000001,True
main,2024-08-28,73500,-196.62720000001718,-5613.441880000055,23178.99820000009,True
main,2024-09-13,-71600,-189.58247999998275,-5803.024360000038,255141.7759600001,True
main,2024-09-20,-1900,-3.800000000000182,-5806.824360000038,261319.3759600001,True
main,2024-09-25,69800,-188.39019999996526,-5995.214560000003,17410.451400000096,True
main,2024-10-08,-69800,-204.50004000001354,-6199.714600000017,341920.3954800001,True
main,2024-10-09,28500,-81.46439999998256,-6281.178999999999,219606.4894800001,True
main,2024-10-23,-28500,-79.9881000000023,-6361.1671000000015,334557.9904800001,True
main,2025-01-08,2000,-4.0,-6365.1671000000015,326804.9904800001,True
main,2025-01-22,-2000,-4.0,-6369.1671000000015,334623.9904800001,True
main,2025-04-09,71400,-195.65028000005987,-6564.817380000061,70409.74704000006,True
main,2025-04-11,20000,-55.263999999995576,-6620.081380000057,-5900.764959999938,False
main,2025-04-23,-13700,-38.047639999997045,-6658.129020000054,47343.528800000066,True
main,2025-04-24,-77700,-215.63303999998607,-6873.76206000004,348543.6005600001,True
main,2025-06-03,19500,-54.412799999990966,-6928.174860000031,271487.7905600001,True
main,2025-06-25,43500,-121.32149999999092,-7049.496360000022,99898.68236000012,True
main,2025-06-27,10500,-29.391600000002654,-7078.887960000025,57944.90756000012,True
main,2025-07-23,15700,-44.62254000001121,-7123.510500000036,-6446.824959999884,False
main,2025-07-29,-13300,-37.77466000000277,-7161.285160000039,49430.71508000012,True
main,2025-07-30,-75900,-215.85960000002524,-7377.144760000064,369752.33516000013,True
main,2025-09-05,79100,-228.70973999996204,-7605.854500000026,17220.878960000107,True
main,2025-09-16,-79100,-231.36750000005122,-7837.222000000077,383070.1806800001,True
main,2025-11-26,1900,-3.8000000000010914,-7841.022000000078,374315.6806800001,True
main,2025-12-08,-1900,-3.7999999999992724,-7844.822000000077,383252.0806800001,True
main,2025-12-19,72300,-212.3740200001048,-8057.196020000182,44391.090480000035,True
main,2026-01-07,-23300,-69.49457999998413,-8126.690600000166,158864.78268000003,True
main,2026-02-03,-31900,-93.35854000001564,-8220.049140000181,312689.14008000004,True
main,2026-02-10,-17100,-50.362919999999576,-8270.41206000018,393505.60056000005,True
main,2026-03-25,2100,-4.200000000000728,-8274.612060000181,384019.10056000005,True
main,2026-04-09,-2100,-4.199999999998909,-8278.81206000018,393606.90056000004,True
main,2026-05-06,76000,-226.0696000000462,-8504.881660000226,23262.822160000003,True
main,2026-05-19,-76000,-225.50719999999274,-8730.38886000022,390803.74695999996,True
main,2026-06-05,74300,-221.65175999997882,-8952.040620000198,25547.502880000007,True
main,2026-06-22,-22200,-66.4934400000202,-9018.534060000218,136014.89824,True
main,2026-06-24,-52100,-155.48723999998765,-9174.021300000206,392452.68208,True
main,2026-07-21,2000,-4.0,-9178.021300000206,383083.68208,True
main,2026-07-28,71100,-208.99133999994956,-9387.012640000155,49135.65627999999,True
main,2026-08-03,-71100,-207.85374000004958,-9594.866380000205,377415.19191999995,True
main,2026-08-04,-2000,-4.0,-9598.866380000205,386636.19191999995,True
main,2026-08-07,64000,-188.32639999996172,-9787.192780000167,85011.59031999994,True
main,2026-08-18,-59400,-175.66956000006758,-9962.862340000234,369364.40367999993,True
main,2026-08-21,-4600,-12.743120000002818,-9975.605460000237,390713.66055999993,True
earlier,2015-01-05,28900,-78.66580000000249,-78.66580000000249,95687.09152,True
earlier,2015-01-20,-15200,-40.4441599999991,-119.10996000000159,145918.19104,True
earlier,2015-02-11,13700,-36.74065999999584,-155.85061999999743,100235.12068,True
earlier,2015-02-27,26600,-72.1923999999999,-228.04301999999734,5288.35716,True
earlier,2015-04-07,-15700,-44.51264000000083,-272.55565999999817,70856.71932,True
earlier,2015-04-13,-19100,-54.81699999999546,-327.37265999999363,153946.67004,True
earlier,2015-05-18,-19200,-55.933439999993425,-383.30609999998705,241617.1878,True
earlier,2015-06-03,10000,-40.330000000001746,-423.6360999999888,189976.53980000003,True
earlier,2015-06-29,-10000,-28.872000000010303,-452.5080999999991,234338.78780000002,True
earlier,2015-08-27,1700,-3.4000000000005457,-455.90809999999965,229017.88780000003,True
earlier,2015-09-14,-1700,-3.399999999999636,-459.3080999999993,234782.68780000004,True
earlier,2015-09-29,21600,-57.1536000000051,-516.4617000000044,165029.99788,True
earlier,2015-10-09,41700,-111.22224000000278,-627.6839400000072,25946.586760000017,True
earlier,2015-10-19,-13800,-37.51115999999456,-665.1951000000017,75510.15340000002,True
earlier,2015-11-05,-12800,-35.04639999999199,-700.2414999999937,122748.85036000003,True
earlier,2015-12-30,-36700,-101.34338000000571,-801.5848799999994,262483.23424,True
earlier,2016-01-13,1900,-3.800000000000182,-805.3848799999996,256232.93424,True
earlier,2016-01-27,-1900,-1.8999999999996362,-807.2848799999992,261924.13423999998,True
earlier,2016-05-03,75100,-197.70825999998488,-1004.9931399999841,24438.077799999963,True
earlier,2016-06-14,-19300,-50.40774000000965,-1055.4008799999938,83491.74687999996,True
earlier,2016-07-29,-55800,-147.9704399999755,-1203.3713199999693,265382.76135999995,True
earlier,2016-09-07,74900,-200.92673999999533,-1404.2980599999646,9796.667799999945,True
earlier,2016-10-10,-8500,-22.65080000000671,-1426.9488599999713,38056.35939999994,True
earlier,2016-10-11,-66400,-177.36767999999574,-1604.316539999967,260938.37091999996,True
earlier,2017-02-13,76800,-206.1004799999646,-1810.4170199999317,-1515.3686000000416,False
earlier,2017-02-27,-11600,-31.231840000000375,-1841.648859999932,38650.95843999996,True
earlier,2017-02-28,-65200,-175.1272000000463,-2016.7760599999783,262327.8518799999,True
earlier,2017-05-10,1800,-3.600000000000364,-2020.3760599999787,256287.45187999995,True
earlier,2017-05-17,-1800,-3.5999999999994543,-2023.9760599999781,262449.25188,True
earlier,2017-05-18,70100,-187.9380999999703,-2211.9141599999484,23803.53175999999,True
earlier,2017-07-21,-44800,-123.51360000000568,-2335.427759999954,193393.26872,True
earlier,2017-08-15,-25300,-69.5294600000052,-2404.9572199999593,288053.28955999995,True
earlier,2017-10-23,72800,-203.73807999998098,-2608.6952999999403,-2607.7283600000437,False
earlier,2017-11-24,-19200,-54.26687999998103,-2662.9621799999213,76733.32251999997,True
earlier,2017-12-29,-53600,-150.7124799999874,-2813.6746599999087,294315.85468,True
earlier,2018-01-12,60400,-172.22455999997328,-2985.899219999882,37211.053879999985,True
earlier,2018-01-22,-8300,-23.76289999999426,-3009.6621199998763,73027.82143999999,True
earlier,2018-01-23,-52100,-149.48532000003615,-3159.1474399999124,299468.00912,True
earlier,2018-02-13,61900,-172.36673999999766,-3331.51417999991,59057.62515999997,True
earlier,2018-03-07,-61900,-174.0999399999855,-3505.6141199998956,310580.47576,True
earlier,2018-03-28,1900,-3.800000000000182,-3509.414119999896,303207.27575999993,True
earlier,2018-04-13,-1900,-3.8000000000010914,-3513.214119999897,310633.17575999995,True
earlier,2018-04-19,1900,-3.800000000000182,-3517.014119999897,303467.07576,True
earlier,2018-05-07,-1900,-3.800000000000182,-3520.8141199998972,310628.87575999997,True
earlier,2018-06-25,2000,-4.0,-3524.8141199998972,303319.87575999997,True
earlier,2018-06-28,-2000,-4.0,-3528.8141199998972,310206.87575999997,True
earlier,2018-09-27,6800,-18.062880000001314,-3546.8769999998985,286540.21287999995,True
earlier,2018-10-09,36200,-96.682959999991,-3643.5599599998895,165149.27591999996,True
earlier,2018-10-15,26000,-68.87399999999616,-3712.4339599998857,80797.54871999996,True
earlier,2018-10-22,-69000,-182.76720000003115,-3895.201159999917,304681.95911999996,True
earlier,2018-12-25,2300,-4.600000000000364,-3899.801159999917,297613.65911999997,True
earlier,2019-01-10,-2300,-4.600000000000364,-3904.4011599999176,304796.15911999997,True
earlier,2019-02-28,52000,-142.22000000000116,-4046.6211599999187,113723.76071999993,True
earlier,2019-03-04,25800,-71.08415999998397,-4117.705319999903,16315.613039999942,True
earlier,2019-03-07,-77800,-215.10143999999855,-4332.806759999901,313859.34792,True
earlier,2019-04-30,1900,-3.800000000000182,-4336.606759999901,306459.54792,True
earlier,2019-05-07,-1900,-3.7999999999992724,-4340.406759999901,313454.14791999996,True
earlier,2019-05-31,77800,-212.36287999997148,-4552.769639999872,29681.884400000006,True
earlier,2019-06-26,-77800,-214.55684000003384,-4767.326479999906,324503.70848,True
earlier,2019-08-20,80000,-221.71199999999953,-4989.038479999906,15980.348480000011,True
earlier,2019-09-30,-80000,-222.46400000003632,-5211.502479999942,328335.35647999996,True
earlier,2019-11-12,81700,-228.23712000006344,-5439.739600000005,4183.547599999957,True
earlier,2019-12-09,-10300,-28.757599999997183,-5468.4972000000025,44975.82415999995,True
earlier,2019-12-10,-71400,-199.06319999997504,-5667.560399999978,326322.04063999996,True
earlier,2019-12-30,81400,-228.13163999997778,-5895.692039999955,-303.9575200000736,False
earlier,2019-12-31,-81400,-228.92936000000918,-6124.6213999999645,330373.3186399999,True
