period,cost,entry,origin,target,known_etf_vol20,target_times_volatility_proxy,entry_open_exposure
main,BASE,2024-02-19,2024-02-08,0.3591839259634305,0.20936970501657975,0.07520223262566048,0.3598093761827715
main,BASE,2024-03-05,2024-03-04,0.9327173174902992,0.17892819764482792,0.16688942853065797,0.929135896547108
main,BASE,2024-06-04,2024-06-03,0.02409103921706967,0.0961225215925284,0.002315691437329228,0.023286824666738735
main,BASE,2024-08-02,2024-08-01,0.8421503319853891,0.14638604593894095,0.12327905718550754,0.8364448718342804
main,BASE,2024-08-28,2024-08-27,0.897665230440717,0.11697675381052289,0.10500596466553005,0.8958634791089635
main,BASE,2024-09-25,2024-09-24,0.8966898839913104,0.19197810111326272,0.17214482121612362,0.9123179250878278
main,BASE,2024-10-09,2024-10-08,0.3620747016332231,0.45157690867828293,0.16350457447414252,0.35091647043933516
main,BASE,2025-01-08,2025-01-07,0.023711336198207356,0.16254616455712143,0.003854186755543043,0.022703928961646393
main,BASE,2025-04-09,2025-04-08,0.7820924633830723,0.26275676599903475,0.20550008639075457,0.7741340535957105
main,BASE,2025-06-03,2025-05-30,0.21770753476797092,0.09618046079688498,0.0209392110129373,0.21653072347890012
main,BASE,2025-09-05,2025-09-04,0.9352135413290292,0.17568569452908622,0.1643036405413968,0.9341154417181845
main,BASE,2025-11-26,2025-11-25,0.023441769231480756,0.14984044942088734,0.0035125252368658055,0.02235884810508322
main,BASE,2025-12-19,2025-12-18,0.8632683576943707,0.14209991364063912,0.12267035907706644,0.8657967307790867
main,BASE,2026-03-25,2026-03-24,0.02409029766171053,0.1635910010175095,0.003940955909288994,0.023573498872604882
main,BASE,2026-05-06,2026-04-30,0.9128786821213548,0.1600896754772428,0.14614245197090078,0.9208939418661288
main,BASE,2026-06-05,2026-06-04,0.9164713105673473,0.15609001335312858,0.1430520191042165,0.9135865762819884
main,BASE,2026-07-21,2026-07-20,0.02406053770518152,0.28011020304292106,0.006739602101920253,0.023290921946718415
main,BASE,2026-08-07,2026-08-06,0.761202596357119,0.26184549308056765,0.1993174691773381,0.7605987251317945
main,STRESS,2020-01-02,2019-12-31,0.9558016,0.1176953478964844,0.11249340183201643,0.9614497182659673
main,STRESS,2020-02-05,2020-02-04,0.7050537400285393,0.35764253269249774,0.25215720526812463,0.708341117178747
main,STRESS,2020-03-23,2020-03-20,0.023783548290466902,0.3076366390582627,0.007316690860959128,0.0220566432473964
main,STRESS,2020-07-01,2020-06-30,0.6478042503007988,0.14203331553347226,0.0920097854868978,0.6479971942727359
main,STRESS,2020-08-19,2020-08-18,0.37015269076698537,0.23810928810128304,0.08813679368730125,0.36869063057297763
main,STRESS,2020-12-15,2020-12-14,0.9548373687127555,0.14119145883060258,0.1348148810345279,0.9545484158761564
main,STRESS,2021-02-03,2021-02-02,0.1901961279315882,0.22831610679022235,0.04342483945591528,0.18852563032552788
main,STRESS,2021-03-11,2021-03-10,0.023059711091531782,0.3016211543829132,0.0069552966791642835,0.021630062752002695
main,STRESS,2021-06-08,2021-06-07,0.06653166399970306,0.16545334715915844,0.011007886500819354,0.06628598905557849
main,STRESS,2021-07-29,2021-07-28,0.9995982360234761,0.21671868929799679,0.21663161953559737,0.9986972872723027
main,STRESS,2021-10-29,2021-10-28,0.2269426687113972,0.11842199512345127,0.026875003607444096,0.2261889954733785
main,STRESS,2022-01-10,2022-01-07,0.02333941353498949,0.11585720068920967,0.002704039117891734,0.02211915643602924
main,STRESS,2022-01-27,2022-01-26,0.02392394297011838,0.14866680780993918,0.003556696231594535,0.0230139441186014
main,STRESS,2022-03-11,2022-03-10,0.023154217285874426,0.18663404093649863,0.0043213651367844715,0.022340152640872808
main,STRESS,2022-04-25,2022-04-22,0.024231119545651297,0.21386145456470737,0.005182102471764298,0.02384907947402391
main,STRESS,2022-05-13,2022-05-12,0.24800394334276196,0.27494315368915334,0.06818698631000508,0.250214686633703
main,STRESS,2022-08-05,2022-08-04,0.023447545904365104,0.13042415430627735,0.0030581263451344358,0.023245152508471527
main,STRESS,2022-09-21,2022-09-20,0.024344113370256982,0.13192022345770255,0.003211480875683945,0.024246097657289266
main,STRESS,2022-10-27,2022-10-26,0.023895033569723848,0.18272838654483392,0.004366300930630282,0.022806724375848825
main,STRESS,2023-01-10,2023-01-09,0.12097520375287593,0.1238917060048903,0.014987824377233007,0.11939178581430797
main,STRESS,2023-03-30,2023-03-29,0.13152442014163318,0.11400231835924768,0.014994088817001913,0.13136353910466866
main,STRESS,2023-05-29,2023-05-26,0.023588017805714685,0.13014688836071864,0.0030699071200109927,0.02345358619109866
main,STRESS,2023-08-23,2023-08-22,0.023427874657595424,0.15260949467922164,0.0035753161129037803,0.02316632604744219
main,STRESS,2023-10-18,2023-10-17,0.02388480532247505,0.11397033802097249,0.002722159336167604,0.022479680809316616
main,STRESS,2023-11-29,2023-11-28,0.024272659711968826,0.09485103019002204,0.0023022867791320867,0.023159728230356533
main,STRESS,2024-02-19,2024-02-08,0.3590881743813259,0.20936970501657975,0.07518218514516035,0.35936527036846394
main,STRESS,2024-03-05,2024-03-04,0.9329550414410543,0.17892819764482792,0.16693196404870358,0.9304339983215582
main,STRESS,2024-06-04,2024-06-03,0.023464136885317958,0.0961225215925284,0.0022554320044090178,0.0224145892820171
main,STRESS,2024-08-02,2024-08-01,0.8386035395494487,0.14638604593894095,0.12275985626504407,0.8336070197329142
main,STRESS,2024-08-28,2024-08-27,0.896789377084668,0.11697675381052289,0.10490351018312538,0.895641839374633
main,STRESS,2024-09-25,2024-09-24,0.8971501704717051,0.19197810111326272,0.17223318614059788,0.9136490694583214
main,STRESS,2024-10-09,2024-10-08,0.3619659589608948,0.45157690867828293,0.1634554687943311,0.35049407576590325
main,STRESS,2025-01-08,2025-01-07,0.024336000272736056,0.16254616455712143,0.003955723504994307,0.023252755139554625
main,STRESS,2025-04-09,2025-04-08,0.7822587566443369,0.26275676599903475,0.2055437810702919,0.7755315231501092
main,STRESS,2025-06-03,2025-05-30,0.23014300710679275,0.09618046079688498,0.022135260472712102,0.22894899175330277
main,STRESS,2025-09-05,2025-09-04,0.9346373705266506,0.17568569452908622,0.16420241557381351,0.9336227353390002
main,STRESS,2025-11-26,2025-11-25,0.024238477909513258,0.14984044942088734,0.0036319044232397163,0.02306064163474404
main,STRESS,2025-12-19,2025-12-18,0.8631324053224336,0.14209991364063912,0.12265104025675494,0.8662655903209941
main,STRESS,2026-03-25,2026-03-24,0.023978268825978588,0.1635910010175095,0.00392262899990878,0.023181030590907464
main,STRESS,2026-05-06,2026-04-30,0.9128077966104985,0.1600896754772428,0.14613110393247175,0.9213470467777943
main,STRESS,2026-06-05,2026-06-04,0.9156364884566297,0.15609001335312858,0.1429217117098071,0.9131071381149439
main,STRESS,2026-07-21,2026-07-20,0.023968938765957855,0.28011020304292106,0.006713944304455796,0.02410274265692065
main,STRESS,2026-08-07,2026-08-06,0.7611364369201381,0.26184549308056765,0.19930014562693993,0.7611997685647922
earlier,BASE,2015-01-05,2014-12-31,0.5169790999999999,0.4346678399525607,0.22471418869761883,0.5209828574407159
earlier,BASE,2015-06-03,2015-06-02,0.2151240037746796,0.3991710561165932,0.08587127578276885,0.2130929183210269
earlier,BASE,2015-08-27,2015-08-26,0.023317677908060254,0.6198031176162526,0.014452369462987365,0.02261280567159066
earlier,BASE,2015-09-29,2015-09-28,0.30049490245019433,0.37339085634711455,0.11220204895382072,0.2961006934050189
earlier,BASE,2016-01-13,2016-01-12,0.023888470205266975,0.3509804952980822,0.008384387104558081,0.023692625028475855
earlier,BASE,2016-05-03,2016-04-29,0.9011863974453845,0.12496249882472613,0.11261450413162803,0.9030864835068599
earlier,BASE,2016-09-07,2016-09-06,0.9570964399315637,0.13860272760929468,0.1326561771596602,0.957952006752931
earlier,BASE,2017-02-13,2017-02-10,0.9997456252613026,0.06860273102842619,0.06858528022664691,0.9988753061313511
earlier,BASE,2017-05-10,2017-05-09,0.023414644199204616,0.07227759002831867,0.0016923540540890612,0.022805063868812866
earlier,BASE,2017-05-18,2017-05-17,0.9041097317765173,0.09357133610849427,0.0845987555910211,0.9015630403969697
earlier,BASE,2017-10-23,2017-10-20,0.9990925950537966,0.06155782179088513,0.06150196391891457,0.9999966686484554
earlier,BASE,2018-01-12,2018-01-11,0.865161332838664,0.12534768053553294,0.10844596636035675,0.8646097486677108
earlier,BASE,2018-02-13,2018-02-12,0.7887084893803569,0.23861931185010432,0.18820107698627606,0.7953457609546745
earlier,BASE,2018-03-28,2018-03-27,0.023762668828619993,0.15999559861441487,0.0038019224239111524,0.02343563268395585
earlier,BASE,2018-04-19,2018-04-18,0.023807568158853733,0.18149865072021887,0.004321041497761598,0.022771868857632185
earlier,BASE,2018-06-25,2018-06-22,0.02400672504326839,0.1846275446378643,0.004432302699534969,0.02322526254967809
earlier,BASE,2018-09-27,2018-09-26,0.07562137901996169,0.19806595147563272,0.014978020387488161,0.07532264183962285
earlier,BASE,2018-12-25,2018-12-24,0.02403046079694259,0.18493822085734835,0.00444415066616882,0.02286079584515942
earlier,BASE,2019-02-28,2019-02-27,0.6184374137598115,0.3045750310939512,0.18836059452555734,0.6183205876228588
earlier,BASE,2019-04-30,2019-04-29,0.024232319717235325,0.2205252128563236,0.005343837463645807,0.023216802171909273
earlier,BASE,2019-05-31,2019-05-30,0.8941436353207665,0.28949493955364347,0.25885005765946034,0.8922022449160903
earlier,BASE,2019-08-20,2019-08-19,0.9387342709169345,0.16814054927182354,0.15783929593225818,0.9362728277547315
earlier,BASE,2019-11-12,2019-11-11,0.9719105159820102,0.12260890198130964,0.11916488118864235,0.971128869848735
earlier,BASE,2019-12-30,2019-12-27,0.9855115518583462,0.1099257873997936,0.10833313332962122,0.9831411835137727
earlier,STRESS,2015-01-05,2014-12-31,0.5169790999999999,0.4346678399525607,0.22471418869761883,0.5211879364103553
earlier,STRESS,2015-06-03,2015-06-02,0.21519512830497955,0.3991710561165932,0.08589966663664447,0.21348090214440313
earlier,STRESS,2015-08-27,2015-08-26,0.02336492698118536,0.6198031176162526,0.014481654585814784,0.022658358712086404
earlier,STRESS,2015-09-29,2015-09-28,0.299743453805618,0.37339085634711455,0.11192146490092147,0.29539811128021837
earlier,STRESS,2016-01-13,2016-01-12,0.02397392603656121,0.3509804952980822,0.008414380434551842,0.023774179198374573
earlier,STRESS,2016-05-03,2016-04-29,0.9009698450811212,0.12496249882472613,0.11258744320706329,0.9032675814116532
earlier,STRESS,2016-09-07,2016-09-06,0.9580619845405346,0.13860272760929468,0.132790004276092,0.9594807016713566
earlier,STRESS,2017-02-13,2017-02-10,0.9998610094803762,0.06860273102842619,0.06859319589919294,0.9995276297098672
earlier,STRESS,2017-05-10,2017-05-09,0.023605363177544778,0.07227759002831867,0.0017061387622161511,0.022987730706422366
earlier,STRESS,2017-05-18,2017-05-17,0.9045602527905882,0.09357133610849427,0.08464091144425268,0.9016550451079989
earlier,STRESS,2017-10-23,2017-10-20,0.9990138269708897,0.06155782179088513,0.06149711512730418,0.9989881556799668
earlier,STRESS,2018-01-12,2018-01-11,0.8636405242976299,0.12534768053553294,0.10825533653719949,0.8643483558666204
earlier,STRESS,2018-02-13,2018-02-12,0.7887267831555748,0.23861931185010432,0.1882054422343297,0.7962597860220872
earlier,STRESS,2018-03-28,2018-03-27,0.024080700248114074,0.15999559861441487,0.0038528060512513,0.023743601699980188
earlier,STRESS,2018-04-19,2018-04-18,0.024126824057033668,0.18149865072021887,0.004378986012515728,0.02307162262868048
earlier,STRESS,2018-06-25,2018-06-22,0.024329380135646714,0.1846275446378643,0.004491873717005683,0.023531573409280228
earlier,STRESS,2018-09-27,2018-09-26,0.07567545457895382,0.19806595147563272,0.014988730914531515,0.07520032082872506
earlier,STRESS,2018-12-25,2018-12-24,0.02438658300433069,0.18493822085734835,0.004510011273610967,0.023190456158729705
earlier,STRESS,2019-02-28,2019-02-27,0.6185701761169313,0.3045750310939512,0.18840103062460523,0.6178767958626457
earlier,STRESS,2019-04-30,2019-04-29,0.023601607222808393,0.2205252128563236,0.0052047494565611654,0.022342982312683727
earlier,STRESS,2019-05-31,2019-05-30,0.8943777646330704,0.28949493955364347,0.25891783691057346,0.8929111846307214
earlier,STRESS,2019-08-20,2019-08-19,0.8322655683630358,0.16814054927182354,0.13993758980458723,0.8305700626467402
earlier,STRESS,2019-11-12,2019-11-11,0.9715955683006907,0.12260890198130964,0.11912626579925423,0.9708169463189863
earlier,STRESS,2019-12-30,2019-12-27,0.9855506332909292,0.1099257873997936,0.10833742938687062,0.9842064997998811
