period,cost,model,entry_date,new_exit,old_exit,new_profit,old_profit,profit_difference
earlier_diagnostic,BASE,PANIC_PROFIT_LIMIT_THROUGH,2016-01-07,2016-01-12,2016-01-12,-15270.121259999984,-15270.121259999993,9.094947017729282e-12
earlier_diagnostic,BASE,PANIC_PROFIT_LIMIT_THROUGH,2016-02-01,2016-02-18,2016-02-18,8564.683760000014,8564.683759999989,2.546585164964199e-11
earlier_diagnostic,BASE,PANIC_PROFIT_LIMIT_THROUGH,2016-03-02,2016-03-03,2016-03-03,7734.693700000033,7734.6937,3.2741809263825417e-11
earlier_diagnostic,BASE,PANIC_PROFIT_LIMIT_THROUGH,2018-02-13,2018-03-06,2018-03-06,5837.534119999968,5837.534119999984,-1.546140993013978e-11
earlier_diagnostic,BASE,PANIC_PROFIT_LIMIT_THROUGH,2018-10-15,2018-10-19,2018-10-19,-9487.346699999996,-9487.3467,3.637978807091713e-12
earlier_diagnostic,BASE,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2015-06-24,2015-06-29,2015-06-29,-14797.10321999999,-14797.103219999995,5.4569682106375694e-12
earlier_diagnostic,BASE,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2015-07-10,2015-07-13,2015-07-13,10029.05739999999,10029.057400000034,-4.3655745685100555e-11
earlier_diagnostic,BASE,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2015-08-28,2015-09-15,2015-09-15,-2636.028499999986,-2636.0284999999735,-1.2278178473934531e-11
earlier_diagnostic,BASE,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2016-01-07,2016-01-12,2016-01-12,-15270.121259999984,-15270.121259999993,9.094947017729282e-12
earlier_diagnostic,BASE,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2016-02-01,2016-02-18,2016-02-18,8564.683760000014,8564.683759999989,2.546585164964199e-11
earlier_diagnostic,BASE,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2016-03-02,2016-03-03,2016-03-03,7734.693700000033,7734.6937,3.2741809263825417e-11
earlier_diagnostic,BASE,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2018-02-13,2018-03-06,2018-03-06,5837.534119999968,5837.534119999984,-1.546140993013978e-11
earlier_diagnostic,BASE,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2018-10-15,2018-10-19,2018-10-19,-9487.346699999996,-9487.3467,3.637978807091713e-12
earlier_diagnostic,STRESS,PANIC_PROFIT_LIMIT_THROUGH,2015-06-24,2015-06-29,2015-06-29,-15004.837120000013,-15004.837120000002,-1.0913936421275139e-11
earlier_diagnostic,STRESS,PANIC_PROFIT_LIMIT_THROUGH,2015-07-10,2015-07-13,2015-07-13,9765.11480000001,9765.114800000034,-2.3646862246096134e-11
earlier_diagnostic,STRESS,PANIC_PROFIT_LIMIT_THROUGH,2015-08-28,2015-09-15,2015-09-15,-2941.635800000018,-2941.6358000000123,-5.9117155615240335e-12
earlier_diagnostic,STRESS,PANIC_PROFIT_LIMIT_THROUGH,2016-01-07,2016-01-12,2016-01-12,-15471.026639999996,-15471.026639999984,-1.2732925824820995e-11
earlier_diagnostic,STRESS,PANIC_PROFIT_LIMIT_THROUGH,2016-02-01,2016-02-18,2016-02-18,8269.711920000002,8269.711920000005,-3.637978807091713e-12
earlier_diagnostic,STRESS,PANIC_PROFIT_LIMIT_THROUGH,2016-03-02,2016-03-03,2016-03-03,7421.367679999996,7421.367680000005,-9.094947017729282e-12
earlier_diagnostic,STRESS,PANIC_PROFIT_LIMIT_THROUGH,2018-02-13,2018-03-06,2018-03-06,5516.741519999952,5516.741519999983,-3.092281986027956e-11
earlier_diagnostic,STRESS,PANIC_PROFIT_LIMIT_THROUGH,2018-10-15,2018-10-19,2018-10-19,-9699.521280000015,-9699.521279999983,-3.2741809263825417e-11
earlier_diagnostic,STRESS,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2015-06-24,2015-06-29,2015-06-29,-15004.837120000013,-15004.837120000002,-1.0913936421275139e-11
earlier_diagnostic,STRESS,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2015-07-10,2015-07-13,2015-07-13,9765.11480000001,9765.114800000034,-2.3646862246096134e-11
earlier_diagnostic,STRESS,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2015-08-28,2015-09-15,2015-09-15,-2941.635800000018,-2941.6358000000123,-5.9117155615240335e-12
earlier_diagnostic,STRESS,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2016-01-07,2016-01-12,2016-01-12,-15471.026639999996,-15471.026639999984,-1.2732925824820995e-11
earlier_diagnostic,STRESS,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2016-02-01,2016-02-18,2016-02-18,8269.711920000002,8269.711920000005,-3.637978807091713e-12
earlier_diagnostic,STRESS,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2016-03-02,2016-03-03,2016-03-03,7421.367679999996,7421.367680000005,-9.094947017729282e-12
earlier_diagnostic,STRESS,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2018-02-13,2018-03-06,2018-03-06,5516.741519999952,5516.741519999983,-3.092281986027956e-11
earlier_diagnostic,STRESS,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2018-10-15,2018-10-19,2018-10-19,-9699.521280000015,-9699.521279999983,-3.2741809263825417e-11
