cost_scenario,model,策略,动作,date,open,mark,mark_clock,cash,shares,dividend_receivable,equity,net_return,pnl,price_pnl,dividend_recognized,dividend_paid,exposure,accounting_error,origin,terminal_unliquidated,turnover,requested_quantity,filled_quantity,open_price,fill_price,commission,slippage_cost,notional,status,cash_before,shares_before,cash_after,shares_after,decision_action,execution_exit_reasons,forecast_age_trading_days
BASE,REVISION_DISTRIBUTION,EPS加利润修正分布,进入,2023-10-09,3.757,3.754,CLOSE,733.1546000000089,53000,0.0,199695.1546,-0.0015242269999999891,-304.84539999999106,-159.00000000000603,0.0,0.0,0.9963286310002436,3.296918293926865e-12,2023-09-28,False,0.996135,53000,53000,3.757,3.759,39.845400000000005,105.99999999998832,199227.0,FILLED,200000.0,0,733.1546000000089,53000.0,,,
BASE,REVISION_DISTRIBUTION,EPS加利润修正分布,增加,2023-11-01,3.68,3.642,CLOSE,359.95460000000895,53100,0.0,193750.15459999998,-0.0005931958233407197,-115.0000000000291,-109.800000000012,0.0,0.0,0.998142171288879,-1.7120527218139614e-11,2023-10-31,False,0.0018807481585118207,100,100,3.68,3.682,5.0,0.19999999999997797,368.2,FILLED,733.1546000000089,53000,359.95460000000895,53100.0,,,
BASE,REVISION_DISTRIBUTION,EPS加利润修正分布,退出,2024-02-01,3.2,3.218,CLOSE,173803.69184,0,0.0,173803.69184,-0.0074715744897668745,-1308.3627600000182,-1168.1999999999894,0.0,0.0,0.0,-1.6925127965805586e-11,2024-01-31,False,0.9762563925612809,-53100,-53100,3.2,3.198,33.962759999999996,106.20000000001188,169813.8,FILLED,4023.854600000009,53100,173803.69184,0.0,,,
BASE,REVISION_DISTRIBUTION,EPS加利润修正分布,进入,2024-06-03,3.58,3.587,CLOSE,400.21807999999146,48400,0.0,174011.01808,0.0011928759268868827,207.32623999999487,338.8000000000057,0.0,0.0,0.9977000417305989,2.842170943040401e-14,2024-05-31,False,0.9974977986060253,48400,48400,3.58,3.5820000000000003,34.67376000000001,96.80000000001084,173368.80000000002,FILLED,173803.69184,0,400.21807999999146,48400.0,,,
BASE,REVISION_DISTRIBUTION,EPS加利润修正分布,增加,2024-07-01,3.487,3.501,CLOSE,46.31807999999148,48500,0.0,169844.81808,0.003982951735156837,673.7999999999884,678.9999999999899,0.0,0.0,0.9997272917683118,-1.545430450278218e-12,2024-06-28,False,0.002062410003556325,100,100,3.487,3.489,5.0,0.19999999999997797,348.9,FILLED,400.21807999999146,48400,46.31807999999148,48500.0,,,
BASE,REVISION_DISTRIBUTION,EPS加利润修正分布,减少,2024-10-08,4.656,4.412,CLOSE,169381.64424000002,12100,0.0,222766.84424,0.08483221859913836,17420.026160000038,17563.100000000006,0.0,0.0,0.2396460756183489,3.623767952376511e-12,2024-09-30,False,0.7498780736856238,-36400,-36400,4.656,4.6530000000000005,33.87384,109.19999999997181,169369.2,FILLED,46.31807999999148,48500,169381.64424000002,12100.0,,,
BASE,REVISION_DISTRIBUTION,EPS加利润修正分布,退出,2024-11-01,3.964,3.979,CLOSE,217312.25620000003,0,0.0,217312.25620000003,-0.0005449461179657389,-118.48803999999654,-84.70000000000142,0.0,0.0,0.0,2.213340621892712e-12,2024-10-31,False,0.2205708420764401,-12100,-12100,3.964,3.962,9.588040000000001,24.199999999997335,47940.200000000004,FILLED,169381.64424000002,12100,217312.25620000003,0.0,,,
BASE,REVISION_DISTRIBUTION,EPS加利润修正分布,进入,2024-12-02,3.997,4.031,CLOSE,108917.68162000002,27100,0.0,218157.78162000002,0.0038908317219892297,845.5254199999908,921.3999999999947,0.0,0.0,0.5007389568632522,2.1671553440683056e-12,2024-11-29,False,0.49869667682369767,27100,27100,3.997,3.999,21.674580000000002,54.200000000006064,108372.90000000001,FILLED,217312.25620000003,0,108917.68162000002,27100.0,,,
BASE,REVISION_DISTRIBUTION,EPS加利润修正分布,增加,2025-01-02,4.02,3.909,CLOSE,54596.31952000003,40600,0.0,213301.71952,-0.021165067896145917,-4612.162100000016,-4560.800000000008,0.0,0.0,0.7440418218715726,-6.0254023992456496e-12,2024-12-31,False,0.24929119328619348,13500,13500,4.02,4.023,10.8621,40.500000000001535,54310.49999999999,FILLED,108917.68162000002,27100,54596.31952000003,40600.0,,,
BASE,REVISION_DISTRIBUTION,EPS加利润修正分布,增加,2025-02-05,3.93,3.887,CLOSE,323.8672000000297,54400,0.0,211776.66720000003,-0.006771638692422255,-1443.8523200000054,-1405.4000000000028,0.0,0.0,0.9984707134913301,-5.6417093219351955e-12,2025-01-27,False,0.25337616407467545,13900,13800,3.93,3.932,10.85232,27.59999999999696,54261.6,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,54596.31952000003,40600,323.8672000000297,54400.0,,,
BASE,REVISION_DISTRIBUTION,EPS加利润修正分布,减少,2025-06-03,3.946,3.957,CLOSE,161206.88416000005,13600,0.0,215022.08416000003,-0.0031126721115641853,-671.3830400000152,-557.599999999999,0.0,0.0,0.2502775480492301,-7.034373084024992e-12,2025-05-30,False,0.7484905994032719,-40800,-40800,3.946,3.944,32.183040000000005,81.60000000000913,160915.2,FILLED,323.8672000000297,54400,161206.88416000005,13600.0,,,
BASE,REVISION_DISTRIBUTION,EPS加利润修正分布,增加,2025-07-01,3.98,3.988,CLOSE,108635.93276000003,27100,0.0,216710.73276000004,0.0007011885039442944,151.84859999999753,189.59999999999712,0.0,0.0,0.4987053415563375,3.4283687000424834e-12,2025-06-30,False,0.24826389823060613,13500,13500,3.98,3.982,10.7514,27.00000000000302,53757.0,FILLED,162403.68416000003,13600,108635.93276000003,27100.0,,,
BASE,REVISION_DISTRIBUTION,EPS加利润修正分布,增加,2025-08-01,4.148,4.133,CLOSE,273.16454000002705,53200,0.0,220148.76454000003,-0.004916316026392975,-1087.6682199999923,-987.6999999999982,0.0,0.0,0.9987591820441473,8.895995051716454e-12,2025-07-31,False,0.4901275791197991,26100,26100,4.148,4.151,21.668219999999998,78.30000000000297,108341.09999999999,FILLED,108635.93276000003,27100,273.16454000002705,53200.0,,,
BASE,REVISION_DISTRIBUTION,EPS加利润修正分布,增加,2026-02-02,4.68,4.6,CLOSE,255.56454000002668,54600,0.0,251415.56454,-0.023408771024444608,-6026.400000000052,-6017.200000000034,0.0,0.0,0.9989834975393523,-1.7848833522293717e-11,2026-01-30,False,0.02563090481386452,1400,1400,4.68,4.683,5.0,4.200000000000159,6556.2,FILLED,6816.7645400000265,53200,255.56454000002668,54600.0,,,
BASE,REVISION_DISTRIBUTION,EPS加利润修正分布,统一终点清算,2026-08-14,4.737,4.737,OPEN_TERMINAL,258680.26926,0,0.0,258680.26926,0.0008562470270430111,221.30471999998554,436.8000000000004,0.0,0.0,0.0,-8.668621376273222e-12,2026-08-13,False,0.9983801799896374,-54600,-54600,4.737,4.734,51.695280000000004,163.8000000000062,258476.4,FILLED,255.56454000002668,54600,258680.26926,0.0,,,
BASE,VALUATION,EPS加研报估值空间,进入,2024-05-06,3.64,3.648,CLOSE,48462.49856000001,41600,0.0,200219.29856000002,0.0010964928000001262,219.29856000002474,332.8000000000003,0.0,0.0,0.7579529100913458,1.5276668818842154e-11,2024-04-30,False,0.7575359999999999,41600,41600,3.64,3.642,30.30144,83.19999999999084,151507.19999999998,FILLED,200000.0,0,48462.49856000001,41600.0,,,
BASE,VALUATION,EPS加研报估值空间,增加,2024-06-03,3.58,3.587,CLOSE,95.82716000000073,55100,0.0,197739.52716,0.001346146863802522,265.828600000008,302.50000000001563,0.0,0.0,0.9995153869265478,-4.600764214046649e-12,2024-05-31,False,0.24498139653515857,13500,13500,3.58,3.5820000000000003,9.671400000000002,27.00000000000302,48357.00000000001,FILLED,48462.49856000001,41600,95.82716000000073,55100.0,,,
BASE,VALUATION,EPS加研报估值空间,减少,2024-10-08,4.656,4.412,CLOSE,192691.50032,13700,0.0,253135.90032,0.08486445339571658,19801.77316000001,19964.500000000007,0.0,0.0,0.2387824086729288,-2.7782220968219917e-11,2024-09-30,False,0.7505966676218044,-41400,-41400,4.656,4.6530000000000005,38.52684000000001,124.19999999996793,192634.2,FILLED,95.82716000000073,55100,192691.50032,13700.0,,,
BASE,VALUATION,EPS加研报估值空间,增加,2025-03-03,3.995,3.981,CLOSE,397.34918000001926,61800,0.0,246423.14918,-0.003985909740355287,-986.1511399999727,-851.500000000016,0.0,0.0,0.9983875330652894,3.277023097325582e-11,2025-02-28,False,0.7770324494947908,48200,48100,3.995,3.997,38.451139999999995,96.1999999999894,192255.69999999998,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,192691.50032,13700,397.34918000001926,61800.0,,,
BASE,VALUATION,EPS加研报估值空间,统一终点清算,2026-08-14,4.737,4.737,OPEN_TERMINAL,305939.83694,0,0.0,305939.83694,0.000819419324461057,250.48775999998907,494.40000000000043,0.0,0.0,0.0,-4.320099833421409e-12,2026-08-13,False,0.9555085819659502,-61800,-61800,4.737,4.734,58.512240000000006,185.40000000000703,292561.2,FILLED,13437.149180000019,61800,305939.83694,0.0,,,
BASE,MATCHED_EPS,估值共同月份EPS对照,进入,2024-05-06,3.64,3.648,CLOSE,14.210840000014286,54900,0.0,200289.41084000003,0.0014470542000000197,289.4108400000259,439.2000000000004,0.0,0.0,0.9999290484707084,1.3443468560581096e-11,2024-04-30,False,0.999729,55500,54900,3.64,3.642,39.98916,109.7999999999879,199945.8,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,200000.0,0,14.210840000014286,54900.0,,,
BASE,MATCHED_EPS,估值共同月份EPS对照,减少,2024-10-08,4.656,4.412,CLOSE,191679.47012,13700,0.0,252123.87012,0.08484276156631343,19717.95928000001,19879.900000000005,0.0,0.0,0.23974088598287457,-2.69579913947382e-11,2024-09-30,False,0.7499301403315485,-41200,-41200,4.656,4.6530000000000005,38.340720000000005,123.59999999996809,191703.6,FILLED,14.210840000014286,54900,191679.47012,13700.0,,,
BASE,MATCHED_EPS,估值共同月份EPS对照,增加,2025-03-03,3.995,3.981,CLOSE,184.87886000002618,61600,0.0,245414.47886000003,-0.003988645083289,-982.791259999969,-848.700000000016,0.0,0.0,0.9992466668598412,3.636557721620193e-11,2025-02-28,False,0.7769796121770164,47900,47900,3.995,3.997,38.29126,95.79999999998945,191456.3,FILLED,191679.47012,13700,184.87886000002618,61600.0,,,
BASE,MATCHED_EPS,估值共同月份EPS对照,统一终点清算,2026-08-14,4.737,4.737,OPEN_TERMINAL,304738.55598000006,0,0.0,304738.55598000006,0.0008199876492527292,249.67712000000756,492.8000000000004,0.0,0.0,0.0,1.4154011296341196e-11,2026-08-13,False,0.9561702233722171,-61600,-61600,4.737,4.734,58.322880000000005,184.800000000007,291614.4,FILLED,13182.478860000025,61600,304738.55598000006,0.0,,,
BASE,OPTIONAL_VALUATION,原EPS加可选估值修正,进入,2024-05-06,3.64,3.648,CLOSE,14.210840000014286,54900,0.0,200289.41084000003,0.0014470542000000197,289.4108400000259,439.2000000000004,0.0,0.0,0.9999290484707084,1.3443468560581096e-11,2024-04-30,False,0.999729,55500,54900,3.64,3.642,39.98916,109.7999999999879,199945.8,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,200000.0,0,14.210840000014286,54900.0,,,
BASE,OPTIONAL_VALUATION,原EPS加可选估值修正,减少,2024-10-08,4.656,4.412,CLOSE,191679.47012,13700,0.0,252123.87012,0.08484276156631343,19717.95928000001,19879.900000000005,0.0,0.0,0.23974088598287457,-2.69579913947382e-11,2024-09-30,False,0.7499301403315485,-41200,-41200,4.656,4.6530000000000005,38.340720000000005,123.59999999996809,191703.6,FILLED,14.210840000014286,54900,191679.47012,13700.0,,,
BASE,OPTIONAL_VALUATION,原EPS加可选估值修正,增加,2024-12-02,3.997,4.031,CLOSE,123282.89354,30800,0.0,247437.69354,0.0038318441827014382,944.5234199999832,992.399999999988,0.0,0.0,0.5017618707310231,-1.0516032489249483e-12,2024-11-29,False,0.2774847925130402,17100,17100,3.997,3.999,13.676580000000003,34.200000000003826,68382.90000000001,FILLED,191679.47012,13700,123282.89354,30800.0,,,
BASE,OPTIONAL_VALUATION,原EPS加可选估值修正,增加,2025-02-05,3.93,3.887,CLOSE,60751.58978000001,46700,0.0,242274.48978,-0.005516837989063883,-1344.0037599999923,-1299.700000000003,0.0,0.0,0.7492447932295053,7.172928917498211e-12,2025-01-27,False,0.2558817782773664,15900,15900,3.93,3.932,12.50376,31.799999999996498,62518.799999999996,FILLED,123282.89354,30800,60751.58978000001,46700.0,,,
BASE,OPTIONAL_VALUATION,原EPS加可选估值修正,退出,2025-03-03,3.995,3.981,CLOSE,247187.39516000001,0,0.0,247187.39516000001,-0.00033968596235389725,-83.99462000001222,46.69999999999486,0.0,0.0,0.0,3.367972567502875e-12,2025-02-28,False,0.7539808356350957,-46700,-46700,3.995,3.993,37.29462,93.40000000001045,186473.1,FILLED,60751.58978000001,46700,247187.39516000001,0.0,,,
BASE,OPTIONAL_VALUATION,原EPS加可选估值修正,进入,2025-04-01,3.988,3.982,CLOSE,61615.288160000026,46500,0.0,246778.28816000003,-0.0016550479838794985,-409.10699999998906,-278.99999999998994,0.0,0.0,0.7503212757515709,1.1283418643870391e-11,2025-03-31,False,0.7505843891429274,46500,46500,3.988,3.99,37.107,93.0000000000104,185535.0,FILLED,247187.39516000001,0,61615.288160000026,46500.0,,,
BASE,OPTIONAL_VALUATION,原EPS加可选估值修正,增加,2025-05-06,3.886,3.903,CLOSE,172.60208000002604,62300,0.0,243329.50208,0.0080585771958388,1945.2139199999801,1989.099999999995,0.0,0.0,0.9992906652151728,-1.8253842881676974e-11,2025-04-30,False,0.25351538477763036,15900,15800,3.886,3.888,12.28608,31.59999999999652,61430.4,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,61615.288160000026,46500,172.60208000002604,62300.0,,,
BASE,OPTIONAL_VALUATION,原EPS加可选估值修正,退出,2025-06-03,3.946,3.957,CLOSE,245834.65984000004,0,0.0,245834.65984000004,-0.003985288901635742,-983.6422400000156,-809.8999999999938,0.0,0.0,0.0,-7.8017592386459e-12,2025-05-30,False,0.9987919027257313,-62300,-62300,3.946,3.944,49.14224,124.60000000001395,245711.19999999998,FILLED,172.60208000002604,62300,245834.65984000004,0.0,,,
BASE,OPTIONAL_VALUATION,原EPS加可选估值修正,进入,2025-07-01,3.98,3.988,CLOSE,61431.18652000002,46300,0.0,246075.58652,0.0009800354439719605,240.92667999997502,370.4000000000003,0.0,0.0,0.7503564356433744,-1.4921397450962104e-11,2025-06-30,False,0.7499617837451963,46300,46300,3.98,3.982,36.87332,92.60000000001037,184366.6,FILLED,245834.65984000004,0,61431.18652000002,46300.0,,,
BASE,OPTIONAL_VALUATION,原EPS加可选估值修正,增加,2025-08-01,4.148,4.133,CLOSE,399.28258000002097,61000,0.0,252512.28258000003,-0.005103879861802052,-1295.4039399999892,-1239.1000000000065,0.0,0.0,0.998418759769147,1.894306933536427e-11,2025-07-31,False,0.2407244620360676,14700,14700,4.148,4.151,12.20394,44.10000000000167,61019.7,FILLED,61431.18652000002,46300,399.28258000002097,61000.0,,,
BASE,OPTIONAL_VALUATION,原EPS加可选估值修正,增加,2026-02-02,4.68,4.6,CLOSE,404.4825800000217,62600,0.0,288364.48258,-0.023397985553021194,-6908.799999999988,-6899.00000000004,0.0,0.0,0.9985973217770057,5.184119800105691e-11,2026-01-30,False,0.02553937454609874,1600,1600,4.68,4.683,5.0,4.800000000000182,7492.799999999999,FILLED,7902.282580000021,61000,404.4825800000217,62600.0,,,
BASE,OPTIONAL_VALUATION,原EPS加可选估值修正,统一终点清算,2026-08-14,4.737,4.737,OPEN_TERMINAL,296693.6129,0,0.0,296693.6129,0.0008559250455495437,253.7303199999733,500.80000000000047,0.0,0.0,0.0,-2.006572685786523e-11,2026-08-13,False,0.9980053841903579,-62600,-62600,4.737,4.734,59.26968000000001,187.80000000000712,296348.4,FILLED,404.4825800000217,62600,296693.6129,0.0,,,
BASE,BUY_HOLD,买入持有,进入,2020-01-02,4.12,4.149,CLOSE,406.88936000000103,48400,0.0,201218.48936,0.006092446800000095,1218.4893600000069,1403.5999999999958,0.0,0.0,0.9979778729017688,1.6541434888495132e-11,2019-12-31,False,0.997766,48700,48400,4.12,4.123,39.91064,145.2000000000055,199553.2,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,200000.0,0,406.88936000000103,48400.0,,,
BASE,BUY_HOLD,买入持有,统一终点清算,2026-08-14,4.737,4.737,OPEN_TERMINAL,253251.06424,0,0.0,253251.06424,0.000775226594104339,196.17488000000594,387.20000000000033,0.0,0.0,0.0,1.1112888387287967e-11,2026-08-13,False,0.9040550469679098,-48400,-48400,4.737,4.734,45.825120000000005,145.2000000000055,229125.6,FILLED,24171.289360000002,48400,253251.06424,0.0,,,
STRESS,EPS,原前瞻EPS三因子,进入,2024-05-06,3.64,3.648,CLOSE,228.9235199999821,54800,0.0,200139.32351999998,0.0006966175999998381,139.32351999997627,438.4000000000004,0.0,0.0,0.9988561792056967,-2.390265763096977e-11,2024-04-30,False,0.998456,55500,54800,3.64,3.644,79.87648000000002,219.2000000000002,199691.2,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,200000.0,0,228.9235199999821,54800.0,,,
STRESS,EPS,原前瞻EPS三因子,减少,2024-10-08,4.656,4.412,CLOSE,191308.56107999998,13700,0.0,251752.96107999998,0.08421990944402769,19555.637560000003,19837.600000000006,0.0,0.0,0.2400940975657183,-7.332801033044234e-12,2024-09-30,False,0.7485230010088549,-41100,-41100,4.656,4.651,76.46244,205.49999999999562,191156.1,FILLED,228.9235199999821,54800,191308.56107999998,13700.0,,,
STRESS,EPS,原前瞻EPS三因子,增加,2024-12-02,3.997,4.031,CLOSE,123264.35427999999,30700,0.0,247016.05427999998,0.003631500848716218,893.7931999999855,988.999999999988,0.0,0.0,0.5009864656801772,5.186961971048731e-12,2024-11-29,False,0.276416067778611,17000,17000,3.997,4.001,27.2068,68.00000000000762,68017.0,FILLED,191308.56107999998,13700,123264.35427999999,30700.0,,,
STRESS,EPS,原前瞻EPS三因子,增加,2025-02-05,3.93,3.887,CLOSE,121685.75427999998,31100,0.0,242571.45427999998,-0.0026224331055501038,-637.8000000000175,-631.2000000000007,0.0,0.0,0.4983508894680648,-1.673328142715036e-11,2025-01-27,False,0.006451418380958515,400,400,3.93,3.934,5.0,1.6000000000000014,1573.6000000000001,FILLED,123264.35427999999,30700,121685.75427999998,31100.0,,,
STRESS,EPS,原前瞻EPS三因子,增加,2025-03-03,3.995,3.981,CLOSE,67.52643999997235,61500,0.0,244899.02644,-0.004067227652443162,-1000.127840000001,-829.9000000000178,0.0,0.0,0.9997242682382956,1.6925127965805586e-11,2025-02-28,False,0.49432551662224067,30400,30400,3.995,3.999,48.627840000000006,121.60000000000011,121569.6,FILLED,121685.75427999998,31100,67.52643999997235,61500.0,,,
STRESS,EPS,原前瞻EPS三因子,退出,2025-06-03,3.946,3.957,CLOSE,242403.55323999998,0,0.0,242403.55323999998,-0.004690995031616629,-1142.4732000000076,-799.4999999999939,0.0,0.0,0.0,-1.3528733688872308e-11,2025-05-30,False,0.9987084204886554,-61500,-61500,3.946,3.942,96.9732,246.00000000000023,242433.0,FILLED,67.52643999997235,61500,242403.55323999998,0.0,,,
STRESS,EPS,原前瞻EPS三因子,进入,2025-07-01,3.98,3.988,CLOSE,60660.485079999984,45600,0.0,242513.28507999997,0.00045268247322827193,109.7318399999931,364.8000000000003,0.0,0.0,0.7498673729977746,-7.048583938740194e-12,2025-06-30,False,0.7494543605973093,45600,45600,3.98,3.984,72.66816,182.40000000000015,181670.4,FILLED,242403.55323999998,0,60660.485079999984,45600.0,,,
STRESS,EPS,原前瞻EPS三因子,增加,2025-08-01,4.148,4.133,CLOSE,417.89767999998,60100,0.0,248811.19767999998,-0.005266442962618578,-1317.287400000001,-1220.7000000000064,0.0,0.0,0.9983204225376646,1.6683543435647152e-11,2025-07-31,False,0.2410578933473805,14500,14500,4.148,4.1530000000000005,24.087400000000002,72.50000000001134,60218.50000000001,FILLED,60660.485079999984,45600,417.89767999998,60100.0,,,
STRESS,EPS,原前瞻EPS三因子,增加,2026-02-02,4.68,4.6,CLOSE,309.1976799999793,61700,0.0,284129.19768,-0.02341400156774065,-6812.100000000035,-6799.1000000000395,0.0,0.0,0.9989117708333931,5.7980287238024175e-12,2026-01-30,False,0.02593069992880551,1600,1600,4.68,4.6850000000000005,5.0,8.00000000000125,7496.000000000001,FILLED,7810.19767999998,60100,309.1976799999793,61700.0,,,
STRESS,EPS,原前瞻EPS三因子,统一终点清算,2026-08-14,4.737,4.737,OPEN_TERMINAL,292156.81192,0,0.0,292156.81192,0.0002338819931035907,68.31424000003608,493.6000000000004,0.0,0.0,0.0,2.9103830456733704e-11,2026-08-13,False,0.9978888056210617,-61700,-61700,4.737,4.732,116.78576000000001,308.4999999999934,291964.4,FILLED,309.1976799999793,61700,292156.81192,0.0,,,
STRESS,PRICE_EPS,价格加前瞻EPS,进入,2023-10-09,3.757,3.754,CLOSE,150334.94192,13200,0.0,199887.74192,-0.0005612903999999697,-112.25807999999961,-39.6000000000015,0.0,0.0,0.24790314565578642,1.9397816686250735e-12,2023-09-28,False,0.24822600000000003,13200,13200,3.757,3.761,19.85808,52.80000000000005,49645.200000000004,FILLED,200000.0,0,150334.94192,13200.0,,,
STRESS,PRICE_EPS,价格加前瞻EPS,增加,2023-11-01,3.68,3.642,CLOSE,336.16639999998733,53900,0.0,196639.96639999998,-0.009049657600111116,-1795.7755200000247,-1573.0000000000134,0.0,0.0,0.9982904472261953,-1.1112888387287967e-11,2023-10-31,False,0.7537986525663526,41100,40700,3.68,3.684,59.97552000000001,162.80000000000015,149938.80000000002,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,150334.94192,13200,336.16639999998733,53900.0,,,
STRESS,PRICE_EPS,价格加前瞻EPS,退出,2024-02-01,3.2,3.218,CLOSE,176250.76064000002,0,0.0,176250.76064000002,-0.008273109034191317,-1470.3057599999593,-1185.799999999989,0.0,0.0,0.0,2.998490344907623e-11,2024-01-31,False,0.975807290593581,-53900,-53900,3.2,3.196,68.90576000000001,215.6000000000002,172264.40000000002,FILLED,4055.2663999999877,53900,176250.76064000002,0.0,,,
STRESS,PRICE_EPS,价格加前瞻EPS,进入,2024-05-06,3.64,3.648,CLOSE,175.15856000001077,48300,0.0,176373.55856,0.0006967227803957865,122.7979199999827,386.4000000000003,0.0,0.0,0.9990068887795308,-1.745092959026806e-11,2024-04-30,False,0.9986067541546582,48900,48300,3.64,3.644,70.40208000000001,193.20000000000016,176005.2,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,176250.76064000002,0,175.15856000001077,48300.0,,,
STRESS,PRICE_EPS,价格加前瞻EPS,退出,2024-10-08,4.656,4.412,CLOSE,224728.60124,0,0.0,224728.60124,0.09822428359609803,20099.542679999984,20430.9,0.0,0.0,0.0,-2.248157215944957e-11,2024-09-30,False,0.9981486775227992,-48300,-48300,4.656,4.651,89.85732,241.49999999999486,224643.3,FILLED,175.15856000001077,48300,224728.60124,0.0,,,
STRESS,PRICE_EPS,价格加前瞻EPS,进入,2025-01-02,4.02,3.909,CLOSE,168758.72223999997,13900,0.0,223093.82223999998,-0.007274459018476898,-1634.7790000000095,-1542.8999999999967,0.0,0.0,0.24355268762909696,-2.0037305148434825e-12,2024-12-31,False,0.24895585026247108,13900,13900,4.02,4.025,22.379000000000005,69.50000000001086,55947.50000000001,FILLED,224728.60124,0,168758.72223999997,13900.0,,,
STRESS,PRICE_EPS,价格加前瞻EPS,增加,2025-02-05,3.93,3.887,CLOSE,316.17215999995824,56700,0.0,220709.07215999995,-0.01056615461347199,-2356.9500800000096,-2118.400000000007,0.0,0.0,0.9985674709385269,-2.5579538487363607e-12,2025-01-27,False,0.7537419952878723,43100,42800,3.93,3.934,67.35008,171.20000000000016,168375.2,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,168758.72223999997,13900,316.17215999995824,56700.0,,,
STRESS,PRICE_EPS,价格加前瞻EPS,增加,2025-07-01,3.98,3.988,CLOSE,121.57215999995788,58000,0.0,231425.57215999995,0.001473049944391347,340.3999999999651,350.5999999999877,0.0,0.0,0.9994746813895057,-2.2607693495046988e-11,2025-06-30,False,0.022423519339896815,1300,1300,3.98,3.984,5.0,5.200000000000005,5179.2,FILLED,5305.772159999958,56700,121.57215999995788,58000.0,,,
STRESS,PRICE_EPS,价格加前瞻EPS,退出,2025-09-01,4.607,4.616,CLOSE,266930.80575999996,0,0.0,266930.80575999996,-0.00018265966794939192,-48.76640000002226,348.0000000000132,0.0,0.0,0.0,-4.1666226024972275e-11,2025-08-29,False,0.9984604200880797,-58000,-58000,4.607,4.602,106.7664,289.9999999999938,266916.0,FILLED,121.57215999995788,58000,266930.80575999996,0.0,,,
STRESS,PRICE_EPS,价格加前瞻EPS,进入,2025-11-03,4.752,4.763,CLOSE,133681.52735999995,28000,0.0,267045.52735999995,0.0004297802933361794,114.72159999998985,308.0000000000034,0.0,0.0,0.49940548084976555,-1.6541434888495132e-11,2025-10-31,False,0.4989907388949247,28000,28000,4.752,4.757,53.278400000000005,139.99999999999702,133196.0,FILLED,266930.80575999996,0,133681.52735999995,28000.0,,,
STRESS,PRICE_EPS,价格加前瞻EPS,增加,2025-12-01,4.646,4.687,CLOSE,144.43387999996776,56700,0.0,265897.33388,0.009245397399794575,2435.806520000042,2632.7000000000244,0.0,0.0,0.9994568058359504,1.4495071809506044e-11,2025-11-28,False,0.506061868996026,28700,28700,4.646,4.651,53.39348,143.49999999999693,133483.69999999998,FILLED,133681.52735999995,28000,144.43387999996776,56700.0,,,
STRESS,PRICE_EPS,价格加前瞻EPS,增加,2026-02-02,4.68,4.6,CLOSE,86.0338799999663,58200,0.0,267806.03387999994,-0.02343342323066233,-6426.200000000012,-6413.700000000037,0.0,0.0,0.9996787455504513,2.6638247163646156e-11,2026-01-30,False,0.02579140112629744,1500,1500,4.68,4.6850000000000005,5.0,7.500000000001172,7027.500000000001,FILLED,7118.533879999967,56700,86.0338799999663,58200.0,,,
STRESS,PRICE_EPS,价格加前瞻EPS,统一终点清算,2026-08-14,4.737,4.737,OPEN_TERMINAL,275378.27291999996,0,0.0,275378.27291999996,0.00023405667304077227,64.43904000002658,465.6000000000004,0.0,0.0,0.0,1.9952040020143613e-11,2026-08-13,False,0.9986328426500288,-58200,-58200,4.737,4.732,110.16096000000002,290.9999999999938,275402.4,FILLED,86.0338799999663,58200,275378.27291999996,0.0,,,
STRESS,PRICE,共同月份价格对照,进入,2023-10-09,3.757,3.754,CLOSE,150334.94192,13200,0.0,199887.74192,-0.0005612903999999697,-112.25807999999961,-39.6000000000015,0.0,0.0,0.24790314565578642,1.9397816686250735e-12,2023-09-28,False,0.24822600000000003,13200,13200,3.757,3.761,19.85808,52.80000000000005,49645.200000000004,FILLED,200000.0,0,150334.94192,13200.0,,,
STRESS,PRICE,共同月份价格对照,增加,2023-11-01,3.68,3.642,CLOSE,336.16639999998733,53900,0.0,196639.96639999998,-0.009049657600111116,-1795.7755200000247,-1573.0000000000134,0.0,0.0,0.9982904472261953,-1.1112888387287967e-11,2023-10-31,False,0.7537986525663526,41100,40700,3.68,3.684,59.97552000000001,162.80000000000015,149938.80000000002,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,150334.94192,13200,336.16639999998733,53900.0,,,
STRESS,PRICE,共同月份价格对照,增加,2024-02-01,3.2,3.218,CLOSE,205.46639999998752,55100,0.0,177517.26639999996,-0.0011467408120392486,-203.80000000001746,-194.00000000000034,0.0,0.0,0.9988425554078948,-1.7116974504460813e-11,2024-01-31,False,0.021779217707629667,1200,1200,3.2,3.204,5.0,4.800000000000004,3844.8,FILLED,4055.2663999999877,53900,205.46639999998752,55100.0,,,
