model,origin,forecast,actual_y60,label_exit_date,training_months,training_mean_y60,trend_above_120_day_mean,calendar_target_roll_month,label_overlap_warning,forecast_error,squared_error,training_mean_squared_error,direction_correct
E3_FORWARD_EPS,2024-04-30,0.05537695540649349,-0.05329670329670333,2024-07-30,19,-0.02120118044378976,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.10867365870319681,0.011809964095938904,0.0010301225872018974,False
E1_PRICE_FORWARD_EPS,2024-05-31,0.07577570103799351,-0.05391061452513968,2024-08-27,21,-0.010918382291324273,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.1296863155631332,0.016818540444340564,0.001848332032446316,False
E2_MATCHED_PRICE,2024-05-31,-0.059573832091572826,-0.05391061452513968,2024-08-27,21,-0.010918382291324273,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.0056632175664331486,3.207203320475699e-05,0.001848332032446316,True
E3_FORWARD_EPS,2024-05-31,0.13112856722970093,-0.05391061452513968,2024-08-27,21,-0.010918382291324273,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.1850391817548406,0.03423949878450094,0.001848332032446316,False
E1_PRICE_FORWARD_EPS,2024-06-28,0.009612118921658492,0.0005735589331803403,2024-09-25,21,-0.010918382291324273,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.009038559988478152,8.169556666531817e-05,0.0001320647131074686,True
E2_MATCHED_PRICE,2024-06-28,-0.036191880078752584,0.0005735589331803403,2024-09-25,21,-0.010918382291324273,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.036765439011932924,0.0013516975057401594,0.0001320647131074686,False
E3_FORWARD_EPS,2024-06-28,0.05192646994911624,0.0005735589331803403,2024-09-25,21,-0.010918382291324273,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.0513529110159359,0.0026371214698106306,0.0001320647131074686,True
E1_PRICE_FORWARD_EPS,2024-07-31,0.011440332653908055,0.137064534551685,2024-11-04,23,-0.01285117746508691,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.12562420189777693,0.01578144010245342,0.022474720709495685,True
E2_MATCHED_PRICE,2024-07-31,-0.023600944485631978,0.137064534551685,2024-11-04,23,-0.01285117746508691,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.16066547903731698,0.025813396154290544,0.022474720709495685,False
E3_FORWARD_EPS,2024-07-31,0.027792175631370188,0.137064534551685,2024-11-04,23,-0.01285117746508691,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.10927235892031481,0.011940448424010104,0.022474720709495685,True
E1_PRICE_FORWARD_EPS,2024-08-30,0.0302688497041992,0.19195504288672005,2024-12-04,24,-0.014561987342589108,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.16168619318252087,0.026142425065855457,0.0426492837747334,True
