report_id,ts_code,report_internal_date,original_snapshot_million_shares,original_snapshot_raw,daily_share_basis_admitted,original_pdf_path,financial_period,financial_available_at,balance_ann_date,balance_f_ann_date,financial_total_shares,difference_shares,difference_ratio,status,not_proof_no_intervening_share_changes
AP201808291184453839,000338.SZ,2018-08-29,7997,"总股本/流通(百万股) 7,997/4,315",False,data/raw/510300_forward_eps_csi_originals_v1/AP201808291184453839.pdf,2018-03-31,2018-04-28,2018-04-28,2018-04-28,7997238556.0,-238556.0,-2.982979666410479e-05,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP201808301185041902,601360.SH,2018-08-29,618,总股本/流通(百万股) 618/618,False,data/raw/510300_forward_eps_csi_originals_v1/AP201808301185041902.pdf,2018-03-31,2018-04-27,2018-04-27,2018-04-27,6764055000.0,-6146055000.0,-0.9086346873288287,DIFFERENCE_REQUIRES_CORPORATE_ACTION_OR_SOURCE_EXPLANATION,True
AP201808311185975845,000039.SZ,2018-08-31,2985,"总股本/流通(百万股) 2,985/1,268",False,data/raw/510300_forward_eps_csi_originals_v1/AP201808311185975845.pdf,2018-06-30,2018-08-29,2018-08-29,2018-08-29,2984956000.0,44000.0,1.474058579087334e-05,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP201810191216840960,600176.SH,2018-10-19,3502,"总股本/流通(百万股) 3,502/3,502",False,data/raw/510300_forward_eps_csi_originals_v1/AP201810191216840960.pdf,2018-06-30,2018-08-20,2018-08-20,2018-08-20,3502306849.0,-306849.0,-8.761339689233871e-05,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP201811011229685729,000338.SZ,2018-11-01,7997,"总股本/流通(百万股) 7,997/4,310",False,data/raw/510300_forward_eps_csi_originals_v1/AP201811011229685729.pdf,2018-09-30,2018-10-31,2018-10-31,2018-10-31,7997238556.0,-238556.0,-2.982979666410479e-05,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP201812121267820190,603899.SH,2018-12-12,920,总股本/流通(百万股) 920/920,False,data/raw/510300_forward_eps_csi_originals_v1/AP201812121267820190.pdf,2018-09-30,2018-10-27,2018-10-27,2018-10-27,920000000.0,0.0,0.0,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP201903071303507274,000001.SZ,2019-03-06,17170,"总股本/流通(百万股) 17,170/17,170",False,data/raw/510300_forward_eps_financial_originals_v1/AP201903071303507274.pdf,2018-09-30,2018-10-24,2018-10-24,2018-10-24,17170000000.0,0.0,0.0,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP201903221308620223,300450.SZ,2019-03-22,882,总股本/流通(百万股) 882/485,False,data/raw/510300_forward_eps_csi_originals_v1/AP201903221308620223.pdf,2018-12-31,2019-03-21,2019-03-21,2019-03-21,881659139.0,340861.0,0.00038661313076904236,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP201903261309684498,000338.SZ,2019-03-26,7934,"总股本/流通(百万股) 7,934/4,244",False,data/raw/510300_forward_eps_csi_originals_v1/AP201903261309684498.pdf,2018-09-30,2018-10-31,2018-10-31,2018-10-31,7997238556.0,-63238556.0,-0.007907549031728522,DIFFERENCE_REQUIRES_CORPORATE_ACTION_OR_SOURCE_EXPLANATION,True
AP201904041315606799,002841.SZ,2019-04-04,656,总股本/流通(百万股) 656/67,False,data/raw/510300_forward_eps_csi_originals_v1/AP201904041315606799.pdf,2018-12-31,2019-04-03,2019-04-03,2019-04-03,655845340.0,154660.0,0.00023581779204229214,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP201908201344691883,600340.SH,2019-08-20,3002,"总股本/流通(百万股) 3,002/2,955",False,data/raw/510300_forward_eps_csi_originals_v1/AP201908201344691883.pdf,2019-06-30,2019-08-17,2019-08-17,2019-08-17,3002591709.0,-591709.0,-0.00019706608734926245,DIFFERENCE_REQUIRES_CORPORATE_ACTION_OR_SOURCE_EXPLANATION,True
AP201908301345380799,000338.SZ,2019-08-30,7934,"总股本/流通(百万股) 7,934/4,244",False,data/raw/510300_forward_eps_csi_originals_v1/AP201908301345380799.pdf,2019-03-31,2019-04-29,2019-04-29,2019-04-29,7933873895.0,126105.0,1.5894505215108268e-05,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP201910311370095913,000338.SZ,2019-10-31,7934,"总股本/流通(百万股) 7,934/4,245",False,data/raw/510300_forward_eps_csi_originals_v1/AP201910311370095913.pdf,2019-06-30,2019-08-30,2019-08-30,2019-08-30,7933873895.0,126105.0,1.5894505215108268e-05,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP202002051374796706,601601.SH,2020-02-05,9062,"总股本/流通(百万股) 9,062/9,062",False,data/raw/510300_forward_eps_csi_originals_v1/AP202002051374796706.pdf,2019-09-30,2019-10-31,2019-10-31,2019-10-31,9062000000.0,0.0,0.0,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP202003171376568839,600036.SH,2020-03-17,25220,"总股本/流通(百万股) 25,220/25,220",False,data/raw/510300_forward_eps_financial_originals_v1/AP202003171376568839.pdf,2019-09-30,2019-10-31,2019-10-31,2019-10-31,25220000000.0,0.0,0.0,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP202003261376985027,601658.SH,2020-03-26,86979,"总股本/流通(百万股) 86,979/22,830",False,data/raw/510300_forward_eps_csi_originals_v1/AP202003261376985027.pdf,2019-09-30,2019-12-09,2019-12-09,2019-12-09,81031000000.0,5948000000.0,0.07340400587429508,DIFFERENCE_REQUIRES_CORPORATE_ACTION_OR_SOURCE_EXPLANATION,True
AP202004241378537202,688396.SH,2020-04-23,1216,"总股本/流通(百万股) 1,216/237",False,data/raw/510300_forward_eps_csi_originals_v1/AP202004241378537202.pdf,2019-09-30,2020-01-31,2020-01-31,2020-01-31,878982146.0,337017854.0,0.38341831575723506,DIFFERENCE_REQUIRES_CORPORATE_ACTION_OR_SOURCE_EXPLANATION,True
AP202004281378893592,601377.SH,2020-04-28,6697,"总股本/流通(百万股) 6,697/6,697",False,data/raw/510300_forward_eps_csi_originals_v1/AP202004281378893592.pdf,2020-03-31,2020-04-25,2020-04-25,2020-04-25,6696671674.0,328326.0,4.902823611230289e-05,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP202005061379307595,601658.SH,2020-04-30,86979,"总股本/流通(百万股) 86,979/22,830",False,data/raw/510300_forward_eps_csi_originals_v1/AP202005061379307595.pdf,2020-03-31,2020-04-29,2020-04-29,2020-04-29,86979000000.0,0.0,0.0,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP202006121384335334,300676.SZ,2020-06-11,400,总股本/流通(百万股) 400/245,False,data/raw/510300_forward_eps_csi_originals_v1/AP202006121384335334.pdf,2020-03-31,2020-04-25,2020-04-25,2020-04-25,400100000.0,-100000.0,-0.00024993751562107924,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP202007291395092222,688396.SH,2020-07-29,1216,"总股本/流通(百万股) 1,216/237",False,data/raw/510300_forward_eps_csi_originals_v1/AP202007291395092222.pdf,2020-03-31,2020-04-24,2020-04-23,2020-04-24,1130152498.83,85847501.17000008,0.07596098867973522,DIFFERENCE_REQUIRES_CORPORATE_ACTION_OR_SOURCE_EXPLANATION,True
AP202008181399388291,601799.SH,2020-08-18,276,总股本/流通(百万股) 276/276,False,data/raw/510300_forward_eps_csi_originals_v1/AP202008181399388291.pdf,2020-03-31,2020-04-18,2020-04-18,2020-04-18,276155232.0,-155232.0,-0.0005621186275406309,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP202008301404193861,000860.SZ,2020-08-28,742,总股本/流通(百万股) 742/742,False,data/raw/510300_forward_eps_csi_originals_v1/AP202008301404193861.pdf,2020-06-30,2020-08-22,2020-08-22,2020-08-22,741766989.0,233011.0,0.00031412964374988306,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP202009011405118140,601658.SH,2020-08-31,86979,"总股本/流通(百万股) 86,979/23,735",False,data/raw/510300_forward_eps_csi_originals_v1/AP202009011405118140.pdf,2020-03-31,2020-04-29,2020-04-29,2020-04-29,86979000000.0,0.0,0.0,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP202009081409213944,600809.SH,2020-09-08,872,总股本/流通(百万股) 872/866,False,data/raw/510300_forward_eps_csi_originals_v1/AP202009081409213944.pdf,2020-06-30,2020-08-25,2020-08-25,2020-08-25,871528266.0,471734.0,0.0005412721748716542,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP202010201422526535,688396.SH,2020-10-20,1216,"总股本/流通(百万股) 1,216/249",False,data/raw/510300_forward_eps_csi_originals_v1/AP202010201422526535.pdf,2020-06-30,2020-07-29,2020-07-29,2020-07-29,1130152498.83,85847501.17000008,0.07596098867973522,DIFFERENCE_REQUIRES_CORPORATE_ACTION_OR_SOURCE_EXPLANATION,True
AP202010271423959276,600519.SH,2020-10-26,1256,"总股本/流通(百万股) 1,256/1,256",False,data/raw/510300_forward_eps_csi_originals_v1/AP202010271423959276.pdf,2020-06-30,2020-07-29,2020-07-29,2020-07-29,1256197800.0,-197800.0,-0.0001574592791039331,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP202010301425000808,601658.SH,2020-10-30,86979,"总股本/流通(百万股) 86,979/23,735",False,data/raw/510300_forward_eps_csi_originals_v1/AP202010301425000808.pdf,2020-06-30,2020-08-31,2020-08-31,2020-08-31,86979000000.0,0.0,0.0,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP202011031425985402,000568.SZ,2020-11-02,1465,"总股本/流通(百万股) 1,465/1,464",False,data/raw/510300_forward_eps_csi_originals_v1/AP202011031425985402.pdf,2020-09-30,2020-10-29,2020-10-29,2020-10-29,1464752476.0,247524.0,0.00016898691352684736,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP202011031425999044,002304.SZ,2020-11-02,1507,"总股本/流通(百万股) 1,507/1,248",False,data/raw/510300_forward_eps_csi_originals_v1/AP202011031425999044.pdf,2020-09-30,2020-10-22,2020-10-22,2020-10-22,1506988000.0,12000.0,7.962903487035433e-06,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP202011031426026898,000858.SZ,2020-11-02,3882,"总股本/流通(百万股) 3,882/3,796",False,data/raw/510300_forward_eps_csi_originals_v1/AP202011031426026898.pdf,2020-09-30,2020-10-30,2020-10-30,2020-10-30,3881608005.0,391995.0,0.00010098778637490646,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP202011031426038423,000860.SZ,2020-11-02,742,总股本/流通(百万股) 742/742,False,data/raw/510300_forward_eps_csi_originals_v1/AP202011031426038423.pdf,2020-09-30,2020-10-30,2020-10-30,2020-10-30,741766989.0,233011.0,0.00031412964374988306,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP202011031426077990,000596.SZ,2020-11-02,504,总股本/流通(百万股) 504/504,False,data/raw/510300_forward_eps_csi_originals_v1/AP202011031426077990.pdf,2020-09-30,2020-10-29,2020-10-29,2020-10-29,503600000.0,400000.0,0.000794281175536149,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP202101041446860362,000860.SZ,2021-01-03,742,总股本/流通(百万股) 742/742,False,data/raw/510300_forward_eps_csi_originals_v1/AP202101041446860362.pdf,2020-09-30,2020-10-30,2020-10-30,2020-10-30,741766989.0,233011.0,0.00031412964374988306,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP202101271454757072,688981.SH,2021-01-27,7895,"总股本/流通(百万股) 7,895/7,052",False,data/raw/510300_forward_eps_csi_originals_v1/AP202101271454757072.pdf,2020-09-30,2020-11-12,2020-11-12,2020-11-12,7699770977.0,195229023.0,0.02535517271658705,DIFFERENCE_REQUIRES_CORPORATE_ACTION_OR_SOURCE_EXPLANATION,True
AP202102051459130006,688981.SH,2021-02-05,7896,"总股本/流通(百万股) 7,896/7,053",False,data/raw/510300_forward_eps_csi_originals_v1/AP202102051459130006.pdf,2020-09-30,2020-11-12,2020-11-12,2020-11-12,7699770977.0,196229023.0,0.025485046709331494,DIFFERENCE_REQUIRES_CORPORATE_ACTION_OR_SOURCE_EXPLANATION,True
AP202103101470303306,600809.SH,2021-03-10,872,总股本/流通(百万股) 872/866,False,data/raw/510300_forward_eps_csi_originals_v1/AP202103101470303306.pdf,2020-09-30,2020-10-30,2020-10-30,2020-10-30,871528266.0,471734.0,0.0005412721748716542,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP202103301478690946,601658.SH,2021-03-30,92384,"总股本/流通(百万股) 92,384/31,131",False,data/raw/510300_forward_eps_csi_originals_v1/AP202103301478690946.pdf,2020-09-30,2020-10-30,2020-10-30,2020-10-30,86979000000.0,5405000000.0,0.06214143643868053,DIFFERENCE_REQUIRES_CORPORATE_ACTION_OR_SOURCE_EXPLANATION,True
AP202104011480045742,600519.SH,2021-03-31,1256,"总股本/流通(百万股) 1,256/1,256",False,data/raw/510300_forward_eps_csi_originals_v1/AP202104011480045742.pdf,2020-09-30,2020-10-26,2020-10-26,2020-10-26,1256197800.0,-197800.0,-0.0001574592791039331,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP202104011480442029,688981.SH,2021-04-01,7899,"总股本/流通(百万股) 7,899/7,056",False,data/raw/510300_forward_eps_csi_originals_v1/AP202104011480442029.pdf,2020-09-30,2020-11-12,2020-11-12,2020-11-12,7699770977.0,199229023.0,0.025874668687564606,DIFFERENCE_REQUIRES_CORPORATE_ACTION_OR_SOURCE_EXPLANATION,True
AP202104201486580213,603369.SH,2021-04-19,1255,"总股本/流通(百万股) 1,255/1,255",False,data/raw/510300_forward_eps_csi_originals_v1/AP202104201486580213.pdf,2020-09-30,2020-10-31,2020-10-31,2020-10-31,1254500000.0,500000.0,0.0003985651654045963,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP202104251487654967,002027.SZ,2021-04-23,14678,"总股本/流通(百万股) 14,678/14,678",False,data/raw/510300_forward_eps_csi_originals_v1/AP202104251487654967.pdf,2020-09-30,2020-10-23,2020-10-23,2020-10-23,14677880280.0,119720.0,8.156491108746167e-06,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP202104271488125799,600809.SH,2021-04-27,872,总股本/流通(百万股) 872/866,False,data/raw/510300_forward_eps_csi_originals_v1/AP202104271488125799.pdf,2020-09-30,2020-10-30,2020-10-30,2020-10-30,871528266.0,471734.0,0.0005412721748716542,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP202104281488334433,002756.SZ,2021-04-27,406,总股本/流通(百万股) 406/265,False,data/raw/510300_forward_eps_csi_originals_v1/AP202104281488334433.pdf,2020-09-30,2020-10-31,2020-10-31,2020-10-31,365030000.0,40970000.0,0.11223735035476534,DIFFERENCE_REQUIRES_CORPORATE_ACTION_OR_SOURCE_EXPLANATION,True
AP202104281488430805,000860.SZ,2021-04-28,742,总股本/流通(百万股) 742/742,False,data/raw/510300_forward_eps_csi_originals_v1/AP202104281488430805.pdf,2020-12-31,2021-04-14,2021-04-14,2021-04-14,741766989.0,233011.0,0.00031412964374988306,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP202104291488571425,600519.SH,2021-04-28,1256,"总股本/流通(百万股) 1,256/1,256",False,data/raw/510300_forward_eps_csi_originals_v1/AP202104291488571425.pdf,2020-12-31,2021-03-31,2021-03-31,2021-03-31,1256197800.0,-197800.0,-0.0001574592791039331,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP202104291488590484,000858.SZ,2021-04-28,3882,"总股本/流通(百万股) 3,882/3,796",False,data/raw/510300_forward_eps_csi_originals_v1/AP202104291488590484.pdf,2020-09-30,2020-10-30,2020-10-30,2020-10-30,3881608005.0,391995.0,0.00010098778637490646,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP202105061490004331,000596.SZ,2021-04-30,504,总股本/流通(百万股) 504/504,False,data/raw/510300_forward_eps_csi_originals_v1/AP202105061490004331.pdf,2020-09-30,2020-10-29,2020-10-29,2020-10-29,503600000.0,400000.0,0.000794281175536149,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP202105061490004349,601658.SH,2021-04-30,92384,"总股本/流通(百万股) 92,384/31,131",False,data/raw/510300_forward_eps_csi_originals_v1/AP202105061490004349.pdf,2020-12-31,2021-03-30,2021-03-30,2021-03-30,86979000000.0,5405000000.0,0.06214143643868053,DIFFERENCE_REQUIRES_CORPORATE_ACTION_OR_SOURCE_EXPLANATION,True
AP202105061490004418,000568.SZ,2021-04-30,1465,"总股本/流通(百万股) 1,465/1,464",False,data/raw/510300_forward_eps_csi_originals_v1/AP202105061490004418.pdf,2020-09-30,2020-10-29,2020-10-29,2020-10-29,1464752476.0,247524.0,0.00016898691352684736,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP202105141491641105,688981.SH,2021-05-14,7900,"总股本/流通(百万股) 7,900/7,057",False,data/raw/510300_forward_eps_csi_originals_v1/AP202105141491641105.pdf,2020-12-31,2021-04-01,2021-04-01,2021-04-01,7899198076.0,801924.0,0.00010151967228622105,DIFFERENCE_REQUIRES_CORPORATE_ACTION_OR_SOURCE_EXPLANATION,True
AP202108041508020604,002756.SZ,2021-08-04,406,总股本/流通(百万股) 406/265,False,data/raw/510300_forward_eps_csi_originals_v1/AP202108041508020604.pdf,2021-06-30,2021-08-03,2021-08-03,2021-08-03,405950150.0,49850.0,0.00012279832880968122,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP202108061508408853,688981.SH,2021-08-06,7902,"总股本/流通(百万股) 7,902/7,834",False,data/raw/510300_forward_eps_csi_originals_v1/AP202108061508408853.pdf,2021-03-31,2021-05-14,2021-05-14,2021-05-14,7899199076.0,2800924.0,0.00035458329041349046,DIFFERENCE_REQUIRES_CORPORATE_ACTION_OR_SOURCE_EXPLANATION,True
AP202108261512499220,000651.SZ,2021-08-24,6016,"总股本/流通(百万股) 6,016/5,968",False,data/raw/510300_forward_eps_csi_originals_v1/AP202108261512499220.pdf,2021-06-30,2021-08-23,2021-08-23,2021-08-23,6015730878.0,269122.0,4.4736376253906585e-05,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP202108311513453815,601658.SH,2021-08-29,92384,"总股本/流通(百万股) 92,384/31,131",False,data/raw/510300_forward_eps_csi_originals_v1/AP202108311513453815.pdf,2021-06-30,2021-08-28,2021-08-28,2021-08-28,92384000000.0,0.0,0.0,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
