period,cost,cycle_id,entry_close,baseline_start,baseline_end,baseline_mean,baseline_sigma,first_status,maximum_cusum
evaluation,BASE,12,2024-02-19,2023-11-16,2024-02-08,-0.0011353845817815868,0.010042384205973861,固定入场前基准；买入当天不累积未完整持有的全天收益,0.0
evaluation,BASE,13,2024-06-18,2024-03-18,2024-06-17,-7.975619254676557e-05,0.007375935560969179,固定入场前基准；买入当天不累积未完整持有的全天收益,0.6606350854992593
evaluation,BASE,14,2024-08-02,2024-05-09,2024-08-01,-0.000647603989994007,0.006847251404967646,固定入场前基准；买入当天不累积未完整持有的全天收益,1.067209080402641
evaluation,BASE,15,2024-08-28,2024-06-04,2024-08-27,-0.0010054742857785826,0.006623343665706876,固定入场前基准；买入当天不累积未完整持有的全天收益,2.042751846998479
evaluation,BASE,16,2024-09-25,2024-07-01,2024-09-24,-0.0002892754133506998,0.009246920732194458,固定入场前基准；买入当天不累积未完整持有的全天收益,0.0
evaluation,BASE,17,2025-04-10,2025-01-07,2025-04-09,-0.00038064392348433144,0.01216544421068057,固定入场前基准；买入当天不累积未完整持有的全天收益,0.0
evaluation,BASE,18,2025-06-03,2025-03-04,2025-05-30,-9.235959823644274e-05,0.01117483842436591,固定入场前基准；买入当天不累积未完整持有的全天收益,0.0744206855866052
evaluation,BASE,19,2025-12-19,2025-09-18,2025-12-18,5.364235936330549e-05,0.009600116634349681,固定入场前基准；买入当天不累积未完整持有的全天收益,0.3163835048714232
evaluation,BASE,20,2026-05-06,2026-01-28,2026-04-30,0.00039859252327596273,0.010732355094077283,固定入场前基准；买入当天不累积未完整持有的全天收益,0.0
evaluation,BASE,21,2026-05-13,2026-02-04,2026-05-12,0.0010356157926185415,0.010279752304785101,固定入场前基准；买入当天不累积未完整持有的全天收益,1.9347085804374524
evaluation,BASE,22,2026-06-05,2026-03-09,2026-06-04,0.0009001805455111258,0.010604207609651901,固定入场前基准；买入当天不累积未完整持有的全天收益,1.6320217232048462
evaluation,BASE,23,2026-07-23,2026-04-24,2026-07-22,-0.00012544487404396391,0.014362203021246408,固定入场前基准；买入当天不累积未完整持有的全天收益,1.3619596724406373
evaluation,BASE,24,2026-08-07,2026-05-14,2026-08-06,-0.001055942904011632,0.014999694467403575,固定入场前基准；买入当天不累积未完整持有的全天收益,0.0
evaluation,STRESS,1,2020-02-05,2019-11-04,2020-02-04,-0.0008320988436153645,0.014750264196614626,固定入场前基准；买入当天不累积未完整持有的全天收益,1.781591487376748
evaluation,STRESS,2,2020-07-01,2020-03-31,2020-06-30,0.002178858561947664,0.008612472403604162,固定入场前基准；买入当天不累积未完整持有的全天收益,1.8451296118143365
evaluation,STRESS,3,2020-08-19,2020-05-25,2020-08-18,0.004069221205967963,0.016816933532683244,固定入场前基准；买入当天不累积未完整持有的全天收益,1.951378452997071
evaluation,STRESS,4,2021-01-05,2020-10-12,2021-01-04,0.0019712547129061785,0.009787946318954509,固定入场前基准；买入当天不累积未完整持有的全天收益,1.6963660656109436
evaluation,STRESS,5,2021-02-03,2020-11-10,2021-02-02,0.001618229266190673,0.011319886278808828,固定入场前基准；买入当天不累积未完整持有的全天收益,4.740011201170235
evaluation,STRESS,6,2021-06-08,2021-03-10,2021-06-07,0.0010066687403966202,0.011258638409420624,固定入场前基准；买入当天不累积未完整持有的全天收益,2.0056354845074105
evaluation,STRESS,7,2021-10-29,2021-07-28,2021-10-28,0.00047827289457038496,0.009719499072154568,固定入场前基准；买入当天不累积未完整持有的全天收益,0.632446962902492
evaluation,STRESS,8,2021-11-25,2021-08-24,2021-11-24,0.0003097106557456855,0.007917922149949184,固定入场前基准；买入当天不累积未完整持有的全天收益,0.6092086827496226
evaluation,STRESS,9,2022-05-13,2022-02-11,2022-05-12,-0.002650333814024002,0.017105920895821608,固定入场前基准；买入当天不累积未完整持有的全天收益,0.0
evaluation,STRESS,10,2022-06-08,2022-03-08,2022-06-07,-0.0006411046804632666,0.017052030564990092,固定入场前基准；买入当天不累积未完整持有的全天收益,0.0
evaluation,STRESS,11,2022-08-10,2022-05-17,2022-08-09,0.0010621906291756085,0.010025974822860538,固定入场前基准；买入当天不累积未完整持有的全天收益,1.4417913780968181
evaluation,STRESS,12,2024-02-19,2023-11-16,2024-02-08,-0.0011353845817815868,0.010042384205973861,固定入场前基准；买入当天不累积未完整持有的全天收益,0.0
evaluation,STRESS,13,2024-06-18,2024-03-18,2024-06-17,-7.975619254676557e-05,0.007375935560969179,固定入场前基准；买入当天不累积未完整持有的全天收益,0.6606350854992593
evaluation,STRESS,14,2024-08-02,2024-05-09,2024-08-01,-0.000647603989994007,0.006847251404967646,固定入场前基准；买入当天不累积未完整持有的全天收益,1.067209080402641
evaluation,STRESS,15,2024-08-28,2024-06-04,2024-08-27,-0.0010054742857785826,0.006623343665706876,固定入场前基准；买入当天不累积未完整持有的全天收益,2.042751846998479
evaluation,STRESS,16,2024-09-25,2024-07-01,2024-09-24,-0.0002892754133506998,0.009246920732194458,固定入场前基准；买入当天不累积未完整持有的全天收益,0.0
evaluation,STRESS,17,2025-04-10,2025-01-07,2025-04-09,-0.00038064392348433144,0.01216544421068057,固定入场前基准；买入当天不累积未完整持有的全天收益,0.0
evaluation,STRESS,18,2025-06-03,2025-03-04,2025-05-30,-9.235959823644274e-05,0.01117483842436591,固定入场前基准；买入当天不累积未完整持有的全天收益,0.0744206855866052
evaluation,STRESS,19,2025-12-19,2025-09-18,2025-12-18,5.364235936330549e-05,0.009600116634349681,固定入场前基准；买入当天不累积未完整持有的全天收益,0.3163835048714232
evaluation,STRESS,20,2026-05-06,2026-01-28,2026-04-30,0.00039859252327596273,0.010732355094077283,固定入场前基准；买入当天不累积未完整持有的全天收益,0.0
evaluation,STRESS,21,2026-05-13,2026-02-04,2026-05-12,0.0010356157926185415,0.010279752304785101,固定入场前基准；买入当天不累积未完整持有的全天收益,1.9347085804374524
evaluation,STRESS,22,2026-06-05,2026-03-09,2026-06-04,0.0009001805455111258,0.010604207609651901,固定入场前基准；买入当天不累积未完整持有的全天收益,1.6320217232048462
evaluation,STRESS,23,2026-07-23,2026-04-24,2026-07-22,-0.00012544487404396391,0.014362203021246408,固定入场前基准；买入当天不累积未完整持有的全天收益,1.3619596724406373
evaluation,STRESS,24,2026-08-07,2026-05-14,2026-08-06,-0.001055942904011632,0.014999694467403575,固定入场前基准；买入当天不累积未完整持有的全天收益,0.0
earlier_diagnostic,BASE,1,2015-01-05,2014-10-09,2014-12-31,0.005837008018584684,0.018606780145084264,固定入场前基准；买入当天不累积未完整持有的全天收益,5.4729217713705145
earlier_diagnostic,BASE,2,2015-02-11,2014-11-17,2015-02-10,0.004510044593295659,0.025533119990592282,固定入场前基准；买入当天不累积未完整持有的全天收益,1.6469627272828142
earlier_diagnostic,BASE,3,2015-06-03,2015-03-09,2015-06-02,0.006619331563058764,0.0192005159758605,固定入场前基准；买入当天不累积未完整持有的全天收益,6.547558099400616
earlier_diagnostic,BASE,4,2015-09-29,2015-07-03,2015-09-28,-0.003843263131124835,0.04150251019689748,固定入场前基准；买入当天不累积未完整持有的全天收益,0.7452654454281351
earlier_diagnostic,BASE,5,2016-05-03,2016-01-29,2016-04-29,0.0016844852746643556,0.015827285925948547,固定入场前基准；买入当天不累积未完整持有的全天收益,1.9765671688202868
earlier_diagnostic,BASE,6,2017-05-18,2017-02-20,2017-05-17,-3.416802094817772e-05,0.006145598022927605,固定入场前基准；买入当天不累积未完整持有的全天收益,2.6304320634559506
earlier_diagnostic,BASE,7,2018-10-09,2018-07-09,2018-10-08,-0.00026722662726733163,0.014877201953014816,固定入场前基准；买入当天不累积未完整持有的全天收益,3.0292761366667804
earlier_diagnostic,BASE,8,2019-02-28,2018-11-27,2019-02-27,0.0026527428379963694,0.014549781322349435,固定入场前基准；买入当天不累积未完整持有的全天收益,2.5559700321845478
earlier_diagnostic,BASE,9,2019-05-31,2019-03-04,2019-05-30,-0.00039705902398285754,0.016587598820960472,固定入场前基准；买入当天不累积未完整持有的全天收益,0.08890645154016186
earlier_diagnostic,STRESS,1,2015-01-05,2014-10-09,2014-12-31,0.005837008018584684,0.018606780145084264,固定入场前基准；买入当天不累积未完整持有的全天收益,5.4729217713705145
earlier_diagnostic,STRESS,2,2015-02-11,2014-11-17,2015-02-10,0.004510044593295659,0.025533119990592282,固定入场前基准；买入当天不累积未完整持有的全天收益,1.6469627272828142
earlier_diagnostic,STRESS,3,2015-06-03,2015-03-09,2015-06-02,0.006619331563058764,0.0192005159758605,固定入场前基准；买入当天不累积未完整持有的全天收益,6.547558099400616
earlier_diagnostic,STRESS,4,2015-09-29,2015-07-03,2015-09-28,-0.003843263131124835,0.04150251019689748,固定入场前基准；买入当天不累积未完整持有的全天收益,0.7452654454281351
earlier_diagnostic,STRESS,5,2016-05-03,2016-01-29,2016-04-29,0.0016844852746643556,0.015827285925948547,固定入场前基准；买入当天不累积未完整持有的全天收益,1.9765671688202868
earlier_diagnostic,STRESS,6,2017-05-18,2017-02-20,2017-05-17,-3.416802094817772e-05,0.006145598022927605,固定入场前基准；买入当天不累积未完整持有的全天收益,2.6304320634559506
earlier_diagnostic,STRESS,7,2018-10-09,2018-07-09,2018-10-08,-0.00026722662726733163,0.014877201953014816,固定入场前基准；买入当天不累积未完整持有的全天收益,3.0292761366667804
earlier_diagnostic,STRESS,8,2019-02-28,2018-11-27,2019-02-27,0.0026527428379963694,0.014549781322349435,固定入场前基准；买入当天不累积未完整持有的全天收益,2.5559700321845478
earlier_diagnostic,STRESS,9,2019-05-31,2019-03-04,2019-05-30,-0.00039705902398285754,0.016587598820960472,固定入场前基准；买入当天不累积未完整持有的全天收益,0.08890645154016186
