period,source_model,cost,cycle,entry_date,exit_date,maturity_date,dividend_events,complete_information,buy_debit,net_profit,cycle_net_return,terminal_exit
evaluation,TREND_NOISE_REFERENCE_BLEND,BASE,17,2025-06-03,2025-06-20,2025-06-20,1,True,47008.52,-313.2532000000022,-0.0066637537195385,False
evaluation,TREND_NOISE_REFERENCE_BLEND,BASE,18,2025-06-23,2025-06-26,2025-06-26,0,True,57920.971260000006,764.3893199999907,0.0131971081176926,False
evaluation,TREND_NOISE_REFERENCE_BLEND,BASE,19,2025-12-19,2026-02-04,2026-02-04,1,True,230837.35824,6465.901320000004,0.0280106364467984,False
evaluation,TREND_NOISE_REFERENCE_BLEND,BASE,20,2026-05-06,2026-05-18,2026-05-18,0,True,156311.55605999997,-168.49091999997512,-0.0010779172330374,False
evaluation,TREND_NOISE_REFERENCE_BLEND,BASE,21,2026-06-05,2026-06-23,2026-06-23,0,True,117420.27936,2739.283920000013,0.0233288826677171,False
evaluation,TREND_NOISE_REFERENCE_BLEND,BASE,22,2026-07-23,2026-07-31,2026-07-31,0,True,91258.94814,-1946.1142799999816,-0.0213251885942675,False
evaluation,TREND_NOISE_REFERENCE_BLEND,BASE,23,2026-08-07,2026-08-14,2026-08-14,0,True,89959.88838,441.4277399999869,0.0049069396144129,True
evaluation,RETURN_RUNS_STATE,BASE,1,2020-01-02,2020-01-21,2020-01-21,0,True,191090.83844,1489.2159600000246,0.007793235783345,False
evaluation,RETURN_RUNS_STATE,BASE,2,2020-12-15,2021-01-20,2021-01-20,1,True,166081.80570000003,15627.262079999986,0.0940937630954477,False
evaluation,RETURN_RUNS_STATE,BASE,3,2023-01-10,2023-01-18,2023-01-18,1,True,175088.0106,5777.359600000019,0.0329968887087236,False
evaluation,RETURN_RUNS_STATE,BASE,4,2023-03-30,2023-04-14,2023-04-14,0,True,222678.12672,3272.674080000004,0.0146968816749349,False
evaluation,RETURN_RUNS_STATE,BASE,5,2024-03-05,2024-05-24,2024-05-24,0,True,251578.00554,4965.375519999992,0.0197369221897679,False
evaluation,RETURN_RUNS_STATE,BASE,6,2024-10-09,2024-10-22,2024-10-22,0,True,49750.74816,-3371.6258400000006,-0.0677703545111873,False
evaluation,RETURN_RUNS_STATE,BASE,7,2025-06-27,2025-07-29,2025-07-29,0,True,227589.5088,12047.554200000006,0.0529354549931697,False
evaluation,RETURN_RUNS_STATE,BASE,8,2025-09-05,2025-09-15,2025-09-15,0,True,136289.05236000003,5024.079359999976,0.036863411059086,False
earlier_diagnostic,TREND_NOISE_REFERENCE_BLEND,BASE,1,2015-01-05,2015-01-20,2015-01-20,1,True,66101.43135999999,-4602.404800000003,-0.0696264015061111,False
earlier_diagnostic,TREND_NOISE_REFERENCE_BLEND,BASE,2,2015-02-11,2015-05-15,2015-05-15,0,True,94838.56392,32422.03667999998,0.3418655380246924,False
earlier_diagnostic,TREND_NOISE_REFERENCE_BLEND,BASE,3,2015-06-03,2015-06-23,2015-06-23,0,True,56760.3498,-6027.4984,-0.1061920587388628,False
earlier_diagnostic,TREND_NOISE_REFERENCE_BLEND,BASE,4,2015-09-29,2015-12-29,2015-12-29,0,True,85932.38303999999,9027.421200000004,0.1050526109091831,False
earlier_diagnostic,TREND_NOISE_REFERENCE_BLEND,BASE,5,2016-05-03,2016-07-28,2016-07-28,0,True,315672.82194000005,3554.6416199999653,0.0112605247361953,False
earlier_diagnostic,TREND_NOISE_REFERENCE_BLEND,BASE,6,2017-05-18,2017-08-14,2017-08-14,0,True,147373.56882,11780.29404,0.079934917328278,False
earlier_diagnostic,TREND_NOISE_REFERENCE_BLEND,BASE,7,2018-02-13,2018-03-06,2018-03-06,0,True,157967.28714,4771.858519999986,0.0302078905474326,False
earlier_diagnostic,TREND_NOISE_REFERENCE_BLEND,BASE,8,2018-10-09,2018-10-19,2018-10-19,0,True,89797.956,-7056.107679999994,-0.0785775979132531,False
earlier_diagnostic,TREND_NOISE_REFERENCE_BLEND,BASE,9,2019-02-28,2019-03-06,2019-03-06,0,True,134018.2983,4909.410599999984,0.036632390220403,False
earlier_diagnostic,TREND_NOISE_REFERENCE_BLEND,BASE,10,2019-05-31,2019-06-25,2019-06-25,0,True,186428.87832,10034.821080000023,0.0538265378756156,False
earlier_diagnostic,RETURN_RUNS_STATE,BASE,1,2015-01-05,2015-04-13,2015-04-13,1,True,121498.60858,22205.383179999983,0.1827624483895137,False
earlier_diagnostic,RETURN_RUNS_STATE,BASE,2,2016-09-07,2016-10-10,2016-10-10,0,True,222037.99872,-4178.779279999999,-0.018820108738548,False
earlier_diagnostic,RETURN_RUNS_STATE,BASE,3,2017-02-13,2017-02-27,2017-02-27,0,True,217856.76264,3229.8111999999883,0.0148253887593892,False
earlier_diagnostic,RETURN_RUNS_STATE,BASE,4,2017-10-23,2017-12-28,2017-12-28,0,True,221034.79812,4328.5202000000245,0.0195829807650923,False
earlier_diagnostic,RETURN_RUNS_STATE,BASE,5,2018-01-12,2018-01-22,2018-01-22,0,True,204045.28038,2793.4436000000005,0.0136903122424477,False
earlier_diagnostic,RETURN_RUNS_STATE,BASE,6,2018-09-27,2018-10-10,2018-10-10,0,True,114763.9482,-4291.062059999994,-0.0373903314351117,False
earlier_diagnostic,RETURN_RUNS_STATE,BASE,7,2019-08-20,2019-09-27,2019-09-27,0,True,190311.95478,897.6956399999715,0.0047169692573317,False
earlier_diagnostic,RETURN_RUNS_STATE,BASE,8,2019-11-12,2019-12-09,2019-12-09,0,True,211208.63328,426.6312000000141,0.0020199515207999,False
earlier_diagnostic,RETURN_RUNS_STATE,BASE,9,2019-12-30,2019-12-31,2019-12-31,0,True,204499.89180000004,2824.6349999999884,0.0138124033960979,True
