period,origin,status,reference_count,runs_count,independent_budget_reference,independent_budget_runs,saved_budget_reference,saved_budget_runs,budget_absolute_error
evaluation,2024-09-02,UPDATED_POSITIVE_EFFICIENCY,13,5,0.3965810086495129,0.6034189913504872,0.3965810086495131,0.6034189913504869,2.220446049250313e-16
evaluation,2024-10-08,UPDATED_POSITIVE_EFFICIENCY,15,5,0.392913192236348,0.607086807763652,0.3929131922363482,0.6070868077636519,1.6653345369377348e-16
evaluation,2024-11-01,UPDATED_POSITIVE_EFFICIENCY,15,6,0.6017646886503577,0.3982353113496423,0.6017646886503579,0.3982353113496419,3.885780586188048e-16
evaluation,2024-12-02,UPDATED_POSITIVE_EFFICIENCY,15,6,0.6017646886503577,0.3982353113496423,0.6017646886503579,0.3982353113496419,3.885780586188048e-16
evaluation,2025-01-02,UPDATED_POSITIVE_EFFICIENCY,15,6,0.6017646886503577,0.3982353113496423,0.6017646886503579,0.3982353113496419,3.885780586188048e-16
evaluation,2025-02-05,UPDATED_POSITIVE_EFFICIENCY,15,6,0.6017646886503577,0.3982353113496423,0.6017646886503579,0.3982353113496419,3.885780586188048e-16
evaluation,2025-03-03,UPDATED_POSITIVE_EFFICIENCY,15,6,0.6017646886503577,0.3982353113496423,0.6017646886503579,0.3982353113496419,3.885780586188048e-16
evaluation,2025-04-01,UPDATED_POSITIVE_EFFICIENCY,15,6,0.6017646886503577,0.3982353113496423,0.6017646886503579,0.3982353113496419,3.885780586188048e-16
evaluation,2025-05-06,UPDATED_POSITIVE_EFFICIENCY,16,6,0.6089025038960059,0.39109749610399414,0.6089025038960062,0.3910974961039938,3.3306690738754696e-16
evaluation,2025-06-03,UPDATED_POSITIVE_EFFICIENCY,16,6,0.6089025038960059,0.39109749610399414,0.6089025038960062,0.3910974961039938,3.3306690738754696e-16
evaluation,2025-07-01,UPDATED_POSITIVE_EFFICIENCY,18,6,0.6056997447925218,0.3943002552074782,0.6056997447925222,0.3943002552074779,4.440892098500626e-16
evaluation,2025-08-01,UPDATED_POSITIVE_EFFICIENCY,18,7,0.552615594669841,0.4473844053301591,0.5526155946698412,0.4473844053301587,3.885780586188048e-16
evaluation,2025-09-01,UPDATED_POSITIVE_EFFICIENCY,18,7,0.552615594669841,0.4473844053301591,0.5526155946698412,0.4473844053301587,3.885780586188048e-16
evaluation,2025-10-09,UPDATED_POSITIVE_EFFICIENCY,18,8,0.5291905435958433,0.4708094564041568,0.5291905435958435,0.4708094564041565,2.7755575615628914e-16
evaluation,2025-11-03,UPDATED_POSITIVE_EFFICIENCY,18,8,0.5291905435958433,0.4708094564041568,0.5291905435958435,0.4708094564041565,2.7755575615628914e-16
evaluation,2025-12-01,UPDATED_POSITIVE_EFFICIENCY,18,8,0.5291905435958433,0.4708094564041568,0.5291905435958435,0.4708094564041565,2.7755575615628914e-16
evaluation,2026-01-05,UPDATED_POSITIVE_EFFICIENCY,18,8,0.5291905435958433,0.4708094564041568,0.5291905435958435,0.4708094564041565,2.7755575615628914e-16
evaluation,2026-02-02,UPDATED_POSITIVE_EFFICIENCY,18,8,0.5291905435958433,0.4708094564041568,0.5291905435958435,0.4708094564041565,2.7755575615628914e-16
evaluation,2026-03-02,UPDATED_POSITIVE_EFFICIENCY,19,8,0.5337825598316908,0.4662174401683092,0.5337825598316911,0.466217440168309,3.3306690738754696e-16
evaluation,2026-04-01,UPDATED_POSITIVE_EFFICIENCY,19,8,0.5337825598316908,0.4662174401683092,0.5337825598316911,0.466217440168309,3.3306690738754696e-16
evaluation,2026-05-06,UPDATED_POSITIVE_EFFICIENCY,19,8,0.5337825598316908,0.4662174401683092,0.5337825598316911,0.466217440168309,3.3306690738754696e-16
evaluation,2026-06-01,UPDATED_POSITIVE_EFFICIENCY,20,8,0.532927736948494,0.46707226305150584,0.5329277369484944,0.4670722630515055,3.3306690738754696e-16
evaluation,2026-07-01,UPDATED_POSITIVE_EFFICIENCY,20,8,0.5245231070159977,0.47547689298400225,0.5245231070159981,0.4754768929840019,4.440892098500626e-16
evaluation,2026-08-03,UPDATED_POSITIVE_EFFICIENCY,20,8,0.4609597839644787,0.5390402160355212,0.460959783964479,0.539040216035521,3.3306690738754696e-16
earlier_diagnostic,2014-12-31,INITIAL_HALF,0,0,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2015-01-05,INSUFFICIENT_MATURE_CYCLES,0,0,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2015-02-02,INSUFFICIENT_MATURE_CYCLES,1,0,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2015-03-02,INSUFFICIENT_MATURE_CYCLES,1,0,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2015-04-01,INSUFFICIENT_MATURE_CYCLES,1,0,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2015-05-04,INSUFFICIENT_MATURE_CYCLES,1,1,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2015-06-01,INSUFFICIENT_MATURE_CYCLES,2,1,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2015-07-01,INSUFFICIENT_MATURE_CYCLES,3,1,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2015-08-03,INSUFFICIENT_MATURE_CYCLES,3,1,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2015-09-01,INSUFFICIENT_MATURE_CYCLES,3,1,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2015-10-08,INSUFFICIENT_MATURE_CYCLES,3,1,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2015-11-02,INSUFFICIENT_MATURE_CYCLES,3,1,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2015-12-01,INSUFFICIENT_MATURE_CYCLES,3,1,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2016-01-04,INSUFFICIENT_MATURE_CYCLES,4,1,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2016-02-01,INSUFFICIENT_MATURE_CYCLES,4,1,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2016-03-01,INSUFFICIENT_MATURE_CYCLES,4,1,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2016-04-01,INSUFFICIENT_MATURE_CYCLES,4,1,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2016-05-03,INSUFFICIENT_MATURE_CYCLES,4,1,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2016-06-01,INSUFFICIENT_MATURE_CYCLES,4,1,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2016-07-01,INSUFFICIENT_MATURE_CYCLES,4,1,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2016-08-01,INSUFFICIENT_MATURE_CYCLES,5,1,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2016-09-01,INSUFFICIENT_MATURE_CYCLES,5,1,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2016-10-10,INSUFFICIENT_MATURE_CYCLES,5,2,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2016-11-01,INSUFFICIENT_MATURE_CYCLES,5,2,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2016-12-01,INSUFFICIENT_MATURE_CYCLES,5,2,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2017-01-03,INSUFFICIENT_MATURE_CYCLES,5,2,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2017-02-03,INSUFFICIENT_MATURE_CYCLES,5,2,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2017-03-01,INSUFFICIENT_MATURE_CYCLES,5,3,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2017-04-05,INSUFFICIENT_MATURE_CYCLES,5,3,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2017-05-02,INSUFFICIENT_MATURE_CYCLES,5,3,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2017-06-01,INSUFFICIENT_MATURE_CYCLES,5,3,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2017-07-03,INSUFFICIENT_MATURE_CYCLES,5,3,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2017-08-01,INSUFFICIENT_MATURE_CYCLES,5,3,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2017-09-01,INSUFFICIENT_MATURE_CYCLES,6,3,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2017-10-09,INSUFFICIENT_MATURE_CYCLES,6,3,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2017-11-01,INSUFFICIENT_MATURE_CYCLES,6,3,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2017-12-01,INSUFFICIENT_MATURE_CYCLES,6,3,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2018-01-02,INSUFFICIENT_MATURE_CYCLES,6,4,0.5,0.5,0.5,0.5,0.0
earlier_diagnostic,2018-02-01,UPDATED_POSITIVE_EFFICIENCY,6,5,0.3740400938660373,0.6259599061339628,0.3740400938660371,0.6259599061339628,2.220446049250313e-16
earlier_diagnostic,2018-03-01,UPDATED_POSITIVE_EFFICIENCY,6,5,0.3740400938660373,0.6259599061339628,0.3740400938660371,0.6259599061339628,2.220446049250313e-16
earlier_diagnostic,2018-04-02,UPDATED_POSITIVE_EFFICIENCY,7,5,0.3831310347283079,0.6168689652716921,0.3831310347283077,0.6168689652716922,2.220446049250313e-16
earlier_diagnostic,2018-05-02,UPDATED_POSITIVE_EFFICIENCY,7,5,0.3831310347283079,0.6168689652716921,0.3831310347283077,0.6168689652716922,2.220446049250313e-16
earlier_diagnostic,2018-06-01,UPDATED_POSITIVE_EFFICIENCY,7,5,0.3831310347283079,0.6168689652716921,0.3831310347283077,0.6168689652716922,2.220446049250313e-16
earlier_diagnostic,2018-07-02,UPDATED_POSITIVE_EFFICIENCY,7,5,0.3831310347283079,0.6168689652716921,0.3831310347283077,0.6168689652716922,2.220446049250313e-16
earlier_diagnostic,2018-08-01,UPDATED_POSITIVE_EFFICIENCY,7,5,0.3831310347283079,0.6168689652716921,0.3831310347283077,0.6168689652716922,2.220446049250313e-16
earlier_diagnostic,2018-09-03,UPDATED_POSITIVE_EFFICIENCY,7,5,0.3831310347283079,0.6168689652716921,0.3831310347283077,0.6168689652716922,2.220446049250313e-16
earlier_diagnostic,2018-10-08,UPDATED_POSITIVE_EFFICIENCY,7,5,0.3831310347283079,0.6168689652716921,0.3831310347283077,0.6168689652716922,2.220446049250313e-16
earlier_diagnostic,2018-11-01,UPDATED_POSITIVE_EFFICIENCY,8,6,0.38544170110326437,0.6145582988967357,0.3854417011032641,0.614558298896736,2.7755575615628914e-16
earlier_diagnostic,2018-12-03,UPDATED_POSITIVE_EFFICIENCY,8,6,0.38544170110326437,0.6145582988967357,0.3854417011032641,0.614558298896736,2.7755575615628914e-16
earlier_diagnostic,2019-01-02,UPDATED_POSITIVE_EFFICIENCY,8,6,0.38544170110326437,0.6145582988967357,0.3854417011032641,0.614558298896736,2.7755575615628914e-16
earlier_diagnostic,2019-02-01,UPDATED_POSITIVE_EFFICIENCY,8,6,0.38544170110326437,0.6145582988967357,0.3854417011032641,0.614558298896736,2.7755575615628914e-16
earlier_diagnostic,2019-03-01,UPDATED_POSITIVE_EFFICIENCY,8,6,0.38544170110326437,0.6145582988967357,0.3854417011032641,0.614558298896736,2.7755575615628914e-16
earlier_diagnostic,2019-04-01,UPDATED_POSITIVE_EFFICIENCY,9,6,0.40138275459565337,0.5986172454043466,0.4013827545956531,0.5986172454043468,2.7755575615628914e-16
earlier_diagnostic,2019-05-06,UPDATED_POSITIVE_EFFICIENCY,9,6,0.40138275459565337,0.5986172454043466,0.4013827545956531,0.5986172454043468,2.7755575615628914e-16
earlier_diagnostic,2019-06-03,UPDATED_POSITIVE_EFFICIENCY,9,6,0.40138275459565337,0.5986172454043466,0.4013827545956531,0.5986172454043468,2.7755575615628914e-16
earlier_diagnostic,2019-07-01,UPDATED_POSITIVE_EFFICIENCY,10,6,0.421255950119933,0.5787440498800669,0.4212559501199328,0.5787440498800672,3.3306690738754696e-16
earlier_diagnostic,2019-08-01,UPDATED_POSITIVE_EFFICIENCY,10,6,0.421255950119933,0.5787440498800669,0.4212559501199328,0.5787440498800672,3.3306690738754696e-16
earlier_diagnostic,2019-09-02,UPDATED_POSITIVE_EFFICIENCY,10,6,0.421255950119933,0.5787440498800669,0.4212559501199328,0.5787440498800672,3.3306690738754696e-16
earlier_diagnostic,2019-10-08,UPDATED_POSITIVE_EFFICIENCY,10,7,0.41873423224313544,0.5812657677568646,0.4187342322431353,0.5812657677568647,1.6653345369377348e-16
earlier_diagnostic,2019-11-01,UPDATED_POSITIVE_EFFICIENCY,10,7,0.41873423224313544,0.5812657677568646,0.4187342322431353,0.5812657677568647,1.6653345369377348e-16
earlier_diagnostic,2019-12-02,UPDATED_POSITIVE_EFFICIENCY,10,7,0.41873423224313544,0.5812657677568646,0.4187342322431353,0.5812657677568647,1.6653345369377348e-16
