fit_index,fit_origin,cycles,rows,index_cycles,etf_cycles,eligible
2476,2022-08-01,20,892,0,20,True
2499,2022-09-01,20,890,0,20,True
2520,2022-10-10,20,885,0,20,True
2536,2022-11-01,20,885,0,20,True
2558,2022-12-01,20,885,0,20,True
2580,2023-01-03,20,885,0,20,True
2596,2023-02-01,20,885,0,20,True
2616,2023-03-01,20,885,0,20,True
2639,2023-04-03,20,885,0,20,True
2658,2023-05-04,20,885,0,20,True
2678,2023-06-01,20,885,0,20,True
2698,2023-07-03,20,885,0,20,True
2719,2023-08-01,20,885,0,20,True
2742,2023-09-01,20,885,0,20,True
2762,2023-10-09,20,885,0,20,True
2779,2023-11-01,20,885,0,20,True
2801,2023-12-01,20,885,0,20,True
2822,2024-01-02,20,885,0,20,True
2844,2024-02-01,20,885,0,20,True
2859,2024-03-01,20,885,0,20,True
2880,2024-04-01,20,885,0,20,True
2900,2024-05-06,20,885,0,20,True
2920,2024-06-03,20,885,0,20,True
2939,2024-07-01,20,885,0,20,True
2962,2024-08-01,20,915,0,20,True
2984,2024-09-02,20,915,0,20,True
3003,2024-10-08,20,896,0,20,True
3021,2024-11-01,20,842,0,20,True
3042,2024-12-02,20,842,0,20,True
3064,2025-01-02,20,842,0,20,True
3082,2025-02-05,20,842,0,20,True
3100,2025-03-03,20,842,0,20,True
3121,2025-04-01,20,842,0,20,True
3142,2025-05-06,20,842,0,20,True
3161,2025-06-03,20,842,0,20,True
3181,2025-07-01,20,842,0,20,True
3204,2025-08-01,20,842,0,20,True
3225,2025-09-01,20,842,0,20,True
3247,2025-10-09,20,842,0,20,True
3264,2025-11-03,20,842,0,20,True
3284,2025-12-01,20,842,0,20,True
3307,2026-01-05,20,842,0,20,True
3327,2026-02-02,20,842,0,20,True
3341,2026-03-02,20,795,0,20,True
3363,2026-04-01,20,795,0,20,True
3384,2026-05-06,20,795,0,20,True
3402,2026-06-01,20,795,0,20,True
3423,2026-07-01,20,795,0,20,True
3446,2026-08-03,20,790,0,20,True
