period,model,parent,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,first_zero_origins,mean_target
earlier_diagnostic,CONFIRMED_ACCOUNT_RISK_15,ACCOUNT_RISK_15,BASE,1219,446,773,0,15,0.3074327856115075
earlier_diagnostic,CONFIRMED_RISK_DAILY_30_10,RISK_DAILY_30_10,STRESS,1219,452,767,0,15,0.25495435601471983
earlier_diagnostic,CONFIRMED_RISK_DAILY_30_12,RISK_DAILY_30_12,STRESS,1219,452,767,0,15,0.2723089235679917
earlier_diagnostic,CONFIRMED_RISK_DAILY_30_15,RISK_DAILY_30_15,STRESS,1219,452,767,0,15,0.2940618566201393
earlier_diagnostic,CONFIRMED_RISK_DAILY_120_10,RISK_DAILY_120_10,STRESS,1219,452,767,0,15,0.2943707532577834
earlier_diagnostic,CONFIRMED_RISK_DAILY_120_12,RISK_DAILY_120_12,STRESS,1219,452,767,0,15,0.30782024810090153
earlier_diagnostic,CONFIRMED_RISK_DAILY_120_15,RISK_DAILY_120_15,STRESS,1219,452,767,0,15,0.3210539652455493
earlier_diagnostic,CONFIRMED_RISK_EPISODE_30_10,RISK_EPISODE_30_10,STRESS,1219,452,767,0,15,0.2305371121763662
earlier_diagnostic,CONFIRMED_RISK_EPISODE_30_12,RISK_EPISODE_30_12,STRESS,1219,452,767,0,15,0.23113752049400235
earlier_diagnostic,CONFIRMED_RISK_EPISODE_30_15,RISK_EPISODE_30_15,STRESS,1219,452,767,0,15,0.23203813297045656
earlier_diagnostic,CONFIRMED_RISK_EPISODE_60_12,RISK_EPISODE_60_12,STRESS,1219,452,767,0,15,0.2708182619511269
earlier_diagnostic,CONFIRMED_RISK_EPISODE_60_15,RISK_EPISODE_60_15,STRESS,1219,452,767,0,15,0.27578831395569015
earlier_diagnostic,CONFIRMED_RISK_EPISODE_120_10,RISK_EPISODE_120_10,STRESS,1219,452,767,0,15,0.2956937743771258
earlier_diagnostic,CONFIRMED_RISK_EPISODE_120_12,RISK_EPISODE_120_12,STRESS,1219,452,767,0,15,0.3034644641677296
earlier_diagnostic,CONFIRMED_RISK_EPISODE_120_15,RISK_EPISODE_120_15,STRESS,1219,452,767,0,15,0.3125004751139933
earlier_diagnostic,CONFIRMED_EPISODE_ACCOUNT_RISK_BUDGET,EPISODE_ACCOUNT_RISK_BUDGET,STRESS,1219,452,767,0,15,0.265684021076847
earlier_diagnostic,CONFIRMED_ACCOUNT_RISK_12,ACCOUNT_RISK_12,STRESS,1219,452,767,0,15,0.2939042863438482
earlier_diagnostic,CONFIRMED_ACCOUNT_RISK_15,ACCOUNT_RISK_15,STRESS,1219,452,767,0,15,0.3124672326608057
