fit_index,fit_origin,fit_time,status,training_cycles,latest_exit_index,latest_exit_date
1387,2018-02-01,2018-02-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,7,1270,2017-08-14
1402,2018-03-01,2018-03-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,7,1270,2017-08-14
1424,2018-04-02,2018-04-02 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,7,1270,2017-08-14
1442,2018-05-02,2018-05-02 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,7,1270,2017-08-14
1464,2018-06-01,2018-06-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,7,1270,2017-08-14
1484,2018-07-02,2018-07-02 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,7,1270,2017-08-14
1506,2018-08-01,2018-08-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,7,1270,2017-08-14
1529,2018-09-03,2018-09-03 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,7,1270,2017-08-14
1548,2018-10-08,2018-10-08 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,7,1270,2017-08-14
1566,2018-11-01,2018-11-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,8,1553,2018-10-15
1588,2018-12-03,2018-12-03 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,8,1553,2018-10-15
1608,2019-01-02,2019-01-02 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,8,1553,2018-10-15
1630,2019-02-01,2019-02-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,8,1553,2018-10-15
1645,2019-03-01,2019-03-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,8,1553,2018-10-15
1666,2019-04-01,2019-04-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,9,1651,2019-03-11
1687,2019-05-06,2019-05-06 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,9,1651,2019-03-11
1707,2019-06-03,2019-06-03 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,9,1651,2019-03-11
1726,2019-07-01,2019-07-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,9,1651,2019-03-11
1749,2019-08-01,2019-08-01 15:05:00,FIT_COMPLETE,10,1730,2019-07-05
1771,2019-09-02,2019-09-02 15:05:00,FIT_COMPLETE,10,1730,2019-07-05
1791,2019-10-08,2019-10-08 15:05:00,FIT_COMPLETE,10,1730,2019-07-05
1809,2019-11-01,2019-11-01 15:05:00,FIT_COMPLETE,10,1730,2019-07-05
1830,2019-12-02,2019-12-02 15:05:00,FIT_COMPLETE,10,1730,2019-07-05
1852,2020-01-02,2020-01-02 15:05:00,FIT_COMPLETE,10,1730,2019-07-05
1868,2020-02-03,2020-02-03 15:05:00,FIT_COMPLETE,10,1730,2019-07-05
1888,2020-03-02,2020-03-02 15:05:00,FIT_COMPLETE,11,1888,2020-03-02
1910,2020-04-01,2020-04-01 15:05:00,FIT_COMPLETE,11,1888,2020-03-02
1931,2020-05-06,2020-05-06 15:05:00,FIT_COMPLETE,11,1888,2020-03-02
1949,2020-06-01,2020-06-01 15:05:00,FIT_COMPLETE,11,1888,2020-03-02
1969,2020-07-01,2020-07-01 15:05:00,FIT_COMPLETE,11,1888,2020-03-02
1992,2020-08-03,2020-08-03 15:05:00,FIT_COMPLETE,12,1979,2020-07-15
2013,2020-09-01,2020-09-01 15:05:00,FIT_COMPLETE,12,1979,2020-07-15
2035,2020-10-09,2020-10-09 15:05:00,FIT_COMPLETE,13,2021,2020-09-11
2051,2020-11-02,2020-11-02 15:05:00,FIT_COMPLETE,13,2021,2020-09-11
2072,2020-12-01,2020-12-01 15:05:00,FIT_COMPLETE,13,2021,2020-09-11
2095,2021-01-04,2021-01-04 15:05:00,FIT_COMPLETE,13,2021,2020-09-11
2115,2021-02-01,2021-02-01 15:05:00,FIT_COMPLETE,14,2108,2021-01-21
2130,2021-03-01,2021-03-01 15:05:00,FIT_COMPLETE,15,2129,2021-02-26
2153,2021-04-01,2021-04-01 15:05:00,FIT_COMPLETE,15,2129,2021-02-26
2174,2021-05-06,2021-05-06 15:05:00,FIT_COMPLETE,15,2129,2021-02-26
2192,2021-06-01,2021-06-01 15:05:00,FIT_COMPLETE,15,2129,2021-02-26
2213,2021-07-01,2021-07-01 15:05:00,FIT_COMPLETE,15,2129,2021-02-26
2235,2021-08-02,2021-08-02 15:05:00,FIT_COMPLETE,16,2227,2021-07-21
2257,2021-09-01,2021-09-01 15:05:00,FIT_COMPLETE,16,2227,2021-07-21
2277,2021-10-08,2021-10-08 15:05:00,FIT_COMPLETE,16,2227,2021-07-21
2293,2021-11-01,2021-11-01 15:05:00,FIT_COMPLETE,16,2227,2021-07-21
2315,2021-12-01,2021-12-01 15:05:00,FIT_COMPLETE,17,2308,2021-11-22
2338,2022-01-04,2022-01-04 15:05:00,FIT_COMPLETE,18,2321,2021-12-09
2357,2022-02-07,2022-02-07 15:05:00,FIT_COMPLETE,18,2321,2021-12-09
2373,2022-03-01,2022-03-01 15:05:00,FIT_COMPLETE,18,2321,2021-12-09
2396,2022-04-01,2022-04-01 15:05:00,FIT_COMPLETE,18,2321,2021-12-09
2415,2022-05-05,2022-05-05 15:05:00,FIT_COMPLETE,18,2321,2021-12-09
2434,2022-06-01,2022-06-01 15:05:00,FIT_COMPLETE,19,2427,2022-05-23
2455,2022-07-01,2022-07-01 15:05:00,FIT_COMPLETE,20,2440,2022-06-10
2476,2022-08-01,2022-08-01 15:05:00,FIT_COMPLETE,20,2440,2022-06-10
2499,2022-09-01,2022-09-01 15:05:00,FIT_COMPLETE,20,2495,2022-08-26
2520,2022-10-10,2022-10-10 15:05:00,FIT_COMPLETE,20,2495,2022-08-26
2536,2022-11-01,2022-11-01 15:05:00,FIT_COMPLETE,20,2495,2022-08-26
2558,2022-12-01,2022-12-01 15:05:00,FIT_COMPLETE,20,2495,2022-08-26
2580,2023-01-03,2023-01-03 15:05:00,FIT_COMPLETE,20,2495,2022-08-26
2596,2023-02-01,2023-02-01 15:05:00,FIT_COMPLETE,20,2495,2022-08-26
2616,2023-03-01,2023-03-01 15:05:00,FIT_COMPLETE,20,2495,2022-08-26
2639,2023-04-03,2023-04-03 15:05:00,FIT_COMPLETE,20,2495,2022-08-26
2658,2023-05-04,2023-05-04 15:05:00,FIT_COMPLETE,20,2495,2022-08-26
2678,2023-06-01,2023-06-01 15:05:00,FIT_COMPLETE,20,2495,2022-08-26
2698,2023-07-03,2023-07-03 15:05:00,FIT_COMPLETE,20,2495,2022-08-26
2719,2023-08-01,2023-08-01 15:05:00,FIT_COMPLETE,20,2495,2022-08-26
2742,2023-09-01,2023-09-01 15:05:00,FIT_COMPLETE,20,2495,2022-08-26
2762,2023-10-09,2023-10-09 15:05:00,FIT_COMPLETE,20,2495,2022-08-26
2779,2023-11-01,2023-11-01 15:05:00,FIT_COMPLETE,20,2495,2022-08-26
2801,2023-12-01,2023-12-01 15:05:00,FIT_COMPLETE,20,2495,2022-08-26
2822,2024-01-02,2024-01-02 15:05:00,FIT_COMPLETE,20,2495,2022-08-26
2844,2024-02-01,2024-02-01 15:05:00,FIT_COMPLETE,20,2495,2022-08-26
2859,2024-03-01,2024-03-01 15:05:00,FIT_COMPLETE,20,2854,2024-02-23
2880,2024-04-01,2024-04-01 15:05:00,FIT_COMPLETE,20,2854,2024-02-23
2900,2024-05-06,2024-05-06 15:05:00,FIT_COMPLETE,20,2854,2024-02-23
2920,2024-06-03,2024-06-03 15:05:00,FIT_COMPLETE,20,2854,2024-02-23
2939,2024-07-01,2024-07-01 15:05:00,FIT_COMPLETE,20,2854,2024-02-23
2962,2024-08-01,2024-08-01 15:05:00,FIT_COMPLETE,20,2952,2024-07-18
2984,2024-09-02,2024-09-02 15:05:00,FIT_COMPLETE,20,2965,2024-08-06
3003,2024-10-08,2024-10-08 15:05:00,FIT_COMPLETE,20,3002,2024-09-30
3021,2024-11-01,2024-11-01 15:05:00,FIT_COMPLETE,20,3002,2024-09-30
3042,2024-12-02,2024-12-02 15:05:00,FIT_COMPLETE,20,3002,2024-09-30
3064,2025-01-02,2025-01-02 15:05:00,FIT_COMPLETE,20,3002,2024-09-30
3082,2025-02-05,2025-02-05 15:05:00,FIT_COMPLETE,20,3002,2024-09-30
3100,2025-03-03,2025-03-03 15:05:00,FIT_COMPLETE,20,3002,2024-09-30
3121,2025-04-01,2025-04-01 15:05:00,FIT_COMPLETE,20,3002,2024-09-30
3142,2025-05-06,2025-05-06 15:05:00,FIT_COMPLETE,20,3136,2025-04-23
3161,2025-06-03,2025-06-03 15:05:00,FIT_COMPLETE,20,3136,2025-04-23
3181,2025-07-01,2025-07-01 15:05:00,FIT_COMPLETE,20,3172,2025-06-18
3204,2025-08-01,2025-08-01 15:05:00,FIT_COMPLETE,20,3172,2025-06-18
3225,2025-09-01,2025-09-01 15:05:00,FIT_COMPLETE,20,3172,2025-06-18
3247,2025-10-09,2025-10-09 15:05:00,FIT_COMPLETE,20,3172,2025-06-18
3264,2025-11-03,2025-11-03 15:05:00,FIT_COMPLETE,20,3172,2025-06-18
3284,2025-12-01,2025-12-01 15:05:00,FIT_COMPLETE,20,3172,2025-06-18
3307,2026-01-05,2026-01-05 15:05:00,FIT_COMPLETE,20,3172,2025-06-18
3327,2026-02-02,2026-02-02 15:05:00,FIT_COMPLETE,20,3316,2026-01-16
3341,2026-03-02,2026-03-02 15:05:00,FIT_COMPLETE,20,3316,2026-01-16
3363,2026-04-01,2026-04-01 15:05:00,FIT_COMPLETE,20,3316,2026-01-16
3384,2026-05-06,2026-05-06 15:05:00,FIT_COMPLETE,20,3316,2026-01-16
3402,2026-06-01,2026-06-01 15:05:00,FIT_COMPLETE,20,3392,2026-05-18
3423,2026-07-01,2026-07-01 15:05:00,FIT_COMPLETE,20,3417,2026-06-23
3446,2026-08-03,2026-08-03 15:05:00,FIT_COMPLETE,20,3445,2026-07-31
