cost,model,assumption,kind,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target
STRESS,S1_TREND_REBOUND_D100_L3,OPEN_ONLY,LIMIT_POLICY,-0.0005099196000000149,-7.69496676995918e-05,0.0016961268490248164,0.05935793076811198,0.02857456159735276,-0.15208860604663277,1604,0.05248962275426914,24,1850.38392,5059.600000000006,False,2.7966962079517543e-11,-0.036161894181442236,False
STRESS,R2_Z_CONFIRM_D50_L1,OPEN_ONLY,LIMIT_POLICY,0.056542099600000284,0.008332742670237233,0.009055586237627006,0.03878742197552159,0.2334670822758447,-0.10453992597900422,1604,0.020331959627005413,8,648.5800800000001,1773.6000000000126,False,2.0833113012486137e-11,-0.027752201843505415,False
STRESS,R2_Z_CONFIRM_D50_L3,OPEN_ONLY,LIMIT_POLICY,0.06089859260000093,0.008958932576495346,0.010435158771932587,0.05508152715526279,0.18944933648114284,-0.1270803920397899,1604,0.06497422546218921,24,1927.38148,5216.200000000037,False,3.097966327914037e-11,-0.0271260119372473,False
STRESS,R2_Z_CONFIRM_D100_L1,OPEN_ONLY,LIMIT_POLICY,0.006251105199999757,0.000940628420846005,0.001658255476994308,0.03774916038819709,0.043928274428927154,-0.10499864321008746,1604,0.014192953172077846,6,486.57896000000005,1346.799999999988,False,2.546585164964199e-11,-0.035144316092896644,False
STRESS,R2_Z_CONFIRM_D100_L3,OPEN_ONLY,LIMIT_POLICY,0.04380542979999986,0.006489350924862161,0.0076606922309098106,0.04880429846648132,0.1569675719480151,-0.10501442874959037,1604,0.04085974441570379,16,1293.2140400000003,3497.40000000002,False,3.078071131312754e-11,-0.029595593588880486,False
STRESS,V1_CLIMAX_RECOVERY_D50_L1,OPEN_ONLY,LIMIT_POLICY,0.04291842000000012,0.006360262947935519,0.0065136592778476145,0.01863675728062355,0.3495060422673316,-0.05488452320881246,1604,0.014895759917690527,6,482.31600000000003,1259.0000000000393,False,2.233946361229755e-11,-0.029724681565807126,False
STRESS,V1_CLIMAX_RECOVERY_D50_L3,OPEN_ONLY,LIMIT_POLICY,0.04291842000000012,0.006360262947935519,0.0065136592778476145,0.01863675728062355,0.3495060422673316,-0.05488452320881246,1604,0.014895759917690527,6,482.31600000000003,1259.0000000000393,False,2.233946361229755e-11,-0.029724681565807126,False
STRESS,V1_CLIMAX_RECOVERY_D100_L1,OPEN_ONLY,LIMIT_POLICY,0.016579633000000222,0.0024839860532959905,0.0024899593835286966,0.004261023265320552,0.584357143457507,-0.00300439454869106,1604,0.002482166227092468,2,160.5734,408.9999999999913,False,1.6370904631912708e-11,-0.03360095846044665,False
STRESS,V1_CLIMAX_RECOVERY_D100_L3,OPEN_ONLY,LIMIT_POLICY,0.016579633000000222,0.0024839860532959905,0.0024899593835286966,0.004261023265320552,0.584357143457507,-0.00300439454869106,1604,0.002482166227092468,2,160.5734,408.9999999999913,False,1.6370904631912708e-11,-0.03360095846044665,False
BASE,S1_TREND_REBOUND_D50_L1,PENETRATION,LIMIT_POLICY,-0.17300311729999968,-0.02825217606302015,-0.02593556892488803,0.07365267518203653,-0.3521334270722263,-0.2235610585771194,1604,0.13666913699115898,70,2602.22346,7922.29999999981,False,3.524291969370097e-11,-0.06450964770863712,False
