era,cost,model,assumption,kind,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
2020—2021,BASE,V1_CLIMAX_RECOVERY_D100_L1,OPEN_ONLY,LIMIT_POLICY,0.017799066499999756,0.008823658506727072,0.008815820547323503,0.007859340581807225,1.1216997730993277,-0.002403365987127091,486,0.008187253195847328,2,80.2867,245.4000000000093,False,1.6370904631912708e-11
2022—2023,BASE,V1_CLIMAX_RECOVERY_D100_L1,OPEN_ONLY,LIMIT_POLICY,0.0,0.0,0.0,0.0,,0.0,484,0.0,0,0.0,0.0,False,0.0
2024—终点,BASE,V1_CLIMAX_RECOVERY_D100_L1,OPEN_ONLY,LIMIT_POLICY,0.0,0.0,0.0,0.0,,0.0,634,0.0,0,0.0,0.0,False,0.0
2020—2021,BASE,V1_CLIMAX_RECOVERY_D100_L3,OPEN_ONLY,LIMIT_POLICY,0.017799066499999756,0.008823658506727072,0.008815820547323503,0.007859340581807225,1.1216997730993277,-0.002403365987127091,486,0.008187253195847328,2,80.2867,245.4000000000093,False,1.6370904631912708e-11
2022—2023,BASE,V1_CLIMAX_RECOVERY_D100_L3,OPEN_ONLY,LIMIT_POLICY,0.0,0.0,0.0,0.0,,0.0,484,0.0,0,0.0,0.0,False,0.0
2024—终点,BASE,V1_CLIMAX_RECOVERY_D100_L3,OPEN_ONLY,LIMIT_POLICY,0.0,0.0,0.0,0.0,,0.0,634,0.0,0,0.0,0.0,False,0.0
2020—2021,STRESS,S1_TREND_REBOUND_D50_L1,OPEN_ONLY,LIMIT_POLICY,0.029195174000000077,0.014432501188255899,0.014873216193452868,0.03314628854062643,0.44871437642930084,-0.03204218279999998,486,0.022157907410431537,4,313.9652,906.7999999999665,False,1.9326762412674725e-11
2022—2023,STRESS,S1_TREND_REBOUND_D50_L1,OPEN_ONLY,LIMIT_POLICY,-0.0485858605473792,-0.024595397051756375,-0.023001292894147318,0.06130487944118139,-0.37519514113416985,-0.10449375374642801,484,0.02660147074918192,4,314.46664,874.8000000000119,False,2.8563817977556027e-11
2024—终点,STRESS,S1_TREND_REBOUND_D50_L1,OPEN_ONLY,LIMIT_POLICY,0.05004318684186811,0.018813866073266853,0.018756072626859133,0.015345094976729047,1.2222845577236805,0.0,634,0.01570912583811808,2,159.93396,421.6000000000238,False,2.4272139853565022e-11
2020—2021,STRESS,S1_TREND_REBOUND_D50_L3,OPEN_ONLY,LIMIT_POLICY,-0.02053269480000054,-0.010277345927150789,-0.007688411941506171,0.07239289531453881,-0.10620395700573798,-0.07855180827039224,486,0.06877178924572931,8,629.13896,1761.1999999999734,False,2.7284841053187847e-11
2022—2023,STRESS,S1_TREND_REBOUND_D50_L3,OPEN_ONLY,LIMIT_POLICY,-0.07931491698350915,-0.04047663758692626,-0.037357654929046025,0.08890201747750677,-0.4202115541247187,-0.12707101166497436,484,0.16224737506040515,22,1616.8736,4476.200000000024,False,3.504396772768814e-11
2024—终点,STRESS,S1_TREND_REBOUND_D50_L3,OPEN_ONLY,LIMIT_POLICY,0.09578310367503859,0.03553079231917731,0.03550590527582917,0.0345734340375113,1.0269707439910702,-0.019372059316070694,634,0.03926506099568379,12,890.2246,2478.5999999999867,False,2.546585164964199e-11
2020—2021,STRESS,S1_TREND_REBOUND_D100_L1,OPEN_ONLY,LIMIT_POLICY,0.0579151600000001,0.028430883594352422,0.028491121482213062,0.030393978129681764,0.9373936297726544,-0.010608136054631368,486,0.020219202675426345,2,161.76800000000003,443.1999999999758,False,2.3874235921539366e-11
2022—2023,STRESS,S1_TREND_REBOUND_D100_L1,OPEN_ONLY,LIMIT_POLICY,-0.048835725919647785,-0.024723488399134973,-0.023113312510860906,0.061613117160871825,-0.37513623033407084,-0.10499864321008746,484,0.02673339749536294,4,324.81096,903.6000000000122,False,2.546585164964199e-11
2024—终点,STRESS,S1_TREND_REBOUND_D100_L1,OPEN_ONLY,LIMIT_POLICY,0.0,0.0,0.0,0.0,,0.0,634,0.0,0,0.0,0.0,False,0.0
2020—2021,STRESS,S1_TREND_REBOUND_D100_L3,OPEN_ONLY,LIMIT_POLICY,-0.0047467502000001225,-0.002366431244765675,-9.22091723423799e-05,0.06710893886552302,-0.0013740222077889541,-0.06157971911471642,486,0.05455756929304509,6,482.8500400000001,1310.9999999999827,False,2.6830093702301383e-11
2022—2023,STRESS,S1_TREND_REBOUND_D100_L3,OPEN_ONLY,LIMIT_POLICY,-0.019017318460204626,-0.009554301569341271,-0.006100107679400502,0.08360422331898072,-0.07296410919489506,-0.10509820314296457,484,0.11717606654047387,16,1215.0096,3339.6000000000317,False,2.7966962079517543e-11
2024—终点,STRESS,S1_TREND_REBOUND_D100_L3,OPEN_ONLY,LIMIT_POLICY,0.023725552543088863,0.008990538784626164,0.00901869596281395,0.011752079355089342,0.7674127863090309,0.0,634,0.0015223344098397914,2,152.52427999999998,408.9999999999913,False,2.6915358830592595e-11
2020—2021,STRESS,R2_Z_CONFIRM_D50_L1,OPEN_ONLY,LIMIT_POLICY,0.05760153999999998,0.02827905994043623,0.028338664597719547,0.030232245296213548,0.9373655287610688,-0.010553124988920208,486,0.020113193143665258,2,160.892,440.79999999997597,False,1.978150976356119e-11
2022—2023,STRESS,R2_Z_CONFIRM_D50_L1,OPEN_ONLY,LIMIT_POLICY,-0.04865349345085052,-0.024630066821234503,-0.023035978791784095,0.06131740324381565,-0.3756841870844793,-0.10453992597900422,484,0.026589142103129366,4,323.20192000000003,899.2000000000121,False,1.659827830735594e-11
2024—终点,STRESS,R2_Z_CONFIRM_D50_L1,OPEN_ONLY,LIMIT_POLICY,0.0500887472808871,0.01883073921166375,0.018772843952500822,0.015358930184174087,1.2222754923285248,0.0,634,0.0157228810662157,2,164.48616,433.60000000002447,False,2.0833113012486137e-11
2020—2021,STRESS,R2_Z_CONFIRM_D50_L3,OPEN_ONLY,LIMIT_POLICY,0.05760153999999998,0.02827905994043623,0.028338664597719547,0.030232245296213548,0.9373655287610688,-0.010553124988920208,486,0.020113193143665258,2,160.892,440.79999999997597,False,1.978150976356119e-11
2022—2023,STRESS,R2_Z_CONFIRM_D50_L3,OPEN_ONLY,LIMIT_POLICY,-0.06756360585480944,-0.03437253863345903,-0.031028667463721012,0.0887730313466102,-0.3495280829441434,-0.12708039203978994,484,0.15803980089006492,18,1437.87472,3886.6000000000477,False,3.097966327914037e-11
2024—终点,STRESS,R2_Z_CONFIRM_D50_L3,OPEN_ONLY,LIMIT_POLICY,0.07580258256531044,0.02828248130616508,0.028364792946575932,0.03101490088020058,0.9145537190700347,-0.01938041704715259,634,0.02831606016204852,4,328.61476000000005,888.800000000014,False,2.6432189770275727e-11
2020—2021,STRESS,R2_Z_CONFIRM_D100_L1,OPEN_ONLY,LIMIT_POLICY,0.0579151600000001,0.028430883594352422,0.028491121482213062,0.030393978129681764,0.9373936297726544,-0.010608136054631368,486,0.020219202675426345,2,161.76800000000003,443.1999999999758,False,2.3874235921539366e-11
2022—2023,STRESS,R2_Z_CONFIRM_D100_L1,OPEN_ONLY,LIMIT_POLICY,-0.048835725919647785,-0.024723488399134973,-0.023113312510860906,0.061613117160871825,-0.37513623033407084,-0.10499864321008746,484,0.02673339749536294,4,324.81096,903.6000000000122,False,2.546585164964199e-11
2024—终点,STRESS,R2_Z_CONFIRM_D100_L1,OPEN_ONLY,LIMIT_POLICY,0.0,0.0,0.0,0.0,,0.0,634,0.0,0,0.0,0.0,False,0.0
2020—2021,STRESS,R2_Z_CONFIRM_D100_L3,OPEN_ONLY,LIMIT_POLICY,0.0579151600000001,0.028430883594352422,0.028491121482213062,0.030393978129681764,0.9373936297726544,-0.010608136054631368,486,0.020219202675426345,2,161.76800000000003,443.1999999999758,False,2.3874235921539366e-11
2022—2023,STRESS,R2_Z_CONFIRM_D100_L3,OPEN_ONLY,LIMIT_POLICY,-0.013337298427598104,-0.006691034183018209,-0.0032209394668930025,0.08351514962198169,-0.03856712801775586,-0.10501442874959037,484,0.11510846599696628,14,1131.4460400000003,3054.2000000000444,False,3.078071131312754e-11
2024—终点,STRESS,R2_Z_CONFIRM_D100_L3,OPEN_ONLY,LIMIT_POLICY,0.0,0.0,0.0,0.0,,0.0,634,0.0,0,0.0,0.0,False,0.0
2020—2021,STRESS,V1_CLIMAX_RECOVERY_D50_L1,OPEN_ONLY,LIMIT_POLICY,0.01649855899999992,0.008181585314849442,0.008177888527729714,0.007696459168292771,1.0625520578892038,-0.0029899848000042297,486,0.008152603175256177,2,159.78820000000002,406.9999999999913,False,2.0094148567295633e-11
2022—2023,STRESS,V1_CLIMAX_RECOVERY_D50_L1,OPEN_ONLY,LIMIT_POLICY,-0.02294723371073655,-0.011540205021335504,-0.011215438061741412,0.027963842818861055,-0.4010692712868784,-0.05488452320881246,484,0.020583753355201125,2,160.166,424.00000000002393,False,1.6115109247039072e-11
2024—终点,STRESS,V1_CLIMAX_RECOVERY_D50_L1,OPEN_ONLY,LIMIT_POLICY,0.050087652980653,0.018830333946965296,0.018772441134185767,0.015358597883975108,1.2222757100615678,0.0,634,0.015722550695400253,2,162.36180000000002,428.00000000002416,False,2.233946361229755e-11
2020—2021,STRESS,V1_CLIMAX_RECOVERY_D50_L3,OPEN_ONLY,LIMIT_POLICY,0.01649855899999992,0.008181585314849442,0.008177888527729714,0.007696459168292771,1.0625520578892038,-0.0029899848000042297,486,0.008152603175256177,2,159.78820000000002,406.9999999999913,False,2.0094148567295633e-11
