period,cost,model,cycle,entry_date,entry_origin,buy_debit,gross_price_profit,commission,slippage,dividend_recognized,held_closes,buy_trades,sell_trades,exit_date,exit_origin,terminal_exit,net_profit,cycle_net_return
evaluation,BASE,ROLLING_VARIANCE_BUDGET_CONTROL,18,2026-06-05,2026-06-04,47164.63104,1631.9999999999927,19.17696,57.599999999993656,0.0,11,1,1,2026-06-23,2026-06-22,False,1555.223039999999,0.03297434975545605
evaluation,BASE,ROLLING_VARIANCE_BUDGET_CONTROL,19,2026-07-23,2026-07-22,25800.95916,-507.59999999999854,10.210320000000001,32.39999999999643,0.0,6,1,1,2026-07-31,2026-07-30,False,-550.210319999995,-0.021325188594267557
evaluation,BASE,ROLLING_VARIANCE_BUDGET_CONTROL,20,2026-08-07,2026-08-06,28259.650800000003,185.99999999999636,11.331600000000002,36.000000000001364,0.0,5,1,1,2026-08-14,2026-08-13,True,138.668399999995,0.004906939614412892
evaluation,STRESS,ROLLING_VARIANCE_BUDGET_CONTROL,1,2020-02-05,2020-02-04,56084.82496,3909.6000000000076,49.46784000000001,132.00000000000517,0.0,18,1,2,2020-03-02,2020-02-28,False,3728.132160000003,0.06647309967819151
evaluation,STRESS,ROLLING_VARIANCE_BUDGET_CONTROL,2,2021-07-29,2021-07-28,95175.65504,3860.5999999999913,77.56896,213.3999999999851,0.0,9,1,1,2021-08-11,2021-08-10,False,3569.631040000006,0.03750571549520492
evaluation,STRESS,ROLLING_VARIANCE_BUDGET_CONTROL,3,2021-10-29,2021-10-28,18326.02748,103.59999999999854,14.681600000000003,37.0000000000025,0.0,16,1,1,2021-11-22,2021-11-19,False,51.91839999999604,0.0028330416974795478
evaluation,STRESS,ROLLING_VARIANCE_BUDGET_CONTROL,4,2021-11-25,2021-11-24,21021.005040000004,336.0,16.926000000000002,46.20000000000051,0.0,10,1,1,2021-12-09,2021-12-08,False,272.8739999999995,0.012981015868687478
evaluation,STRESS,ROLLING_VARIANCE_BUDGET_CONTROL,5,2022-05-13,2022-05-12,16373.74688,373.09999999999854,13.22824,36.89999999999958,0.0,6,1,1,2022-05-23,2022-05-20,False,322.97175999999894,0.019724975741166394
evaluation,STRESS,ROLLING_VARIANCE_BUDGET_CONTROL,6,2022-06-08,2022-06-07,24730.888400000003,-153.39999999999782,19.691840000000003,59.00000000000398,0.0,2,1,1,2022-06-10,2022-06-09,False,-232.0918400000018,-0.009384694809427137
evaluation,STRESS,ROLLING_VARIANCE_BUDGET_CONTROL,7,2022-08-10,2022-08-09,48820.720479999996,-266.79999999999563,38.88784,115.99999999999753,0.0,12,1,1,2022-08-26,2022-08-25,False,-421.6878399999931,-0.008637476789650057
evaluation,STRESS,ROLLING_VARIANCE_BUDGET_CONTROL,8,2024-02-19,2024-02-08,31427.96616,939.2999999999993,25.47828,74.40000000000006,0.0,4,1,1,2024-02-23,2024-02-22,False,839.4217199999991,0.026709387293040128
evaluation,STRESS,ROLLING_VARIANCE_BUDGET_CONTROL,9,2024-06-18,2024-06-17,66467.67644000001,-149.60000000000582,53.03320000000001,149.60000000000014,0.0,22,1,1,2024-07-18,2024-07-17,False,-352.233200000006,-0.005299315680426483
evaluation,STRESS,ROLLING_VARIANCE_BUDGET_CONTROL,10,2024-08-02,2024-08-01,45050.0128,-416.0,35.8176,104.00000000000009,0.0,2,1,1,2024-08-06,2024-08-05,False,-555.8176000000001,-0.01233779005718729
evaluation,STRESS,ROLLING_VARIANCE_BUDGET_CONTROL,11,2024-08-28,2024-08-27,56368.33832,-1853.7000000000044,44.28172000000001,133.6000000000001,0.0,11,1,1,2024-09-12,2024-09-11,False,-2031.5817200000045,-0.036041185185676845
evaluation,STRESS,ROLLING_VARIANCE_BUDGET_CONTROL,12,2024-09-25,2024-09-24,34594.53228,5128.199999999997,29.6802,89.09999999999899,0.0,3,1,1,2024-09-30,2024-09-27,False,5009.419799999999,0.1448038019261233
evaluation,STRESS,ROLLING_VARIANCE_BUDGET_CONTROL,13,2025-04-09,2025-04-08,78491.18392000001,3356.199999999997,64.04312,168.00000000000665,0.0,10,2,1,2025-04-23,2025-04-22,False,3124.1568799999905,0.039802646921267004
evaluation,STRESS,ROLLING_VARIANCE_BUDGET_CONTROL,14,2025-06-03,2025-05-30,12645.056,-137.60000000000036,10.056000000000001,25.600000000000023,281.59999999999997,11,1,1,2025-06-18,2025-06-17,False,108.34399999999957,0.008568091750641481
evaluation,STRESS,ROLLING_VARIANCE_BUDGET_CONTROL,15,2025-12-19,2025-12-18,150125.22608000002,6224.299999999988,122.41388,320.00000000001575,0.0,18,2,2,2026-01-16,2026-01-15,False,5781.886119999973,0.03851375462321616
evaluation,STRESS,ROLLING_VARIANCE_BUDGET_CONTROL,16,2026-05-06,2026-04-30,46780.30464000001,230.40000000000146,37.46304000000001,96.00000000000648,0.0,2,1,1,2026-05-08,2026-05-07,False,96.93695999999497,0.002072174620194926
evaluation,STRESS,ROLLING_VARIANCE_BUDGET_CONTROL,17,2026-05-13,2026-05-12,68268.2964,-1173.0,54.06840000000001,137.99999999999704,0.0,3,1,1,2026-05-18,2026-05-15,False,-1365.0683999999972,-0.01999564178373136
evaluation,STRESS,ROLLING_VARIANCE_BUDGET_CONTROL,18,2026-06-05,2026-06-04,47193.269759999996,1631.9999999999927,38.350080000000005,105.59999999999263,0.0,11,1,1,2026-06-23,2026-06-22,False,1488.0499200000002,0.03153097735264869
evaluation,STRESS,ROLLING_VARIANCE_BUDGET_CONTROL,19,2026-07-23,2026-07-22,25816.922639999997,-507.59999999999854,20.42064,53.99999999999885,0.0,6,1,1,2026-07-31,2026-07-30,False,-582.0206399999975,-0.0225441524582884
