fit_origin,observations,omega,alpha,beta,objective_error,next_variance_error,iterations
2021-02-01,756,0.12264813093100281,0.13615645232937762,0.8116396824438527,0.0,4.440892098500626e-16,12
2021-03-01,756,0.1242101048241645,0.13195526053355341,0.8167217202836339,0.0,1.3322676295501878e-15,14
2021-04-01,756,0.11022362606868796,0.12686526506465826,0.8273801285383423,1.1102230246251565e-16,2.220446049250313e-16,14
2021-05-06,756,0.10697040055596314,0.1268478949551069,0.8283439628595686,0.0,2.220446049250313e-16,14
2021-06-01,756,0.10999247606082266,0.12334908729157103,0.8297979472467031,1.1102230246251565e-16,0.0,13
2021-07-01,756,0.10052283611228348,0.12513949019545192,0.8328132487278082,0.0,0.0,15
2021-08-02,756,0.11186376402392732,0.12933702602075348,0.8244057942883773,0.0,0.0,14
2021-09-01,756,0.11416384304776657,0.12750991161895667,0.822955788118907,0.0,0.0,13
2021-10-08,756,0.10890715366320258,0.12928997045140686,0.8228908982867571,0.0,0.0,13
2021-11-01,756,0.09573675818056761,0.12896859708895547,0.8290287079706462,0.0,6.661338147750939e-16,14
2021-12-01,756,0.08506208426819055,0.12482772155117285,0.8344438937255858,0.0,0.0,13
2022-01-04,756,0.08205959120270126,0.1284159479990749,0.8321310807161674,0.0,7.771561172376096e-16,15
2022-02-07,756,0.0836588786492168,0.1313436548078923,0.8296620459239632,0.0,0.0,15
2022-03-01,756,0.08307932660892023,0.1333428669070984,0.8275095034215799,0.0,8.881784197001252e-16,14
2022-04-01,756,0.0853796900872783,0.12040753418590908,0.8342063061425684,0.0,0.0,13
2022-05-05,756,0.0819091073913303,0.12572536458385797,0.8350578110797394,0.0,0.0,14
2022-06-01,756,0.0997773577615916,0.13387265327166098,0.8134110325892137,1.1102230246251565e-16,4.440892098500626e-16,13
2022-07-01,756,0.10661151238945583,0.13922287683557166,0.8019749609465778,0.0,6.661338147750939e-16,11
2022-08-01,756,0.0959038849363482,0.13702886209802428,0.8090637543837736,0.0,6.661338147750939e-16,12
2022-09-01,756,0.09736863149861702,0.1369615238945379,0.8085067086600387,0.0,4.440892098500626e-16,12
2022-10-10,756,0.1005756395707062,0.14051868722128474,0.8038718877368292,0.0,8.881784197001252e-16,12
2022-11-01,756,0.10495106314803279,0.14492493397992298,0.8008038839916772,0.0,4.440892098500626e-16,13
2022-12-01,756,0.11550928981292227,0.1407172065247247,0.7987701839573367,0.0,2.220446049250313e-16,13
2023-01-03,756,0.1283121242663355,0.14766817319127346,0.7839919751959724,0.0,0.0,12
2023-02-01,756,0.12797982012020473,0.14323288072981485,0.7878778778963825,0.0,6.661338147750939e-16,14
2023-03-01,756,0.09602801072731412,0.12088061317968464,0.8259119895554728,0.0,8.881784197001252e-16,12
2023-04-03,756,0.07438813318178178,0.09893385545560628,0.8527927450177426,1.1102230246251565e-16,6.661338147750939e-16,12
2023-05-04,756,0.0661115268147846,0.09228076124379207,0.8625160475031324,1.1102230246251565e-16,6.661338147750939e-16,13
2023-06-01,756,0.057764028062396874,0.09059253442251206,0.8708476747498104,0.0,0.0,15
2023-07-03,756,0.05115966031975673,0.08680068853591266,0.8786773933176347,0.0,8.881784197001252e-16,14
2023-08-01,756,0.04840809920834816,0.07739909898616787,0.888302149779232,0.0,4.440892098500626e-16,13
2023-09-01,756,0.03907459544662597,0.05719887747523674,0.9112941009539051,0.0,2.220446049250313e-16,12
2023-10-09,756,0.03814419724034089,0.05818947648188294,0.9104455697908564,1.1102230246251565e-16,1.1102230246251565e-16,12
2023-11-01,756,0.038386292548321634,0.058302115753969375,0.9096335401926186,0.0,1.1102230246251565e-15,12
2023-12-01,756,0.033106744842903095,0.062169800604393775,0.9097488766561076,0.0,0.0,13
2024-01-02,756,0.035837977974738075,0.059457641411464375,0.9103122358712523,0.0,1.1102230246251565e-15,12
2024-02-01,756,0.03511653357129808,0.058076801595700514,0.9122393811613647,0.0,0.0,13
2024-03-01,756,0.03712689118371985,0.057963455290477264,0.910451237884455,0.0,2.220446049250313e-16,12
2024-04-01,756,0.040760004252686055,0.05728776286069303,0.9051313992621908,0.0,9.992007221626409e-16,12
2024-05-06,756,0.03812095326079054,0.04939874799358029,0.9146420512815557,0.0,1.1102230246251565e-16,11
2024-06-03,756,0.03647221953225042,0.051960057307987424,0.9127916450513263,0.0,0.0,11
2024-07-01,756,0.029707519188351746,0.05582865379380772,0.9144076349934798,5.551115123125783e-17,0.0,12
2024-08-01,756,0.030214858667020485,0.05766420766582099,0.9125999130003121,0.0,0.0,11
2024-09-02,756,0.0306122687761029,0.0596357187410711,0.9083940640001752,1.1102230246251565e-16,9.992007221626409e-16,11
2024-10-08,756,0.049585424853951225,0.09423462455407881,0.866610634282237,0.0,1.7763568394002505e-15,15
2024-11-01,756,0.11163697140429107,0.11767852217247603,0.782239614721714,0.0,0.0,15
2024-12-02,756,0.07089135798243446,0.1004414837999471,0.8401451393866972,0.0,1.3322676295501878e-15,12
2025-01-02,756,0.0836800769844886,0.1032796268278478,0.8278564428738732,1.1102230246251565e-16,0.0,12
2025-02-05,756,0.08248347378634087,0.09926405879072625,0.8314118055871712,0.0,0.0,13
2025-03-03,756,0.07779756171952837,0.09645867618391561,0.8379153477751666,0.0,5.551115123125783e-16,12
2025-04-01,756,0.07151699764640025,0.09124334197058781,0.8469584523148866,0.0,6.661338147750939e-16,12
2025-05-06,756,0.25673133304732965,0.10733664177362919,0.6694437362953438,0.0,0.0,14
2025-06-03,756,0.2455401834174236,0.10788836716846145,0.6678750786521928,0.0,2.220446049250313e-16,15
2025-07-01,756,0.2659633030332045,0.11126976992739876,0.6313493560975746,0.0,0.0,15
2025-08-01,756,0.2573218904773514,0.11361969435970005,0.6315477336020179,0.0,0.0,15
2025-09-01,756,0.26410992458569604,0.1197492817836511,0.6216080588393337,0.0,2.220446049250313e-16,15
2025-10-09,756,0.2572373625793855,0.11827697293218042,0.6323202492577835,0.0,0.0,16
2025-11-03,756,0.2532313820477834,0.11660897691534329,0.6401445825009182,0.0,4.440892098500626e-16,15
2025-12-01,756,0.2510006037516534,0.11335898283112536,0.6409140404621902,0.0,0.0,15
2026-01-05,756,0.29581431816948345,0.11915901710404296,0.5766753953375409,0.0,0.0,16
2026-02-02,756,0.3031274281773511,0.1284121500098213,0.5566860117346544,1.1102230246251565e-16,4.440892098500626e-16,17
2026-03-02,756,0.29814414033685693,0.12701997403552698,0.562641273957602,0.0,0.0,17
2026-04-01,756,0.30373663354558755,0.12787616758753892,0.5604602806413086,0.0,0.0,16
2026-05-06,756,0.2945781035438778,0.12442994353117581,0.5776815692656667,1.1102230246251565e-16,2.220446049250313e-16,16
2026-06-01,756,0.29913371661031557,0.12234928900055077,0.5789572980592651,0.0,3.3306690738754696e-16,16
2026-07-01,756,0.3028420748340416,0.13448766244399674,0.5769251552439476,5.551115123125783e-17,6.661338147750939e-16,18
2026-08-03,756,0.24871980830747856,0.13205666086806794,0.6457830924290726,0.0,0.0,17
