date,status,window_observations,panic_budget,learned_budget,absolute_difference
2015-06-01,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.0,0.0,0.0
2015-07-01,TANGENCY_BUDGET_AVAILABLE,242,0.0,1.0,0.0
2015-08-03,TANGENCY_BUDGET_AVAILABLE,242,0.0,1.0,0.0
2015-09-01,TANGENCY_BUDGET_AVAILABLE,242,0.10986638702837895,0.8901336129716211,0.0
2015-10-08,TANGENCY_BUDGET_AVAILABLE,242,0.0,1.0,0.0
2015-11-02,TANGENCY_BUDGET_AVAILABLE,242,0.0,1.0,0.0
2015-12-01,TANGENCY_BUDGET_AVAILABLE,242,0.0,1.0,0.0
2016-01-04,TANGENCY_BUDGET_AVAILABLE,242,0.0,1.0,0.0
2016-02-01,TANGENCY_BUDGET_AVAILABLE,242,0.0,1.0,0.0
2016-03-01,TANGENCY_BUDGET_AVAILABLE,242,0.0,1.0,0.0
2016-04-01,TANGENCY_BUDGET_AVAILABLE,242,0.0,1.0,0.0
2016-05-03,TANGENCY_BUDGET_AVAILABLE,242,0.0,1.0,0.0
2016-06-01,TANGENCY_BUDGET_AVAILABLE,242,0.0,1.0,0.0
2016-07-01,TANGENCY_BUDGET_AVAILABLE,242,0.3244866588996983,0.6755133411003017,0.0
2016-08-01,TANGENCY_BUDGET_AVAILABLE,242,0.0,1.0,0.0
2016-09-01,TANGENCY_BUDGET_AVAILABLE,242,0.0,1.0,0.0
2016-10-10,TANGENCY_BUDGET_AVAILABLE,242,0.2041683426558922,0.7958316573441078,0.0
2016-11-01,TANGENCY_BUDGET_AVAILABLE,242,0.289346375068157,0.7106536249318429,0.0
2016-12-01,TANGENCY_BUDGET_AVAILABLE,242,0.22629351945251033,0.7737064805474897,0.0
2017-01-03,TANGENCY_BUDGET_AVAILABLE,242,0.21212607960589455,0.7878739203941054,0.0
2017-02-03,TANGENCY_BUDGET_AVAILABLE,242,0.8577313558744443,0.14226864412555573,0.0
2017-03-01,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.8577313558744443,0.14226864412555573,0.0
2017-04-05,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.8577313558744443,0.14226864412555573,0.0
2017-05-02,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.8577313558744443,0.14226864412555573,0.0
2017-06-01,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.8577313558744443,0.14226864412555573,0.0
2017-07-03,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.8577313558744443,0.14226864412555573,0.0
2017-08-01,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.8577313558744443,0.14226864412555573,0.0
2017-09-01,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.8577313558744443,0.14226864412555573,0.0
2017-10-09,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.8577313558744443,0.14226864412555573,0.0
2017-11-01,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.8577313558744443,0.14226864412555573,0.0
2017-12-01,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.8577313558744443,0.14226864412555573,0.0
2018-01-02,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.8577313558744443,0.14226864412555573,0.0
2018-02-01,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.8577313558744443,0.14226864412555573,0.0
2018-03-01,TANGENCY_BUDGET_AVAILABLE,242,0.5629485694162486,0.4370514305837514,1.3877787807814457e-17
2018-04-02,TANGENCY_BUDGET_AVAILABLE,242,0.5224504058366913,0.47754959416330867,1.3877787807814457e-17
2018-05-02,TANGENCY_BUDGET_AVAILABLE,242,0.5224504058366913,0.47754959416330867,0.0
2018-06-01,TANGENCY_BUDGET_AVAILABLE,242,0.6169234621472409,0.3830765378527591,1.3877787807814457e-17
2018-07-02,TANGENCY_BUDGET_AVAILABLE,242,0.9085329740095589,0.0914670259904411,6.938893903907228e-18
2018-08-01,TANGENCY_BUDGET_AVAILABLE,242,1.0,0.0,0.0
2018-09-03,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,1.0,0.0,0.0
2018-10-08,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,1.0,0.0,0.0
2018-11-01,EXPLICIT_CASH_NO_POSITIVE_PAST_MEAN,242,0.0,0.0,0.0
2018-12-03,EXPLICIT_CASH_NO_POSITIVE_PAST_MEAN,242,0.0,0.0,0.0
2019-01-02,EXPLICIT_CASH_NO_POSITIVE_PAST_MEAN,242,0.0,0.0,0.0
2019-02-01,EXPLICIT_CASH_NO_POSITIVE_PAST_MEAN,242,0.0,0.0,0.0
2019-03-01,EXPLICIT_CASH_NO_POSITIVE_PAST_MEAN,242,0.0,0.0,0.0
2019-04-01,EXPLICIT_CASH_NO_POSITIVE_PAST_MEAN,242,0.0,0.0,0.0
2019-05-06,EXPLICIT_CASH_NO_POSITIVE_PAST_MEAN,242,0.0,0.0,0.0
2019-06-03,EXPLICIT_CASH_NO_POSITIVE_PAST_MEAN,242,0.0,0.0,0.0
2019-07-01,TANGENCY_BUDGET_AVAILABLE,242,0.0,1.0,0.0
2019-08-01,TANGENCY_BUDGET_AVAILABLE,242,0.0,1.0,0.0
2019-09-02,TANGENCY_BUDGET_AVAILABLE,242,0.0,1.0,0.0
2019-10-08,TANGENCY_BUDGET_AVAILABLE,242,0.0,1.0,0.0
2019-11-01,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.0,1.0,0.0
2019-12-02,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.0,1.0,0.0
2020-01-02,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.0,1.0,0.0
2020-02-03,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.0,1.0,0.0
2020-03-02,TANGENCY_BUDGET_AVAILABLE,242,0.9687637626862692,0.03123623731373082,2.7755575615628914e-17
2020-04-01,TANGENCY_BUDGET_AVAILABLE,242,0.8445894472742318,0.1554105527257682,2.7755575615628914e-17
2020-05-06,TANGENCY_BUDGET_AVAILABLE,242,0.8445894472742318,0.1554105527257682,0.0
2020-06-01,TANGENCY_BUDGET_AVAILABLE,242,0.8392972158256651,0.16070278417433492,0.0
2020-07-01,TANGENCY_BUDGET_AVAILABLE,242,1.0,0.0,0.0
2020-08-03,TANGENCY_BUDGET_AVAILABLE,242,0.7546269483380327,0.24537305166196732,0.0
2020-09-01,TANGENCY_BUDGET_AVAILABLE,242,0.7711540942696014,0.22884590573039865,0.0
2020-10-09,TANGENCY_BUDGET_AVAILABLE,242,0.8838326287986142,0.11616737120138576,0.0
2020-11-02,TANGENCY_BUDGET_AVAILABLE,242,0.8838326287986142,0.11616737120138576,2.7755575615628914e-17
2020-12-01,TANGENCY_BUDGET_AVAILABLE,242,0.8838326287986142,0.11616737120138576,2.7755575615628914e-17
2021-01-04,TANGENCY_BUDGET_AVAILABLE,242,0.8838326287986142,0.11616737120138576,0.0
2021-02-01,TANGENCY_BUDGET_AVAILABLE,242,0.8532499640894825,0.1467500359105175,1.3877787807814457e-17
2021-03-01,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.8532499640894825,0.1467500359105175,0.0
2021-04-01,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.8532499640894825,0.1467500359105175,0.0
2021-05-06,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.8532499640894825,0.1467500359105175,0.0
2021-06-01,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.8532499640894825,0.1467500359105175,0.0
2021-07-01,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.8532499640894825,0.1467500359105175,0.0
2021-08-02,TANGENCY_BUDGET_AVAILABLE,242,1.0,0.0,0.0
2021-09-01,TANGENCY_BUDGET_AVAILABLE,242,1.0,0.0,0.0
2021-10-08,TANGENCY_BUDGET_AVAILABLE,242,0.9902542364386961,0.009745763561303855,2.7755575615628914e-17
2021-11-01,TANGENCY_BUDGET_AVAILABLE,242,0.9812886502886493,0.01871134971135069,0.0
2021-12-01,TANGENCY_BUDGET_AVAILABLE,242,1.0,0.0,0.0
2022-01-04,TANGENCY_BUDGET_AVAILABLE,242,0.9946437072558869,0.005356292744113089,1.3877787807814457e-17
2022-02-07,TANGENCY_BUDGET_AVAILABLE,242,1.0,0.0,0.0
2022-03-01,TANGENCY_BUDGET_AVAILABLE,242,1.0,0.0,0.0
2022-04-01,TANGENCY_BUDGET_AVAILABLE,242,1.0,0.0,0.0
2022-05-05,TANGENCY_BUDGET_AVAILABLE,242,1.0,0.0,0.0
2022-06-01,TANGENCY_BUDGET_AVAILABLE,242,0.8959368242453699,0.10406317575463009,0.0
2022-07-01,TANGENCY_BUDGET_AVAILABLE,242,0.8824534078120471,0.11754659218795294,0.0
2022-08-01,TANGENCY_BUDGET_AVAILABLE,242,0.7479875534347321,0.2520124465652679,1.3877787807814457e-17
2022-09-01,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.7479875534347321,0.2520124465652679,0.0
2022-10-10,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.7479875534347321,0.2520124465652679,0.0
2022-11-01,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.7479875534347321,0.2520124465652679,0.0
2022-12-01,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.7479875534347321,0.2520124465652679,0.0
2023-01-03,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.7479875534347321,0.2520124465652679,0.0
2023-02-01,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.7479875534347321,0.2520124465652679,0.0
2023-03-01,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.7479875534347321,0.2520124465652679,0.0
2023-04-03,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.7479875534347321,0.2520124465652679,0.0
2023-05-04,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.7479875534347321,0.2520124465652679,0.0
2023-06-01,EXPLICIT_CASH_NO_POSITIVE_PAST_MEAN,242,0.0,0.0,0.0
2023-07-03,EXPLICIT_CASH_NO_POSITIVE_PAST_MEAN,242,0.0,0.0,0.0
2023-08-01,EXPLICIT_CASH_NO_POSITIVE_PAST_MEAN,242,0.0,0.0,0.0
2023-09-01,EXPLICIT_CASH_NO_POSITIVE_PAST_MEAN,242,0.0,0.0,0.0
2023-10-09,EXPLICIT_CASH_NO_POSITIVE_PAST_MEAN,242,0.0,0.0,0.0
2023-11-01,EXPLICIT_CASH_NO_POSITIVE_PAST_MEAN,242,0.0,0.0,0.0
2023-12-01,EXPLICIT_CASH_NO_POSITIVE_PAST_MEAN,242,0.0,0.0,0.0
2024-01-02,EXPLICIT_CASH_NO_POSITIVE_PAST_MEAN,242,0.0,0.0,0.0
2024-02-01,EXPLICIT_CASH_NO_POSITIVE_PAST_MEAN,242,0.0,0.0,0.0
2024-03-01,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.0,0.0,0.0
2024-04-01,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.0,0.0,0.0
2024-05-06,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.0,0.0,0.0
2024-06-03,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.0,0.0,0.0
2024-07-01,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.0,0.0,0.0
2024-08-01,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.0,0.0,0.0
2024-09-02,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.0,0.0,0.0
2024-10-08,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.0,0.0,0.0
2024-11-01,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.0,0.0,0.0
2024-12-02,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.0,0.0,0.0
2025-01-02,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.0,0.0,0.0
2025-02-05,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.0,0.0,0.0
2025-03-03,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.0,0.0,0.0
2025-04-01,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.0,0.0,0.0
2025-05-06,TANGENCY_BUDGET_AVAILABLE,242,0.871826975140984,0.12817302485901605,0.0
2025-06-03,TANGENCY_BUDGET_AVAILABLE,242,0.8696161516442333,0.13038384835576666,0.0
2025-07-01,TANGENCY_BUDGET_AVAILABLE,242,0.8456350406248162,0.1543649593751838,0.0
2025-08-01,TANGENCY_BUDGET_AVAILABLE,242,0.8501428096193225,0.14985719038067746,0.0
2025-09-01,TANGENCY_BUDGET_AVAILABLE,242,0.8386025068111341,0.16139749318886587,0.0
2025-10-09,TANGENCY_BUDGET_AVAILABLE,242,0.3878193283381844,0.6121806716618157,0.0
2025-11-03,TANGENCY_BUDGET_AVAILABLE,242,0.3878193283381844,0.6121806716618157,2.7755575615628914e-17
2025-12-01,TANGENCY_BUDGET_AVAILABLE,242,0.3878193283381844,0.6121806716618157,0.0
2026-01-05,TANGENCY_BUDGET_AVAILABLE,242,0.4771198593211827,0.5228801406788173,0.0
2026-02-02,TANGENCY_BUDGET_AVAILABLE,242,0.5551815582524691,0.44481844174753093,0.0
2026-03-02,TANGENCY_BUDGET_AVAILABLE,242,0.5551815582524691,0.44481844174753093,0.0
2026-04-01,TANGENCY_BUDGET_AVAILABLE,242,0.5551815582524691,0.44481844174753093,0.0
2026-05-06,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.5551815582524691,0.44481844174753093,0.0
2026-06-01,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.5551815582524691,0.44481844174753093,0.0
2026-07-01,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.5551815582524691,0.44481844174753093,0.0
2026-08-03,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.5551815582524691,0.44481844174753093,0.0
