fit_index,fit_origin,source_input_identity,first_fit_index,reused,independent_full_kkt_max_violation,nonzero_factor_count
2415,2022-05-05,2e80c9ed490b8915b741733cc90e9aa8e6b62f8830b7727679adc91e51916958,2357,True,5.209775753162171e-13,2
2434,2022-06-01,2e80c9ed490b8915b741733cc90e9aa8e6b62f8830b7727679adc91e51916958,2357,True,5.209775753162171e-13,2
2455,2022-07-01,2e80c9ed490b8915b741733cc90e9aa8e6b62f8830b7727679adc91e51916958,2357,True,5.209775753162171e-13,2
2476,2022-08-01,2e80c9ed490b8915b741733cc90e9aa8e6b62f8830b7727679adc91e51916958,2357,True,5.209775753162171e-13,2
2499,2022-09-01,05aebd7ebcc6c685b0842786c002e2e420dd13b7c6bc446d69cacfc5337cb21d,2499,False,8.673617379884035e-19,1
2520,2022-10-10,cbe92f37f6c2ef14627c04cfd2a85d751327cd7ff02efe243391f653823a05df,2520,False,8.673617379884035e-19,1
2536,2022-11-01,cbe92f37f6c2ef14627c04cfd2a85d751327cd7ff02efe243391f653823a05df,2520,True,8.673617379884035e-19,1
2558,2022-12-01,cbe92f37f6c2ef14627c04cfd2a85d751327cd7ff02efe243391f653823a05df,2520,True,8.673617379884035e-19,1
2580,2023-01-03,cbe92f37f6c2ef14627c04cfd2a85d751327cd7ff02efe243391f653823a05df,2520,True,8.673617379884035e-19,1
2596,2023-02-01,cbe92f37f6c2ef14627c04cfd2a85d751327cd7ff02efe243391f653823a05df,2520,True,8.673617379884035e-19,1
2616,2023-03-01,cbe92f37f6c2ef14627c04cfd2a85d751327cd7ff02efe243391f653823a05df,2520,True,8.673617379884035e-19,1
2639,2023-04-03,cbe92f37f6c2ef14627c04cfd2a85d751327cd7ff02efe243391f653823a05df,2520,True,8.673617379884035e-19,1
2658,2023-05-04,cbe92f37f6c2ef14627c04cfd2a85d751327cd7ff02efe243391f653823a05df,2520,True,8.673617379884035e-19,1
2678,2023-06-01,cbe92f37f6c2ef14627c04cfd2a85d751327cd7ff02efe243391f653823a05df,2520,True,8.673617379884035e-19,1
2698,2023-07-03,cbe92f37f6c2ef14627c04cfd2a85d751327cd7ff02efe243391f653823a05df,2520,True,8.673617379884035e-19,1
2719,2023-08-01,cbe92f37f6c2ef14627c04cfd2a85d751327cd7ff02efe243391f653823a05df,2520,True,8.673617379884035e-19,1
2742,2023-09-01,cbe92f37f6c2ef14627c04cfd2a85d751327cd7ff02efe243391f653823a05df,2520,True,8.673617379884035e-19,1
2762,2023-10-09,cbe92f37f6c2ef14627c04cfd2a85d751327cd7ff02efe243391f653823a05df,2520,True,8.673617379884035e-19,1
2779,2023-11-01,cbe92f37f6c2ef14627c04cfd2a85d751327cd7ff02efe243391f653823a05df,2520,True,8.673617379884035e-19,1
2801,2023-12-01,cbe92f37f6c2ef14627c04cfd2a85d751327cd7ff02efe243391f653823a05df,2520,True,8.673617379884035e-19,1
2822,2024-01-02,cbe92f37f6c2ef14627c04cfd2a85d751327cd7ff02efe243391f653823a05df,2520,True,8.673617379884035e-19,1
2844,2024-02-01,cbe92f37f6c2ef14627c04cfd2a85d751327cd7ff02efe243391f653823a05df,2520,True,8.673617379884035e-19,1
2859,2024-03-01,cbe92f37f6c2ef14627c04cfd2a85d751327cd7ff02efe243391f653823a05df,2520,True,8.673617379884035e-19,1
2880,2024-04-01,cbe92f37f6c2ef14627c04cfd2a85d751327cd7ff02efe243391f653823a05df,2520,True,8.673617379884035e-19,1
2900,2024-05-06,cbe92f37f6c2ef14627c04cfd2a85d751327cd7ff02efe243391f653823a05df,2520,True,8.673617379884035e-19,1
2920,2024-06-03,a61e22edffd724672ea1fc71eba64eae18770f6ca9e8f052b1821ff9309f980c,2920,False,3.803601449645436e-19,1
2939,2024-07-01,a61e22edffd724672ea1fc71eba64eae18770f6ca9e8f052b1821ff9309f980c,2920,True,3.803601449645436e-19,1
2962,2024-08-01,b0241f0284c63067107a6d781525d306f494260848746d675dadbba6bbbb24e9,2962,False,6.505213034913027e-19,1
2984,2024-09-02,b0241f0284c63067107a6d781525d306f494260848746d675dadbba6bbbb24e9,2962,True,6.505213034913027e-19,1
3003,2024-10-08,f6f19bf9374b24eb26f8b3891ce401277b7a8213179ca58eaaaaddee7c6f3e18,3003,False,7.720070039512506e-19,1
3021,2024-11-01,1bb49a3da327fe783a42f981ec2fac06566939af7265cb568c067abe8e2e50ee,3021,False,5.49705463440131e-13,3
3042,2024-12-02,1bb49a3da327fe783a42f981ec2fac06566939af7265cb568c067abe8e2e50ee,3021,True,5.49705463440131e-13,3
3064,2025-01-02,1bb49a3da327fe783a42f981ec2fac06566939af7265cb568c067abe8e2e50ee,3021,True,5.49705463440131e-13,3
3082,2025-02-05,1bb49a3da327fe783a42f981ec2fac06566939af7265cb568c067abe8e2e50ee,3021,True,5.49705463440131e-13,3
3100,2025-03-03,1bb49a3da327fe783a42f981ec2fac06566939af7265cb568c067abe8e2e50ee,3021,True,5.49705463440131e-13,3
3121,2025-04-01,1bb49a3da327fe783a42f981ec2fac06566939af7265cb568c067abe8e2e50ee,3021,True,5.49705463440131e-13,3
3142,2025-05-06,1bb49a3da327fe783a42f981ec2fac06566939af7265cb568c067abe8e2e50ee,3021,True,5.49705463440131e-13,3
3161,2025-06-03,1bb49a3da327fe783a42f981ec2fac06566939af7265cb568c067abe8e2e50ee,3021,True,5.49705463440131e-13,3
3181,2025-07-01,1bb49a3da327fe783a42f981ec2fac06566939af7265cb568c067abe8e2e50ee,3021,True,5.49705463440131e-13,3
3204,2025-08-01,ba119e8e77b163bdedc418df9fec296b6f480282be28743489ba48f40360222d,3204,False,6.054716190223575e-13,3
3225,2025-09-01,ba119e8e77b163bdedc418df9fec296b6f480282be28743489ba48f40360222d,3204,True,6.054716190223575e-13,3
3247,2025-10-09,ba119e8e77b163bdedc418df9fec296b6f480282be28743489ba48f40360222d,3204,True,6.054716190223575e-13,3
3264,2025-11-03,dfb726617bfc4ce96a89e5d59338e4142995a0b84e8f695318e87083b2d0b789,3264,False,7.566961380406356e-13,3
3284,2025-12-01,dfb726617bfc4ce96a89e5d59338e4142995a0b84e8f695318e87083b2d0b789,3264,True,7.566961380406356e-13,3
3307,2026-01-05,dfb726617bfc4ce96a89e5d59338e4142995a0b84e8f695318e87083b2d0b789,3264,True,7.566961380406356e-13,3
3327,2026-02-02,2bdbe25d3dc47d8b6cd937ce9915f3bbde793e1d12bddbcd95a59af0663282dc,3327,False,9.51393044207327e-13,3
3341,2026-03-02,acc138b21da3d88771f64552358ae745e24b5a9572064e0cd791a52841fffd72,3341,False,8.334377025326356e-13,3
3363,2026-04-01,acc138b21da3d88771f64552358ae745e24b5a9572064e0cd791a52841fffd72,3341,True,8.334377025326356e-13,3
3384,2026-05-06,acc138b21da3d88771f64552358ae745e24b5a9572064e0cd791a52841fffd72,3341,True,8.334377025326356e-13,3
3402,2026-06-01,acc138b21da3d88771f64552358ae745e24b5a9572064e0cd791a52841fffd72,3341,True,8.334377025326356e-13,3
3423,2026-07-01,acc138b21da3d88771f64552358ae745e24b5a9572064e0cd791a52841fffd72,3341,True,8.334377025326356e-13,3
3446,2026-08-03,0de5fd7e5fedf98daf0281c0bba45b0d92a170042996e7756128c43d96c10f50,3446,False,7.844653746036379e-13,3
