origin,actual_index_members,pooled_eps_growth_company_count,pooled_eps_growth_median,pooled_profit_revision_company_count,pooled_profit_revision_median,pooled_reported_earnings_yield_company_count,pooled_reported_earnings_yield_median,pooled_source_valid,soochow_eps_growth_company_count,soochow_eps_growth_median,soochow_profit_revision_company_count,soochow_profit_revision_median,soochow_reported_earnings_yield_company_count,soochow_reported_earnings_yield_median,soochow_source_valid,dual_institution_growth_share,pooled_report_age_mean_days,pooled_profit_revision_breadth,common_sources_valid,qualified_pe_company_count,pooled_qualified_reported_earnings_yield_median,common_quality_features_valid
2019-09-30,300,73,0.20155038759689922,56,0.0,72,0.04923129864968351,True,72,0.20177092637312954,55,0.0,71,0.048661800486618,True,0.0136986301369863,51.445205479452056,-0.017857142857142856,True,70,0.04923129864968351,True
2019-10-31,300,68,0.21424152314289835,50,0.0,67,0.047619047619047616,True,67,0.21402214022140223,49,0.0,66,0.047283702213279676,True,0.014705882352941176,27.25,-0.04,True,64,0.047283702213279676,True
2019-11-29,300,72,0.21943551295468755,59,0.0,71,0.047961630695443645,True,71,0.2238267148014441,57,0.0,70,0.047869969671658755,True,0.013888888888888888,38.638888888888886,-0.13559322033898305,True,66,0.047869969671658755,True
2019-12-31,300,74,0.22443989667885372,62,0.0,73,0.046838407494145196,True,73,0.2250530785562634,61,0.0,72,0.046312976640845493,True,0.013513513513513514,68.44594594594595,-0.1935483870967742,True,68,0.046312976640845493,True
2020-01-23,300,76,0.17883795309168443,61,0.0,74,0.06006351477768025,True,75,0.17910447761194034,60,0.0,73,0.05892751915144373,True,0.013157894736842105,71.1842105263158,0.04918032786885246,True,69,0.06119951040391677,True
2020-02-28,300,76,0.17988504387728552,62,0.0,73,0.061842918985776124,True,74,0.18082710164926208,61,0.0,72,0.06152121469484645,True,0.0,79.4342105263158,0.14516129032258066,True,70,0.06152121469484645,True
2020-03-31,300,82,0.18082710164926208,64,0.0,80,0.058280124983018614,True,80,0.18229757526647133,63,0.0,78,0.05692672166883098,True,0.012195121951219513,79.67073170731707,0.140625,True,76,0.05692672166883098,True
2020-04-30,300,70,0.19666698577982672,50,-0.019680217685096632,68,0.056400242964677896,True,68,0.198922624877571,50,-0.019680217685096632,66,0.05428622596737289,True,0.014285714285714285,23.2,-0.22,True,62,0.05428622596737289,True
2020-05-29,300,76,0.19666698577982672,55,-0.05878798649369113,74,0.051969297473392906,True,73,0.19999999999999987,54,-0.060410249355352594,72,0.050919876381888704,True,0.0,38.78947368421053,-0.34545454545454546,True,69,0.050505050505050504,True
2020-06-30,300,82,0.19666698577982672,68,0.0,80,0.050017260269860565,True,78,0.20152284263959383,65,0.0,77,0.04807692307692307,True,0.0,65.98780487804878,-0.17647058823529413,True,74,0.047623367198838897,True
2020-07-31,300,85,0.19548872180451127,68,0.0,83,0.04716981132075472,True,81,0.19999999999999987,65,0.0,80,0.04503912450676023,True,0.0,83.50588235294117,0.14705882352941177,True,77,0.04460303300624442,True
2020-08-31,300,82,0.20741150442477882,66,0.0,81,0.04206983592763988,True,80,0.20851449275362322,64,0.0,78,0.04028232997668881,True,0.024390243902439025,56.8719512195122,0.18181818181818182,True,73,0.040866366979975484,True
2020-09-30,300,84,0.20759266384506864,65,0.0,82,0.037334361439549414,True,82,0.2099378881987578,64,0.0,80,0.03703211049432828,True,0.023809523809523808,68.125,0.2,True,75,0.03729951510630362,True
2020-10-30,300,73,0.23906705539358597,58,0.001701258931609391,72,0.03475884885748255,True,72,0.23953352769679304,57,0.003402517863218782,71,0.034638032559750606,True,0.0410958904109589,42.49315068493151,0.20689655172413793,True,69,0.034638032559750606,True
2020-11-30,300,74,0.22950762159778995,56,0.0,70,0.03298727161319073,True,73,0.23145400593471804,55,0.0,69,0.032552083333333336,True,0.0945945945945946,34.38513513513514,0.21428571428571427,True,67,0.032552083333333336,True
2020-12-31,300,86,0.23871826653812606,66,0.0,82,0.02949858924519723,True,86,0.23871826653812606,66,0.0,82,0.02941614214585976,True,0.06976744186046512,60.883720930232556,0.24242424242424243,True,79,0.02937720329024677,True
2021-01-29,300,89,0.20408163265306123,72,0.0,85,0.03475842891901286,True,89,0.20408163265306123,72,0.0,85,0.03475842891901286,True,0.056179775280898875,76.0505617977528,0.125,True,82,0.03425400352464311,True
2021-02-26,300,89,0.20560747663551412,73,0.0,85,0.03361344537815126,True,89,0.20560747663551412,73,0.0,85,0.03361344537815126,True,0.056179775280898875,85.73595505617978,0.1506849315068493,True,82,0.03404810199942046,True
2021-03-31,300,88,0.20237530977885515,72,0.0,84,0.03273311553386629,True,87,0.20437956204379562,72,0.0,83,0.032144005143040826,True,0.045454545454545456,81.96022727272727,0.20833333333333334,True,79,0.032144005143040826,True
2021-04-30,300,85,0.20397350993377483,69,0.006810860561435803,80,0.03224337589133208,True,80,0.2041765359887852,66,0.009073079339888157,75,0.03241491085899514,True,0.047058823529411764,31.83529411764706,0.18840579710144928,True,67,0.034482758620689655,True
2021-05-31,300,85,0.20397350993377483,69,0.0,80,0.0307080946818185,True,81,0.20397350993377483,67,0.0,76,0.03164141359541753,True,0.047058823529411764,41.18235294117647,0.028985507246376812,True,69,0.03567606136282554,True
2021-06-30,300,101,0.21875000000000006,84,0.0,96,0.03164141359541753,True,98,0.21466867722208272,82,0.0,93,0.03293807641633729,True,0.0297029702970297,62.97029702970297,0.047619047619047616,True,83,0.03567606136282554,True
2021-07-30,300,102,0.2201385570950788,81,0.0,97,0.03125,True,101,0.21978021978021972,80,0.0,96,0.03166092046183451,True,0.029411764705882353,74.90196078431373,0.06172839506172839,True,91,0.03293807641633729,True
2021-08-31,300,102,0.22135955831608004,79,0.0,98,0.03344696690086814,True,100,0.22135955831608004,78,0.0,96,0.0331802681546927,True,0.029411764705882353,50.372549019607845,0.16455696202531644,True,88,0.03527122959822767,True
2021-09-30,300,101,0.23163698765015328,82,0.0,97,0.033647375504710635,True,99,0.23255813953488366,81,0.0,95,0.03342245989304812,True,0.0297029702970297,53.13861386138614,0.18292682926829268,True,85,0.034855350296270474,True
2021-10-29,300,89,0.2400000000000001,76,0.0,87,0.03342245989304812,True,87,0.2404048924504428,75,0.0,85,0.0333000333000333,True,0.0,46.53932584269663,0.10526315789473684,True,77,0.034855350296270474,True
2021-11-30,300,89,0.2399999999999999,77,0.0,85,0.03434065934065934,True,87,0.2400000000000001,75,0.0,83,0.03342245989304812,True,0.0,47.842696629213485,-0.06493506493506493,True,73,0.03434065934065934,True
2021-12-31,300,104,0.2478637650988841,92,0.0,100,0.031206153625620424,True,102,0.24945858276354488,90,0.0,98,0.031167212849770247,True,0.0,74.25961538461539,-0.010869565217391304,True,88,0.031167212849770247,True
2022-01-28,300,105,0.19926199261992622,92,0.0,101,0.0411522633744856,True,103,0.2004089979550101,90,0.0,99,0.040866366979975484,True,0.0,84.18095238095238,0.05434782608695652,True,87,0.04149377593360996,True
2022-02-28,300,90,0.1986727703122971,77,0.0,86,0.04070893369274524,True,89,0.2004089979550101,76,0.0,85,0.040551500405515,True,0.0,94.04444444444445,0.1038961038961039,True,76,0.03950651943352673,True
2022-03-31,300,110,0.1986727703122971,75,0.0,107,0.04819277108433735,True,92,0.21601446165450688,75,0.0,87,0.04192872117400419,True,0.12727272727272726,71.74545454545455,0.05333333333333334,True,94,0.047449651585595116,True
2022-04-29,300,144,0.19467629145048504,66,-0.009637033776891065,142,0.0587351861835644,True,87,0.22121896162528218,65,-0.012483574244415242,85,0.0479156684235745,True,0.2361111111111111,28.524305555555557,-0.2727272727272727,True,116,0.05835850523474784,True
2022-05-31,300,159,0.20289855072463772,55,-0.029475842624631553,157,0.060422960725075525,True,84,0.22520034100596759,55,-0.029475842624631553,84,0.0478255827756541,True,0.2641509433962264,35.490566037735846,-0.4,True,131,0.05889289678135405,True
2022-06-30,300,162,0.20532466942711713,98,0.0,160,0.058516215832537494,True,84,0.24000431778929193,64,-0.009261323024356935,84,0.04719476247270265,True,0.24074074074074073,60.58024691358025,-0.25510204081632654,True,137,0.05813953488372093,True
2022-07-29,300,159,0.20289855072463772,134,0.0,157,0.057948875609271824,True,83,0.23834196891191717,72,0.0,82,0.04585365053715629,True,0.2389937106918239,72.72327044025157,-0.06716417910447761,True,134,0.057926377584601174,True
2022-08-31,300,174,0.1993382961124897,156,0.0,172,0.05506668041312139,True,91,0.2532299741602068,77,0.0,89,0.042105263157894736,True,0.3045977011494253,48.839080459770116,-0.10897435897435898,True,148,0.05334426787975591,True
2022-09-30,300,176,0.1905282657505846,145,0.0,174,0.054887122914620695,True,89,0.2532299741602068,72,0.0,86,0.04180813178650237,True,0.29545454545454547,47.06534090909091,-0.16551724137931034,True,146,0.052834465690813126,True
2022-10-31,300,176,0.19060762476026794,145,0.0,173,0.0586166471277843,True,97,0.25714285714285723,76,0.0,94,0.04424278199709236,True,0.3068181818181818,49.80965909090909,-0.2206896551724138,True,146,0.0588941223804602,True
2022-11-30,300,158,0.20770951458426884,143,0.0,157,0.05796033235057625,True,91,0.2550335570469798,80,0.0,89,0.045351473922902494,True,0.2974683544303797,63.25316455696203,-0.20279720279720279,True,132,0.05856519892960309,True
2022-12-30,300,166,0.20736690764028104,154,0.0,165,0.05796033235057625,True,96,0.2489638069472625,81,0.0,94,0.04620514872615713,True,0.2710843373493976,88.59939759036145,-0.12987012987012986,True,139,0.0586166471277843,True
2023-01-31,300,163,0.1829268292682927,155,0.0,162,0.06802721088435375,True,92,0.21656206715384246,88,0.0,91,0.05790387955993052,True,0.24539877300613497,104.65030674846626,-0.07096774193548387,True,136,0.06802721088435375,True
2023-02-28,300,138,0.1814816451376922,125,0.0,137,0.06802721088435375,True,83,0.2097902097902098,75,0.0,82,0.06134969325153374,True,0.15942028985507245,97.6304347826087,-0.104,True,115,0.06802721088435375,True
2023-03-31,300,141,0.20253164556962028,116,0.0,140,0.06542446502605422,True,90,0.219101749693525,74,0.0,89,0.06345177664974619,True,0.22695035460992907,69.91489361702128,-0.1206896551724138,True,121,0.0651890482398957,True
2023-04-28,300,175,0.20253164556962028,126,-0.02706354732602954,174,0.06734083076364955,True,94,0.23447395708702246,72,-0.02103083796447641,93,0.06134969325153374,True,0.30857142857142855,30.97714285714286,-0.3492063492063492,True,152,0.067038692758083,True
2023-05-31,300,199,0.1930592991913746,112,-0.027986686886172635,199,0.06720430107526881,True,102,0.23147147095200618,67,-0.04030931227377427,101,0.05941770647653001,True,0.2964824120603015,41.47487437185929,-0.25892857142857145,True,177,0.06696329155643445,True
2023-06-30,300,199,0.19358921829728698,137,0.0,198,0.06843932541152446,True,103,0.22891566265060245,79,0.0,102,0.060025393695964546,True,0.2864321608040201,68.48492462311557,-0.13138686131386862,True,172,0.0669493877137011,True
2023-07-31,300,204,0.1943555847583996,175,0.0,203,0.06944444444444445,True,109,0.2340272792534099,94,0.0,108,0.060374984601007556,True,0.28431372549019607,84.43627450980392,-0.02857142857142857,True,178,0.06715919751750019,True
2023-08-31,300,211,0.1913632514817951,191,0.0,209,0.06906077348066299,True,113,0.23014586709886548,96,0.0,112,0.06069928524058654,True,0.3080568720379147,65.99052132701422,-0.16753926701570682,True,180,0.06807593613742444,True
2023-09-28,300,212,0.1933242587443308,189,0.0,209,0.06944444444444445,True,116,0.22957675034332586,95,0.0,115,0.06345177664974619,True,0.3018867924528302,49.634433962264154,-0.31746031746031744,True,169,0.07092198581560284,True
2023-10-31,300,195,0.19358921829728698,176,-0.0013794598430635617,192,0.06996336831953667,True,108,0.2254606970827899,94,-0.005370079735514119,106,0.06395938670986534,True,0.3230769230769231,42.8,-0.32386363636363635,True,155,0.07042253521126761,True
2023-11-30,300,195,0.19463970501706346,185,0.0,193,0.06868131868131867,True,107,0.21170610211706112,97,0.0,105,0.06381620931716656,True,0.30256410256410254,48.92564102564103,-0.32972972972972975,True,153,0.06747638326585695,True
2023-12-29,300,191,0.19178082191780826,181,0.0,190,0.06653673392596773,True,107,0.21170610211706112,98,0.0,106,0.06479081821547575,True,0.3089005235602094,74.19371727748691,-0.287292817679558,True,149,0.06666666666666667,True
2024-01-31,300,195,0.17074992220723995,182,0.0,193,0.07993605115907275,True,113,0.18745387453874546,103,0.0,112,0.07871357057890563,True,0.29743589743589743,93.97435897435898,-0.06593406593406594,True,152,0.07903052557953638,True
2024-02-29,300,159,0.1600759253400822,146,0.0,156,0.08009643649446414,True,89,0.18181818181818177,79,0.0,88,0.07871357057890563,True,0.2578616352201258,103.89622641509433,-0.0684931506849315,True,119,0.078125,True
2024-03-29,300,159,0.1638095238095237,131,0.0,156,0.07692307692307693,True,89,0.185792349726776,75,0.0,87,0.07401924500370097,True,0.25157232704402516,87.09119496855345,-0.2366412213740458,True,127,0.07692307692307693,True
2024-04-30,300,181,0.1638095238095237,135,-0.0671735360810991,176,0.07307279513453191,True,109,0.2022471910112359,89,-0.05049524179452321,107,0.06693440428380187,True,0.30939226519337015,30.43646408839779,-0.5777777777777777,True,149,0.07299270072992702,True
2024-05-31,300,206,0.16929235424183312,127,-0.0727568888285598,200,0.06925467927283907,True,127,0.19780219780219788,81,-0.1066749360415536,123,0.06666666666666667,True,0.3446601941747573,39.66990291262136,-0.6062992125984252,True,163,0.06834287208118983,True
2024-06-28,300,208,0.16651263093037588,149,-0.002444651980442784,202,0.06954811698355456,True,124,0.1925871354537141,85,0.0,120,0.06554982817869416,True,0.34134615384615385,66.61298076923077,-0.38926174496644295,True,162,0.07160804020100503,True
2024-07-31,300,203,0.16524216524216515,181,0.0,196,0.07057770742472454,True,120,0.19472388759046624,108,0.0,116,0.064391527020393,True,0.30049261083743845,89.93103448275862,0.016574585635359115,True,155,0.07057163020465773,True
2024-08-30,300,214,0.15822460175175496,197,0.0,209,0.07377227292481531,True,127,0.1906873614190688,118,0.0,122,0.0670690811535882,True,0.32242990654205606,66.34813084112149,-0.16243654822335024,True,167,0.07299270072992702,True
2024-09-30,300,210,0.15089679922215088,184,-0.008170922523378234,204,0.07194616977225674,True,118,0.1909406660328188,101,0.0,113,0.0646830530401035,True,0.30952380952380953,49.24523809523809,-0.3967391304347826,True,159,0.07299270072992702,True
2024-10-31,300,202,0.1501412440720652,166,-0.018026449326763755,198,0.06722859983729548,True,109,0.1835985312117503,87,-0.03866871873797614,106,0.05635401436209606,True,0.3217821782178218,50.413366336633665,-0.4457831325301205,True,154,0.06493780307822053,True
2024-11-29,300,209,0.14840989399293283,187,0.0,205,0.06261636452719255,True,114,0.18458646616541352,98,-0.0027120076103936998,109,0.05611672278338945,True,0.3062200956937799,47.655502392344495,-0.2620320855614973,True,158,0.06257772572826169,True
2024-12-31,300,207,0.15498154981549814,189,0.0,201,0.06265664160401002,True,117,0.185792349726776,100,0.0,111,0.05530973451327434,True,0.2898550724637681,76.76086956521739,-0.047619047619047616,True,152,0.06257772572826169,True
2025-01-27,300,203,0.1411282745142256,185,0.0,197,0.07575757575757576,True,116,0.17969602935513831,100,0.0,111,0.06756756756756756,True,0.3054187192118227,96.08128078817734,-0.03783783783783784,True,148,0.073511470151396,True
2025-02-28,300,174,0.14662884301942203,168,0.0,167,0.07352941176470588,True,99,0.18181818181818185,95,0.0,94,0.06745381745381746,True,0.2471264367816092,109.5603448275862,0.03571428571428571,True,116,0.07000803732455109,True
2025-03-31,300,171,0.1408450704225351,157,0.0,163,0.07092198581560284,True,107,0.18111753371868988,92,0.0,101,0.0668002672010688,True,0.28654970760233917,90.51461988304094,-0.012738853503184714,True,119,0.06998178220924994,True
2025-04-30,300,187,0.12941176470588234,161,-0.008210549994376336,179,0.07194244604316546,True,111,0.1616481774960381,88,-0.024253525692981035,106,0.06759522726068229,True,0.31016042780748665,44.63101604278075,-0.2670807453416149,True,136,0.0718967704216261,True
2025-05-30,300,205,0.12697139802191926,146,-0.0507387394823179,197,0.07185109480008672,True,127,0.15100671140939603,80,-0.0709234475840872,120,0.06553181256012092,True,0.36585365853658536,39.99756097560976,-0.3972602739726027,True,156,0.07138654030784478,True
2025-06-30,300,202,0.12659249512746448,153,0.0,194,0.07163473362325828,True,120,0.1490327674694039,91,0.0,113,0.0646830530401035,True,0.3613861386138614,68.65841584158416,-0.3333333333333333,True,151,0.07092198581560284,True
2025-07-31,300,198,0.1258662588759676,171,0.0,189,0.06896551724137931,True,120,0.146700143472023,100,0.0,113,0.06527415143603132,True,0.3686868686868687,93.43939393939394,-0.029239766081871343,True,142,0.0684007911110252,True
2025-08-29,300,206,0.1337253708659955,196,0.0,198,0.06405333018236245,True,128,0.16276383492596874,117,0.0,121,0.061996280223186616,True,0.3932038834951456,77.8252427184466,-0.025510204081632654,True,146,0.06403279765061914,True
2025-09-30,300,206,0.14100852620110077,182,0.0,198,0.06124686109021689,True,117,0.17821782178217827,99,0.0,110,0.05582012428429347,True,0.33495145631067963,52.20145631067961,-0.027472527472527472,True,145,0.0616154083715605,True
2025-10-31,300,201,0.14400000000000013,171,0.0,194,0.05918911438791204,True,114,0.19212871677577098,94,0.0,108,0.054422933276151,True,0.3034825870646766,56.56218905472637,0.023391812865497075,True,136,0.05952380952380952,True
2025-11-28,300,204,0.14517073170731715,181,0.0,197,0.057344725599737106,True,113,0.19923371647509577,100,0.0,107,0.052002080083203325,True,0.28431372549019607,47.34803921568628,0.022099447513812154,True,133,0.05924170616113744,True
2025-12-31,300,196,0.14354045669155197,178,0.0,188,0.057637366287954295,True,107,0.1969365426695841,96,0.0,101,0.05219206680584551,True,0.28061224489795916,76.87244897959184,0.05056179775280899,True,130,0.05903261778645107,True
2026-01-30,300,190,0.115550598724491,179,0.0,183,0.0670690811535882,True,105,0.15106286748077793,102,0.0,99,0.06180469715698393,True,0.2736842105263158,99.3157894736842,0.0223463687150838,True,129,0.06459948320413436,True
2026-02-27,300,169,0.12099644128113875,166,0.0,163,0.06666666666666667,True,93,0.15838926174496631,91,0.0,88,0.05950728464064045,True,0.25443786982248523,112.6508875739645,0.024096385542168676,True,117,0.06410256410256411,True
2026-03-31,300,160,0.12813235674027496,156,0.0,152,0.06572518879522683,True,87,0.16393442622950813,83,0.0,82,0.05977286312014345,True,0.16875,100.4375,0.02564102564102564,True,112,0.06572518879522683,True
2026-04-30,300,166,0.1372452171622378,146,0.0,160,0.06631311398995629,True,99,0.17073170731707318,80,0.0,94,0.062402550774843024,True,0.2469879518072289,49.024096385542165,0.00684931506849315,True,128,0.0692287784679089,True
2026-05-29,300,166,0.12962398222804047,128,0.0,159,0.06640106241699867,True,105,0.1717791411042945,75,-0.0001247116044147908,99,0.061766522544780725,True,0.28313253012048195,39.50903614457831,-0.0390625,True,132,0.06688266999247541,True
