date,entry_event,weak_exit_event,opening_gap_after_dividend,close_recovery_after_dividend,intraday_change,policy_intent,target
2012-08-07,1.0,0.0,-0.001,0.003,0.004,1.0,1.0
2012-08-08,0.0,1.0,0.004,0.002,-0.002,0.0,0.0
2012-08-09,0.0,0.0,0.001,0.024,0.023,0.0,0.0
2012-08-10,0.0,1.0,0.002,-0.007,-0.009,0.0,0.0
2012-08-13,0.0,1.0,-0.007,-0.046,-0.039,0.0,0.0
2012-08-14,0.0,1.0,0.001,-0.004,-0.005,0.0,0.0
2012-08-15,0.0,1.0,-0.005,-0.022,-0.017,0.0,0.0
2012-08-16,0.0,1.0,0.001,-0.007,-0.008,0.0,0.0
2012-08-17,0.0,1.0,0.0,-0.01,-0.01,0.0,0.0
2012-08-20,0.0,0.0,-0.016,-0.013,0.003,0.0,0.0
2012-08-21,0.0,0.0,0.0,0.009,0.009,0.0,0.0
2012-08-22,0.0,1.0,0.002,-0.017,-0.019,0.0,0.0
2012-08-23,0.0,0.0,0.005,0.011,0.006,0.0,0.0
2012-08-24,0.0,1.0,-0.009,-0.023,-0.014,0.0,0.0
2012-08-27,0.0,1.0,-0.011,-0.048,-0.037,0.0,0.0
2012-08-28,0.0,0.0,-0.003,0.0,0.003,0.0,0.0
2012-08-29,0.0,1.0,-0.006,-0.015,-0.009,0.0,0.0
2012-08-30,0.0,1.0,-0.007,-0.01,-0.003,0.0,0.0
2012-08-31,0.0,0.0,-0.003,0.0,0.003,0.0,0.0
2012-09-03,1.0,0.0,-0.005,0.014,0.019,1.0,1.0
2012-09-04,0.0,1.0,0.004,-0.024,-0.028,0.0,0.0
2012-09-05,0.0,1.0,0.0,-0.001,-0.001,0.0,0.0
2012-09-06,0.0,0.0,0.003,0.022,0.019,0.0,0.0
2012-09-07,0.0,0.0,0.013,0.103,0.09,0.0,0.0
2012-09-10,0.0,0.0,0.003,0.008,0.005,0.0,0.0
2012-09-11,0.0,1.0,-0.016,-0.018,-0.002,0.0,0.0
2012-09-12,0.0,1.0,0.018,0.012,-0.006,0.0,0.0
2012-09-13,0.0,1.0,-0.007,-0.023,-0.016,0.0,0.0
2012-09-14,0.0,1.0,0.018,0.016,-0.002,0.0,0.0
2012-09-17,0.0,1.0,-0.006,-0.055,-0.049,0.0,0.0
2012-09-18,0.0,1.0,-0.015,-0.028,-0.013,0.0,0.0
2012-09-19,0.0,0.0,0.0,0.009,0.009,0.0,0.0
2012-09-20,0.0,1.0,-0.005,-0.049,-0.044,0.0,0.0
2012-09-21,0.0,0.0,-0.008,-0.001,0.007,0.0,0.0
2012-09-24,1.0,0.0,-0.014,0.02,0.034,1.0,1.0
2012-09-25,0.0,0.0,-0.007,-0.003,0.004,1.0,1.0
2012-09-26,0.0,1.0,-0.002,-0.024,-0.022,0.0,0.0
2012-09-27,0.0,0.0,0.004,0.064,0.06,0.0,0.0
2012-09-28,1.0,0.0,-0.014,0.053,0.067,1.0,1.0
2012-10-08,0.0,1.0,-0.003,-0.035,-0.032,0.0,0.0
2012-10-09,0.0,0.0,0.012,0.053,0.041,0.0,0.0
2012-10-10,0.0,0.0,-0.009,0.0,0.009,0.0,0.0
2012-10-11,0.0,1.0,-0.008,-0.016,-0.008,0.0,0.0
2012-10-12,0.0,1.0,0.008,-0.002,-0.01,0.0,0.0
2012-10-15,0.0,1.0,0.006,-0.008,-0.014,0.0,0.0
2012-10-16,1.0,0.0,-0.001,0.001,0.002,1.0,1.0
2012-10-17,0.0,1.0,0.012,0.009,-0.003,0.0,0.0
2012-10-18,0.0,0.0,0.005,0.029,0.024,0.0,0.0
2012-10-19,0.0,0.0,-0.003,0.0,0.003,0.0,0.0
2012-10-22,1.0,0.0,-0.01,0.009,0.019,1.0,1.0
2012-10-23,0.0,1.0,-0.001,-0.027,-0.026,0.0,0.0
2012-10-24,0.0,0.0,-0.006,-0.004,0.002,0.0,0.0
2012-10-25,0.0,1.0,0.0,-0.019,-0.019,0.0,0.0
2012-10-26,0.0,1.0,0.001,-0.052,-0.053,0.0,0.0
2012-10-29,0.0,1.0,-0.004,-0.011,-0.007,0.0,0.0
2012-10-30,0.0,0.0,0.003,0.005,0.002,0.0,0.0
2012-10-31,0.0,0.0,0.002,0.016,0.014,0.0,0.0
2012-11-01,0.0,0.0,0.005,0.048,0.043,0.0,0.0
2012-11-02,0.0,0.0,0.0,0.005,0.005,0.0,0.0
2012-11-05,0.0,1.0,-0.002,-0.006,-0.004,0.0,0.0
2012-11-06,0.0,1.0,0.005,-0.009,-0.014,0.0,0.0
2012-11-07,0.0,0.0,-0.004,-0.002,0.002,0.0,0.0
2012-11-08,0.0,1.0,-0.015,-0.042,-0.027,0.0,0.0
2012-11-09,0.0,1.0,-0.004,-0.006,-0.002,0.0,0.0
2012-11-12,0.0,0.0,0.002,0.008,0.006,0.0,0.0
2012-11-13,0.0,1.0,0.0,-0.035,-0.035,0.0,0.0
2012-11-14,0.0,0.0,0.003,0.006,0.003,0.0,0.0
2012-11-15,0.0,1.0,-0.009,-0.027,-0.018,0.0,0.0
2012-11-16,0.0,1.0,-0.003,-0.021,-0.018,0.0,0.0
2012-11-19,0.0,0.0,-0.001,0.0,0.001,0.0,0.0
2012-11-20,0.0,1.0,0.006,-0.006,-0.012,0.0,0.0
2012-11-21,0.0,0.0,0.001,0.027,0.026,0.0,0.0
2012-11-22,0.0,0.0,-0.014,-0.013,0.001,0.0,0.0
2012-11-23,0.0,0.0,0.004,0.012,0.008,0.0,0.0
2012-11-26,0.0,1.0,-0.004,-0.014,-0.01,0.0,0.0
2012-11-27,0.0,1.0,-0.009,-0.024,-0.015,0.0,0.0
2012-11-28,0.0,1.0,-0.005,-0.024,-0.019,0.0,0.0
2012-11-29,0.0,1.0,0.005,-0.008,-0.013,0.0,0.0
2012-11-30,1.0,0.0,-0.005,0.01,0.015,1.0,1.0
2012-12-03,0.0,1.0,0.003,-0.02,-0.023,0.0,0.0
2012-12-04,1.0,0.0,-0.005,0.017,0.022,1.0,1.0
2012-12-05,1.0,0.0,-0.001,0.076,0.077,1.0,1.0
2012-12-06,0.0,1.0,0.001,-0.003,-0.004,0.0,0.0
2012-12-07,0.0,0.0,0.0,0.045,0.045,0.0,0.0
2012-12-10,0.0,0.0,0.013,0.021,0.008,0.0,0.0
2012-12-11,0.0,0.0,-0.009,-0.007,0.002,0.0,0.0
2012-12-12,0.0,0.0,0.002,0.005,0.003,0.0,0.0
2012-12-13,0.0,1.0,-0.009,-0.018,-0.009,0.0,0.0
2012-12-14,1.0,0.0,-0.002,0.115,0.117,1.0,1.0
2012-12-17,0.0,0.0,0.002,0.007,0.005,1.0,1.0
2012-12-18,0.0,1.0,0.0,-0.004,-0.004,0.0,0.0
2012-12-19,1.0,0.0,-0.001,0.006,0.007,1.0,1.0
2012-12-20,1.0,0.0,-0.008,0.016,0.024,1.0,1.0
2012-12-21,0.0,1.0,0.008,-0.01,-0.018,0.0,0.0
2012-12-24,1.0,0.0,-0.001,0.002,0.003,1.0,1.0
2012-12-25,1.0,0.0,-0.008,0.066,0.074,1.0,1.0
2012-12-26,1.0,0.0,-0.004,0.007,0.011,1.0,1.0
2012-12-27,0.0,1.0,0.012,-0.005,-0.017,0.0,0.0
2012-12-28,0.0,0.0,0.007,0.036,0.029,0.0,0.0
2012-12-31,0.0,0.0,0.008,0.04,0.032,0.0,0.0
2013-01-04,0.0,1.0,0.03,0.006,-0.024,0.0,0.0
2013-01-07,1.0,0.0,-0.008,0.004,0.012,1.0,1.0
2013-01-08,0.0,1.0,-0.001,-0.011,-0.01,0.0,0.0
2013-01-09,0.0,0.0,-0.004,-0.002,0.002,0.0,0.0
2013-01-10,0.0,0.0,0.001,0.006,0.005,0.0,0.0
2013-01-11,0.0,1.0,0.007,-0.038,-0.045,0.0,0.0
2013-01-14,0.0,0.0,0.0,0.088,0.088,0.0,0.0
2013-01-15,0.0,0.0,0.002,0.015,0.013,0.0,0.0
2013-01-16,0.0,1.0,-0.001,-0.019,-0.018,0.0,0.0
2013-01-17,0.0,1.0,-0.004,-0.016,-0.012,0.0,0.0
2013-01-18,0.0,0.0,0.016,0.038,0.022,0.0,0.0
2013-01-21,0.0,0.0,0.005,0.009,0.004,0.0,0.0
2013-01-22,0.0,0.0,-0.005,-0.004,0.001,0.0,0.0
2013-01-23,1.0,0.0,-0.001,0.005,0.006,1.0,1.0
2013-01-24,0.0,1.0,0.0,-0.017,-0.017,0.0,0.0
2013-01-25,0.0,1.0,0.0,-0.012,-0.012,0.0,0.0
2013-01-28,0.0,0.0,0.007,0.07,0.063,0.0,0.0
2013-01-29,0.0,0.0,0.003,0.02,0.017,0.0,0.0
2013-01-30,0.0,0.0,0.007,0.015,0.008,0.0,0.0
2013-01-31,0.0,1.0,0.011,0.007,-0.004,0.0,0.0
2013-02-01,1.0,0.0,-0.009,0.052,0.061,1.0,1.0
2013-02-04,0.0,1.0,0.008,0.005,-0.003,0.0,0.0
2013-02-05,1.0,0.0,-0.013,0.02,0.033,1.0,1.0
2013-02-06,0.0,0.0,0.002,0.008,0.006,1.0,1.0
2013-02-07,0.0,1.0,-0.003,-0.013,-0.01,0.0,0.0
2013-02-08,0.0,0.0,0.007,0.009,0.002,0.0,0.0
2013-02-18,0.0,1.0,0.006,-0.041,-0.047,0.0,0.0
2013-02-19,0.0,1.0,0.002,-0.044,-0.046,0.0,0.0
2013-02-20,0.0,0.0,0.001,0.012,0.011,0.0,0.0
2013-02-21,0.0,1.0,-0.026,-0.096,-0.07,0.0,0.0
2013-02-22,0.0,1.0,0.003,-0.008,-0.011,0.0,0.0
2013-02-25,0.0,1.0,0.007,0.004,-0.003,0.0,0.0
2013-02-26,0.0,1.0,-0.016,-0.038,-0.022,0.0,0.0
2013-02-27,0.0,0.0,0.011,0.024,0.013,0.0,0.0
2013-02-28,0.0,0.0,0.024,0.087,0.063,0.0,0.0
2013-03-01,0.0,1.0,0.0,-0.003,-0.003,0.0,0.0
2013-03-04,0.0,1.0,-0.034,-0.126,-0.092,0.0,0.0
2013-03-05,0.0,0.0,0.005,0.073,0.068,0.0,0.0
2013-03-06,0.0,0.0,0.018,0.028,0.01,0.0,0.0
2013-03-07,0.0,1.0,-0.011,-0.032,-0.021,0.0,0.0
2013-03-08,0.0,1.0,0.016,-0.004,-0.02,0.0,0.0
2013-03-11,0.0,1.0,-0.018,-0.018,0.0,0.0,0.0
2013-03-12,0.0,1.0,0.0,-0.037,-0.037,0.0,0.0
2013-03-13,0.0,1.0,-0.004,-0.028,-0.024,0.0,0.0
2013-03-14,1.0,0.0,-0.013,0.005,0.018,1.0,1.0
2013-03-15,0.0,1.0,0.006,0.002,-0.004,0.0,0.0
2013-03-18,0.0,1.0,-0.007,-0.027,-0.02,0.0,0.0
2013-03-19,0.0,0.0,0.004,0.022,0.018,0.0,0.0
2013-03-20,0.0,0.0,0.001,0.077,0.076,0.0,0.0
2013-03-21,0.0,0.0,0.006,0.007,0.001,0.0,0.0
2013-03-22,0.0,0.0,0.001,0.007,0.006,0.0,0.0
2013-03-25,0.0,1.0,0.01,-0.004,-0.014,0.0,0.0
2013-03-26,0.0,1.0,-0.013,-0.043,-0.03,0.0,0.0
2013-03-27,0.0,0.0,0.002,0.006,0.004,0.0,0.0
2013-03-28,0.0,1.0,-0.037,-0.08,-0.043,0.0,0.0
2013-03-29,0.0,1.0,0.008,-0.007,-0.015,0.0,0.0
2013-04-01,0.0,0.0,-0.009,-0.004,0.005,0.0,0.0
2013-04-02,0.0,1.0,0.006,0.004,-0.002,0.0,0.0
2013-04-03,0.0,1.0,0.008,-0.005,-0.013,0.0,0.0
2013-04-08,0.0,0.0,-0.032,-0.012,0.02,0.0,0.0
2013-04-09,0.0,0.0,0.007,0.015,0.008,0.0,0.0
2013-04-10,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2013-04-11,0.0,1.0,0.023,-0.011,-0.034,0.0,0.0
2013-04-12,0.0,1.0,0.002,-0.008,-0.01,0.0,0.0
2013-04-15,0.0,1.0,-0.006,-0.025,-0.019,0.0,0.0
2013-04-16,1.0,0.0,-0.012,0.015,0.027,1.0,1.0
2013-04-17,1.0,0.0,-0.001,0.006,0.007,1.0,1.0
2013-04-18,1.0,0.0,-0.023,0.005,0.028,1.0,1.0
2013-04-19,0.0,0.0,0.004,0.07,0.066,1.0,1.0
2013-04-22,0.0,1.0,-0.002,-0.008,-0.006,0.0,0.0
2013-04-23,0.0,1.0,0.0,-0.077,-0.077,0.0,0.0
2013-04-24,0.0,0.0,0.001,0.042,0.041,0.0,0.0
2013-04-25,0.0,1.0,-0.011,-0.026,-0.015,0.0,0.0
2013-04-26,0.0,1.0,0.011,-0.023,-0.034,0.0,0.0
2013-05-02,1.0,0.0,-0.018,0.002,0.02,1.0,1.0
2013-05-03,0.0,0.0,0.011,0.044,0.033,1.0,1.0
2013-05-06,0.0,0.0,0.009,0.029,0.02,1.0,1.0
2013-05-07,1.0,0.0,-0.002,0.006,0.008,1.0,1.0
2013-05-08,0.0,1.0,0.017,0.016,-0.001,0.0,0.0
2013-05-09,0.0,1.0,-0.004,-0.013,-0.009,0.0,0.0
2013-05-10,1.0,0.0,-0.011,0.01,0.021,1.0,1.0
2013-05-13,0.0,1.0,0.002,-0.01,-0.012,0.0,0.0
2013-05-14,0.0,1.0,-0.005,-0.037,-0.032,0.0,0.0
2013-05-15,0.0,0.0,0.001,0.012,0.011,0.0,0.0
2013-05-16,1.0,0.0,-0.005,0.051,0.056,1.0,1.0
2013-05-17,0.0,0.0,0.0,0.044,0.044,1.0,1.0
2013-05-20,0.0,0.0,0.007,0.015,0.008,1.0,1.0
2013-05-21,0.0,1.0,0.001,0.0,-0.001,0.0,0.0
2013-05-22,0.0,1.0,0.003,0.003,0.0,0.0,0.0
2013-05-23,0.0,1.0,-0.016,-0.028,-0.012,0.0,0.0
2013-05-24,0.0,0.0,0.011,0.014,0.003,0.0,0.0
2013-05-27,0.0,1.0,-0.006,-0.006,0.0,0.0,0.0
2013-05-28,0.0,0.0,0.001,0.054,0.053,0.0,0.0
2013-05-29,0.0,1.0,0.006,-0.009,-0.015,0.0,0.0
2013-05-30,0.0,1.0,0.0,-0.007,-0.007,0.0,0.0
2013-05-31,0.0,1.0,0.001,-0.03,-0.031,0.0,0.0
2013-06-03,0.0,0.0,0.004,0.005,0.001,0.0,0.0
2013-06-04,0.0,1.0,-0.003,-0.038,-0.035,0.0,0.0
2013-06-05,0.0,1.0,-0.001,-0.007,-0.006,0.0,0.0
2013-06-06,0.0,1.0,-0.008,-0.025,-0.017,0.0,0.0
2013-06-07,0.0,1.0,0.001,-0.046,-0.047,0.0,0.0
2013-06-13,0.0,1.0,-0.037,-0.077,-0.04,0.0,0.0
2013-06-14,0.0,0.0,0.007,0.017,0.01,0.0,0.0
2013-06-17,0.0,1.0,0.009,-0.015,-0.024,0.0,0.0
2013-06-18,0.0,0.0,0.006,0.016,0.01,0.0,0.0
2013-06-19,0.0,1.0,-0.01,-0.014,-0.004,0.0,0.0
2013-06-20,0.0,1.0,-0.016,-0.076,-0.06,0.0,0.0
2013-06-21,0.0,0.0,-0.039,-0.011,0.028,0.0,0.0
2013-06-24,0.0,1.0,-0.013,-0.143,-0.13,0.0,0.0
2013-06-25,1.0,0.0,-0.026,0.001,0.027,1.0,1.0
2013-06-26,0.0,1.0,0.0,-0.005,-0.005,0.0,0.0
2013-06-27,0.0,1.0,0.015,0.001,-0.014,0.0,0.0
2013-06-28,0.0,0.0,0.018,0.04,0.022,0.0,0.0
2013-07-01,1.0,0.0,-0.024,0.009,0.033,1.0,1.0
2013-07-02,1.0,0.0,-0.001,0.007,0.008,1.0,1.0
2013-07-03,0.0,0.0,-0.006,-0.005,0.001,1.0,1.0
2013-07-04,1.0,0.0,-0.017,0.016,0.033,1.0,1.0
2013-07-05,0.0,0.0,0.005,0.008,0.003,1.0,1.0
2013-07-08,0.0,1.0,-0.031,-0.061,-0.03,0.0,0.0
2013-07-09,0.0,1.0,-0.002,-0.005,-0.003,0.0,0.0
2013-07-10,0.0,0.0,0.0,0.061,0.061,0.0,0.0
2013-07-11,0.0,0.0,0.022,0.113,0.091,0.0,0.0
2013-07-12,0.0,1.0,-0.003,-0.059,-0.056,0.0,0.0
2013-07-15,0.0,0.0,0.015,0.033,0.018,0.0,0.0
2013-07-16,1.0,0.0,-0.009,0.014,0.023,1.0,1.0
2013-07-17,0.0,1.0,-0.007,-0.035,-0.028,0.0,0.0
2013-07-18,0.0,1.0,-0.008,-0.036,-0.028,0.0,0.0
2013-07-19,0.0,1.0,0.001,-0.063,-0.064,0.0,0.0
2013-07-22,1.0,0.0,-0.025,0.014,0.039,1.0,1.0
2013-07-23,0.0,0.0,0.008,0.07,0.062,1.0,1.0
2013-07-24,0.0,1.0,-0.004,-0.017,-0.013,0.0,0.0
2013-07-25,0.0,1.0,0.013,-0.006,-0.019,0.0,0.0
2013-07-26,0.0,1.0,-0.016,-0.021,-0.005,0.0,0.0
2013-07-29,0.0,1.0,-0.02,-0.044,-0.024,0.0,0.0
2013-07-30,0.0,1.0,0.017,0.013,-0.004,0.0,0.0
2013-07-31,0.0,1.0,0.019,0.005,-0.014,0.0,0.0
2013-08-01,0.0,0.0,0.021,0.059,0.038,0.0,0.0
2013-08-02,0.0,1.0,0.025,-0.004,-0.029,0.0,0.0
2013-08-05,0.0,0.0,0.006,0.033,0.027,0.0,0.0
2013-08-06,1.0,0.0,-0.011,0.015,0.026,1.0,1.0
2013-08-07,0.0,1.0,-0.002,-0.016,-0.014,0.0,0.0
2013-08-08,0.0,1.0,0.001,0.001,0.0,0.0,0.0
2013-08-09,0.0,1.0,0.011,0.01,-0.001,0.0,0.0
2013-08-12,0.0,0.0,0.022,0.07,0.048,0.0,0.0
2013-08-13,0.0,0.0,-0.001,0.0,0.001,0.0,0.0
2013-08-14,0.0,1.0,0.004,-0.005,-0.009,0.0,0.0
2013-08-15,0.0,1.0,-0.002,-0.028,-0.026,0.0,0.0
2013-08-16,0.0,1.0,-0.007,-0.017,-0.01,0.0,0.0
2013-08-19,1.0,0.0,-0.009,0.02,0.029,1.0,1.0
2013-08-20,0.0,1.0,-0.002,-0.017,-0.015,0.0,0.0
2013-08-21,0.0,1.0,0.01,0.0,-0.01,0.0,0.0
2013-08-22,0.0,1.0,-0.005,-0.008,-0.003,0.0,0.0
2013-08-23,0.0,1.0,0.013,-0.015,-0.028,0.0,0.0
2013-08-26,0.0,0.0,0.005,0.052,0.047,0.0,0.0
2013-08-27,0.0,0.0,-0.005,0.0,0.005,0.0,0.0
2013-08-28,0.0,0.0,-0.017,-0.011,0.006,0.0,0.0
2013-08-29,0.0,1.0,0.012,-0.007,-0.019,0.0,0.0
2013-08-30,0.0,0.0,-0.006,-0.004,0.002,0.0,0.0
2013-09-02,0.0,1.0,0.005,0.002,-0.003,0.0,0.0
2013-09-03,0.0,0.0,0.006,0.036,0.03,0.0,0.0
2013-09-04,0.0,0.0,-0.004,-0.001,0.003,0.0,0.0
2013-09-05,0.0,1.0,-0.001,-0.01,-0.009,0.0,0.0
2013-09-06,1.0,0.0,-0.005,0.014,0.019,1.0,1.0
2013-09-09,0.0,0.0,0.011,0.089,0.078,1.0,1.0
2013-09-10,0.0,0.0,0.0,0.033,0.033,1.0,1.0
2013-09-11,0.0,1.0,0.015,0.011,-0.004,0.0,0.0
2013-09-12,1.0,0.0,-0.003,0.025,0.028,1.0,1.0
2013-09-13,0.0,1.0,-0.004,-0.019,-0.015,0.0,0.0
2013-09-16,0.0,1.0,0.013,-0.013,-0.026,0.0,0.0
2013-09-17,0.0,1.0,-0.001,-0.05,-0.049,0.0,0.0
2013-09-18,0.0,0.0,0.0,0.003,0.003,0.0,0.0
2013-09-23,0.0,0.0,0.004,0.035,0.031,0.0,0.0
2013-09-24,0.0,1.0,0.0,-0.024,-0.024,0.0,0.0
2013-09-25,0.0,1.0,-0.002,-0.015,-0.013,0.0,0.0
2013-09-26,0.0,1.0,-0.009,-0.041,-0.032,0.0,0.0
2013-09-27,1.0,0.0,-0.004,0.009,0.013,1.0,1.0
2013-09-30,0.0,0.0,0.007,0.016,0.009,1.0,1.0
2013-10-08,1.0,0.0,-0.025,0.035,0.06,1.0,1.0
2013-10-09,1.0,0.0,-0.012,0.003,0.015,1.0,1.0
2013-10-10,0.0,1.0,0.004,-0.022,-0.026,0.0,0.0
2013-10-11,0.0,0.0,0.011,0.04,0.029,0.0,0.0
2013-10-14,0.0,1.0,0.005,0.001,-0.004,0.0,0.0
2013-10-15,0.0,1.0,0.004,-0.003,-0.007,0.0,0.0
2013-10-16,0.0,1.0,-0.01,-0.044,-0.034,0.0,0.0
2013-10-17,0.0,1.0,0.012,-0.013,-0.025,0.0,0.0
2013-10-18,0.0,0.0,0.001,0.012,0.011,0.0,0.0
2013-10-21,0.0,0.0,0.005,0.053,0.048,0.0,0.0
2013-10-22,0.0,1.0,-0.001,-0.028,-0.027,0.0,0.0
2013-10-23,0.0,1.0,0.003,-0.027,-0.03,0.0,0.0
2013-10-24,0.0,1.0,-0.003,-0.02,-0.017,0.0,0.0
2013-10-25,0.0,1.0,0.001,-0.039,-0.04,0.0,0.0
2013-10-28,0.0,1.0,0.008,0.003,-0.005,0.0,0.0
2013-10-29,0.0,1.0,0.004,0.003,-0.001,0.0,0.0
2013-10-30,0.0,0.0,0.003,0.034,0.031,0.0,0.0
2013-10-31,0.0,1.0,-0.006,-0.024,-0.018,0.0,0.0
2013-11-01,0.0,0.0,0.002,0.01,0.008,0.0,0.0
2013-11-04,0.0,1.0,0.01,-0.007,-0.017,0.0,0.0
2013-11-05,0.0,0.0,-0.009,0.0,0.009,0.0,0.0
2013-11-06,0.0,1.0,-0.008,-0.028,-0.02,0.0,0.0
2013-11-07,0.0,1.0,0.0,-0.01,-0.01,0.0,0.0
2013-11-08,0.0,1.0,-0.007,-0.036,-0.029,0.0,0.0
2013-11-11,1.0,0.0,-0.003,0.003,0.006,1.0,1.0
2013-11-12,0.0,0.0,0.008,0.024,0.016,1.0,1.0
2013-11-13,0.0,1.0,-0.012,-0.045,-0.033,0.0,0.0
2013-11-14,0.0,0.0,0.0,0.007,0.007,0.0,0.0
2013-11-15,0.0,0.0,0.01,0.049,0.039,0.0,0.0
2013-11-18,0.0,0.0,0.019,0.079,0.06,0.0,0.0
2013-11-19,0.0,1.0,-0.004,-0.011,-0.007,0.0,0.0
2013-11-20,0.0,1.0,0.018,0.011,-0.007,0.0,0.0
2013-11-21,0.0,1.0,-0.011,-0.012,-0.001,0.0,0.0
2013-11-22,0.0,1.0,0.003,-0.014,-0.017,0.0,0.0
2013-11-25,0.0,1.0,-0.013,-0.013,0.0,0.0,0.0
2013-11-26,0.0,1.0,0.001,-0.001,-0.002,0.0,0.0
2013-11-27,1.0,0.0,-0.001,0.028,0.029,1.0,1.0
2013-11-28,0.0,0.0,0.007,0.026,0.019,1.0,1.0
2013-11-29,0.0,1.0,0.003,0.002,-0.001,0.0,0.0
2013-12-02,0.0,1.0,-0.009,-0.023,-0.014,0.0,0.0
2013-12-03,1.0,0.0,-0.004,0.022,0.026,1.0,1.0
2013-12-04,0.0,0.0,0.004,0.032,0.028,1.0,1.0
2013-12-05,0.0,1.0,0.001,0.0,-0.001,0.0,0.0
2013-12-06,0.0,1.0,-0.005,-0.017,-0.012,0.0,0.0
2013-12-09,0.0,1.0,0.011,-0.001,-0.012,0.0,0.0
2013-12-10,0.0,1.0,0.002,-0.001,-0.003,0.0,0.0
2013-12-11,0.0,1.0,-0.012,-0.039,-0.027,0.0,0.0
2013-12-12,0.0,1.0,-0.001,-0.005,-0.004,0.0,0.0
2013-12-13,0.0,0.0,-0.022,-0.001,0.021,0.0,0.0
2013-12-16,0.0,1.0,0.002,-0.04,-0.042,0.0,0.0
2013-12-17,0.0,1.0,0.0,-0.015,-0.015,0.0,0.0
2013-12-18,0.0,1.0,0.002,0.002,0.0,0.0,0.0
2013-12-19,0.0,1.0,0.007,-0.023,-0.03,0.0,0.0
2013-12-20,0.0,1.0,0.002,-0.051,-0.053,0.0,0.0
