fit_index,fit_origin,first_state_index,last_state_index,last_hypothetical_exit_index,state_rows,nonnegative_state_rows,negative_state_rows,exact_zero_state_rows,complete_window,supports_60_rows_each_state
2779,2023-11-01,2536,2777,2779,242,111,131,6,True,True
2801,2023-12-01,2558,2799,2801,242,109,133,6,True,True
2822,2024-01-02,2579,2820,2822,242,110,132,6,True,True
2844,2024-02-01,2601,2842,2844,242,103,139,5,True,True
2859,2024-03-01,2616,2857,2859,242,106,136,4,True,True
2880,2024-04-01,2637,2878,2880,242,109,133,3,True,True
2900,2024-05-06,2657,2898,2900,242,109,133,3,True,True
2920,2024-06-03,2677,2918,2920,242,112,130,2,True,True
2939,2024-07-01,2696,2937,2939,242,107,135,2,True,True
2962,2024-08-01,2719,2960,2962,242,108,134,2,True,True
2984,2024-09-02,2741,2982,2984,242,109,133,3,True,True
3003,2024-10-08,2760,3001,3003,242,116,126,4,True,True
3021,2024-11-01,2778,3019,3021,242,117,125,5,True,True
3042,2024-12-02,2799,3040,3042,242,119,123,5,True,True
3064,2025-01-02,2821,3062,3064,242,122,120,5,True,True
3082,2025-02-05,2839,3080,3082,242,122,120,5,True,True
3100,2025-03-03,2857,3098,3100,242,121,121,5,True,True
3121,2025-04-01,2878,3119,3121,242,120,122,5,True,True
3142,2025-05-06,2899,3140,3142,242,124,118,7,True,True
3161,2025-06-03,2918,3159,3161,242,123,119,7,True,True
3181,2025-07-01,2938,3179,3181,242,129,113,6,True,True
3204,2025-08-01,2961,3202,3204,242,134,108,7,True,True
3225,2025-09-01,2982,3223,3225,242,138,104,6,True,True
3247,2025-10-09,3004,3245,3247,242,138,104,5,True,True
3264,2025-11-03,3021,3262,3264,242,139,103,3,True,True
3284,2025-12-01,3041,3282,3284,242,138,104,3,True,True
3307,2026-01-05,3064,3305,3307,242,138,104,3,True,True
3327,2026-02-02,3084,3325,3327,242,139,103,3,True,True
3341,2026-03-02,3098,3339,3341,242,138,104,3,True,True
3363,2026-04-01,3120,3361,3363,242,138,104,3,True,True
3384,2026-05-06,3141,3382,3384,242,135,107,2,True,True
3402,2026-06-01,3159,3400,3402,242,138,104,3,True,True
3423,2026-07-01,3180,3421,3423,242,136,106,3,True,True
3446,2026-08-03,3203,3444,3446,242,131,111,2,True,True
