date,static_profit,mechanical_increment,state_policy_increment,full_profit
2023-06-16,489.6979599999904,0.0,5521.028019999998,6010.725979999988
2023-06-19,267.6979599999904,0.0,5602.028019999998,5869.725979999988
2023-06-20,215.89795999997295,0.0,5620.928020000021,5836.825979999994
2023-06-21,-191.10204000002705,0.0,5769.428020000021,5578.325979999994
2023-06-26,-516.7020400000038,0.0,5888.22802000001,5371.525980000006
2023-06-27,-324.3020400000096,0.0,5818.028019999998,5493.725979999988
2023-06-28,-265.10204000002705,0.0,5796.428020000021,5531.325979999994
2023-06-29,-398.3020400000096,0.0,5845.028019999998,5446.725979999988
2023-06-30,-228.10204000002705,0.0,5782.928020000021,5554.825979999994
2023-07-03,104.89795999997295,0.0,5661.428020000021,5766.325979999994
2023-07-04,156.69795999999042,0.0,5642.528019999998,5799.225979999988
2023-07-05,-43.102040000027046,0.0,5715.428020000021,5672.325979999994
2023-07-06,-250.30204000000958,0.0,5791.028019999998,5540.725979999988
2023-07-07,-331.70204000000376,0.0,5820.72802000001,5489.025980000006
2023-07-10,-213.30204000000958,0.0,5777.528019999998,5564.225979999988
2023-07-11,-20.902040000015404,0.0,5707.328020000015,5686.42598
2023-07-12,-161.50204000002122,0.0,5758.628020000033,5597.125980000012
2023-07-13,304.6979599999904,0.0,5588.528019999998,5893.225979999988
2023-07-14,289.89795999997295,0.0,5593.928020000021,5883.825979999994
2023-07-17,82.69795999999042,0.0,5669.528019999998,5752.225979999988
2023-07-18,38.29795999999624,0.0,5685.72802000001,5724.025980000006
2023-07-19,23.497959999978775,0.0,5691.128020000033,5714.625980000012
2023-07-20,-183.70204000000376,0.0,5766.72802000001,5583.025980000006
2023-07-21,-168.9020400000154,0.0,5761.328020000015,5592.42598
2023-07-24,-294.70204000000376,0.0,5807.22802000001,5512.525980000006
2023-07-25,534.0979599999846,0.0,5504.828020000015,6038.92598
2023-07-26,467.4979599999788,0.0,5529.128020000033,5996.625980000012
2023-07-27,437.89795999997295,0.0,5539.928020000021,5977.825979999994
2023-07-28,1148.2979599999962,0.0,5280.72802000001,6429.025980000006
2023-07-31,1266.6979599999904,0.0,5237.528019999998,6504.225979999988
2023-08-01,1133.4979599999788,0.0,5286.128020000033,6419.625980000012
2023-08-02,918.897959999973,0.0,5364.428020000021,6283.325979999994
2023-08-03,1185.2979599999962,0.0,5267.22802000001,6452.525980000006
2023-08-04,1340.6979599999904,0.0,5210.528019999998,6551.225979999988
2023-08-07,1111.2979599999962,0.0,5294.22802000001,6405.525980000006
2023-08-08,1000.2979599999962,0.0,5334.72802000001,6335.025980000006
2023-08-09,941.0979599999846,0.0,5356.328020000015,6297.42598
2023-08-10,978.0979599999846,0.0,5342.828020000015,6320.92598
2023-08-11,275.0979599999846,0.0,5599.328020000015,5874.42598
2023-08-14,75.29795999999624,0.0,5672.22802000001,5747.525980000006
2023-08-15,45.69795999999042,0.0,5683.028019999998,5728.725979999988
2023-08-16,-176.30204000000958,0.0,5764.028019999998,5587.725979999988
2023-08-17,-80.10204000002705,0.0,5728.928020000021,5648.825979999994
2023-08-18,-450.10204000002705,0.0,5863.928020000021,5413.825979999994
2023-08-21,-834.9020400000154,0.0,6004.328020000015,5169.42598
2023-08-22,-664.7020400000038,0.0,5942.22802000001,5277.525980000006
2023-08-23,-1071.7020400000038,0.0,6090.72802000001,5019.025980000006
2023-08-24,-901.5020400000212,0.0,6028.628020000033,5127.125980000012
2023-08-25,-953.3020400000096,0.0,6047.528019999998,5094.225979999988
2023-08-28,-561.102040000027,0.0,5904.428020000021,5343.325979999994
2023-08-29,-398.3020400000096,0.0,5845.028019999998,5446.725979999988
2023-08-30,-405.70204000000376,0.0,5847.72802000001,5442.025980000006
2023-08-31,-546.3020400000096,0.0,5899.028019999998,5352.725979999988
2023-09-01,-376.10204000002705,0.0,5836.928020000021,5460.825979999994
2023-09-04,53.097959999984596,0.0,5680.328020000015,5733.42598
2023-09-05,-146.70204000000376,0.0,5753.22802000001,5606.525980000006
2023-09-06,-220.70204000000376,0.0,5780.22802000001,5559.525980000006
2023-09-07,-612.9020400000154,0.0,5923.328020000015,5310.42598
2023-09-08,-768.3020400000096,0.0,5980.028019999998,5211.725979999988
2023-09-11,-561.102040000027,0.0,5904.428020000021,5343.325979999994
2023-09-12,-598.102040000027,0.0,5917.928020000021,5319.825979999994
2023-09-13,-783.102040000027,0.0,5985.428020000021,5202.325979999994
2023-09-14,-805.3020400000096,0.0,5993.528019999998,5188.225979999988
2023-09-15,-931.102040000027,0.0,6039.428020000021,5108.325979999994
2023-09-18,-834.9020400000154,0.0,6004.328020000015,5169.42598
2023-09-19,-871.9020400000154,0.0,6017.828020000015,5145.92598
2023-09-20,-1005.102040000027,0.0,6066.428020000021,5061.325979999994
2023-09-21,-1264.102040000027,0.0,6160.928020000021,4896.825979999994
2023-09-22,-709.102040000027,0.0,5958.428020000021,5249.325979999994
2023-09-25,-916.3020400000096,0.0,6034.028019999998,5117.725979999988
2023-09-26,-1071.7020400000038,0.0,6090.72802000001,5019.025980000006
2023-09-27,-997.7020400000038,0.0,6063.72802000001,5066.025980000006
2023-09-28,-1101.3020400000096,0.0,6101.528019999998,5000.225979999988
2023-10-09,-1175.3020400000096,0.0,6128.528019999998,4953.225979999988
2023-10-10,-1375.102040000027,0.0,6201.428020000021,4826.325979999994
2023-10-11,-1315.9020400000154,0.0,6179.828020000015,4863.92598
2023-10-12,-1049.5020400000212,0.0,6082.628020000033,5033.125980000012
2023-10-13,-1308.5020400000212,0.0,6177.128020000033,4868.625980000012
2023-10-16,-1626.7020400000038,0.0,6293.22802000001,4666.525980000006
2023-10-17,-1537.9020400000154,0.0,6260.828020000015,4722.92598
2023-10-18,-1745.102040000027,0.0,6336.428020000021,4591.325979999994
2023-10-19,-2314.9020400000154,0.0,6544.328020000015,4229.42598
2023-10-20,-2448.102040000027,0.0,6592.928020000021,4144.825979999994
2023-10-23,-2729.3020400000096,0.0,6695.528019999998,3966.2259799999883
2023-10-24,-2692.3020400000096,0.0,6682.028019999998,3989.7259799999883
2023-10-25,-2544.3020400000096,0.0,6628.028019999998,4083.7259799999883
2023-10-26,-2448.102040000027,0.0,6592.928020000021,4144.825979999994
2023-10-27,-2048.502040000021,0.0,6447.128020000033,4398.625980000012
2023-10-30,-1930.102040000027,0.0,6403.928020000021,4473.825979999994
2023-10-31,-1989.3020400000096,0.0,6425.528019999998,4436.225979999988
2023-11-01,-2004.102040000027,0.0,6430.928020000021,4426.825979999994
2023-11-02,-2129.9020400000154,0.0,6476.828020000015,4346.92598
2023-11-03,-1922.7020400000038,0.0,6401.22802000001,4478.525980000006
2023-11-06,-1567.5020400000212,0.0,6271.628020000033,4704.125980000012
2023-11-07,-1648.9020400000154,0.0,6301.328020000015,4652.42598
2023-11-08,-1730.3020400000096,0.0,6331.028019999998,4600.725979999988
2023-11-09,-1708.102040000027,0.0,6322.928020000021,4614.825979999994
2023-11-10,-1907.9020400000154,0.0,6395.828020000015,4487.92598
2023-11-13,-1944.9020400000154,0.0,6409.328020000015,4464.42598
2023-11-14,-1944.9020400000154,0.0,6409.328020000015,4464.42598
2023-11-15,-1759.9020400000154,0.0,6341.828020000015,4581.92598
2023-11-16,-2026.3020400000096,0.0,6439.028019999998,4412.725979999988
2023-11-17,-2063.3020400000096,0.0,6452.528019999998,4389.225979999988
2023-11-20,-1981.9020400000154,0.0,6422.828020000015,4440.92598
2023-11-21,-1944.9020400000154,0.0,6409.328020000015,4464.42598
2023-11-22,-2233.502040000021,0.0,6514.628020000033,4281.125980000012
2023-11-23,-2092.9020400000154,0.0,6463.328020000015,4370.42598
2023-11-24,-2277.9020400000154,0.0,6530.828020000015,4252.92598
2023-11-27,-2455.502040000021,0.0,6595.628020000033,4140.125980000012
2023-11-28,-2425.9020400000154,0.0,6584.828020000015,4158.92598
2023-11-29,-2625.7020400000038,0.0,6657.72802000001,4032.025980000006
2023-11-30,-2596.102040000027,0.0,6646.928020000021,4050.825979999994
2023-12-01,-2699.7020400000038,0.0,6684.72802000001,3985.025980000006
2023-12-04,-2877.3020400000096,0.0,6749.528019999998,3872.2259799999883
2023-12-05,-3365.7020400000038,0.0,6927.72802000001,3562.025980000006
2023-12-06,-3328.7020400000038,0.0,6914.22802000001,3585.525980000006
2023-12-07,-3395.3020400000096,0.0,6938.528019999998,3543.2259799999883
2023-12-08,-3343.502040000021,0.0,6919.628020000033,3576.1259800000116
2023-12-11,-3165.9020400000154,0.0,6854.828020000015,3688.92598
2023-12-12,-3106.7020400000038,0.0,6833.22802000001,3726.525980000006
2023-12-13,-3535.9020400000154,0.0,6989.828020000015,3453.92598
2023-12-14,-3654.3020400000096,0.0,7033.028019999998,3378.7259799999883
2023-12-15,-3706.102040000027,0.0,7051.928020000021,3345.825979999994
2023-12-18,-3809.7020400000038,0.0,7089.72802000001,3280.025980000006
2023-12-19,-3794.9020400000154,0.0,7084.328020000015,3289.42598
2023-12-20,-4024.3020400000096,0.0,7168.028019999998,3143.7259799999883
2023-12-21,-3794.9020400000154,0.0,7084.328020000015,3289.42598
2023-12-22,-3750.502040000021,0.0,7068.128020000033,3317.6259800000116
2023-12-25,-3683.9020400000154,0.0,7043.828020000015,3359.92598
2023-12-26,-3831.9020400000154,0.0,7097.828020000015,3265.92598
2023-12-27,-3757.9020400000154,0.0,7070.828020000015,3312.92598
2023-12-28,-3136.3020400000096,0.0,6844.028019999998,3707.7259799999883
2023-12-29,-3062.3020400000096,0.0,6817.028019999998,3754.7259799999883
2024-01-02,-3402.7020400000038,0.0,6941.22802000001,3538.525980000006
2024-01-03,-3476.7020400000038,0.0,6968.22802000001,3491.525980000006
2024-01-04,-3698.7020400000038,0.0,7049.22802000001,3350.525980000006
2024-01-05,-3824.502040000021,0.0,7095.128020000033,3270.6259800000116
2024-01-08,-4172.30204000001,0.0,7222.028019999998,3049.7259799999883
2024-01-09,-4113.102040000027,0.0,7200.428020000021,3087.325979999994
2024-01-10,-4231.502040000021,0.0,7243.628020000033,3012.1259800000116
2024-01-11,-4090.9020400000154,0.0,7192.328020000015,3101.42598
2024-01-12,-4172.30204000001,0.0,7222.028019999998,3049.7259799999883
2024-01-15,-4201.902040000015,0.0,7232.828020000015,3030.92598
2024-01-16,-4039.102040000027,0.0,7173.428020000021,3134.325979999994
2024-01-17,-4594.102040000027,0.0,7375.928020000021,2781.825979999994
2024-01-18,-4261.102039999998,0.0,7254.428019999992,2993.325979999994
2024-01-19,-4209.30204000001,0.0,7235.528019999998,3026.2259799999883
2024-01-22,-4719.902040000015,0.0,7421.828020000015,2701.92598
2024-01-23,-4557.102039999998,0.0,7362.428019999992,2805.325979999994
2024-01-24,-4179.702040000004,0.0,7224.728019999951,3045.0259799999476
2024-01-25,-3765.3020400000096,0.0,7073.528019999998,3308.2259799999883
2024-01-26,-3809.7020400000038,0.0,7089.728019999951,3280.0259799999476
2024-01-29,-4031.7020400000038,0.0,7170.728019999951,3139.0259799999476
2024-01-30,-4446.102039999998,0.0,7321.928019999992,2875.825979999994
2024-01-31,-4601.502040000021,0.0,7378.628019999975,2777.1259799999534
2024-02-01,-4631.102039999998,0.0,7389.428019999992,2758.325979999994
2024-02-02,-4853.102039999998,0.0,7470.428019999992,2617.325979999994
2024-02-05,-4705.102039999998,0.0,7416.428019999992,2711.325979999994
2024-02-06,-3942.9020400000154,0.0,7138.328020000015,3195.42598
2024-02-07,-3728.3020400000096,0.0,7060.028019999998,3331.7259799999883
2024-02-08,-3565.502040000021,0.0,7000.628019999975,3435.1259799999534
2024-02-19,-3365.7020400000038,0.0,7000.728019999951,3635.0259799999476
2024-02-20,-3276.9020400000154,0.0,7040.328019999986,3763.425979999971
2024-02-21,-2921.7020400000038,0.0,7198.728019999951,4277.025979999948
2024-02-22,-2729.3020400000096,0.0,7284.528019999998,4555.225979999988
2024-02-23,-2707.102039999998,0.0,7294.428019999992,4587.325979999994
2024-02-26,-2966.102039999998,0.0,7178.928019999992,4212.825979999994
2024-02-27,-2662.7020400000038,0.0,7314.22802000001,4651.525980000006
2024-02-28,-2929.102039999998,0.0,7195.428019999992,4266.325979999994
2024-02-29,-2522.102039999998,0.0,7376.928019999992,4854.825979999994
2024-03-01,-2322.3020400000096,0.0,7466.028019999998,5143.725979999988
2024-03-04,-2344.502040000021,0.0,7456.128019999975,5111.625979999953
2024-03-05,-2129.9020400000154,0.0,7551.828019999986,5421.925979999971
2024-03-06,-2233.502040000021,0.0,7505.628019999975,5272.125979999953
2024-03-07,-2374.102039999998,0.0,7442.928019999992,5068.825979999994
2024-03-08,-2300.102039999998,0.0,7475.928019999992,5175.825979999994
2024-03-11,-1944.9020400000154,0.0,7634.328019999986,5689.425979999971
2024-03-12,-1907.9020400000154,0.0,7650.828019999986,5742.925979999971
2024-03-13,-2063.3020400000096,0.0,7581.528019999998,5518.225979999988
2024-03-14,-2159.502040000021,0.0,7538.628019999975,5379.125979999953
2024-03-15,-2092.9020400000154,0.0,7568.328019999986,5475.425979999971
2024-03-18,-1863.5020400000212,0.0,7670.628019999975,5807.125979999953
2024-03-19,-2033.7020400000038,0.0,7594.72802000001,5561.025980000006
2024-03-20,-2011.5020400000212,0.0,7604.628019999975,5593.125979999953
2024-03-21,-2026.3020400000096,0.0,7598.028019999998,5571.725979999988
2024-03-22,-2255.7020400000038,0.0,7495.72802000001,5240.025980000006
2024-03-25,-2396.3020400000096,0.0,7433.028019999998,5036.725979999988
2024-03-26,-2314.9020400000154,0.0,7469.328020000015,5154.42598
2024-03-27,-2596.102039999998,0.0,7343.928019999992,4747.825979999994
2024-03-28,-2470.3020400000096,0.0,7400.028019999998,4929.725979999988
2024-03-29,-2351.9020400000154,0.0,7452.828019999986,5100.925979999971
2024-04-01,-1922.7020400000038,0.0,7644.22802000001,5721.525980000006
2024-04-02,-2011.5020400000212,0.0,7604.628019999975,5593.125979999953
2024-04-03,-2115.102040000027,0.0,7558.428020000021,5443.325979999994
2024-04-08,-2329.7020400000038,0.0,7462.728019999951,5133.025979999948
2024-04-09,-2374.102039999998,0.0,7442.928019999992,5068.825979999994
2024-04-10,-2566.502040000021,0.0,7357.128019999975,4790.625979999953
2024-04-11,-2588.7020400000038,0.0,7347.22802000001,4758.525980000006
2024-04-12,-2795.9020400000154,0.0,7254.828020000015,4458.92598
2024-04-15,-2255.7020400000038,0.0,7495.72802000001,5240.025980000006
2024-04-16,-2492.502040000021,0.0,7390.128019999975,4897.625979999953
2024-04-17,-2152.102039999998,0.0,7541.928019999992,5389.825979999994
2024-04-18,-2107.7020400000038,0.0,7561.72802000001,5454.025980000006
2024-04-19,-2314.9020400000154,0.0,7469.328020000015,5154.42598
2024-04-22,-2366.7020400000038,0.0,7446.22802000001,5079.525980000006
2024-04-23,-2551.7020400000038,0.0,7363.72802000001,4812.025980000006
2024-04-24,-2448.102039999998,0.0,7409.928019999992,4961.825979999994
2024-04-25,-2374.102039999998,0.0,7442.928019999992,5068.825979999994
2024-04-26,-2004.102039999998,0.0,7607.928019999992,5603.825979999994
2024-04-29,-1685.9020400000154,0.0,7749.828020000015,6063.92598
2024-04-30,-1819.102039999998,0.0,7690.428019999992,5871.325979999994
2024-05-06,-1449.102039999998,0.0,7855.428019999992,6406.325979999994
2024-05-07,-1434.3020400000096,0.0,7862.028019999998,6427.725979999988
2024-05-08,-1648.9020400000154,0.0,7766.328019999986,6117.425979999971
2024-05-09,-1389.9020400000154,0.0,7881.828020000015,6491.92598
2024-05-10,-1375.102039999998,0.0,7888.428019999992,6513.325979999994
2024-05-13,-1397.3020400000096,0.0,7878.528019999998,6481.225979999988
2024-05-14,-1441.7020400000038,0.0,7858.72802000001,6417.025980000006
2024-05-15,-1634.102039999998,0.0,7772.928019999992,6138.825979999994
2024-05-16,-1545.3020400000096,0.0,7812.528019999998,6267.225979999988
2024-05-17,-1241.9020400000154,0.0,7947.828020000015,6705.92598
2024-05-20,-1182.7020400000038,0.0,7974.22802000001,6791.525980000006
2024-05-21,-1271.5020399999921,0.0,7934.6280199999455,6663.125979999953
2024-05-22,-1212.3020400000096,0.0,7961.028019999998,6748.725979999988
2024-05-23,-1486.102040000027,0.0,7838.928020000021,6352.825979999994
2024-05-24,-1789.5020400000212,0.0,7703.628019999975,5914.125979999953
2024-05-27,-1567.5020400000212,0.0,7802.628019999975,6235.125979999953
2024-05-28,-1737.7020400000038,0.0,7726.72802000001,5989.025980000006
2024-05-29,-1730.3020400000096,0.0,7730.028019999998,5999.725979999988
2024-05-30,-1833.9020400000154,0.0,7683.828020000015,5849.92598
2024-05-31,-1937.5020400000212,0.0,7637.628019999975,5700.125979999953
2024-06-03,-1900.5020399999921,0.0,7654.1280199999455,5753.625979999953
2024-06-04,-1715.5020400000212,0.0,7736.628019999975,6021.125979999953
2024-06-05,-1811.7020400000038,0.0,7693.72802000001,5882.025980000006
2024-06-06,-1811.7020400000038,0.0,7693.72802000001,5882.025980000006
2024-06-07,-1981.9020400000154,0.0,7617.828019999986,5635.925979999971
2024-06-11,-2166.9020400000154,0.0,7535.328020000015,5368.42598
2024-06-12,-2196.502039999992,0.0,7522.1280199999455,5325.625979999953
2024-06-13,-2292.7020400000038,0.0,7479.228019999951,5186.525979999948
2024-06-14,-2144.7020400000038,0.0,7545.228019999951,5400.525979999948
2024-06-17,-2218.7020400000038,0.0,7512.22802000001,5293.525980000006
2024-06-18,-2137.3020400000096,0.0,7548.528019999998,5411.225979999988
2024-06-19,-2211.3020400000096,0.0,7515.528019999998,5304.225979999988
2024-06-20,-2381.502040000021,0.0,7439.628019999975,5058.125979999953
2024-06-21,-2425.9020400000154,0.0,7419.828019999986,4993.925979999971
2024-06-24,-2551.7020400000038,0.0,7363.72802000001,4812.025980000006
