fit_origin,cycles,maximum_coefficient_gradient,intercept_gradient,within_model_unchanged
2022-04-01,20,6.730727086790012e-16,9.71445146547012e-17,True
2022-05-05,20,6.730727086790012e-16,9.71445146547012e-17,True
2022-06-01,20,6.730727086790012e-16,9.71445146547012e-17,True
2022-07-01,20,6.730727086790012e-16,9.71445146547012e-17,True
2022-08-01,20,6.730727086790012e-16,9.71445146547012e-17,True
2022-09-01,20,7.806255641895632e-17,3.9898639947466563e-17,True
2022-10-10,20,1.2663481374630692e-16,-6.938893903907228e-18,True
2022-11-01,20,1.2663481374630692e-16,-6.938893903907228e-18,True
2022-12-01,20,1.2663481374630692e-16,-6.938893903907228e-18,True
2023-01-03,20,1.2663481374630692e-16,-6.938893903907228e-18,True
2023-02-01,20,1.2663481374630692e-16,-6.938893903907228e-18,True
2023-03-01,20,1.2663481374630692e-16,-6.938893903907228e-18,True
2023-04-03,20,1.2663481374630692e-16,-6.938893903907228e-18,True
2023-05-04,20,1.2663481374630692e-16,-6.938893903907228e-18,True
2023-06-01,20,1.2663481374630692e-16,-6.938893903907228e-18,True
2023-07-03,20,1.2663481374630692e-16,-6.938893903907228e-18,True
2023-08-01,20,1.2663481374630692e-16,-6.938893903907228e-18,True
2023-09-01,20,1.2663481374630692e-16,-6.938893903907228e-18,True
2023-10-09,20,1.2663481374630692e-16,-6.938893903907228e-18,True
2023-11-01,20,1.2663481374630692e-16,-6.938893903907228e-18,True
2023-12-01,20,1.2663481374630692e-16,-6.938893903907228e-18,True
2024-01-02,20,1.2663481374630692e-16,-6.938893903907228e-18,True
2024-02-01,20,1.2663481374630692e-16,-6.938893903907228e-18,True
2024-03-01,20,1.2663481374630692e-16,-6.938893903907228e-18,True
2024-04-01,20,1.2663481374630692e-16,-6.938893903907228e-18,True
2024-05-06,20,1.2663481374630692e-16,-6.938893903907228e-18,True
2024-06-03,20,1.3183898417423734e-16,4.163336342344337e-17,True
2024-07-01,20,1.3183898417423734e-16,4.163336342344337e-17,True
2024-08-01,20,8.435092901937224e-17,6.938893903907228e-18,True
2024-09-02,20,8.435092901937224e-17,6.938893903907228e-18,True
2024-10-08,20,2.1510571102112408e-16,4.85722573273506e-17,True
2024-11-01,20,1.196959198423997e-16,0.0,True
2024-12-02,20,1.196959198423997e-16,0.0,True
2025-01-02,20,1.196959198423997e-16,0.0,True
2025-02-05,20,1.196959198423997e-16,0.0,True
2025-03-03,20,1.196959198423997e-16,0.0,True
2025-04-01,20,1.196959198423997e-16,0.0,True
2025-05-06,20,1.196959198423997e-16,0.0,True
2025-06-03,20,1.196959198423997e-16,0.0,True
2025-07-01,20,1.196959198423997e-16,0.0,True
2025-08-01,20,2.463307335887066e-16,0.0,True
2025-09-01,20,2.463307335887066e-16,0.0,True
2025-10-09,20,2.463307335887066e-16,0.0,True
2025-11-03,20,7.979727989493313e-17,4.163336342344337e-17,True
2025-12-01,20,7.979727989493313e-17,4.163336342344337e-17,True
2026-01-05,20,7.979727989493313e-17,4.163336342344337e-17,True
2026-02-02,20,1.700029006457271e-16,-3.642919299551295e-17,True
2026-03-02,20,2.0296264668928643e-16,0.0,True
2026-04-01,20,2.0296264668928643e-16,0.0,True
2026-05-06,20,2.0296264668928643e-16,0.0,True
2026-06-01,20,2.0296264668928643e-16,0.0,True
2026-07-01,20,2.0296264668928643e-16,0.0,True
2026-08-03,20,2.680147770384167e-16,-2.0816681711721685e-17,True
