fit_origin,cycles,rows,maximum_coefficient_gradient,maximum_intercept_gradient
2021-12-01,20,844,3.226585665316861e-16,7.762887554996212e-17
2022-01-04,20,844,3.226585665316861e-16,7.762887554996212e-17
2022-02-07,20,892,1.5525775109992423e-16,7.979727989493313e-17
2022-03-01,20,892,1.5525775109992423e-16,7.979727989493313e-17
2022-04-01,20,892,1.5525775109992423e-16,7.979727989493313e-17
2022-05-05,20,892,1.5525775109992423e-16,7.979727989493313e-17
2022-06-01,20,892,1.5525775109992423e-16,7.979727989493313e-17
2022-07-01,20,892,1.5525775109992423e-16,7.979727989493313e-17
2022-08-01,20,892,1.5525775109992423e-16,7.979727989493313e-17
2022-09-01,20,890,1.1232334506949826e-16,2.4448758989548125e-17
2022-10-10,20,885,1.4224732503009818e-16,2.1819568721270777e-17
2022-11-01,20,885,1.4224732503009818e-16,2.1819568721270777e-17
2022-12-01,20,885,1.4224732503009818e-16,2.1819568721270777e-17
2023-01-03,20,885,1.4224732503009818e-16,2.1819568721270777e-17
2023-02-01,20,885,1.4224732503009818e-16,2.1819568721270777e-17
2023-03-01,20,885,1.4224732503009818e-16,2.1819568721270777e-17
2023-04-03,20,885,1.4224732503009818e-16,2.1819568721270777e-17
2023-05-04,20,885,1.4224732503009818e-16,2.1819568721270777e-17
2023-06-01,20,885,1.4224732503009818e-16,2.1819568721270777e-17
2023-07-03,20,885,1.4224732503009818e-16,2.1819568721270777e-17
2023-08-01,20,885,1.4224732503009818e-16,2.1819568721270777e-17
2023-09-01,20,885,1.4224732503009818e-16,2.1819568721270777e-17
2023-10-09,20,885,1.4224732503009818e-16,2.1819568721270777e-17
2023-11-01,20,885,1.4224732503009818e-16,2.1819568721270777e-17
2023-12-01,20,885,1.4224732503009818e-16,2.1819568721270777e-17
2024-01-02,20,885,1.4224732503009818e-16,2.1819568721270777e-17
2024-02-01,20,885,1.4224732503009818e-16,2.1819568721270777e-17
2024-03-01,20,885,1.4224732503009818e-16,2.1819568721270777e-17
2024-04-01,20,885,1.4224732503009818e-16,2.1819568721270777e-17
2024-05-06,20,885,1.4224732503009818e-16,2.1819568721270777e-17
2024-06-03,20,885,4.536301889679351e-16,3.435565634063442e-17
2024-07-01,20,885,4.536301889679351e-16,3.435565634063442e-17
2024-08-01,20,915,2.6020852139652106e-16,1.9014195599964534e-17
2024-09-02,20,915,2.6020852139652106e-16,1.9014195599964534e-17
2024-10-08,20,896,4.423544863740858e-16,1.9244588561617704e-17
2024-11-01,20,842,3.230922474006803e-16,3.277001066337437e-17
2024-12-02,20,842,3.230922474006803e-16,3.277001066337437e-17
2025-01-02,20,842,3.230922474006803e-16,3.277001066337437e-17
2025-02-05,20,842,3.230922474006803e-16,3.277001066337437e-17
2025-03-03,20,842,3.230922474006803e-16,3.277001066337437e-17
2025-04-01,20,842,3.230922474006803e-16,3.277001066337437e-17
2025-05-06,20,842,3.230922474006803e-16,3.277001066337437e-17
2025-06-03,20,842,3.230922474006803e-16,3.277001066337437e-17
2025-07-01,20,842,3.230922474006803e-16,3.277001066337437e-17
2025-08-01,20,842,1.1709383462843448e-16,2.756584023544395e-17
2025-09-01,20,842,1.1709383462843448e-16,2.756584023544395e-17
2025-10-09,20,842,1.1709383462843448e-16,2.756584023544395e-17
2025-11-03,20,842,1.968911145233676e-16,2.2442984970449942e-17
2025-12-01,20,842,1.968911145233676e-16,2.2442984970449942e-17
2026-01-05,20,842,1.968911145233676e-16,2.2442984970449942e-17
2026-02-02,20,842,2.185751579730777e-16,3.10623922417097e-17
2026-03-02,20,795,1.3314002678121994e-16,2.4557179206796675e-17
2026-04-01,20,795,1.3314002678121994e-16,2.4557179206796675e-17
2026-05-06,20,795,1.3314002678121994e-16,2.4557179206796675e-17
2026-06-01,20,795,1.3314002678121994e-16,2.4557179206796675e-17
2026-07-01,20,795,1.3314002678121994e-16,2.4557179206796675e-17
2026-08-03,20,790,3.673276960380889e-16,2.054563116860031e-17
