ts_code,trade_time,receipt_path,vol_unchanged_from_raw,amount_unchanged_from_raw,low_unchanged_from_raw,high_unchanged_from_raw
510300.SH,2017-09-13 14:41:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201709/retrieved_at=20260904T222715812205+0800-d915a9298f55/receipt.json,True,True,True,True
510300.SH,2017-09-13 14:42:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201709/retrieved_at=20260904T222715812205+0800-d915a9298f55/receipt.json,True,True,True,True
510300.SH,2017-09-14 10:42:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201709/retrieved_at=20260904T222715812205+0800-d915a9298f55/receipt.json,True,True,True,True
510300.SH,2017-09-14 10:46:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201709/retrieved_at=20260904T222715812205+0800-d915a9298f55/receipt.json,True,True,True,True
510300.SH,2017-09-15 11:17:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201709/retrieved_at=20260904T222715812205+0800-d915a9298f55/receipt.json,True,True,True,True
510300.SH,2017-09-15 13:03:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201709/retrieved_at=20260904T222715812205+0800-d915a9298f55/receipt.json,True,True,True,True
510300.SH,2017-09-15 13:09:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201709/retrieved_at=20260904T222715812205+0800-d915a9298f55/receipt.json,True,True,True,True
510300.SH,2017-09-15 13:45:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201709/retrieved_at=20260904T222715812205+0800-d915a9298f55/receipt.json,True,True,True,True
510300.SH,2017-09-20 10:56:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201709/retrieved_at=20260904T222715812205+0800-d915a9298f55/receipt.json,True,True,True,True
510300.SH,2017-09-22 09:44:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201709/retrieved_at=20260904T222715812205+0800-d915a9298f55/receipt.json,True,True,True,True
510300.SH,2017-09-25 10:55:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201709/retrieved_at=20260904T222715812205+0800-d915a9298f55/receipt.json,True,True,True,True
510300.SH,2017-09-27 10:48:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201709/retrieved_at=20260904T222715812205+0800-d915a9298f55/receipt.json,True,True,True,True
510300.SH,2017-09-28 10:24:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201709/retrieved_at=20260904T222715812205+0800-d915a9298f55/receipt.json,True,True,True,True
510300.SH,2017-09-28 10:35:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201709/retrieved_at=20260904T222715812205+0800-d915a9298f55/receipt.json,True,True,True,True
510300.SH,2017-10-13 10:27:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201710/retrieved_at=20260904T222716424325+0800-2759ade5c586/receipt.json,True,True,True,True
