origin,original_pe_company_count,qualified_pe_company_count,excluded_pe_company_count,original_pe_inverse_median,qualified_pe_inverse_median,pe_median_change,pe_median_absolute_change,original_eps_valid,qualified_source_valid,original_E3_prediction_month,used_in_any_original_E3_training,original_eps_growth_company_count,original_profit_revision_company_count
2022-04-29,89,66,23,0.07194244604316546,0.06757990867579908,-0.004362537367366387,0.004362537367366387,False,False,False,False,91,1
2022-05-31,115,90,25,0.07092198581560284,0.07194244604316546,0.0010204602275626223,0.0010204602275626223,False,False,False,False,117,0
2022-06-30,115,93,22,0.07194244604316546,0.07246376811594203,0.0005213220727765672,0.0005213220727765672,True,True,False,True,117,43
2022-07-29,112,90,22,0.07246376811594203,0.07435046987285793,0.0018867017569158956,0.0018867017569158956,True,True,False,True,114,86
2022-08-31,134,103,31,0.06452687232005329,0.07042253521126761,0.0058956628912143205,0.0058956628912143205,True,True,False,True,136,118
2022-09-30,137,105,32,0.06329113924050632,0.06578947368421052,0.002498334443704203,0.002498334443704203,True,True,False,True,139,105
2022-10-31,131,102,29,0.06578947368421052,0.06850600600600601,0.0027165323217954868,0.0027165323217954868,True,True,False,True,133,100
2022-11-30,113,88,25,0.06097560975609757,0.06430934656741108,0.0033337368113135132,0.0033337368113135132,True,True,False,True,114,99
2022-12-30,114,88,26,0.06097560975609757,0.06515280135823429,0.004177191602136719,0.004177191602136719,True,True,False,True,115,106
2023-01-31,110,83,27,0.0738097832007844,0.07874015748031496,0.004930374279530553,0.004930374279530553,True,True,False,True,111,103
2023-02-28,77,55,22,0.07874015748031496,0.08928571428571429,0.010545556805399328,0.010545556805399328,True,True,False,True,77,68
2023-03-31,83,64,19,0.0684931506849315,0.06645178382197103,-0.0020413668629604698,0.0020413668629604698,True,True,False,True,83,61
2023-04-28,135,106,29,0.06944444444444445,0.07018321513002365,0.0007387706855792042,0.0007387706855792042,True,True,False,True,135,82
2023-05-31,156,128,28,0.07117527862208714,0.06873582766439909,-0.0024394509576880496,0.0024394509576880496,True,True,False,True,156,59
2023-06-30,152,123,29,0.07220310707955374,0.06802721088435375,-0.0041758961951999934,0.0041758961951999934,True,True,False,True,153,89
2023-07-31,152,119,33,0.07143221592938415,0.06802721088435375,-0.0034050050450303987,0.0034050050450303987,True,True,False,True,153,126
2023-08-31,161,128,33,0.07092198581560284,0.07018321513002365,-0.0007387706855791903,0.0007387706855791903,True,True,True,True,163,146
2023-09-28,157,121,36,0.06896551724137931,0.07092198581560284,0.0019564685742235327,0.0019564685742235327,True,True,True,True,160,140
2023-10-31,147,110,37,0.06944444444444445,0.07144315166360482,0.0019987072191603728,0.0019987072191603728,True,True,True,True,150,129
2023-11-30,145,107,38,0.07042253521126761,0.06666666666666667,-0.003755868544600943,0.003755868544600943,True,True,True,True,147,135
2023-12-29,141,100,41,0.06578947368421052,0.06536226930963773,-0.0004272043745727899,0.0004272043745727899,True,True,True,True,143,129
2024-01-31,137,97,40,0.07751937984496124,0.07692307692307693,-0.0005963029218843119,0.0005963029218843119,True,True,True,True,140,127
2024-02-29,108,71,37,0.07662947739283618,0.07299270072992702,-0.0036367766629091663,0.0036367766629091663,True,True,True,True,111,100
2024-03-29,107,74,33,0.07692307692307693,0.07662947739283618,-0.0002935995302407457,0.0002935995302407457,True,True,True,True,110,83
2024-04-30,124,86,38,0.07520497596833475,0.07050995580714038,-0.0046950201611943715,0.0046950201611943715,True,True,True,True,128,74
2024-05-31,146,96,50,0.06873582766439909,0.06779738922596065,-0.0009384384384384381,0.0009384384384384381,True,True,True,True,150,72
2024-06-28,151,99,52,0.06993006993006992,0.07057163020465773,0.0006415602745878102,0.0006415602745878102,True,True,True,True,155,97
2024-07-31,140,90,50,0.07025085006736383,0.07100010081661458,0.0007492507492507516,0.0007492507492507516,True,True,True,True,144,118
2024-08-30,152,106,46,0.07407813871817384,0.07519222071460877,0.0011140819964349236,0.0011140819964349236,True,True,True,True,156,139
2024-09-30,154,104,50,0.07142857142857142,0.0738097832007844,0.002381211772212982,0.002381211772212982,True,True,True,True,157,135
2024-10-31,155,108,47,0.06993006993006992,0.06944779358572462,-0.000482276344345306,0.000482276344345306,True,True,True,True,158,123
2024-11-29,156,103,53,0.06493780307822053,0.06451612903225806,-0.0004216740459624668,0.0004216740459624668,True,True,True,True,159,140
2024-12-31,147,95,52,0.06666666666666667,0.06756756756756756,0.0009009009009008917,0.0009009009009008917,True,True,True,True,150,138
2025-01-27,145,93,52,0.07692307692307693,0.07692307692307693,0.0,0.0,True,True,True,True,149,135
2025-02-28,115,68,47,0.07462686567164178,0.07462686567164178,0.0,0.0,True,True,True,True,118,114
2025-03-31,109,62,47,0.07092198581560284,0.07273592890393568,0.0018139430883328395,0.0018139430883328395,True,True,True,True,113,100
2025-04-30,130,84,46,0.07220310707955374,0.07220310707955374,0.0,0.0,True,True,True,True,134,108
2025-05-30,149,101,48,0.07194244604316546,0.07092198581560284,-0.0010204602275626223,0.0010204602275626223,True,True,True,True,153,96
2025-06-30,151,100,51,0.07194244604316546,0.07143221592938415,-0.0005102301137813181,0.0005102301137813181,True,True,True,True,155,101
2025-07-31,147,94,53,0.06993006993006992,0.06757065242204265,-0.0023594175080272756,0.0023594175080272756,True,True,True,True,151,120
2025-08-29,155,102,53,0.06622516556291391,0.06644591611479028,0.00022075055187636972,0.00022075055187636972,True,True,True,True,159,149
2025-09-30,153,95,58,0.06493506493506493,0.06535947712418301,0.0004244121891180813,0.0004244121891180813,True,True,True,True,158,136
2025-10-31,143,86,57,0.06097560975609757,0.06389841580924384,0.002922806053146272,0.002922806053146272,True,True,True,True,148,123
2025-11-28,145,81,64,0.06289308176100629,0.06329113924050632,0.00039805747950003023,0.00039805747950003023,True,True,True,True,149,131
2025-12-31,140,80,60,0.06289308176100629,0.0630921105007563,0.00019902873975001512,0.00019902873975001512,True,True,True,True,144,131
2026-01-30,134,77,57,0.07221063607924921,0.06944444444444445,-0.0027661916348047655,0.0027661916348047655,True,True,True,True,137,127
2026-02-27,116,67,49,0.06873582766439909,0.06944444444444445,0.0007086167800453569,0.0007086167800453569,True,True,True,True,119,115
2026-03-31,96,57,39,0.06648489562158627,0.07042253521126761,0.003937639589681338,0.003937639589681338,True,True,True,True,100,96
2026-04-30,104,71,33,0.06993348982785602,0.08130081300813008,0.011367323180274058,0.011367323180274058,True,True,True,True,108,87
2026-05-29,104,80,24,0.06920498084291188,0.07299270072992702,0.003787719887015137,0.003787719887015137,True,True,True,False,108,77
2026-06-30,109,84,25,0.06711409395973154,0.06849636406286652,0.0013822701031349777,0.0013822701031349777,True,True,True,False,113,76
2026-07-31,106,81,25,0.06757065242204265,0.07299270072992702,0.0054220483078843695,0.0054220483078843695,True,True,True,False,109,91
