model,period,cost,origin,next_execution,reference_weight,cycle_basis,cycle_return,cycle_number,triggered_protection,pending_protective_exit,waiting_source_zero,protection_active,own_close_equity,own_close_shares
CYCLE_LOSS_BAND00_01,evaluation,STRESS,2026-07-24,2026-07-27,0.0,354106.6938799998,-0.013408991589436425,42.0,1.0,1.0,1.0,1.0,349358.48019999976,61600.0
CYCLE_LOSS_BAND00_01,earlier_diagnostic,BASE,2015-01-13,2015-01-14,0.0,200000.0,-0.010501197600000012,1.0,1.0,1.0,1.0,1.0,197899.76048,34800.0
CYCLE_LOSS_BAND00_01,earlier_diagnostic,BASE,2015-06-19,2015-06-23,0.0,198049.1012,-0.019688161048821762,2.0,1.0,1.0,1.0,1.0,194149.8786,7000.0
CYCLE_LOSS_BAND00_01,earlier_diagnostic,BASE,2016-05-06,2016-05-09,0.0,218703.83568000005,-0.011448161813053082,6.0,1.0,1.0,1.0,1.0,216200.07878000004,65800.0
CYCLE_LOSS_BAND00_01,earlier_diagnostic,BASE,2016-09-12,2016-09-13,0.0,215501.04590000003,-0.027051772280980768,7.0,1.0,1.0,1.0,1.0,209671.36068000004,62900.0
CYCLE_LOSS_BAND00_01,earlier_diagnostic,BASE,2018-10-11,2018-10-12,0.0,249449.5278800001,-0.04807364648839452,17.0,1.0,1.0,1.0,1.0,237457.57946000007,67100.0
CYCLE_LOSS_BAND00_01,earlier_diagnostic,BASE,2019-06-05,2019-06-06,0.0,246102.51848000006,-0.011549847833966842,21.0,1.0,1.0,1.0,1.0,243260.07184000005,62300.0
CYCLE_LOSS_BAND00_01,earlier_diagnostic,BASE,2019-11-22,2019-11-25,0.0,245977.20406000005,-0.01429187039276425,23.0,1.0,1.0,1.0,1.0,242461.72974,61900.0
CYCLE_LOSS_BAND00_01,earlier_diagnostic,STRESS,2015-01-13,2015-01-14,0.0,200000.0,-0.010974534400000069,1.0,1.0,1.0,1.0,1.0,197805.09311999998,34800.0
CYCLE_LOSS_BAND00_01,earlier_diagnostic,STRESS,2015-06-19,2015-06-23,0.0,197860.20239999998,-0.019849639050000367,2.0,1.0,1.0,1.0,1.0,193932.74879999997,7000.0
CYCLE_LOSS_BAND00_01,earlier_diagnostic,STRESS,2016-05-06,2016-05-09,0.0,218095.85267999998,-0.012243302782643184,6.0,1.0,1.0,1.0,1.0,215425.63912,65600.0
CYCLE_LOSS_BAND00_01,earlier_diagnostic,STRESS,2016-09-12,2016-09-13,0.0,214556.67528000002,-0.027912831480001232,7.0,1.0,1.0,1.0,1.0,208567.79096000004,62800.0
CYCLE_LOSS_BAND00_01,earlier_diagnostic,STRESS,2018-10-11,2018-10-12,0.0,246223.6185200001,-0.04881529006943608,17.0,1.0,1.0,1.0,1.0,234204.14116000012,66200.0
CYCLE_LOSS_BAND00_01,earlier_diagnostic,STRESS,2019-06-04,2019-06-05,0.0,242197.21580000012,-0.010207314365006659,21.0,1.0,1.0,1.0,1.0,239725.03268000015,61300.0
CYCLE_LOSS_BAND00_01,earlier_diagnostic,STRESS,2019-11-22,2019-11-25,0.0,242896.35016000015,-0.015015407508583656,23.0,1.0,1.0,1.0,1.0,239249.16248000012,61100.0
CYCLE_LOSS_BAND00_02,evaluation,BASE,2021-07-02,2021-07-05,0.0,256499.65133999992,-0.02073473181041552,9.0,1.0,1.0,1.0,1.0,251181.19985999994,6400.0
CYCLE_LOSS_BAND00_02,evaluation,BASE,2024-07-08,2024-07-09,0.0,282283.50104000006,-0.02070962305080526,28.0,1.0,1.0,1.0,1.0,276437.5161400001,39600.0
CYCLE_LOSS_BAND00_02,evaluation,BASE,2024-09-06,2024-09-09,0.0,272061.97478000005,-0.020911739704163268,30.0,1.0,1.0,1.0,1.0,266372.68558000005,80500.0
CYCLE_LOSS_BAND00_02,evaluation,BASE,2024-10-09,2024-10-10,0.0,339190.32032000006,-0.020298120752693105,32.0,1.0,1.0,1.0,1.0,332305.39424000005,25800.0
CYCLE_LOSS_BAND00_02,evaluation,BASE,2026-06-08,2026-06-09,0.0,391194.8558600002,-0.03526836846990011,41.0,1.0,1.0,1.0,1.0,377398.05154000025,79300.0
CYCLE_LOSS_BAND00_02,evaluation,BASE,2026-07-28,2026-07-29,0.0,379067.14208000025,-0.02581928121307453,42.0,1.0,1.0,1.0,1.0,369279.90094000025,66100.0
CYCLE_LOSS_BAND00_02,evaluation,STRESS,2021-07-02,2021-07-05,0.0,254983.76672,-0.023250524989342214,9.0,1.0,1.0,1.0,1.0,249055.26028000005,6300.0
CYCLE_LOSS_BAND00_02,evaluation,STRESS,2024-07-08,2024-07-09,0.0,276476.4962800001,-0.021312548731203806,28.0,1.0,1.0,1.0,1.0,270584.0774800001,38700.0
CYCLE_LOSS_BAND00_02,evaluation,STRESS,2024-09-06,2024-09-09,0.0,265889.86100000015,-0.021726208507062972,30.0,1.0,1.0,1.0,1.0,260113.08244000014,78600.0
CYCLE_LOSS_BAND00_02,evaluation,STRESS,2024-10-09,2024-10-10,0.0,330290.17792000016,-0.02049673908752958,32.0,1.0,1.0,1.0,1.0,323520.3063200002,25100.0
CYCLE_LOSS_BAND00_02,evaluation,STRESS,2026-06-08,2026-06-09,0.0,377837.1983200001,-0.03587673479549636,41.0,1.0,1.0,1.0,1.0,364281.6333600001,76600.0
CYCLE_LOSS_BAND00_02,evaluation,STRESS,2026-07-28,2026-07-29,0.0,365667.8176000001,-0.026269322203540724,42.0,1.0,1.0,1.0,1.0,356061.97188000014,63600.0
CYCLE_LOSS_BAND00_02,earlier_diagnostic,BASE,2015-01-19,2015-01-20,0.0,200000.0,-0.05254869760000003,1.0,1.0,1.0,1.0,1.0,189490.26048,34700.0
CYCLE_LOSS_BAND00_02,earlier_diagnostic,BASE,2016-05-09,2016-05-10,0.0,211938.82248000003,-0.03074232263706589,6.0,1.0,1.0,1.0,1.0,205423.33082000003,63800.0
CYCLE_LOSS_BAND00_02,earlier_diagnostic,BASE,2016-09-12,2016-09-13,0.0,205001.51074000006,-0.027035759980468144,7.0,1.0,1.0,1.0,1.0,199459.13910000006,59800.0
CYCLE_LOSS_BAND00_02,earlier_diagnostic,BASE,2018-10-11,2018-10-12,0.0,237272.21624000013,-0.0480673057331914,17.0,1.0,1.0,1.0,1.0,225867.18008000014,63900.0
CYCLE_LOSS_BAND00_02,earlier_diagnostic,STRESS,2015-01-19,2015-01-20,0.0,200000.0,-0.0530825344000001,1.0,1.0,1.0,1.0,1.0,189383.49311999997,34800.0
CYCLE_LOSS_BAND00_02,earlier_diagnostic,STRESS,2016-05-09,2016-05-10,0.0,211295.72859999997,-0.031504904543536605,6.0,1.0,1.0,1.0,1.0,204638.87683999995,63600.0
CYCLE_LOSS_BAND00_02,earlier_diagnostic,STRESS,2016-09-12,2016-09-13,0.0,204052.33219999998,-0.027900953733867584,7.0,1.0,1.0,1.0,1.0,198359.07752,59700.0
CYCLE_LOSS_BAND00_02,earlier_diagnostic,STRESS,2018-10-11,2018-10-12,0.0,234194.84439999994,-0.048800605962442956,17.0,1.0,1.0,1.0,1.0,222765.99407999992,63000.0
CYCLE_LOSS_BAND00_02,earlier_diagnostic,STRESS,2019-06-06,2019-06-10,0.0,230358.98647999993,-0.020078026174166874,21.0,1.0,1.0,1.0,1.0,225733.83271999995,58300.0
CYCLE_LOSS_BAND00_02,earlier_diagnostic,STRESS,2019-11-29,2019-12-02,0.0,227970.70879999996,-0.020283567938794933,23.0,1.0,1.0,1.0,1.0,223346.64943999992,57300.0
CYCLE_LOSS_BAND00_03,evaluation,BASE,2024-09-09,2024-09-10,0.0,277861.78544,-0.033036697239470336,30.0,1.0,1.0,1.0,1.0,268682.14976000006,82200.0
CYCLE_LOSS_BAND00_03,evaluation,BASE,2024-10-17,2024-10-18,0.0,343434.5520600001,-0.03248790505519872,32.0,1.0,1.0,1.0,1.0,332277.0829400001,26200.0
CYCLE_LOSS_BAND00_03,evaluation,BASE,2026-06-08,2026-06-09,0.0,389592.1168400001,-0.03523482834134861,41.0,1.0,1.0,1.0,1.0,375864.9054800001,78900.0
CYCLE_LOSS_BAND00_03,evaluation,STRESS,2024-09-09,2024-09-10,0.0,271423.4382800001,-0.03383006618067941,30.0,1.0,1.0,1.0,1.0,262241.1654000002,80300.0
CYCLE_LOSS_BAND00_03,evaluation,STRESS,2024-10-17,2024-10-18,0.0,334205.1010800001,-0.03261915023071549,32.0,1.0,1.0,1.0,1.0,323303.6146800001,25500.0
CYCLE_LOSS_BAND00_03,evaluation,STRESS,2026-06-08,2026-06-09,0.0,376065.5520399999,-0.035857521772070466,41.0,1.0,1.0,1.0,1.0,362580.7733199999,76200.0
CYCLE_LOSS_BAND00_03,earlier_diagnostic,BASE,2015-01-19,2015-01-20,0.0,200000.0,-0.05254869760000003,1.0,1.0,1.0,1.0,1.0,189490.26048,34700.0
CYCLE_LOSS_BAND00_03,earlier_diagnostic,BASE,2016-05-09,2016-05-10,0.0,211938.82248000003,-0.03074232263706589,6.0,1.0,1.0,1.0,1.0,205423.33082000003,63800.0
CYCLE_LOSS_BAND00_03,earlier_diagnostic,BASE,2016-09-14,2016-09-19,0.0,205001.51074000006,-0.03286986332772035,7.0,1.0,1.0,1.0,1.0,198263.13910000006,59800.0
CYCLE_LOSS_BAND00_03,earlier_diagnostic,BASE,2018-10-11,2018-10-12,0.0,235790.3287600001,-0.04806714550000113,17.0,1.0,1.0,1.0,1.0,224456.56072000007,63500.0
CYCLE_LOSS_BAND00_03,earlier_diagnostic,STRESS,2015-01-19,2015-01-20,0.0,200000.0,-0.0530825344000001,1.0,1.0,1.0,1.0,1.0,189383.49311999997,34800.0
CYCLE_LOSS_BAND00_03,earlier_diagnostic,STRESS,2016-05-09,2016-05-10,0.0,211295.72859999997,-0.031504904543536605,6.0,1.0,1.0,1.0,1.0,204638.87683999995,63600.0
CYCLE_LOSS_BAND00_03,earlier_diagnostic,STRESS,2016-09-14,2016-09-19,0.0,204052.33219999998,-0.03375239383811357,7.0,1.0,1.0,1.0,1.0,197165.07752,59700.0
CYCLE_LOSS_BAND00_03,earlier_diagnostic,STRESS,2018-10-11,2018-10-12,0.0,232719.19875999988,-0.048797923422345235,17.0,1.0,1.0,1.0,1.0,221362.98511999988,62600.0
CYCLE_LOSS_BAND20_01,evaluation,BASE,2020-09-09,2020-09-10,0.0,231432.48336000004,-0.015329705443644759,5.0,1.0,1.0,1.0,1.0,227884.69156000004,15700.0
CYCLE_LOSS_BAND20_01,evaluation,BASE,2021-06-29,2021-06-30,0.0,254584.54917999997,-0.015587984160005619,9.0,1.0,1.0,1.0,1.0,250616.08925999995,41100.0
CYCLE_LOSS_BAND20_01,evaluation,BASE,2022-05-16,2022-05-17,0.0,266043.74146,-0.01080502125035776,16.0,1.0,1.0,1.0,1.0,263169.13318,58900.0
CYCLE_LOSS_BAND20_01,evaluation,BASE,2022-08-24,2022-08-25,0.0,263534.80793999997,-0.012750068297486594,17.0,1.0,1.0,1.0,1.0,260174.72113999995,56300.0
CYCLE_LOSS_BAND20_01,evaluation,BASE,2024-04-12,2024-04-15,0.0,266246.53258,-0.014642205185634194,27.0,1.0,1.0,1.0,1.0,262348.09622,75400.0
CYCLE_LOSS_BAND20_01,evaluation,BASE,2024-06-24,2024-06-25,0.0,262145.05909999995,-0.010616629394255894,28.0,1.0,1.0,1.0,1.0,259361.96215999994,51500.0
CYCLE_LOSS_BAND20_01,evaluation,BASE,2024-08-05,2024-08-06,0.0,259016.98425999994,-0.012774800113796947,29.0,1.0,1.0,1.0,1.0,255708.09405999994,60500.0
CYCLE_LOSS_BAND20_01,evaluation,BASE,2024-09-02,2024-09-03,0.0,256755.63945999995,-0.012023833114212623,30.0,1.0,1.0,1.0,1.0,253668.45249999996,75900.0
CYCLE_LOSS_BAND20_01,evaluation,BASE,2024-10-09,2024-10-10,0.0,327837.9665,-0.02034980899626826,32.0,1.0,1.0,1.0,1.0,321166.5265,25000.0
CYCLE_LOSS_BAND20_01,evaluation,BASE,2026-06-05,2026-06-08,0.0,375004.25142,-0.0141829389396525,41.0,1.0,1.0,1.0,1.0,369685.58902,76000.0
CYCLE_LOSS_BAND20_01,evaluation,BASE,2026-07-24,2026-07-27,0.0,365356.82662,-0.01294252335106405,42.0,1.0,1.0,1.0,1.0,360628.18736,63800.0
CYCLE_LOSS_BAND20_01,evaluation,STRESS,2020-09-09,2020-09-10,0.0,230662.53716000004,-0.015484097781871431,5.0,1.0,1.0,1.0,1.0,227090.93588000003,15600.0
CYCLE_LOSS_BAND20_01,evaluation,STRESS,2021-06-29,2021-06-30,0.0,253250.31132000007,-0.017311094691845996,9.0,1.0,1.0,1.0,1.0,248866.27120000008,40900.0
CYCLE_LOSS_BAND20_01,evaluation,STRESS,2022-05-16,2022-05-17,0.0,263183.9666400001,-0.01140853327173641,16.0,1.0,1.0,1.0,1.0,260181.4236000001,58200.0
CYCLE_LOSS_BAND20_01,evaluation,STRESS,2022-08-24,2022-08-25,0.0,260380.3279200001,-0.01334294148775883,17.0,1.0,1.0,1.0,1.0,256906.08844000008,55600.0
CYCLE_LOSS_BAND20_01,evaluation,STRESS,2024-04-12,2024-04-15,0.0,261720.64412000016,-0.015404222978113724,27.0,1.0,1.0,1.0,1.0,257689.04096000013,74100.0
CYCLE_LOSS_BAND20_01,evaluation,STRESS,2024-06-24,2024-06-25,0.0,257290.02728000013,-0.011104248657452964,28.0,1.0,1.0,1.0,1.0,254433.01484000013,50400.0
CYCLE_LOSS_BAND20_01,evaluation,STRESS,2024-08-05,2024-08-06,0.0,253959.4362800001,-0.013331855077308719,29.0,1.0,1.0,1.0,1.0,250573.68588000012,59000.0
CYCLE_LOSS_BAND20_01,evaluation,STRESS,2024-09-02,2024-09-03,0.0,251436.87948000012,-0.012827116875893885,30.0,1.0,1.0,1.0,1.0,248211.6692400001,74400.0
CYCLE_LOSS_BAND20_01,evaluation,STRESS,2024-10-09,2024-10-10,0.0,319950.4395600001,-0.020569030656905518,32.0,1.0,1.0,1.0,1.0,313369.36916000006,24400.0
CYCLE_LOSS_BAND20_01,evaluation,STRESS,2026-06-05,2026-06-08,0.0,363082.78004000004,-0.014790754217009039,41.0,1.0,1.0,1.0,1.0,357712.51188000006,73600.0
CYCLE_LOSS_BAND20_01,evaluation,STRESS,2026-07-24,2026-07-27,0.0,353302.84148000006,-0.013420561522057173,42.0,1.0,1.0,1.0,1.0,348561.3189600001,61500.0
CYCLE_LOSS_BAND20_01,earlier_diagnostic,BASE,2015-01-19,2015-01-20,0.0,200000.0,-0.039927674199999874,1.0,1.0,1.0,1.0,1.0,192014.46516000002,25700.0
CYCLE_LOSS_BAND20_01,earlier_diagnostic,BASE,2015-06-19,2015-06-23,0.0,193205.36204000004,-0.019605130002633087,2.0,1.0,1.0,1.0,1.0,189417.54580000005,6800.0
CYCLE_LOSS_BAND20_01,earlier_diagnostic,BASE,2016-05-09,2016-05-10,0.0,214649.24098000003,-0.024236609904829454,6.0,1.0,1.0,1.0,1.0,209446.87106000003,54400.0
CYCLE_LOSS_BAND20_01,earlier_diagnostic,BASE,2016-09-12,2016-09-13,0.0,209087.20002000005,-0.027039387391763925,7.0,1.0,1.0,1.0,1.0,203433.61022000003,61000.0
CYCLE_LOSS_BAND20_01,earlier_diagnostic,BASE,2018-10-11,2018-10-12,0.0,242088.92712000004,-0.048069557655694206,17.0,1.0,1.0,1.0,1.0,230451.81948000003,65200.0
CYCLE_LOSS_BAND20_01,earlier_diagnostic,BASE,2019-06-05,2019-06-06,0.0,238909.76492000007,-0.011197260191084246,21.0,1.0,1.0,1.0,1.0,236234.63012000007,58500.0
CYCLE_LOSS_BAND20_01,earlier_diagnostic,BASE,2019-11-22,2019-11-25,0.0,239057.93246000007,-0.014301665394734653,23.0,1.0,1.0,1.0,1.0,235639.00590000008,60200.0
CYCLE_LOSS_BAND20_01,earlier_diagnostic,STRESS,2015-01-14,2015-01-15,0.0,200000.0,-0.010208451200000135,1.0,1.0,1.0,1.0,1.0,197958.30975999997,25700.0
CYCLE_LOSS_BAND20_01,earlier_diagnostic,STRESS,2015-06-19,2015-06-23,0.0,197819.26248,-0.019853747055583515,2.0,1.0,1.0,1.0,1.0,193891.80888,7000.0
CYCLE_LOSS_BAND20_01,earlier_diagnostic,STRESS,2016-05-09,2016-05-10,0.0,219449.13176,-0.024896433155976894,6.0,1.0,1.0,1.0,1.0,213985.63111999998,55600.0
CYCLE_LOSS_BAND20_01,earlier_diagnostic,STRESS,2016-09-12,2016-09-13,0.0,213472.86568,-0.02792052742166573,7.0,1.0,1.0,1.0,1.0,207512.59068,62500.0
CYCLE_LOSS_BAND20_01,earlier_diagnostic,STRESS,2018-10-11,2018-10-12,0.0,245160.19920000003,-0.048843470184290805,17.0,1.0,1.0,1.0,1.0,233185.72432000004,66100.0
CYCLE_LOSS_BAND20_01,earlier_diagnostic,STRESS,2019-06-05,2019-06-06,0.0,241221.52328000005,-0.011872454004345556,21.0,1.0,1.0,1.0,1.0,238357.63184000007,59100.0
CYCLE_LOSS_BAND20_01,earlier_diagnostic,STRESS,2019-11-22,2019-11-25,0.0,238488.25080000007,-0.015016012855925576,23.0,1.0,1.0,1.0,1.0,234907.10816000006,60100.0
CYCLE_LOSS_BAND20_02,evaluation,BASE,2021-07-02,2021-07-05,0.0,255988.72781999997,-0.023924203741917727,9.0,1.0,1.0,1.0,1.0,249864.40133999998,12600.0
CYCLE_LOSS_BAND20_02,evaluation,BASE,2024-07-08,2024-07-09,0.0,281483.61418000015,-0.023381200000477942,28.0,1.0,1.0,1.0,1.0,274902.1895000002,55300.0
CYCLE_LOSS_BAND20_02,evaluation,BASE,2024-09-06,2024-09-09,0.0,270350.9288600001,-0.020913381077850346,30.0,1.0,1.0,1.0,1.0,264696.9768600001,80000.0
CYCLE_LOSS_BAND20_02,evaluation,BASE,2024-10-09,2024-10-10,0.0,341299.76138000016,-0.020329043219795673,32.0,1.0,1.0,1.0,1.0,334361.46378000017,26000.0
CYCLE_LOSS_BAND20_02,evaluation,BASE,2026-06-08,2026-06-09,0.0,390400.2305800002,-0.0352510238519953,41.0,1.0,1.0,1.0,1.0,376638.2227400002,79100.0
CYCLE_LOSS_BAND20_02,evaluation,BASE,2026-07-28,2026-07-29,0.0,378303.10372000025,-0.025831523727684824,42.0,1.0,1.0,1.0,1.0,368530.95812000026,66000.0
CYCLE_LOSS_BAND20_02,evaluation,STRESS,2021-07-02,2021-07-05,0.0,254499.79592,-0.02639412379769257,9.0,1.0,1.0,1.0,1.0,247782.49680000002,12400.0
CYCLE_LOSS_BAND20_02,evaluation,STRESS,2024-07-08,2024-07-09,0.0,275704.40640000015,-0.023842362934392125,28.0,1.0,1.0,1.0,1.0,269130.9618800002,54000.0
CYCLE_LOSS_BAND20_02,evaluation,STRESS,2024-09-06,2024-09-09,0.0,264218.9313200002,-0.02170903762021925,30.0,1.0,1.0,1.0,1.0,258482.9926000002,78200.0
CYCLE_LOSS_BAND20_02,evaluation,STRESS,2024-10-09,2024-10-10,0.0,332413.53052000015,-0.020528089784207615,32.0,1.0,1.0,1.0,1.0,325589.71572000015,25300.0
CYCLE_LOSS_BAND20_02,evaluation,STRESS,2026-06-08,2026-06-09,0.0,377252.74800000014,-0.035885406989798696,41.0,1.0,1.0,1.0,1.0,363714.87960000016,76500.0
CYCLE_LOSS_BAND20_02,evaluation,STRESS,2026-07-28,2026-07-29,0.0,365099.25420000014,-0.02626807491298344,42.0,1.0,1.0,1.0,1.0,355508.79964000016,63500.0
CYCLE_LOSS_BAND20_02,earlier_diagnostic,BASE,2015-01-19,2015-01-20,0.0,200000.0,-0.039927674199999874,1.0,1.0,1.0,1.0,1.0,192014.46516000002,25700.0
CYCLE_LOSS_BAND20_02,earlier_diagnostic,BASE,2015-06-26,2015-06-29,0.0,193205.36204000004,-0.028650427615223073,2.0,1.0,1.0,0.0,1.0,187669.94580000004,6800.0
CYCLE_LOSS_BAND20_02,earlier_diagnostic,BASE,2016-05-09,2016-05-10,0.0,213336.98972000004,-0.024251211132164108,6.0,1.0,1.0,1.0,1.0,208163.30934,54100.0
CYCLE_LOSS_BAND20_02,earlier_diagnostic,BASE,2016-09-12,2016-09-13,0.0,207805.62178000002,-0.02707234391356317,7.0,1.0,1.0,1.0,1.0,202179.83652,60700.0
CYCLE_LOSS_BAND20_02,earlier_diagnostic,BASE,2018-10-11,2018-10-12,0.0,240586.47322,-0.04807352369068507,17.0,1.0,1.0,1.0,1.0,229020.63369999998,64800.0
CYCLE_LOSS_BAND20_02,earlier_diagnostic,STRESS,2015-01-19,2015-01-20,0.0,200000.0,-0.040277451200000036,1.0,1.0,1.0,1.0,1.0,191944.50976,25700.0
CYCLE_LOSS_BAND20_02,earlier_diagnostic,STRESS,2015-06-26,2015-06-29,0.0,193067.02408,-0.028813002461233195,2.0,1.0,1.0,0.0,1.0,187504.18344,6800.0
CYCLE_LOSS_BAND20_02,earlier_diagnostic,STRESS,2016-05-09,2016-05-10,0.0,212857.97744000002,-0.0249287231975871,6.0,1.0,1.0,1.0,1.0,207551.69984000002,54000.0
CYCLE_LOSS_BAND20_02,earlier_diagnostic,STRESS,2016-09-12,2016-09-13,0.0,207053.69024000003,-0.027911034250591493,7.0,1.0,1.0,1.0,1.0,201274.60760000002,60600.0
CYCLE_LOSS_BAND20_02,earlier_diagnostic,STRESS,2018-10-11,2018-10-12,0.0,237793.30012,-0.048833132952610714,17.0,1.0,1.0,1.0,1.0,226181.10828,64100.0
CYCLE_LOSS_BAND20_02,earlier_diagnostic,STRESS,2019-11-29,2019-12-02,0.0,249750.09791999997,-0.020295826116647597,23.0,1.0,1.0,1.0,1.0,244681.21335999994,62900.0
CYCLE_LOSS_BAND20_03,evaluation,BASE,2024-09-09,2024-09-10,0.0,277830.2095600001,-0.033040451916793834,30.0,1.0,1.0,1.0,1.0,268650.57388000016,82200.0
CYCLE_LOSS_BAND20_03,evaluation,BASE,2024-10-17,2024-10-18,0.0,347642.2461800002,-0.032462183534957334,32.0,1.0,1.0,1.0,1.0,336357.0197800002,26500.0
CYCLE_LOSS_BAND20_03,evaluation,BASE,2026-06-08,2026-06-09,0.0,391127.4183200003,-0.03527444938342861,41.0,1.0,1.0,1.0,1.0,377330.61400000035,79300.0
CYCLE_LOSS_BAND20_03,evaluation,STRESS,2024-09-09,2024-09-10,0.0,271526.2641600002,-0.03381725487369147,30.0,1.0,1.0,1.0,1.0,262343.9912800002,80300.0
CYCLE_LOSS_BAND20_03,evaluation,STRESS,2024-10-17,2024-10-18,0.0,338578.3158000002,-0.03266858001188033,32.0,1.0,1.0,1.0,1.0,327517.4430000002,25800.0
CYCLE_LOSS_BAND20_03,evaluation,STRESS,2026-06-08,2026-06-09,0.0,377951.3061600001,-0.03586590319722682,41.0,1.0,1.0,1.0,1.0,364395.7412000001,76600.0
CYCLE_LOSS_BAND20_03,evaluation,STRESS,2026-07-30,2026-07-31,0.0,365781.92544000014,-0.030134449280786235,42.0,1.0,1.0,1.0,1.0,354759.28856000013,63700.0
CYCLE_LOSS_BAND20_03,earlier_diagnostic,BASE,2015-01-19,2015-01-20,0.0,200000.0,-0.039927674199999874,1.0,1.0,1.0,1.0,1.0,192014.46516000002,25700.0
CYCLE_LOSS_BAND20_03,earlier_diagnostic,BASE,2016-09-14,2016-09-19,0.0,218893.90368,-0.03289432414036597,7.0,1.0,1.0,1.0,1.0,211693.53666,63900.0
CYCLE_LOSS_BAND20_03,earlier_diagnostic,BASE,2018-10-11,2018-10-12,0.0,251826.57067999995,-0.04805390696987766,17.0,1.0,1.0,1.0,1.0,239725.32007999992,67800.0
