period,cost,model,name,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target,joint_point_pass
earlier_diagnostic,BASE,CYCLE_LOSS_BAND00_03,0个百分点调仓、账户周期亏损3%触发退出,0.23359126009999923,0.04255657462558798,0.04455252011547446,0.07564876173419532,0.588939185442549,-0.08597056937164678,1219,0.1921318867313001,99,1493.6479800000002,3810.800000000009,False,4.865796654485166e-11,0.003595346428944053,False,False
earlier_diagnostic,STRESS,CYCLE_LOSS_BAND00_03,0个百分点调仓、账户周期亏损3%触发退出,0.2421877684000027,0.043994885102396485,0.045996372154135275,0.0765112256486536,0.6011715505036441,-0.08962123026236052,1219,0.1959752731459384,109,2764.94632,7264.199999999993,False,5.4086513046058826e-11,0.005294613016709811,False,False
evaluation,BASE,CYCLE_LOSS_BAND20_01,20个百分点调仓、账户周期亏损1%触发退出,0.808628109800001,0.09352070508356146,0.09238573938410953,0.07817974272209444,1.1817094322312258,-0.07289825963930452,1604,0.1497669113991111,116,3075.0780400000003,9072.299999999901,False,1.0027179087046534e-10,0.05726323343794448,False,False
evaluation,STRESS,CYCLE_LOSS_BAND20_01,20个百分点调仓、账户周期亏损1%触发退出,0.7456317970000002,0.08768734895670187,0.08702735880904883,0.07806689865188725,1.1147792510256838,-0.07790815580559268,1604,0.14993723927262695,116,5868.740600000001,15998.50000000004,False,8.023448572203051e-11,0.05160240444295922,False,False
earlier_diagnostic,BASE,CYCLE_LOSS_BAND20_01,20个百分点调仓、账户周期亏损1%触发退出,0.19569227190000202,0.036118122831318406,0.03793960926113109,0.0700117121361922,0.5419037487231854,-0.08169398579366728,1219,0.1717345890210648,55,1275.04562,3609.5999999999976,False,5.5493387662863825e-11,-0.0028431053653255184,False,False
earlier_diagnostic,STRESS,CYCLE_LOSS_BAND20_01,20个百分点调仓、账户周期亏损1%触发退出,0.18949977860000078,0.03505061695967311,0.036656631455172145,0.06641093751858378,0.5519667817505892,-0.08482749207966976,1219,0.16938417761031016,56,2514.2442800000003,7039.299999999979,False,3.8198777474462986e-11,-0.0036496551260135623,False,False
evaluation,BASE,CYCLE_LOSS_BAND20_02,20个百分点调仓、账户周期亏损2%触发退出,0.846933442200005,0.09698389126277908,0.09587423404484574,0.0822412820190278,1.1657677469408094,-0.08859321613099277,1604,0.18468562889477194,122,3297.01156,9855.39999999982,False,7.37543359718984e-11,0.0607264196171621,False,False
evaluation,STRESS,CYCLE_LOSS_BAND20_02,20个百分点调仓、账户周期亏损2%触发退出,0.7791364323999994,0.09081166877985482,0.09022047691396405,0.08211508370012356,1.0987077263836278,-0.09346452088889619,1604,0.18484391732110048,122,6296.31352,17278.699999999986,False,6.912159733474255e-11,0.05472672426611217,False,False
earlier_diagnostic,BASE,CYCLE_LOSS_BAND20_02,20个百分点调仓、账户周期亏损2%触发退出,0.25583916250000155,0.04626263677856483,0.047936967909004424,0.07356445417984783,0.6516322107387595,-0.08175945739815409,1219,0.19084998310861187,55,1284.4675000000002,3630.7000000000007,False,2.7284841053187847e-11,0.007301408581920903,False,False
earlier_diagnostic,STRESS,CYCLE_LOSS_BAND20_02,20个百分点调仓、账户周期亏损2%触发退出,0.23804716220000216,0.04330310572449492,0.04514330200394484,0.07410640975253789,0.6091686556492347,-0.08495879299733858,1219,0.18911874735658013,56,2489.7675600000002,6952.799999999991,False,3.6919800550094806e-11,0.004602833638808243,False,False
evaluation,BASE,CYCLE_LOSS_BAND20_03,20个百分点调仓、账户周期亏损3%触发退出,0.8502758421000094,0.09728317628114454,0.09620323289627537,0.0829191238199284,1.1602056131851497,-0.09053622595219112,1604,0.1916235972764051,124,3315.03158,9861.699999999822,False,8.242295734817162e-11,0.06102570463552756,False,False
evaluation,STRESS,CYCLE_LOSS_BAND20_03,20个百分点调仓、账户周期亏损3%触发退出,0.8002665633999984,0.09275646576369084,0.09206059631796511,0.08281965725028714,1.1115790547134379,-0.09263767439603045,1604,0.19122194856681915,123,6323.28732,17316.600000000046,False,8.731149137020111e-11,0.0566715212499482,False,False
earlier_diagnostic,BASE,CYCLE_LOSS_BAND20_03,20个百分点调仓、账户周期亏损3%触发退出,0.3146726669999972,0.05581560895449668,0.05734425770465605,0.0777573597475546,0.7374769139645264,-0.07134940041641613,1219,0.22931369699783696,55,1334.5666,3774.6000000000254,False,6.207301339600235e-11,0.016854380757852755,False,False
earlier_diagnostic,STRESS,CYCLE_LOSS_BAND20_03,20个百分点调仓、账户周期亏损3%触发退出,0.31423851060000246,0.05574638031541432,0.057331524778006925,0.07844043714690736,0.7308924690288688,-0.07184835487550942,1219,0.2325410396058594,56,2593.79788,7233.999999999989,False,6.048139766789973e-11,0.017046108229727644,False,False
