fit_origin,cycles,rows,maximum_coefficient_gradient,maximum_intercept_gradient
2020-11-02,20,888,6.730727086790012e-16,1.474514954580286e-16
2020-12-01,20,888,6.730727086790012e-16,1.474514954580286e-16
2021-01-04,20,888,6.730727086790012e-16,1.474514954580286e-16
2021-02-01,20,888,6.730727086790012e-16,1.474514954580286e-16
2021-03-01,20,862,5.689893001203927e-16,6.862999751833243e-17
2021-04-01,20,862,5.689893001203927e-16,6.862999751833243e-17
2021-05-06,20,862,5.689893001203927e-16,6.862999751833243e-17
2021-06-01,20,862,5.689893001203927e-16,6.862999751833243e-17
2021-07-01,20,862,5.689893001203927e-16,6.862999751833243e-17
2021-08-02,20,844,1.9081958235744878e-16,7.762887554996212e-17
2021-09-01,20,844,1.9081958235744878e-16,7.762887554996212e-17
2021-10-08,20,844,1.9081958235744878e-16,7.762887554996212e-17
2021-11-01,20,844,1.9081958235744878e-16,7.762887554996212e-17
2021-12-01,20,844,1.9081958235744878e-16,7.762887554996212e-17
2022-01-04,20,844,1.9081958235744878e-16,7.762887554996212e-17
2022-02-07,20,892,2.830851872359652e-16,5.898059818321144e-17
2022-03-01,20,892,2.830851872359652e-16,5.898059818321144e-17
2022-04-01,20,892,2.830851872359652e-16,5.898059818321144e-17
2022-05-05,20,892,2.830851872359652e-16,5.898059818321144e-17
2022-06-01,20,892,2.830851872359652e-16,5.898059818321144e-17
2022-07-01,20,892,2.830851872359652e-16,5.898059818321144e-17
2022-08-01,20,892,2.830851872359652e-16,5.898059818321144e-17
2022-09-01,20,890,1.5070410197548512e-16,3.3176586478056436e-17
2022-10-10,20,885,2.203098814490545e-16,2.6590058280206996e-17
2022-11-01,20,885,2.203098814490545e-16,2.6590058280206996e-17
2022-12-01,20,885,2.203098814490545e-16,2.6590058280206996e-17
2023-01-03,20,885,2.203098814490545e-16,2.6590058280206996e-17
2023-02-01,20,885,2.203098814490545e-16,2.6590058280206996e-17
2023-03-01,20,885,2.203098814490545e-16,2.6590058280206996e-17
2023-04-03,20,885,2.203098814490545e-16,2.6590058280206996e-17
2023-05-04,20,885,2.203098814490545e-16,2.6590058280206996e-17
2023-06-01,20,885,2.203098814490545e-16,2.6590058280206996e-17
2023-07-03,20,885,2.203098814490545e-16,2.6590058280206996e-17
2023-08-01,20,885,2.203098814490545e-16,2.6590058280206996e-17
2023-09-01,20,885,2.203098814490545e-16,2.6590058280206996e-17
2023-10-09,20,885,2.203098814490545e-16,2.6590058280206996e-17
2023-11-01,20,885,2.203098814490545e-16,2.6590058280206996e-17
2023-12-01,20,885,2.203098814490545e-16,2.6590058280206996e-17
2024-01-02,20,885,2.203098814490545e-16,2.6590058280206996e-17
2024-02-01,20,885,2.203098814490545e-16,2.6590058280206996e-17
2024-03-01,20,885,2.203098814490545e-16,2.6590058280206996e-17
2024-04-01,20,885,2.203098814490545e-16,2.6590058280206996e-17
2024-05-06,20,885,2.203098814490545e-16,2.6590058280206996e-17
2024-06-03,20,885,2.7929047963226594e-16,3.602939344440892e-17
2024-07-01,20,885,2.7929047963226594e-16,3.602939344440892e-17
2024-08-01,20,915,3.228754069661832e-16,1.9949319973733282e-17
2024-09-02,20,915,3.228754069661832e-16,1.9949319973733282e-17
2024-10-08,20,896,3.2786273695961654e-16,2.3337451762750483e-17
2024-11-01,20,842,4.76073173938385e-16,2.4909544912854464e-17
2024-12-02,20,842,4.76073173938385e-16,2.4909544912854464e-17
2025-01-02,20,842,4.76073173938385e-16,2.4909544912854464e-17
2025-02-05,20,842,4.76073173938385e-16,2.4909544912854464e-17
2025-03-03,20,842,4.76073173938385e-16,2.4909544912854464e-17
2025-04-01,20,842,4.76073173938385e-16,2.4909544912854464e-17
2025-05-06,20,842,4.76073173938385e-16,2.4909544912854464e-17
2025-06-03,20,842,4.76073173938385e-16,2.4909544912854464e-17
2025-07-01,20,842,4.76073173938385e-16,2.4909544912854464e-17
2025-08-01,20,842,2.1076890233118206e-16,3.052029115546695e-17
2025-09-01,20,842,2.1076890233118206e-16,3.052029115546695e-17
2025-10-09,20,842,2.1076890233118206e-16,3.052029115546695e-17
2025-11-03,20,842,2.246466901389965e-16,1.905485318143274e-17
2025-12-01,20,842,2.246466901389965e-16,1.905485318143274e-17
2026-01-05,20,842,2.246466901389965e-16,1.905485318143274e-17
2026-02-02,20,842,1.8518173106052416e-16,3.165870343657673e-17
2026-03-02,20,795,3.0531133177191805e-16,2.6020852139652106e-17
2026-04-01,20,795,3.0531133177191805e-16,2.6020852139652106e-17
2026-05-06,20,795,3.0531133177191805e-16,2.6020852139652106e-17
2026-06-01,20,795,3.0531133177191805e-16,2.6020852139652106e-17
2026-07-01,20,795,3.0531133177191805e-16,2.6020852139652106e-17
2026-08-03,20,790,2.224782857940255e-16,3.2824220771998647e-17
