fit_index,fit_origin,fit_time,status,training_cycle_count,training_rows,eligible_for_fit,latest_exit_index,missing_feature_rows
1852,2020-01-02,2020-01-02 15:05:00,MONTH_COMPLETE,17,759,True,1730,0
1868,2020-02-03,2020-02-03 15:05:00,MONTH_COMPLETE,17,759,True,1730,0
1888,2020-03-02,2020-03-02 15:05:00,MONTH_COMPLETE,17,759,True,1730,0
1910,2020-04-01,2020-04-01 15:05:00,MONTH_COMPLETE,18,787,True,1899,0
1931,2020-05-06,2020-05-06 15:05:00,MONTH_COMPLETE,18,787,True,1899,0
1949,2020-06-01,2020-06-01 15:05:00,MONTH_COMPLETE,19,829,True,1945,0
1969,2020-07-01,2020-07-01 15:05:00,MONTH_COMPLETE,19,829,True,1945,0
1992,2020-08-03,2020-08-03 15:05:00,MONTH_COMPLETE,19,829,True,1945,0
2013,2020-09-01,2020-09-01 15:05:00,MONTH_COMPLETE,19,829,True,1945,0
2035,2020-10-09,2020-10-09 15:05:00,MONTH_COMPLETE,20,888,True,2029,0
2051,2020-11-02,2020-11-02 15:05:00,MONTH_COMPLETE,20,888,True,2029,0
2072,2020-12-01,2020-12-01 15:05:00,MONTH_COMPLETE,20,888,True,2029,0
2095,2021-01-04,2021-01-04 15:05:00,MONTH_COMPLETE,20,888,True,2029,0
2115,2021-02-01,2021-02-01 15:05:00,MONTH_COMPLETE,20,888,True,2029,0
2130,2021-03-01,2021-03-01 15:05:00,MONTH_COMPLETE,20,862,True,2130,0
2153,2021-04-01,2021-04-01 15:05:00,MONTH_COMPLETE,20,862,True,2130,0
2174,2021-05-06,2021-05-06 15:05:00,MONTH_COMPLETE,20,862,True,2130,0
2192,2021-06-01,2021-06-01 15:05:00,MONTH_COMPLETE,20,862,True,2130,0
2213,2021-07-01,2021-07-01 15:05:00,MONTH_COMPLETE,20,862,True,2130,0
2235,2021-08-02,2021-08-02 15:05:00,MONTH_COMPLETE,20,844,True,2232,0
2257,2021-09-01,2021-09-01 15:05:00,MONTH_COMPLETE,20,844,True,2232,0
2277,2021-10-08,2021-10-08 15:05:00,MONTH_COMPLETE,20,844,True,2232,0
2293,2021-11-01,2021-11-01 15:05:00,MONTH_COMPLETE,20,844,True,2232,0
2315,2021-12-01,2021-12-01 15:05:00,MONTH_COMPLETE,20,844,True,2232,0
2338,2022-01-04,2022-01-04 15:05:00,MONTH_COMPLETE,20,844,True,2232,0
2357,2022-02-07,2022-02-07 15:05:00,MONTH_COMPLETE,20,892,True,2347,0
2373,2022-03-01,2022-03-01 15:05:00,MONTH_COMPLETE,20,892,True,2347,0
2396,2022-04-01,2022-04-01 15:05:00,MONTH_COMPLETE,20,892,True,2347,0
2415,2022-05-05,2022-05-05 15:05:00,MONTH_COMPLETE,20,892,True,2347,0
2434,2022-06-01,2022-06-01 15:05:00,MONTH_COMPLETE,20,892,True,2347,0
2455,2022-07-01,2022-07-01 15:05:00,MONTH_COMPLETE,20,892,True,2347,0
2476,2022-08-01,2022-08-01 15:05:00,MONTH_COMPLETE,20,892,True,2347,0
2499,2022-09-01,2022-09-01 15:05:00,MONTH_COMPLETE,20,890,True,2479,0
2520,2022-10-10,2022-10-10 15:05:00,MONTH_COMPLETE,20,885,True,2504,0
2536,2022-11-01,2022-11-01 15:05:00,MONTH_COMPLETE,20,885,True,2504,0
2558,2022-12-01,2022-12-01 15:05:00,MONTH_COMPLETE,20,885,True,2504,0
2580,2023-01-03,2023-01-03 15:05:00,MONTH_COMPLETE,20,885,True,2504,0
2596,2023-02-01,2023-02-01 15:05:00,MONTH_COMPLETE,20,885,True,2504,0
2616,2023-03-01,2023-03-01 15:05:00,MONTH_COMPLETE,20,885,True,2504,0
2639,2023-04-03,2023-04-03 15:05:00,MONTH_COMPLETE,20,885,True,2504,0
2658,2023-05-04,2023-05-04 15:05:00,MONTH_COMPLETE,20,885,True,2504,0
2678,2023-06-01,2023-06-01 15:05:00,MONTH_COMPLETE,20,885,True,2504,0
2698,2023-07-03,2023-07-03 15:05:00,MONTH_COMPLETE,20,885,True,2504,0
2719,2023-08-01,2023-08-01 15:05:00,MONTH_COMPLETE,20,885,True,2504,0
2742,2023-09-01,2023-09-01 15:05:00,MONTH_COMPLETE,20,885,True,2504,0
2762,2023-10-09,2023-10-09 15:05:00,MONTH_COMPLETE,20,885,True,2504,0
2779,2023-11-01,2023-11-01 15:05:00,MONTH_COMPLETE,20,885,True,2504,0
2801,2023-12-01,2023-12-01 15:05:00,MONTH_COMPLETE,20,885,True,2504,0
2822,2024-01-02,2024-01-02 15:05:00,MONTH_COMPLETE,20,885,True,2504,0
2844,2024-02-01,2024-02-01 15:05:00,MONTH_COMPLETE,20,885,True,2504,0
2859,2024-03-01,2024-03-01 15:05:00,MONTH_COMPLETE,20,885,True,2504,0
2880,2024-04-01,2024-04-01 15:05:00,MONTH_COMPLETE,20,885,True,2504,0
2900,2024-05-06,2024-05-06 15:05:00,MONTH_COMPLETE,20,885,True,2504,0
2920,2024-06-03,2024-06-03 15:05:00,MONTH_COMPLETE,20,885,True,2910,0
2939,2024-07-01,2024-07-01 15:05:00,MONTH_COMPLETE,20,885,True,2910,0
2962,2024-08-01,2024-08-01 15:05:00,MONTH_COMPLETE,20,915,True,2945,0
2984,2024-09-02,2024-09-02 15:05:00,MONTH_COMPLETE,20,915,True,2945,0
3003,2024-10-08,2024-10-08 15:05:00,MONTH_COMPLETE,20,896,True,2989,0
3021,2024-11-01,2024-11-01 15:05:00,MONTH_COMPLETE,20,842,True,3005,0
3042,2024-12-02,2024-12-02 15:05:00,MONTH_COMPLETE,20,842,True,3005,0
3064,2025-01-02,2025-01-02 15:05:00,MONTH_COMPLETE,20,842,True,3005,0
3082,2025-02-05,2025-02-05 15:05:00,MONTH_COMPLETE,20,842,True,3005,0
3100,2025-03-03,2025-03-03 15:05:00,MONTH_COMPLETE,20,842,True,3005,0
3121,2025-04-01,2025-04-01 15:05:00,MONTH_COMPLETE,20,842,True,3005,0
3142,2025-05-06,2025-05-06 15:05:00,MONTH_COMPLETE,20,842,True,3005,0
3161,2025-06-03,2025-06-03 15:05:00,MONTH_COMPLETE,20,842,True,3005,0
3181,2025-07-01,2025-07-01 15:05:00,MONTH_COMPLETE,20,842,True,3005,0
3204,2025-08-01,2025-08-01 15:05:00,MONTH_COMPLETE,20,842,True,3187,0
3225,2025-09-01,2025-09-01 15:05:00,MONTH_COMPLETE,20,842,True,3187,0
3247,2025-10-09,2025-10-09 15:05:00,MONTH_COMPLETE,20,842,True,3187,0
3264,2025-11-03,2025-11-03 15:05:00,MONTH_COMPLETE,20,842,True,3250,0
3284,2025-12-01,2025-12-01 15:05:00,MONTH_COMPLETE,20,842,True,3250,0
3307,2026-01-05,2026-01-05 15:05:00,MONTH_COMPLETE,20,842,True,3250,0
3327,2026-02-02,2026-02-02 15:05:00,MONTH_COMPLETE,20,842,True,3313,0
3341,2026-03-02,2026-03-02 15:05:00,MONTH_COMPLETE,20,795,True,3329,0
3363,2026-04-01,2026-04-01 15:05:00,MONTH_COMPLETE,20,795,True,3329,0
3384,2026-05-06,2026-05-06 15:05:00,MONTH_COMPLETE,20,795,True,3329,0
3402,2026-06-01,2026-06-01 15:05:00,MONTH_COMPLETE,20,795,True,3329,0
3423,2026-07-01,2026-07-01 15:05:00,MONTH_COMPLETE,20,795,True,3329,0
3446,2026-08-03,2026-08-03 15:05:00,MONTH_COMPLETE,20,790,True,3436,0
