fit_index,fit_origin,status,linear_solves
3082,2025-02-05,FIT_COMPLETE,5
3100,2025-03-03,FIT_COMPLETE,3
3121,2025-04-01,FIT_COMPLETE,4
3142,2025-05-06,FIT_COMPLETE,6
3161,2025-06-03,FIT_COMPLETE,3
3181,2025-07-01,FIT_COMPLETE,3
3204,2025-08-01,FIT_COMPLETE,4
3225,2025-09-01,FIT_COMPLETE,4
3247,2025-10-09,FIT_COMPLETE,5
3264,2025-11-03,FIT_COMPLETE,4
3284,2025-12-01,FIT_COMPLETE,3
3307,2026-01-05,FIT_COMPLETE,2
3327,2026-02-02,FIT_COMPLETE,2
3341,2026-03-02,FIT_COMPLETE,2
3363,2026-04-01,FIT_COMPLETE,4
3384,2026-05-06,FIT_COMPLETE,3
3402,2026-06-01,FIT_COMPLETE,3
3423,2026-07-01,FIT_COMPLETE,3
3446,2026-08-03,FIT_COMPLETE,3
