period,ts_code,status,source_usable,publication_date,reported_send_date,feature_available_session,source_page,source_url,source_sha256,identity_residual,beginning_units,gross_subscription_units,gross_redemption_units,split_delta_units,ending_units,net_subscription_units,net_units_divided_by_beginning_units,quarter_transition_residual
2021Q2,510300.SH,NO_VIEW_ORIGINAL_FLOW_TABLE_NOT_UNIQUELY_VERIFIED,False,2021-07-21,2021-07-21,,,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2021-07-21/510300_20210721_1_MPdPp6Yj.pdf,732b160564a975a17ea7a30c40eb4f3ea3b5cffba5395f474a60b41bebff05b9,,,,,,,,,
2021Q3,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2021-10-27,2021-10-27,2021-10-28,12.0,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2021-10-27/510300_20211027_1_INbeqLrb.pdf,1f00478ba41787744757c3ace5cf322312d93a452013c1e4b55079b17f7030aa,0.00,9186787690.0,4397400000.0,5709600000.0,0.0,7874587690.0,-1312200000.0,-0.14283556388576996,
2021Q4,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2022-01-24,2022-01-24,2022-01-25,12.0,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2022-01-24/510300_20220124_1_2C80qavO.pdf,7c6c9c995c14b87951c6fe145373d36a4f5a624b2cb6e15b83d7c1c0dff034ae,0.00,7874587690.0,5779800000.0,2313900000.0,0.0,11340487690.0,3465900000.0,0.44013732990761834,0.0
2022Q1,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2022-04-22,2022-04-22,2022-04-25,12.0,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2022-04-22/510300_20220422_1_z8CaCpJp.pdf,0215e5864a285d143ffb8412c06809544dffba171ee30ab792f5e08c13cb56eb,0.00,11340487690.0,5257800000.0,5995800000.0,0.0,10602487690.0,-738000000.0,-0.0650765663853033,0.0
2022Q2,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2022-07-21,2022-07-21,2022-07-22,12.0,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2022-07-21/510300_20220721_1_B0qLVLxy.pdf,48ac37f8c8da0bd55388b03b3ce6c7d0e7b38a47d09e6e4ef6be6ce9a7ebf6cc,0.00,10602487690.0,7249500000.0,7054200000.0,0.0,10797787690.0,195300000.0,0.018420205305609744,0.0
2022Q3,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2022-10-26,2022-10-26,2022-10-27,12.0,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2022-10-26/510300_20221026_1_IfSE0mrU.pdf,d1a29f37240a9d64b2b3f4dacbeb4e24ed07f31c5d3cbdd361a3232643b2ed66,0.00,10797787690.0,5401800000.0,2955600000.0,0.0,13243987690.0,2446200000.0,0.2265464065630281,0.0
2022Q4,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2023-01-20,2023-01-20,2023-01-30,12.0,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-01-20/510300_20230120_X7ZY.pdf,74f209b6b968d252f53f8579a2ba09ed35b3c5b81277c16a392673438680ce9b,0.00,13243987690.0,7717500000.0,1269900000.0,0.0,19691587690.0,6447600000.0,0.4868322253778839,0.0
2023Q1,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2023-04-22,2023-04-22,2023-04-24,12.0,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-04-22/510300_20230422_48W8.pdf,5002f53c5a4ec72746eb586957ab7feaed8606f23bc277634063e8328a1e9a0d,0.00,19691587690.0,5012100000.0,8127000000.0,0.0,16576687690.0,-3114900000.0,-0.1581842992569788,0.0
2023Q2,510300.SH,NO_VIEW_ORIGINAL_FLOW_TABLE_NOT_UNIQUELY_VERIFIED,False,2023-07-21,2023-07-21,,,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-07-21/510300_20230721_0R3C.pdf,996c53213d085f7d6694e2302bdd8d3683f56c65f8c5e8ae7a312fa2412025dc,,,,,,,,,
2023Q3,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2023-10-25,2023-10-25,2023-10-26,12.0,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-10-25/510300_20231025_C5N5.pdf,19acd4ee29ca4446b219bc11c5d6c3264cad14ca09aa0cdc406d4f5fd1e99b70,0.00,18521587690.0,15138900000.0,1744200000.0,0.0,31916287690.0,13394700000.0,0.7231939412641142,
