period,date,status,observations,panic_budget,learned_budget
evaluation,2026-08-03,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,1.0,0.0
earlier_diagnostic,2015-01-05,NO_VIEW_WARMUP_KEEP_BUDGET,1,0.5,0.5
earlier_diagnostic,2015-02-02,NO_VIEW_WARMUP_KEEP_BUDGET,21,0.5,0.5
earlier_diagnostic,2015-03-02,NO_VIEW_WARMUP_KEEP_BUDGET,36,0.5,0.5
earlier_diagnostic,2015-04-01,NO_VIEW_WARMUP_KEEP_BUDGET,58,0.5,0.5
earlier_diagnostic,2015-05-04,NO_VIEW_WARMUP_KEEP_BUDGET,79,0.5,0.5
earlier_diagnostic,2015-06-01,NO_VIEW_WARMUP_KEEP_BUDGET,99,0.5,0.5
earlier_diagnostic,2015-07-01,NO_VIEW_WARMUP_KEEP_BUDGET,120,0.5,0.5
earlier_diagnostic,2015-08-03,NO_VIEW_WARMUP_KEEP_BUDGET,143,0.5,0.5
earlier_diagnostic,2015-09-01,NO_VIEW_WARMUP_KEEP_BUDGET,164,0.5,0.5
earlier_diagnostic,2015-10-08,NO_VIEW_WARMUP_KEEP_BUDGET,184,0.5,0.5
earlier_diagnostic,2015-11-02,NO_VIEW_WARMUP_KEEP_BUDGET,201,0.5,0.5
earlier_diagnostic,2015-12-01,NO_VIEW_WARMUP_KEEP_BUDGET,222,0.5,0.5
earlier_diagnostic,2016-01-04,TAIL_LOSS_BUDGET_AVAILABLE,242,0.9629648261961854,0.0370351738038146
earlier_diagnostic,2016-02-01,TAIL_LOSS_BUDGET_AVAILABLE,242,0.6261300334861266,0.3738699665138734
earlier_diagnostic,2016-03-01,TAIL_LOSS_BUDGET_AVAILABLE,242,0.6261300334861286,0.3738699665138714
earlier_diagnostic,2016-04-01,TAIL_LOSS_BUDGET_AVAILABLE,242,0.6261300334861284,0.3738699665138716
earlier_diagnostic,2016-05-03,TAIL_LOSS_BUDGET_AVAILABLE,242,0.5746264241710147,0.4253735758289853
earlier_diagnostic,2016-06-01,TAIL_LOSS_BUDGET_AVAILABLE,242,0.5746264241709729,0.42537357582902713
earlier_diagnostic,2016-07-01,TAIL_LOSS_BUDGET_AVAILABLE,242,0.6360315903783835,0.3639684096216165
earlier_diagnostic,2016-08-01,TAIL_LOSS_BUDGET_AVAILABLE,242,0.6360315903783835,0.3639684096216165
earlier_diagnostic,2016-09-01,TAIL_LOSS_BUDGET_AVAILABLE,242,0.689055778490415,0.310944221509585
earlier_diagnostic,2016-10-10,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
