fit_index,fit_origin,source_input_identity,first_fit_index,reused,independent_curve_max_error,curve_count
1442,2018-05-02,f8d0d2e52f81f19e127cf30196d2767f2fc4d6abf4d589230c4aabb0c66f6696,1402,True,2.192690473634684e-15,8
1464,2018-06-01,f8d0d2e52f81f19e127cf30196d2767f2fc4d6abf4d589230c4aabb0c66f6696,1402,True,2.192690473634684e-15,8
1484,2018-07-02,f8d0d2e52f81f19e127cf30196d2767f2fc4d6abf4d589230c4aabb0c66f6696,1402,True,2.192690473634684e-15,8
1506,2018-08-01,f8d0d2e52f81f19e127cf30196d2767f2fc4d6abf4d589230c4aabb0c66f6696,1402,True,2.192690473634684e-15,8
1529,2018-09-03,f8d0d2e52f81f19e127cf30196d2767f2fc4d6abf4d589230c4aabb0c66f6696,1402,True,2.192690473634684e-15,8
1548,2018-10-08,f8d0d2e52f81f19e127cf30196d2767f2fc4d6abf4d589230c4aabb0c66f6696,1402,True,2.192690473634684e-15,8
1566,2018-11-01,16be969d53f5685453e8073a0847e9ec8f9c670affc004a942b7e7f893d6cbb3,1566,False,7.07940650546135e-15,8
1588,2018-12-03,16be969d53f5685453e8073a0847e9ec8f9c670affc004a942b7e7f893d6cbb3,1566,True,7.07940650546135e-15,8
1608,2019-01-02,16be969d53f5685453e8073a0847e9ec8f9c670affc004a942b7e7f893d6cbb3,1566,True,7.07940650546135e-15,8
1630,2019-02-01,16be969d53f5685453e8073a0847e9ec8f9c670affc004a942b7e7f893d6cbb3,1566,True,7.07940650546135e-15,8
1645,2019-03-01,16be969d53f5685453e8073a0847e9ec8f9c670affc004a942b7e7f893d6cbb3,1566,True,7.07940650546135e-15,8
1666,2019-04-01,16be969d53f5685453e8073a0847e9ec8f9c670affc004a942b7e7f893d6cbb3,1566,True,7.07940650546135e-15,8
1687,2019-05-06,16be969d53f5685453e8073a0847e9ec8f9c670affc004a942b7e7f893d6cbb3,1566,True,7.07940650546135e-15,8
1707,2019-06-03,e997051b033a7db24ed3220fd541972a06aba57bf7fc53188694c83f33beae58,1707,False,1.3364309658925322e-14,8
1726,2019-07-01,e997051b033a7db24ed3220fd541972a06aba57bf7fc53188694c83f33beae58,1707,True,1.3364309658925322e-14,8
1749,2019-08-01,0ca8613b4a3d4b54b6389f0feb511c11beeca497367c0f05d4de8aa0c7326de2,1749,False,5.160802341031001e-16,8
1771,2019-09-02,0ca8613b4a3d4b54b6389f0feb511c11beeca497367c0f05d4de8aa0c7326de2,1749,True,5.160802341031001e-16,8
1791,2019-10-08,0ca8613b4a3d4b54b6389f0feb511c11beeca497367c0f05d4de8aa0c7326de2,1749,True,5.160802341031001e-16,8
1809,2019-11-01,0ca8613b4a3d4b54b6389f0feb511c11beeca497367c0f05d4de8aa0c7326de2,1749,True,5.160802341031001e-16,8
1830,2019-12-02,0ca8613b4a3d4b54b6389f0feb511c11beeca497367c0f05d4de8aa0c7326de2,1749,True,5.160802341031001e-16,8
1852,2020-01-02,0ca8613b4a3d4b54b6389f0feb511c11beeca497367c0f05d4de8aa0c7326de2,1749,True,5.160802341031001e-16,8
1868,2020-02-03,0ca8613b4a3d4b54b6389f0feb511c11beeca497367c0f05d4de8aa0c7326de2,1749,True,5.160802341031001e-16,8
1888,2020-03-02,0ca8613b4a3d4b54b6389f0feb511c11beeca497367c0f05d4de8aa0c7326de2,1749,True,5.160802341031001e-16,8
1910,2020-04-01,11a28435f8dd658765e303b8065e49bd5bd915e572d0ff6ad6a6c1c4a793a60c,1910,False,7.12277459236077e-15,8
1931,2020-05-06,11a28435f8dd658765e303b8065e49bd5bd915e572d0ff6ad6a6c1c4a793a60c,1910,True,7.12277459236077e-15,8
1949,2020-06-01,a1d7e57c1bf58ce38d1805ab42a13f19e4d4e72de99d4e2afa7b7ebc15b244de,1949,False,2.6298407895808396e-15,8
1969,2020-07-01,a1d7e57c1bf58ce38d1805ab42a13f19e4d4e72de99d4e2afa7b7ebc15b244de,1949,True,2.6298407895808396e-15,8
1992,2020-08-03,a1d7e57c1bf58ce38d1805ab42a13f19e4d4e72de99d4e2afa7b7ebc15b244de,1949,True,2.6298407895808396e-15,8
2013,2020-09-01,a1d7e57c1bf58ce38d1805ab42a13f19e4d4e72de99d4e2afa7b7ebc15b244de,1949,True,2.6298407895808396e-15,8
2035,2020-10-09,43ca6ecd8c0151f79c28915992efbf664b6b8591394aa0009f0801efc9adbb7b,2035,False,1.0243542125643046e-14,8
2051,2020-11-02,43ca6ecd8c0151f79c28915992efbf664b6b8591394aa0009f0801efc9adbb7b,2035,True,1.0243542125643046e-14,8
2072,2020-12-01,43ca6ecd8c0151f79c28915992efbf664b6b8591394aa0009f0801efc9adbb7b,2035,True,1.0243542125643046e-14,8
2095,2021-01-04,43ca6ecd8c0151f79c28915992efbf664b6b8591394aa0009f0801efc9adbb7b,2035,True,1.0243542125643046e-14,8
2115,2021-02-01,43ca6ecd8c0151f79c28915992efbf664b6b8591394aa0009f0801efc9adbb7b,2035,True,1.0243542125643046e-14,8
2130,2021-03-01,0eb4ffa05c61c66bba0b24a743d70eb6c9f509dd394049aace88a2fbbac6ecec,2130,False,2.6853519408120974e-15,8
2153,2021-04-01,0eb4ffa05c61c66bba0b24a743d70eb6c9f509dd394049aace88a2fbbac6ecec,2130,True,2.6853519408120974e-15,8
2174,2021-05-06,0eb4ffa05c61c66bba0b24a743d70eb6c9f509dd394049aace88a2fbbac6ecec,2130,True,2.6853519408120974e-15,8
2192,2021-06-01,0eb4ffa05c61c66bba0b24a743d70eb6c9f509dd394049aace88a2fbbac6ecec,2130,True,2.6853519408120974e-15,8
2213,2021-07-01,0eb4ffa05c61c66bba0b24a743d70eb6c9f509dd394049aace88a2fbbac6ecec,2130,True,2.6853519408120974e-15,8
2235,2021-08-02,29d8c899f81e4d20b6b13a556d87bd993f887c17b2188128c40c0c4e62268c9e,2235,False,6.614012722921947e-15,8
2257,2021-09-01,29d8c899f81e4d20b6b13a556d87bd993f887c17b2188128c40c0c4e62268c9e,2235,True,6.614012722921947e-15,8
2277,2021-10-08,29d8c899f81e4d20b6b13a556d87bd993f887c17b2188128c40c0c4e62268c9e,2235,True,6.614012722921947e-15,8
2293,2021-11-01,29d8c899f81e4d20b6b13a556d87bd993f887c17b2188128c40c0c4e62268c9e,2235,True,6.614012722921947e-15,8
2315,2021-12-01,29d8c899f81e4d20b6b13a556d87bd993f887c17b2188128c40c0c4e62268c9e,2235,True,6.614012722921947e-15,8
2338,2022-01-04,29d8c899f81e4d20b6b13a556d87bd993f887c17b2188128c40c0c4e62268c9e,2235,True,6.614012722921947e-15,8
2357,2022-02-07,840abf90fe3ff1db2ea4d15e7a6ab7c007ec95115f327f042a58529fb5624c20,2357,False,5.048912676830497e-15,8
2373,2022-03-01,840abf90fe3ff1db2ea4d15e7a6ab7c007ec95115f327f042a58529fb5624c20,2357,True,5.048912676830497e-15,8
2396,2022-04-01,840abf90fe3ff1db2ea4d15e7a6ab7c007ec95115f327f042a58529fb5624c20,2357,True,5.048912676830497e-15,8
2415,2022-05-05,840abf90fe3ff1db2ea4d15e7a6ab7c007ec95115f327f042a58529fb5624c20,2357,True,5.048912676830497e-15,8
2434,2022-06-01,840abf90fe3ff1db2ea4d15e7a6ab7c007ec95115f327f042a58529fb5624c20,2357,True,5.048912676830497e-15,8
2455,2022-07-01,840abf90fe3ff1db2ea4d15e7a6ab7c007ec95115f327f042a58529fb5624c20,2357,True,5.048912676830497e-15,8
2476,2022-08-01,840abf90fe3ff1db2ea4d15e7a6ab7c007ec95115f327f042a58529fb5624c20,2357,True,5.048912676830497e-15,8
2499,2022-09-01,1cf899d5426ee662242c85dced789c95b7e30c839b49d094c60d88f226959cb2,2499,False,1.033895191682177e-15,8
2520,2022-10-10,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520,False,2.393918396847994e-16,8
2536,2022-11-01,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520,True,2.393918396847994e-16,8
2558,2022-12-01,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520,True,2.393918396847994e-16,8
2580,2023-01-03,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520,True,2.393918396847994e-16,8
2596,2023-02-01,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520,True,2.393918396847994e-16,8
2616,2023-03-01,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520,True,2.393918396847994e-16,8
2639,2023-04-03,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520,True,2.393918396847994e-16,8
2658,2023-05-04,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520,True,2.393918396847994e-16,8
2678,2023-06-01,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520,True,2.393918396847994e-16,8
2698,2023-07-03,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520,True,2.393918396847994e-16,8
2719,2023-08-01,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520,True,2.393918396847994e-16,8
2742,2023-09-01,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520,True,2.393918396847994e-16,8
2762,2023-10-09,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520,True,2.393918396847994e-16,8
2779,2023-11-01,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520,True,2.393918396847994e-16,8
2801,2023-12-01,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520,True,2.393918396847994e-16,8
2822,2024-01-02,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520,True,2.393918396847994e-16,8
2844,2024-02-01,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520,True,2.393918396847994e-16,8
2859,2024-03-01,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520,True,2.393918396847994e-16,8
2880,2024-04-01,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520,True,2.393918396847994e-16,8
2900,2024-05-06,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520,True,2.393918396847994e-16,8
2920,2024-06-03,9e7a71ca71166641e18ae792f12359a1c2112cd470d8b1dd13dafd20240beeff,2920,False,5.440092820663267e-15,8
2939,2024-07-01,9e7a71ca71166641e18ae792f12359a1c2112cd470d8b1dd13dafd20240beeff,2920,True,5.440092820663267e-15,8
2962,2024-08-01,333bb954896275cebd115cddc65ed17e8c514ea7b7d12a114d2d5544d4384244,2962,False,5.155598170603071e-15,8
2984,2024-09-02,333bb954896275cebd115cddc65ed17e8c514ea7b7d12a114d2d5544d4384244,2962,True,5.155598170603071e-15,8
3003,2024-10-08,5f3cff8b771304d6127a84505b35660807cdfc1b34d430565d38eda04f4ac19a,3003,False,1.9845236565174673e-15,8
3021,2024-11-01,adfa705c8759fa6ec481c981a73d935e2ab4386c276f8b9d992dc7521496de4a,3021,False,2.0886070650760757e-15,8
3042,2024-12-02,adfa705c8759fa6ec481c981a73d935e2ab4386c276f8b9d992dc7521496de4a,3021,True,2.0886070650760757e-15,8
3064,2025-01-02,adfa705c8759fa6ec481c981a73d935e2ab4386c276f8b9d992dc7521496de4a,3021,True,2.0886070650760757e-15,8
3082,2025-02-05,adfa705c8759fa6ec481c981a73d935e2ab4386c276f8b9d992dc7521496de4a,3021,True,2.0886070650760757e-15,8
3100,2025-03-03,adfa705c8759fa6ec481c981a73d935e2ab4386c276f8b9d992dc7521496de4a,3021,True,2.0886070650760757e-15,8
3121,2025-04-01,adfa705c8759fa6ec481c981a73d935e2ab4386c276f8b9d992dc7521496de4a,3021,True,2.0886070650760757e-15,8
3142,2025-05-06,adfa705c8759fa6ec481c981a73d935e2ab4386c276f8b9d992dc7521496de4a,3021,True,2.0886070650760757e-15,8
3161,2025-06-03,adfa705c8759fa6ec481c981a73d935e2ab4386c276f8b9d992dc7521496de4a,3021,True,2.0886070650760757e-15,8
3181,2025-07-01,adfa705c8759fa6ec481c981a73d935e2ab4386c276f8b9d992dc7521496de4a,3021,True,2.0886070650760757e-15,8
3204,2025-08-01,0fa3597da4889c8a63c4373aed6bed909e96177bffae8e1ae1ca0deb7bb4cc61,3204,False,1.8492152253912764e-15,8
3225,2025-09-01,0fa3597da4889c8a63c4373aed6bed909e96177bffae8e1ae1ca0deb7bb4cc61,3204,True,1.8492152253912764e-15,8
3247,2025-10-09,0fa3597da4889c8a63c4373aed6bed909e96177bffae8e1ae1ca0deb7bb4cc61,3204,True,1.8492152253912764e-15,8
3264,2025-11-03,13e17e71f1555e2842ca456c747a411a463c11bf5d143a23d60c489a7f711b62,3264,False,1.50712775592865e-14,8
3284,2025-12-01,13e17e71f1555e2842ca456c747a411a463c11bf5d143a23d60c489a7f711b62,3264,True,1.50712775592865e-14,8
3307,2026-01-05,13e17e71f1555e2842ca456c747a411a463c11bf5d143a23d60c489a7f711b62,3264,True,1.50712775592865e-14,8
3327,2026-02-02,7f737179ad6aa3566b79e6bd008f5c78e0e0e611b1285d2a3ce3bc118b8f9220,3327,False,2.4702462297909733e-15,8
3341,2026-03-02,8f3f27387fb94f53ed0abbd119a600c0da0a810dea5f3507452593ba5dc0eb92,3341,False,3.7789216200678766e-14,8
3363,2026-04-01,8f3f27387fb94f53ed0abbd119a600c0da0a810dea5f3507452593ba5dc0eb92,3341,True,3.7789216200678766e-14,8
3384,2026-05-06,8f3f27387fb94f53ed0abbd119a600c0da0a810dea5f3507452593ba5dc0eb92,3341,True,3.7789216200678766e-14,8
3402,2026-06-01,8f3f27387fb94f53ed0abbd119a600c0da0a810dea5f3507452593ba5dc0eb92,3341,True,3.7789216200678766e-14,8
3423,2026-07-01,8f3f27387fb94f53ed0abbd119a600c0da0a810dea5f3507452593ba5dc0eb92,3341,True,3.7789216200678766e-14,8
3446,2026-08-03,e0984b1466edb65f52451c39e76f1b4a59636405944ecb2dec661485690c0c16,3446,False,1.0477729794899915e-15,8
