period,cost,origin,actual_cycle,fit_origin,neighbor_cycle,neighbor_origin_index,squared_distance,target
evaluation,BASE,2020-02-26,1,2020-02-03,17,1661,3.5687334984112162,-0.016005336179295636
evaluation,BASE,2020-02-26,1,2020-02-03,9,995,4.068139374187583,0.027868989547038214
evaluation,BASE,2020-02-27,1,2020-02-03,18,1704,1.893143893036675,0.06965145364783325
evaluation,BASE,2020-02-27,1,2020-02-03,17,1661,2.900216289640605,-0.016005336179295636
evaluation,BASE,2020-02-27,1,2020-02-03,6,856,3.0238657130862667,-0.0031714512291831903
evaluation,BASE,2020-02-27,1,2020-02-03,4,669,3.1408039106409738,0.33469454441588126
evaluation,BASE,2020-02-27,1,2020-02-03,10,1034,4.173385339685302,-0.004707710417892883
evaluation,BASE,2020-02-28,1,2020-02-03,16,1555,2.689008380799823,-0.020598098256735326
evaluation,BASE,2020-02-28,1,2020-02-03,6,852,3.2554197946289394,0.043144896265560215
evaluation,BASE,2020-02-28,1,2020-02-03,17,1662,3.2925863855877933,-0.005660771097330913
evaluation,BASE,2020-02-28,1,2020-02-03,18,1710,3.3668672743709176,0.08936759776536307
evaluation,BASE,2020-02-28,1,2020-02-03,9,983,4.01116332311908,0.0587158238172919
evaluation,BASE,2020-03-02,1,2020-03-02,1,539,1.5770099757215226,0.046668544995794856
evaluation,BASE,2020-03-02,1,2020-03-02,6,832,1.5937305053615645,0.06104575126617898
evaluation,BASE,2020-03-02,1,2020-03-02,18,1728,1.8785434960542442,-0.00510102040816327
evaluation,BASE,2020-03-02,1,2020-03-02,2,604,1.9507029701089218,0.26221433962264157
evaluation,BASE,2020-03-02,1,2020-03-02,17,1674,2.0265923331787996,-0.0877668150346193
evaluation,BASE,2020-03-03,1,2020-03-02,10,1033,1.0912088050623727,-0.004121672555948244
evaluation,BASE,2020-03-03,1,2020-03-02,1,539,1.2576066136910724,0.046668544995794856
evaluation,BASE,2020-03-03,1,2020-03-02,2,603,1.3409044562134205,0.29796406674427633
evaluation,BASE,2020-03-03,1,2020-03-02,18,1723,1.4627998896993328,0.020938219895287977
evaluation,BASE,2020-03-03,1,2020-03-02,13,1227,1.5513987599951942,0.04252670422535219
evaluation,BASE,2020-03-04,1,2020-03-02,18,1728,0.8074622882205369,-0.00510102040816327
evaluation,BASE,2020-03-04,1,2020-03-02,1,543,1.0484388705638965,0.034920249480249514
evaluation,BASE,2020-03-04,1,2020-03-02,10,1032,1.1104096840896758,-0.011108888888888963
evaluation,BASE,2020-03-04,1,2020-03-02,2,604,1.21148740056871,0.26221433962264157
evaluation,BASE,2020-03-04,1,2020-03-02,13,1227,1.3768375613249595,0.04252670422535219
evaluation,BASE,2020-03-05,1,2020-03-02,18,1726,0.4862428594590364,-0.013654324734446086
evaluation,BASE,2020-03-05,1,2020-03-02,13,1234,1.1028382187911732,0.015082007679648974
evaluation,BASE,2020-03-05,1,2020-03-02,2,605,1.286365097738749,0.24022150537634426
evaluation,BASE,2020-03-05,1,2020-03-02,4,676,1.302531812504837,0.303062632459565
evaluation,BASE,2020-03-05,1,2020-03-02,10,1030,1.3599874722304772,-0.015426317321688613
evaluation,BASE,2020-03-06,1,2020-03-02,18,1722,0.9070025981283356,0.027662450592885374
evaluation,BASE,2020-03-06,1,2020-03-02,10,1031,1.54428038874563,-0.011686732904734085
evaluation,BASE,2020-03-06,1,2020-03-02,15,1369,1.9942158834531112,-0.059928734538534846
evaluation,BASE,2020-03-06,1,2020-03-02,9,980,2.068684601837079,0.02011543539767357
evaluation,BASE,2020-03-06,1,2020-03-02,1,570,2.0987134433881245,-0.0004015261044176264
evaluation,BASE,2020-03-09,1,2020-03-02,18,1710,1.3839779211599015,0.08936759776536307
evaluation,BASE,2020-03-09,1,2020-03-02,11,1107,1.5726352667059735,-0.01042950724637674
evaluation,BASE,2020-03-09,1,2020-03-02,17,1685,1.6452056961474626,-0.05143004115226343
evaluation,BASE,2020-03-09,1,2020-03-02,9,992,1.7776224319261935,0.053560714285714295
evaluation,BASE,2020-03-09,1,2020-03-02,15,1363,2.122969001897751,-0.02802951303492368
evaluation,BASE,2020-03-10,1,2020-03-02,6,855,1.6089261766872118,-0.0031714512291831903
evaluation,BASE,2020-03-10,1,2020-03-02,18,1707,1.6391611960806705,0.07229788287049763
evaluation,BASE,2020-03-10,1,2020-03-02,9,993,1.6604565541727752,0.041390949935815144
evaluation,BASE,2020-03-10,1,2020-03-02,10,1041,1.7002967326617344,0.009550328358208965
evaluation,BASE,2020-03-10,1,2020-03-02,17,1663,1.8096514108821866,-0.006999138395261241
evaluation,BASE,2020-03-11,1,2020-03-02,18,1710,1.402042945630461,0.08936759776536307
evaluation,BASE,2020-03-11,1,2020-03-02,17,1662,1.5446462017003462,-0.005660771097330913
evaluation,BASE,2020-03-11,1,2020-03-02,11,1106,1.7243487014604046,-0.011002723059096164
evaluation,BASE,2020-03-11,1,2020-03-02,9,992,1.7801745462528624,0.053560714285714295
evaluation,BASE,2020-03-11,1,2020-03-02,6,861,2.222705193585921,0.03032180327868858
evaluation,BASE,2020-03-12,1,2020-03-02,6,852,1.7182794150574499,0.043144896265560215
evaluation,BASE,2020-03-12,1,2020-03-02,17,1684,1.8154470453337734,-0.05143004115226343
evaluation,BASE,2020-03-12,1,2020-03-02,11,1110,1.978435722536547,0.005598586156111921
evaluation,BASE,2020-03-12,1,2020-03-02,18,1710,2.741467860694412,0.08936759776536307
evaluation,BASE,2020-03-12,1,2020-03-02,9,983,2.7514824552626758,0.0587158238172919
evaluation,BASE,2020-03-13,1,2020-03-02,6,852,1.517749917049304,0.043144896265560215
evaluation,BASE,2020-03-13,1,2020-03-02,11,1110,1.8830327531622335,0.005598586156111921
evaluation,BASE,2020-03-13,1,2020-03-02,15,1391,1.9972025876274635,-0.03316168316831681
evaluation,BASE,2020-03-13,1,2020-03-02,17,1684,3.3302847191042746,-0.05143004115226343
evaluation,BASE,2020-03-13,1,2020-03-02,9,983,4.09835532888664,0.0587158238172919
evaluation,BASE,2020-03-16,1,2020-03-02,15,1391,5.951781978714047,-0.03316168316831681
evaluation,BASE,2020-03-16,1,2020-03-02,11,1112,7.256556446451922,0.014562020802377479
evaluation,BASE,2020-03-16,1,2020-03-02,6,852,8.226909421057965,0.043144896265560215
evaluation,BASE,2020-03-16,1,2020-03-02,5,744,11.624219980688473,-0.04705912469033851
evaluation,BASE,2020-03-16,1,2020-03-02,16,1554,11.750853645326368,-0.035874258970358744
evaluation,BASE,2020-07-01,2,2020-07-01,15,1336,0.19834266869285425,-0.07812544903195703
evaluation,BASE,2020-07-01,2,2020-07-01,1,528,0.2818693267277979,0.05197607776838555
evaluation,BASE,2020-07-01,2,2020-07-01,2,591,0.681596205488074,0.30965105716523117
evaluation,BASE,2020-07-01,2,2020-07-01,11,1085,1.5142145343720692,-0.017829861910241655
evaluation,BASE,2020-07-01,2,2020-07-01,12,1145,1.5143191569441736,-0.030014398134654677
evaluation,BASE,2020-07-02,2,2020-07-01,1,529,0.15400856837883176,0.040543729096989965
evaluation,BASE,2020-07-02,2,2020-07-01,15,1337,0.6854555897535499,-0.07640229025473237
evaluation,BASE,2020-07-02,2,2020-07-01,2,595,1.6868831608274664,0.2791055449330785
evaluation,BASE,2020-07-02,2,2020-07-01,11,1086,2.274395527822792,-0.02064675846242105
evaluation,BASE,2020-07-02,2,2020-07-01,10,1028,2.4434002780087405,-0.02169077234596476
evaluation,BASE,2020-07-03,2,2020-07-01,1,529,0.8242881318163646,0.040543729096989965
evaluation,BASE,2020-07-03,2,2020-07-01,15,1337,1.7290492419440222,-0.07640229025473237
evaluation,BASE,2020-07-03,2,2020-07-01,2,597,2.1712150016340233,0.2713280881793996
evaluation,BASE,2020-07-03,2,2020-07-01,10,1028,2.5993463442423947,-0.02169077234596476
evaluation,BASE,2020-07-03,2,2020-07-01,17,1645,2.705218962863656,-0.021746312997347556
evaluation,BASE,2020-07-06,2,2020-07-01,5,726,4.878648590376696,-0.09488298039215685
evaluation,BASE,2020-07-06,2,2020-07-01,2,613,5.010505319274321,0.04858181818181822
evaluation,BASE,2020-07-06,2,2020-07-01,4,680,6.216433739292009,0.22453579664570236
evaluation,BASE,2020-07-06,2,2020-07-01,17,1645,7.344816330438814,-0.021746312997347556
evaluation,BASE,2020-07-06,2,2020-07-01,6,839,9.584463087531525,-0.029337760617760587
evaluation,BASE,2020-07-07,2,2020-07-01,2,611,3.659772371214076,0.12472521856086087
evaluation,BASE,2020-07-07,2,2020-07-01,5,726,3.7481957568065374,-0.09488298039215685
evaluation,BASE,2020-07-07,2,2020-07-01,4,680,4.37898940454925,0.22453579664570236
evaluation,BASE,2020-07-07,2,2020-07-01,17,1645,5.1828009795126295,-0.021746312997347556
evaluation,BASE,2020-07-07,2,2020-07-01,6,839,7.567643415095323,-0.029337760617760587
evaluation,BASE,2020-07-08,2,2020-07-01,2,611,2.5330170585573217,0.12472521856086087
evaluation,BASE,2020-07-08,2,2020-07-01,4,680,3.4349978149929807,0.22453579664570236
evaluation,BASE,2020-07-08,2,2020-07-01,5,726,3.58986106334081,-0.09488298039215685
evaluation,BASE,2020-07-08,2,2020-07-01,17,1648,4.548806317262967,-0.03706830287206275
evaluation,BASE,2020-07-08,2,2020-07-01,6,839,7.284303320602883,-0.029337760617760587
evaluation,BASE,2020-07-09,2,2020-07-01,2,611,2.039194236653442,0.12472521856086087
evaluation,BASE,2020-07-09,2,2020-07-01,4,680,3.131998202195952,0.22453579664570236
evaluation,BASE,2020-07-09,2,2020-07-01,5,734,3.2037168487833094,-0.11228523076923069
evaluation,BASE,2020-07-09,2,2020-07-01,17,1648,4.535774043765411,-0.03706830287206275
evaluation,BASE,2020-07-09,2,2020-07-01,6,839,7.510438836292633,-0.029337760617760587
evaluation,BASE,2020-07-10,2,2020-07-01,2,611,2.4760749147638186,0.12472521856086087
evaluation,BASE,2020-07-10,2,2020-07-01,17,1649,2.5801763147866486,-0.006999138395261241
evaluation,BASE,2020-07-10,2,2020-07-01,5,734,2.7448023965468806,-0.11228523076923069
evaluation,BASE,2020-07-10,2,2020-07-01,4,681,3.058026757496065,0.22197442468619252
evaluation,BASE,2020-07-10,2,2020-07-01,19,1892,6.537920891353178,-0.07569773844641108
evaluation,BASE,2020-07-13,2,2020-07-01,5,740,2.2763382441951956,-0.13116141539619802
evaluation,BASE,2020-07-13,2,2020-07-01,17,1648,2.607798669335334,-0.03706830287206275
evaluation,BASE,2020-07-13,2,2020-07-01,4,685,3.0769767552820566,0.1981654871794872
evaluation,BASE,2020-07-13,2,2020-07-01,2,612,3.8483331943793107,0.10430630571145597
evaluation,BASE,2020-07-13,2,2020-07-01,19,1891,6.8830701307012125,-0.09765265178785688
evaluation,BASE,2020-07-14,2,2020-07-01,5,740,2.0278711744106594,-0.13116141539619802
evaluation,BASE,2020-07-14,2,2020-07-01,17,1649,2.4509107660911216,-0.006999138395261241
evaluation,BASE,2020-07-14,2,2020-07-01,4,685,2.546813060856381,0.1981654871794872
evaluation,BASE,2020-07-14,2,2020-07-01,2,612,3.830544588698334,0.10430630571145597
evaluation,BASE,2020-07-14,2,2020-07-01,19,1888,5.8212826020613,-0.08669628370172448
evaluation,BASE,2020-07-15,2,2020-07-01,5,741,2.709354983124929,-0.10349454262963671
evaluation,BASE,2020-07-15,2,2020-07-01,17,1649,3.0681355481624246,-0.006999138395261241
evaluation,BASE,2020-07-15,2,2020-07-01,4,685,3.466490759490534,0.1981654871794872
evaluation,BASE,2020-07-15,2,2020-07-01,2,618,4.320025483740203,0.03720403100775207
evaluation,BASE,2020-07-15,2,2020-07-01,19,1888,4.49405197388166,-0.08669628370172448
evaluation,BASE,2020-07-16,2,2020-07-01,5,742,2.84034928600716,-0.08356478062338682
evaluation,BASE,2020-07-16,2,2020-07-01,17,1650,3.9008361892189765,0.007373559136847771
evaluation,BASE,2020-07-16,2,2020-07-01,6,854,6.280978615079539,0.037691964777105125
evaluation,BASE,2020-07-16,2,2020-07-01,19,1896,6.417546025137655,-0.01930216540568741
evaluation,BASE,2020-07-16,2,2020-07-01,2,627,8.242197507321203,0.023559241126071075
evaluation,BASE,2020-07-17,2,2020-07-01,5,742,2.0667968546648434,-0.08356478062338682
evaluation,BASE,2020-07-17,2,2020-07-01,17,1650,2.3368467876890846,0.007373559136847771
evaluation,BASE,2020-07-17,2,2020-07-01,19,1893,5.826940182928474,-0.0583550601202405
evaluation,BASE,2020-07-17,2,2020-07-01,2,627,6.41487642170463,0.023559241126071075
evaluation,BASE,2020-07-17,2,2020-07-01,4,672,6.736315037632956,0.3615244172494173
evaluation,BASE,2020-07-20,2,2020-07-01,5,741,1.1405604398699762,-0.10349454262963671
evaluation,BASE,2020-07-20,2,2020-07-01,17,1652,2.3839697196400955,-0.013373461744248333
evaluation,BASE,2020-07-20,2,2020-07-01,19,1888,4.455915478768294,-0.08669628370172448
evaluation,BASE,2020-07-20,2,2020-07-01,2,618,5.287651573094815,0.03720403100775207
evaluation,BASE,2020-07-20,2,2020-07-01,4,673,5.3772263330423,0.32711434251633065
evaluation,BASE,2020-07-21,2,2020-07-01,5,741,0.8933710515113216,-0.10349454262963671
evaluation,BASE,2020-07-21,2,2020-07-01,17,1652,2.2060604965049624,-0.013373461744248333
evaluation,BASE,2020-07-21,2,2020-07-01,19,1888,3.860204616993169,-0.08669628370172448
evaluation,BASE,2020-07-21,2,2020-07-01,4,673,4.58801627263246,0.32711434251633065
evaluation,BASE,2020-07-21,2,2020-07-01,2,618,4.865102311539854,0.03720403100775207
evaluation,BASE,2020-07-22,2,2020-07-01,5,741,1.4239256705462178,-0.10349454262963671
evaluation,BASE,2020-07-22,2,2020-07-01,17,1657,2.592781702408442,-0.034042430591933036
evaluation,BASE,2020-07-22,2,2020-07-01,4,685,2.9799858022548675,0.1981654871794872
evaluation,BASE,2020-07-22,2,2020-07-01,2,618,3.8702176440913076,0.03720403100775207
evaluation,BASE,2020-07-22,2,2020-07-01,19,1888,3.9739707916167832,-0.08669628370172448
evaluation,BASE,2020-07-23,2,2020-07-01,5,738,2.058916135080413,-0.1220752377329782
evaluation,BASE,2020-07-23,2,2020-07-01,17,1659,2.459334191020778,-0.035305519225739004
evaluation,BASE,2020-07-23,2,2020-07-01,4,681,3.4323204559511895,0.22197442468619252
evaluation,BASE,2020-07-23,2,2020-07-01,2,611,4.54579899513204,0.12472521856086087
evaluation,BASE,2020-07-23,2,2020-07-01,19,1892,4.7575108381797815,-0.07569773844641108
evaluation,BASE,2020-07-24,2,2020-07-01,5,742,2.345711511944202,-0.08356478062338682
evaluation,BASE,2020-07-24,2,2020-07-01,17,1650,3.6782460710709497,0.007373559136847771
evaluation,BASE,2020-07-24,2,2020-07-01,19,1893,4.64663265502589,-0.0583550601202405
evaluation,BASE,2020-07-24,2,2020-07-01,6,854,5.18237756049199,0.037691964777105125
evaluation,BASE,2020-07-24,2,2020-07-01,4,672,7.272239254575345,0.3615244172494173
evaluation,BASE,2020-07-27,2,2020-07-01,5,742,1.4900090981625245,-0.08356478062338682
evaluation,BASE,2020-07-27,2,2020-07-01,17,1654,3.161029978788458,-0.002164069264069266
evaluation,BASE,2020-07-27,2,2020-07-01,19,1893,4.766520633807218,-0.0583550601202405
evaluation,BASE,2020-07-27,2,2020-07-01,6,854,4.99700930900304,0.037691964777105125
evaluation,BASE,2020-07-27,2,2020-07-01,4,672,6.7703893747901756,0.3615244172494173
evaluation,BASE,2020-07-28,2,2020-07-01,5,742,1.1756991581595786,-0.08356478062338682
evaluation,BASE,2020-07-28,2,2020-07-01,17,1654,2.621254306099596,-0.002164069264069266
evaluation,BASE,2020-07-28,2,2020-07-01,19,1893,4.412247852360852,-0.0583550601202405
evaluation,BASE,2020-07-28,2,2020-07-01,6,854,5.322603502694114,0.037691964777105125
evaluation,BASE,2020-07-28,2,2020-07-01,4,672,5.740675669569998,0.3615244172494173
evaluation,BASE,2020-07-29,2,2020-07-01,5,741,1.0840242931878898,-0.10349454262963671
evaluation,BASE,2020-07-29,2,2020-07-01,17,1652,2.825900405689817,-0.013373461744248333
evaluation,BASE,2020-07-29,2,2020-07-01,19,1888,4.111157413413345,-0.08669628370172448
evaluation,BASE,2020-07-29,2,2020-07-01,4,673,4.346534419839163,0.32711434251633065
evaluation,BASE,2020-07-29,2,2020-07-01,6,843,5.241266424238484,-0.018731615925058565
evaluation,BASE,2020-07-30,2,2020-07-01,5,743,0.8479282140188648,-0.09114144516637138
evaluation,BASE,2020-07-30,2,2020-07-01,17,1681,2.5946528860549414,-0.08209355561084851
evaluation,BASE,2020-07-30,2,2020-07-01,19,1894,3.3560694911321205,-0.07796380578715056
evaluation,BASE,2020-07-30,2,2020-07-01,4,673,4.289379720994963,0.32711434251633065
evaluation,BASE,2020-07-30,2,2020-07-01,6,842,4.7817316799754,0.0034585949973389837
evaluation,BASE,2020-07-31,2,2020-07-01,17,1680,2.385187933957126,-0.07888559300873904
evaluation,BASE,2020-07-31,2,2020-07-01,5,738,3.0429671723303438,-0.1220752377329782
evaluation,BASE,2020-07-31,2,2020-07-01,19,1892,3.562335919563623,-0.07569773844641108
evaluation,BASE,2020-07-31,2,2020-07-01,6,867,4.393477157966168,-0.010234173228346494
evaluation,BASE,2020-07-31,2,2020-07-01,4,670,4.5055992880693285,0.33622098941950246
evaluation,BASE,2020-08-03,2,2020-08-03,17,1667,1.541414522691408,-0.06394659898477163
evaluation,BASE,2020-08-03,2,2020-08-03,4,668,2.6498996114217537,0.31147291608195354
evaluation,BASE,2020-08-03,2,2020-08-03,6,867,2.6569874629669212,-0.010234173228346494
evaluation,BASE,2020-08-03,2,2020-08-03,19,1882,2.6951605805534244,-0.08802507882609749
evaluation,BASE,2020-08-03,2,2020-08-03,18,1719,4.25447839033967,0.011670817120622552
evaluation,BASE,2020-08-04,2,2020-08-03,17,1666,1.5247752588506482,-0.07125243011835806
evaluation,BASE,2020-08-04,2,2020-08-03,6,870,2.5118262161708698,-0.03702017364657815
evaluation,BASE,2020-08-04,2,2020-08-03,4,668,2.5623656468571965,0.31147291608195354
evaluation,BASE,2020-08-04,2,2020-08-03,19,1882,2.717352595457812,-0.08802507882609749
evaluation,BASE,2020-08-04,2,2020-08-03,18,1727,3.7463706865919755,-0.012905542900531548
evaluation,BASE,2020-08-05,2,2020-08-03,17,1678,1.5448367571112718,-0.09203179916318006
evaluation,BASE,2020-08-05,2,2020-08-03,6,871,2.1725653027691014,-0.029337760617760587
evaluation,BASE,2020-08-05,2,2020-08-03,4,670,2.2280965341959886,0.33622098941950246
evaluation,BASE,2020-08-05,2,2020-08-03,19,1883,2.6582507702850466,-0.07181974821031843
evaluation,BASE,2020-08-05,2,2020-08-03,13,1256,3.939509884829437,-0.01881914103923641
evaluation,BASE,2020-08-06,2,2020-08-03,17,1680,1.752883503658477,-0.07888559300873904
evaluation,BASE,2020-08-06,2,2020-08-03,4,670,2.076354166604109,0.33622098941950246
evaluation,BASE,2020-08-06,2,2020-08-03,6,871,2.2243824056631336,-0.029337760617760587
evaluation,BASE,2020-08-06,2,2020-08-03,19,1884,2.541051262808799,-0.07478818897637791
evaluation,BASE,2020-08-06,2,2020-08-03,13,1256,3.9625324057322056,-0.01881914103923641
evaluation,BASE,2020-08-07,2,2020-08-03,17,1680,1.1537342871516045,-0.07888559300873904
evaluation,BASE,2020-08-07,2,2020-08-03,4,670,1.8947659268261785,0.33622098941950246
evaluation,BASE,2020-08-07,2,2020-08-03,19,1894,2.1215300311517464,-0.07796380578715056
evaluation,BASE,2020-08-07,2,2020-08-03,6,863,2.311590041322349,0.0002651989389920133
evaluation,BASE,2020-08-07,2,2020-08-03,5,743,3.7910379072142666,-0.09114144516637138
evaluation,BASE,2020-08-10,2,2020-08-03,17,1680,1.9201611208158411,-0.07888559300873904
evaluation,BASE,2020-08-10,2,2020-08-03,4,669,2.1011399861578712,0.33469454441588126
evaluation,BASE,2020-08-10,2,2020-08-03,19,1886,2.5616538291351705,-0.06233167082294253
evaluation,BASE,2020-08-10,2,2020-08-03,6,863,2.620764330182637,0.0002651989389920133
evaluation,BASE,2020-08-10,2,2020-08-03,1,576,3.5892933796332587,0.002415948449456394
evaluation,BASE,2020-08-11,2,2020-08-03,4,671,1.8966555237701148,0.34082134863701585
evaluation,BASE,2020-08-11,2,2020-08-03,17,1675,2.1127202183889064,-0.06347130523108176
