拟合收盘,因子,训练均值,训练标准差,固定不同周期邻居数
2020-01-02,不含已付买入费用的市场涨跌,0.05096958522180184,0.0926739092841635,5
2020-01-02,不含已付买入费用的市场回撤,-0.01842106312351182,0.019490401521836582,5
2020-01-02,入场模式,1.0,1.0,5
2020-01-02,五日涨跌,-0.0006046006900619636,0.0418500790248099,5
2020-01-02,二十日涨跌,0.02738093522350076,0.06551475601045743,5
2020-01-02,一百二十日均线偏离,0.08329103408050395,0.1267263750968347,5
2020-01-02,二十日波动,0.2213781718191927,0.11652789945768981,5
2020-02-03,持仓时间对数,2.7533458120515952,1.049675439223375,5
2020-02-03,不含已付买入费用的市场涨跌,0.05096958522180184,0.0926739092841635,5
2020-02-03,不含已付买入费用的市场回撤,-0.01842106312351182,0.019490401521836582,5
2020-02-03,入场模式,1.0,1.0,5
2020-02-03,五日涨跌,-0.0006046006900619636,0.0418500790248099,5
2020-02-03,二十日涨跌,0.02738093522350076,0.06551475601045743,5
2020-02-03,一百二十日均线偏离,0.08329103408050395,0.1267263750968347,5
2020-02-03,二十日波动,0.2213781718191927,0.11652789945768981,5
2020-03-02,持仓时间对数,2.7533458120515952,1.049675439223375,5
2020-03-02,不含已付买入费用的市场涨跌,0.05096958522180184,0.0926739092841635,5
2020-03-02,不含已付买入费用的市场回撤,-0.01842106312351182,0.019490401521836582,5
2020-03-02,入场模式,1.0,1.0,5
2020-03-02,五日涨跌,-0.0006046006900619636,0.0418500790248099,5
2020-03-02,二十日涨跌,0.02738093522350076,0.06551475601045743,5
2020-03-02,一百二十日均线偏离,0.08329103408050395,0.1267263750968347,5
2020-03-02,二十日波动,0.2213781718191927,0.11652789945768981,5
2020-04-01,持仓时间对数,2.7417651696502525,1.0345940742374862,5
2020-04-01,不含已付买入费用的市场涨跌,0.051587616923043735,0.09028934231722593,5
2020-04-01,不含已付买入费用的市场回撤,-0.018282385425915555,0.019564004347890827,5
2020-04-01,入场模式,1.0,1.0,5
2020-04-01,五日涨跌,-0.00042731184231017613,0.041619824842571394,5
2020-04-01,二十日涨跌,0.025566976229977532,0.06503464040417689,5
2020-04-01,一百二十日均线偏离,0.07969892964360437,0.12414959678997099,5
2020-04-01,二十日波动,0.2274879817962704,0.116719633155515,5
2020-05-06,持仓时间对数,2.7417651696502525,1.0345940742374862,5
2020-05-06,不含已付买入费用的市场涨跌,0.051587616923043735,0.09028934231722593,5
2020-05-06,不含已付买入费用的市场回撤,-0.018282385425915555,0.019564004347890827,5
2020-05-06,入场模式,1.0,1.0,5
2020-05-06,五日涨跌,-0.00042731184231017613,0.041619824842571394,5
2020-05-06,二十日涨跌,0.025566976229977532,0.06503464040417689,5
2020-05-06,一百二十日均线偏离,0.07969892964360437,0.12414959678997099,5
2020-05-06,二十日波动,0.2274879817962704,0.116719633155515,5
2020-06-01,持仓时间对数,2.749758834299536,1.0225395378166666,5
2020-06-01,不含已付买入费用的市场涨跌,0.0516590691424303,0.08813347462537088,5
2020-06-01,不含已付买入费用的市场回撤,-0.017629478701019205,0.019320517268906184,5
2020-06-01,入场模式,1.0,1.0,5
2020-06-01,五日涨跌,-8.490392271342762e-05,0.04081788470775817,5
2020-06-01,二十日涨跌,0.02367676064393769,0.06575581222458372,5
2020-06-01,一百二十日均线偏离,0.07377070892628886,0.12360547037474391,5
2020-06-01,二十日波动,0.22641838062848324,0.11543370135390255,5
2020-07-01,持仓时间对数,2.749758834299536,1.0225395378166666,5
2020-07-01,不含已付买入费用的市场涨跌,0.0516590691424303,0.08813347462537088,5
2020-07-01,不含已付买入费用的市场回撤,-0.017629478701019205,0.019320517268906184,5
2020-07-01,入场模式,1.0,1.0,5
2020-07-01,五日涨跌,-8.490392271342762e-05,0.04081788470775817,5
2020-07-01,二十日涨跌,0.02367676064393769,0.06575581222458372,5
2020-07-01,一百二十日均线偏离,0.07377070892628886,0.12360547037474391,5
2020-07-01,二十日波动,0.22641838062848324,0.11543370135390255,5
2020-08-03,持仓时间对数,2.749758834299536,1.0225395378166666,5
2020-08-03,不含已付买入费用的市场涨跌,0.0516590691424303,0.08813347462537088,5
2020-08-03,不含已付买入费用的市场回撤,-0.017629478701019205,0.019320517268906184,5
2020-08-03,入场模式,1.0,1.0,5
2020-08-03,五日涨跌,-8.490392271342762e-05,0.04081788470775817,5
2020-08-03,二十日涨跌,0.02367676064393769,0.06575581222458372,5
2020-08-03,一百二十日均线偏离,0.07377070892628886,0.12360547037474391,5
2020-08-03,二十日波动,0.22641838062848324,0.11543370135390255,5
2020-09-01,持仓时间对数,2.749758834299536,1.0225395378166666,5
2020-09-01,不含已付买入费用的市场涨跌,0.0516590691424303,0.08813347462537088,5
2020-09-01,不含已付买入费用的市场回撤,-0.017629478701019205,0.019320517268906184,5
2020-09-01,入场模式,1.0,1.0,5
2020-09-01,五日涨跌,-8.490392271342762e-05,0.04081788470775817,5
2020-09-01,二十日涨跌,0.02367676064393769,0.06575581222458372,5
2020-09-01,一百二十日均线偏离,0.07377070892628886,0.12360547037474391,5
2020-09-01,二十日波动,0.22641838062848324,0.11543370135390255,5
2020-10-09,持仓时间对数,2.7721252768419076,1.0172841278881883,5
2020-10-09,不含已付买入费用的市场涨跌,0.0557412171090052,0.0879674997843084,5
2020-10-09,不含已付买入费用的市场回撤,-0.017946904020639583,0.01933596890135994,5
2020-10-09,入场模式,1.0,1.0,5
2020-10-09,五日涨跌,0.0004954257786515497,0.04096684736543314,5
2020-10-09,二十日涨跌,0.02532354198505375,0.06640791129673496,5
2020-10-09,一百二十日均线偏离,0.07784012631785112,0.12203514934009216,5
2020-10-09,二十日波动,0.22813596461717278,0.11424857297158479,5
