fit_index,fit_origin,cycles,rows,base_weight_sum,economic_weight_sum,maximum_cycle_weight_share
2396,2022-04-01,20,892,19.999999999999996,20.0,0.19516676681050824
2415,2022-05-05,20,892,19.999999999999996,20.0,0.19516676681050824
2434,2022-06-01,20,892,19.999999999999996,20.0,0.19516676681050824
2455,2022-07-01,20,892,19.999999999999996,20.0,0.19516676681050824
2476,2022-08-01,20,892,19.999999999999996,20.0,0.19516676681050824
2499,2022-09-01,20,890,20.0,20.0,0.10325465124053967
2520,2022-10-10,20,885,20.0,20.0,0.09825276519151119
2536,2022-11-01,20,885,20.0,20.0,0.09825276519151119
2558,2022-12-01,20,885,20.0,20.0,0.09825276519151119
2580,2023-01-03,20,885,20.0,20.0,0.09825276519151119
2596,2023-02-01,20,885,20.0,20.0,0.09825276519151119
2616,2023-03-01,20,885,20.0,20.0,0.09825276519151119
2639,2023-04-03,20,885,20.0,20.0,0.09825276519151119
2658,2023-05-04,20,885,20.0,20.0,0.09825276519151119
2678,2023-06-01,20,885,20.0,20.0,0.09825276519151119
2698,2023-07-03,20,885,20.0,20.0,0.09825276519151119
2719,2023-08-01,20,885,20.0,20.0,0.09825276519151119
2742,2023-09-01,20,885,20.0,20.0,0.09825276519151119
2762,2023-10-09,20,885,20.0,20.0,0.09825276519151119
2779,2023-11-01,20,885,20.0,20.0,0.09825276519151119
2801,2023-12-01,20,885,20.0,20.0,0.09825276519151119
2822,2024-01-02,20,885,20.0,20.0,0.09825276519151119
2844,2024-02-01,20,885,20.0,20.0,0.09825276519151119
2859,2024-03-01,20,885,20.0,20.0,0.09825276519151119
2880,2024-04-01,20,885,20.0,20.0,0.09825276519151119
2900,2024-05-06,20,885,20.0,20.0,0.09825276519151119
2920,2024-06-03,20,885,20.0,20.0,0.0980711673963317
2939,2024-07-01,20,885,20.0,20.0,0.0980711673963317
2962,2024-08-01,20,915,20.0,20.0,0.09714407574879542
2984,2024-09-02,20,915,20.0,20.0,0.09714407574879542
3003,2024-10-08,20,896,20.0,20.0,0.09649739945956204
3021,2024-11-01,20,842,20.0,20.0,0.1129523772503894
3042,2024-12-02,20,842,20.0,20.0,0.1129523772503894
3064,2025-01-02,20,842,20.0,20.0,0.1129523772503894
3082,2025-02-05,20,842,20.0,20.0,0.1129523772503894
3100,2025-03-03,20,842,20.0,20.0,0.1129523772503894
3121,2025-04-01,20,842,20.0,20.0,0.1129523772503894
3142,2025-05-06,20,842,20.0,20.0,0.1129523772503894
3161,2025-06-03,20,842,20.0,20.0,0.1129523772503894
3181,2025-07-01,20,842,20.0,20.0,0.1129523772503894
3204,2025-08-01,20,842,20.0,20.0,0.10954930211872342
3225,2025-09-01,20,842,20.0,20.0,0.10954930211872342
3247,2025-10-09,20,842,20.0,20.0,0.10954930211872342
3264,2025-11-03,20,842,20.0,20.0,0.10453307486630103
3284,2025-12-01,20,842,20.0,20.0,0.10453307486630103
3307,2026-01-05,20,842,20.0,20.0,0.10453307486630103
3327,2026-02-02,20,842,20.0,20.0,0.10324585184696525
3341,2026-03-02,20,795,20.0,20.0,0.10702162851766354
3363,2026-04-01,20,795,20.0,20.0,0.10702162851766354
3384,2026-05-06,20,795,20.0,20.0,0.10702162851766354
3402,2026-06-01,20,795,20.0,20.0,0.10702162851766354
3423,2026-07-01,20,795,20.0,20.0,0.10702162851766354
3446,2026-08-03,20,790,20.0,20.0,0.10722315966881994
