period,cost,origin,cycle,economic_score
evaluation,BASE,2021-07-05,6.0,0.5600639592574536
evaluation,BASE,2021-07-06,6.0,0.5774400125843562
evaluation,BASE,2021-07-07,6.0,0.5606110380353949
evaluation,BASE,2021-07-08,6.0,0.5463478736737197
evaluation,BASE,2021-07-09,6.0,0.6038062738292509
evaluation,BASE,2021-07-12,6.0,0.5962596241908827
evaluation,BASE,2021-07-13,6.0,0.5850974467099486
evaluation,BASE,2021-07-14,6.0,0.5314797647366131
evaluation,BASE,2021-07-15,6.0,0.5591373443326525
evaluation,BASE,2021-07-16,6.0,0.5494168815113201
evaluation,BASE,2021-07-19,6.0,0.5227812394542972
evaluation,BASE,2021-07-20,6.0,0.5181050958583775
evaluation,BASE,2021-07-21,6.0,0.5559764713200065
evaluation,BASE,2021-07-22,6.0,0.5313873475383826
evaluation,BASE,2021-07-23,6.0,0.5651160066497096
evaluation,BASE,2021-07-26,6.0,0.4667788229836796
evaluation,BASE,2021-07-27,6.0,0.3780761107102949
evaluation,BASE,2021-10-29,7.0,0.5094117557458222
evaluation,BASE,2021-11-01,7.0,0.49923039227677085
evaluation,BASE,2021-11-02,7.0,0.47149874422452914
evaluation,BASE,2021-11-25,8.0,0.551013551383169
evaluation,BASE,2021-11-26,8.0,0.5218325525523245
evaluation,BASE,2021-11-29,8.0,0.4953769280079252
evaluation,BASE,2021-11-30,8.0,0.4580658059084552
evaluation,BASE,2022-05-13,9.0,0.5578568817432202
evaluation,BASE,2022-05-16,9.0,0.5199669709396733
evaluation,BASE,2022-05-17,9.0,0.5160249310622416
evaluation,BASE,2022-05-18,9.0,0.4704678324674531
evaluation,BASE,2022-05-19,9.0,0.45868633863781555
evaluation,BASE,2022-06-08,10.0,0.3991816017353651
evaluation,BASE,2022-06-09,10.0,0.39814394046759627
evaluation,BASE,2022-08-10,11.0,0.6379020718563072
evaluation,BASE,2022-08-11,11.0,0.6140646244108522
evaluation,BASE,2022-08-12,11.0,0.5359804576098515
evaluation,BASE,2022-08-15,11.0,0.5516302450417048
evaluation,BASE,2022-08-16,11.0,0.5221294270368998
evaluation,BASE,2022-08-17,11.0,0.54821797243663
evaluation,BASE,2022-08-18,11.0,0.4672663415776431
evaluation,BASE,2022-08-19,11.0,0.4523418943855534
evaluation,BASE,2024-02-19,12.0,0.5462818708094289
evaluation,BASE,2024-02-20,12.0,0.5058483826179377
evaluation,BASE,2024-02-21,12.0,0.4087457323308786
evaluation,BASE,2024-02-22,12.0,0.33866080997879844
evaluation,BASE,2024-06-18,13.0,0.6420432274778128
evaluation,BASE,2024-06-19,13.0,0.622838771825649
evaluation,BASE,2024-06-20,13.0,0.6292470159282485
evaluation,BASE,2024-06-21,13.0,0.5859689619182586
evaluation,BASE,2024-06-24,13.0,0.5654224394921069
evaluation,BASE,2024-06-25,13.0,0.5855761458486712
evaluation,BASE,2024-06-26,13.0,0.5638515134127191
evaluation,BASE,2024-06-27,13.0,0.578071931122797
evaluation,BASE,2024-06-28,13.0,0.566385246626723
evaluation,BASE,2024-07-01,13.0,0.5612825381967576
evaluation,BASE,2024-07-02,13.0,0.5789686205433041
evaluation,BASE,2024-07-03,13.0,0.5875830310034146
evaluation,BASE,2024-07-04,13.0,0.5903195538394269
evaluation,BASE,2024-07-05,13.0,0.5834076113479661
evaluation,BASE,2024-07-08,13.0,0.5543908450249807
evaluation,BASE,2024-07-09,13.0,0.5196628261801608
evaluation,BASE,2024-07-10,13.0,0.5196338629588755
evaluation,BASE,2024-07-11,13.0,0.49737611296451345
evaluation,BASE,2024-07-12,13.0,0.5258237885737131
evaluation,BASE,2024-07-15,13.0,0.5343045904130072
evaluation,BASE,2024-07-16,13.0,0.5065141675529178
evaluation,BASE,2024-07-17,13.0,0.5032497693147207
evaluation,BASE,2024-07-18,13.0,0.4462716920894912
evaluation,BASE,2024-07-19,13.0,0.427154163525159
evaluation,BASE,2024-08-02,14.0,0.46115066742110644
evaluation,BASE,2024-08-05,14.0,0.43187810609633376
evaluation,BASE,2024-08-28,15.0,0.6416773684508967
evaluation,BASE,2024-08-29,15.0,0.6128409740432702
evaluation,BASE,2024-08-30,15.0,0.5507708707759439
evaluation,BASE,2024-09-02,15.0,0.4958751482428865
evaluation,BASE,2024-09-03,15.0,0.4972282987518819
evaluation,BASE,2024-09-25,16.0,0.4848579133591193
evaluation,BASE,2024-09-26,16.0,0.34715309191310445
evaluation,BASE,2025-04-10,17.0,0.5452641870662265
evaluation,BASE,2025-04-11,17.0,0.5051063447312427
evaluation,BASE,2025-04-14,17.0,0.6664012245478785
evaluation,BASE,2025-04-15,17.0,0.6251902484277402
evaluation,BASE,2025-04-16,17.0,0.5948753747470057
evaluation,BASE,2025-04-17,17.0,0.5530995145777615
evaluation,BASE,2025-04-18,17.0,0.5159666018756872
evaluation,BASE,2025-04-21,17.0,0.4681201178304572
evaluation,BASE,2025-04-22,17.0,0.4661345853718124
evaluation,BASE,2025-06-03,18.0,0.5437874000294767
evaluation,BASE,2025-06-04,18.0,0.5370359882839426
evaluation,BASE,2025-06-05,18.0,0.5254507963558364
evaluation,BASE,2025-06-06,18.0,0.5074414429515999
evaluation,BASE,2025-06-09,18.0,0.48975562428467606
evaluation,BASE,2025-06-10,18.0,0.48569208553848536
evaluation,BASE,2025-06-18,19.0,0.6109391464574332
evaluation,BASE,2025-06-19,19.0,0.5549106541731612
evaluation,BASE,2025-06-20,19.0,0.5447884077826638
evaluation,BASE,2025-06-23,19.0,0.5175711113070083
evaluation,BASE,2025-06-24,19.0,0.49155110473245267
evaluation,BASE,2025-06-25,19.0,0.4420731292699486
evaluation,BASE,2025-12-19,20.0,0.6892628336593564
evaluation,BASE,2025-12-22,20.0,0.6584615635815602
evaluation,BASE,2025-12-23,20.0,0.6670177979288238
evaluation,BASE,2025-12-24,20.0,0.6450632418975487
evaluation,BASE,2025-12-25,20.0,0.6377683081217196
evaluation,BASE,2025-12-26,20.0,0.6252139491053583
evaluation,BASE,2025-12-29,20.0,0.6038255413911121
evaluation,BASE,2025-12-30,20.0,0.6011777454255871
evaluation,BASE,2025-12-31,20.0,0.5549840723073355
evaluation,BASE,2026-01-05,20.0,0.5627359569011817
evaluation,BASE,2026-01-06,20.0,0.5481566994902599
evaluation,BASE,2026-01-07,20.0,0.5365635314685695
evaluation,BASE,2026-01-08,20.0,0.46554534175513235
evaluation,BASE,2026-01-09,20.0,0.4931971317394161
evaluation,BASE,2026-01-16,21.0,0.6040024573051141
evaluation,BASE,2026-01-19,21.0,0.5658122215563371
evaluation,BASE,2026-01-20,21.0,0.5378112200827786
evaluation,BASE,2026-01-21,21.0,0.5581311377642819
evaluation,BASE,2026-01-22,21.0,0.5432973517880672
evaluation,BASE,2026-01-23,21.0,0.510016591882653
evaluation,BASE,2026-01-26,21.0,0.5147683910266858
evaluation,BASE,2026-01-27,21.0,0.5150649246034656
evaluation,BASE,2026-01-28,21.0,0.519979845242714
evaluation,BASE,2026-01-29,21.0,0.5712473408958308
evaluation,BASE,2026-01-30,21.0,0.4761643609601622
evaluation,BASE,2026-02-02,21.0,0.43456011985654996
evaluation,BASE,2026-05-06,22.0,0.45790557318464686
evaluation,BASE,2026-05-07,22.0,0.42815247742814005
evaluation,BASE,2026-05-13,23.0,0.5190848140456285
evaluation,BASE,2026-05-14,23.0,0.4257570143817465
evaluation,BASE,2026-05-15,23.0,0.39515225444538926
evaluation,BASE,2026-06-05,24.0,0.5156656195151484
evaluation,BASE,2026-06-08,24.0,0.46411362555354024
evaluation,BASE,2026-06-09,24.0,0.4861427663954555
evaluation,BASE,2026-06-23,25.0,0.4258042841894996
evaluation,BASE,2026-06-24,25.0,0.4454124728113428
evaluation,BASE,2026-07-23,26.0,0.5983598748810399
evaluation,BASE,2026-07-24,26.0,0.5200399614659336
evaluation,BASE,2026-07-27,26.0,0.5506742240771572
evaluation,BASE,2026-07-28,26.0,0.41504820605255266
evaluation,BASE,2026-07-29,26.0,0.42828462832859976
evaluation,BASE,2026-08-07,27.0,0.5444080312390834
evaluation,BASE,2026-08-10,27.0,0.5205873499008792
evaluation,BASE,2026-08-11,27.0,0.5140544265154742
evaluation,BASE,2026-08-12,27.0,0.5027470359988692
evaluation,BASE,2026-08-13,27.0,0.45486916826493806
evaluation,STRESS,2020-02-05,1.0,0.5043944278527692
evaluation,STRESS,2020-02-06,1.0,0.5073044373572303
evaluation,STRESS,2020-02-07,1.0,0.5880932904756231
evaluation,STRESS,2020-02-10,1.0,0.7722887758842591
evaluation,STRESS,2020-02-11,1.0,0.713723680485759
evaluation,STRESS,2020-02-12,1.0,0.7054609363514118
evaluation,STRESS,2020-02-13,1.0,0.6249278051334122
evaluation,STRESS,2020-02-14,1.0,0.654879183265457
evaluation,STRESS,2020-02-17,1.0,0.6617232298833163
evaluation,STRESS,2020-02-18,1.0,0.6359938670254035
evaluation,STRESS,2020-02-19,1.0,0.6106847546508714
evaluation,STRESS,2020-02-20,1.0,0.6367838695140994
evaluation,STRESS,2020-02-21,1.0,0.6202086286213409
evaluation,STRESS,2020-02-24,1.0,0.5464597629080356
evaluation,STRESS,2020-02-25,1.0,0.5658228903993948
evaluation,STRESS,2020-02-26,1.0,0.520838024048634
evaluation,STRESS,2020-02-27,1.0,0.4679943677877504
evaluation,STRESS,2020-02-28,1.0,0.3341567990259772
evaluation,STRESS,2020-07-01,2.0,0.7760335198945422
evaluation,STRESS,2020-07-02,2.0,0.7598588550503578
evaluation,STRESS,2020-07-03,2.0,0.7434978133997255
evaluation,STRESS,2020-07-06,2.0,0.7012119986977265
evaluation,STRESS,2020-07-07,2.0,0.6494961087211262
evaluation,STRESS,2020-07-08,2.0,0.6202105532646471
evaluation,STRESS,2020-07-09,2.0,0.591511064727213
evaluation,STRESS,2020-07-10,2.0,0.4894504462965265
evaluation,STRESS,2020-07-13,2.0,0.3578779855555746
evaluation,STRESS,2020-08-19,3.0,0.7118860634309548
evaluation,STRESS,2020-08-20,3.0,0.6703637800079405
evaluation,STRESS,2020-08-21,3.0,0.639564159064083
evaluation,STRESS,2020-08-24,3.0,0.6002805769392101
evaluation,STRESS,2020-08-25,3.0,0.605554753290374
evaluation,STRESS,2020-08-26,3.0,0.667993986274282
evaluation,STRESS,2020-08-27,3.0,0.6839687742789736
evaluation,STRESS,2020-08-28,3.0,0.6830441316511957
evaluation,STRESS,2020-08-31,3.0,0.6742765881145744
evaluation,STRESS,2020-09-01,3.0,0.6748092207632421
evaluation,STRESS,2020-09-02,3.0,0.6923724739804551
evaluation,STRESS,2020-09-03,3.0,0.6620717898355958
evaluation,STRESS,2020-09-04,3.0,0.5738901739980556
evaluation,STRESS,2020-09-07,3.0,0.5416770368147527
evaluation,STRESS,2020-09-08,3.0,0.5197650726677152
evaluation,STRESS,2020-09-09,3.0,0.4482360189923973
evaluation,STRESS,2020-09-10,3.0,0.45051021994813956
evaluation,STRESS,2021-01-05,4.0,0.8069913626000034
evaluation,STRESS,2021-01-06,4.0,0.7978157393687287
evaluation,STRESS,2021-01-07,4.0,0.7742014545398822
evaluation,STRESS,2021-01-08,4.0,0.7175024055950505
evaluation,STRESS,2021-01-11,4.0,0.6634338557829811
evaluation,STRESS,2021-01-12,4.0,0.6388855361706155
evaluation,STRESS,2021-01-13,4.0,0.605111169849679
evaluation,STRESS,2021-01-14,4.0,0.5042486217195479
evaluation,STRESS,2021-01-15,4.0,0.5213963255360018
evaluation,STRESS,2021-01-18,4.0,0.5496709205013058
evaluation,STRESS,2021-01-19,4.0,0.45956397966816276
evaluation,STRESS,2021-01-20,4.0,0.4661433726024951
evaluation,STRESS,2021-02-03,5.0,0.674295524872198
evaluation,STRESS,2021-02-04,5.0,0.7274881947741699
evaluation,STRESS,2021-02-05,5.0,0.7195763115480422
evaluation,STRESS,2021-02-08,5.0,0.6866052895018948
evaluation,STRESS,2021-02-09,5.0,0.7122398995156474
evaluation,STRESS,2021-02-10,5.0,0.7131458927848311
evaluation,STRESS,2021-02-18,5.0,0.6910789840447803
evaluation,STRESS,2021-02-19,5.0,0.6849779035212075
evaluation,STRESS,2021-02-22,5.0,0.5707778884651489
evaluation,STRESS,2021-02-23,5.0,0.4960711620143728
evaluation,STRESS,2021-02-24,5.0,0.39385374238405113
evaluation,STRESS,2021-06-08,6.0,0.6359513363447139
evaluation,STRESS,2021-06-09,6.0,0.6336563583453239
evaluation,STRESS,2021-06-10,6.0,0.6294951930810874
evaluation,STRESS,2021-06-11,6.0,0.6401493394032722
evaluation,STRESS,2021-06-15,6.0,0.6299631811739007
evaluation,STRESS,2021-06-16,6.0,0.6095208312688454
evaluation,STRESS,2021-06-17,6.0,0.5958816734620679
evaluation,STRESS,2021-06-18,6.0,0.5794433754577859
evaluation,STRESS,2021-06-21,6.0,0.5797074185245128
evaluation,STRESS,2021-06-22,6.0,0.6094771663746139
evaluation,STRESS,2021-06-23,6.0,0.727974653175396
evaluation,STRESS,2021-06-24,6.0,0.7216683799250386
evaluation,STRESS,2021-06-25,6.0,0.7215538966028971
evaluation,STRESS,2021-06-28,6.0,0.7183795542424057
evaluation,STRESS,2021-06-29,6.0,0.6905760164425511
evaluation,STRESS,2021-06-30,6.0,0.6821871983077956
evaluation,STRESS,2021-07-01,6.0,0.6666881086877816
evaluation,STRESS,2021-07-02,6.0,0.5541149196029327
evaluation,STRESS,2021-07-05,6.0,0.5597036559033577
evaluation,STRESS,2021-07-06,6.0,0.5770827061470262
evaluation,STRESS,2021-07-07,6.0,0.5602466093793923
evaluation,STRESS,2021-07-08,6.0,0.5459843105889259
evaluation,STRESS,2021-07-09,6.0,0.6034569767822431
evaluation,STRESS,2021-07-12,6.0,0.5959034501834379
evaluation,STRESS,2021-07-13,6.0,0.5847371740326295
evaluation,STRESS,2021-07-14,6.0,0.5311142988870626
evaluation,STRESS,2021-07-15,6.0,0.5587707543339591
evaluation,STRESS,2021-07-16,6.0,0.5490523337308576
evaluation,STRESS,2021-07-19,6.0,0.5224123067036406
evaluation,STRESS,2021-07-20,6.0,0.5177368099068331
evaluation,STRESS,2021-07-21,6.0,0.5556095534656488
evaluation,STRESS,2021-07-22,6.0,0.531016894735183
evaluation,STRESS,2021-07-23,6.0,0.5647540280921779
evaluation,STRESS,2021-07-26,6.0,0.4664247157762449
evaluation,STRESS,2021-07-27,6.0,0.3777532378215575
evaluation,STRESS,2021-10-29,7.0,0.5084148693121566
evaluation,STRESS,2021-11-01,7.0,0.49823639854243273
evaluation,STRESS,2021-11-02,7.0,0.47051846141522935
evaluation,STRESS,2021-11-25,8.0,0.5499456316483992
evaluation,STRESS,2021-11-26,8.0,0.5207646798210043
evaluation,STRESS,2021-11-29,8.0,0.4943087448803463
evaluation,STRESS,2021-11-30,8.0,0.45700908711357874
evaluation,STRESS,2022-05-13,9.0,0.5571462788430914
evaluation,STRESS,2022-05-16,9.0,0.5192535491530542
evaluation,STRESS,2022-05-17,9.0,0.5150324530831505
evaluation,STRESS,2022-05-18,9.0,0.46948144316685025
evaluation,STRESS,2022-05-19,9.0,0.45770108072337745
evaluation,STRESS,2022-06-08,10.0,0.3982555130005711
evaluation,STRESS,2022-06-09,10.0,0.3972261123326185
evaluation,STRESS,2022-08-10,11.0,0.637265454303804
evaluation,STRESS,2022-08-11,11.0,0.6131486069876666
evaluation,STRESS,2022-08-12,11.0,0.5350192187267184
evaluation,STRESS,2022-08-15,11.0,0.5506764947555721
evaluation,STRESS,2022-08-16,11.0,0.5211696618481766
evaluation,STRESS,2022-08-17,11.0,0.547255945149537
evaluation,STRESS,2022-08-18,11.0,0.46630811220764334
evaluation,STRESS,2022-08-19,11.0,0.45139508554190017
evaluation,STRESS,2024-02-19,12.0,0.5459009785421314
evaluation,STRESS,2024-02-20,12.0,0.5054629149875466
evaluation,STRESS,2024-02-21,12.0,0.40836785092883254
evaluation,STRESS,2024-02-22,12.0,0.3383080084991824
evaluation,STRESS,2024-06-18,13.0,0.6422505808287429
evaluation,STRESS,2024-06-19,13.0,0.623050122277778
evaluation,STRESS,2024-06-20,13.0,0.6294555501119841
evaluation,STRESS,2024-06-21,13.0,0.586185460632336
evaluation,STRESS,2024-06-24,13.0,0.5656406578627394
evaluation,STRESS,2024-06-25,13.0,0.5857903644374345
evaluation,STRESS,2024-06-26,13.0,0.5640699124387067
evaluation,STRESS,2024-06-27,13.0,0.5782873589780512
evaluation,STRESS,2024-06-28,13.0,0.5666026041491297
evaluation,STRESS,2024-07-01,13.0,0.561501348200854
evaluation,STRESS,2024-07-02,13.0,0.5791849136831542
evaluation,STRESS,2024-07-03,13.0,0.5877976804469063
evaluation,STRESS,2024-07-04,13.0,0.5905328509043009
evaluation,STRESS,2024-07-05,13.0,0.5836209202008382
evaluation,STRESS,2024-07-08,13.0,0.5546061639086635
evaluation,STRESS,2024-07-09,13.0,0.519882737306016
evaluation,STRESS,2024-07-10,13.0,0.5198532682459099
evaluation,STRESS,2024-07-11,13.0,0.4975987742403796
evaluation,STRESS,2024-07-12,13.0,0.5260464892333581
evaluation,STRESS,2024-07-15,13.0,0.534527275994602
evaluation,STRESS,2024-07-16,13.0,0.5067394600194429
evaluation,STRESS,2024-07-17,13.0,0.5034754084367944
evaluation,STRESS,2024-07-18,13.0,0.44649606398273817
evaluation,STRESS,2024-07-19,13.0,0.4273777708753196
evaluation,STRESS,2024-08-02,14.0,0.45997522235065064
evaluation,STRESS,2024-08-05,14.0,0.4307307594926196
evaluation,STRESS,2024-08-28,15.0,0.6405673508890075
evaluation,STRESS,2024-08-29,15.0,0.6116990971423766
evaluation,STRESS,2024-08-30,15.0,0.5505786377309262
evaluation,STRESS,2024-09-02,15.0,0.49568436937145915
evaluation,STRESS,2024-09-03,15.0,0.49703682545789674
evaluation,STRESS,2024-09-25,16.0,0.4836842003552301
evaluation,STRESS,2024-09-26,16.0,0.34697525221260256
evaluation,STRESS,2025-04-10,17.0,0.5455028515620631
evaluation,STRESS,2025-04-11,17.0,0.5053476567948285
evaluation,STRESS,2025-04-14,17.0,0.666616245427703
evaluation,STRESS,2025-04-15,17.0,0.6254170777539166
evaluation,STRESS,2025-04-16,17.0,0.5951092138824048
evaluation,STRESS,2025-04-17,17.0,0.5533395479668098
evaluation,STRESS,2025-04-18,17.0,0.5162097623069511
evaluation,STRESS,2025-04-21,17.0,0.46836267342917476
evaluation,STRESS,2025-04-22,17.0,0.4663772019632578
evaluation,STRESS,2025-06-03,18.0,0.5440204700734896
evaluation,STRESS,2025-06-04,18.0,0.5372705759457859
evaluation,STRESS,2025-06-05,18.0,0.5256866616461987
evaluation,STRESS,2025-06-06,18.0,0.5076779912862907
evaluation,STRESS,2025-06-09,18.0,0.4899926636739642
evaluation,STRESS,2025-06-10,18.0,0.4859276670434849
evaluation,STRESS,2025-06-18,19.0,0.6082291288595136
evaluation,STRESS,2025-06-19,19.0,0.5521188487317343
evaluation,STRESS,2025-06-20,19.0,0.5419818954811767
evaluation,STRESS,2025-06-23,19.0,0.5147367902109342
evaluation,STRESS,2025-06-24,19.0,0.49178910949930094
evaluation,STRESS,2025-06-25,19.0,0.4423118968657198
evaluation,STRESS,2025-12-19,20.0,0.6892211876012155
evaluation,STRESS,2025-12-22,20.0,0.6584174434386738
evaluation,STRESS,2025-12-23,20.0,0.6669741319400465
evaluation,STRESS,2025-12-24,20.0,0.6450180676311886
evaluation,STRESS,2025-12-25,20.0,0.6377226405943391
evaluation,STRESS,2025-12-26,20.0,0.6251674541010545
evaluation,STRESS,2025-12-29,20.0,0.6037782829169548
evaluation,STRESS,2025-12-30,20.0,0.601130280296492
evaluation,STRESS,2025-12-31,20.0,0.554935384428985
evaluation,STRESS,2026-01-05,20.0,0.5626865201077194
evaluation,STRESS,2026-01-06,20.0,0.5481061675566686
evaluation,STRESS,2026-01-07,20.0,0.536512984915885
evaluation,STRESS,2026-01-08,20.0,0.4654951576300249
evaluation,STRESS,2026-01-09,20.0,0.4931464891586541
evaluation,STRESS,2026-01-16,21.0,0.5996282227708429
evaluation,STRESS,2026-01-19,21.0,0.5613206688979471
evaluation,STRESS,2026-01-20,21.0,0.5332820340303963
evaluation,STRESS,2026-01-21,21.0,0.5536302395340001
evaluation,STRESS,2026-01-22,21.0,0.5387730209598849
evaluation,STRESS,2026-01-23,21.0,0.5054842700157525
evaluation,STRESS,2026-01-26,21.0,0.5102303043852568
evaluation,STRESS,2026-01-27,21.0,0.5105288517759858
evaluation,STRESS,2026-01-28,21.0,0.5154324214969705
evaluation,STRESS,2026-01-29,21.0,0.5667412895428838
evaluation,STRESS,2026-01-30,21.0,0.47163674610665485
evaluation,STRESS,2026-02-02,21.0,0.43162327311904647
evaluation,STRESS,2026-05-06,22.0,0.4581728494625858
evaluation,STRESS,2026-05-07,22.0,0.42841740642014053
evaluation,STRESS,2026-05-13,23.0,0.5193538170313907
evaluation,STRESS,2026-05-14,23.0,0.42601650502498256
evaluation,STRESS,2026-05-15,23.0,0.3954027010547156
evaluation,STRESS,2026-06-05,24.0,0.5131231109488646
evaluation,STRESS,2026-06-08,24.0,0.4616373787462109
evaluation,STRESS,2026-06-09,24.0,0.48360940098385413
evaluation,STRESS,2026-06-23,25.0,0.4226129893094895
evaluation,STRESS,2026-06-24,25.0,0.44217108951046913
evaluation,STRESS,2026-07-23,26.0,0.5986214798653209
evaluation,STRESS,2026-07-24,26.0,0.5203068022926447
evaluation,STRESS,2026-07-27,26.0,0.5509416660952956
evaluation,STRESS,2026-07-28,26.0,0.415303703448093
evaluation,STRESS,2026-07-29,26.0,0.42854397526167815
evaluation,STRESS,2026-08-07,27.0,0.544741123641097
evaluation,STRESS,2026-08-10,27.0,0.5209230966302789
evaluation,STRESS,2026-08-11,27.0,0.5143882916426454
evaluation,STRESS,2026-08-12,27.0,0.5030825734666698
evaluation,STRESS,2026-08-13,27.0,0.45520067150532534
earlier_diagnostic,BASE,2017-05-18,6.0,0.9024965684382891
earlier_diagnostic,BASE,2017-05-19,6.0,0.9072497658610817
earlier_diagnostic,BASE,2017-05-22,6.0,0.9092185168338708
earlier_diagnostic,BASE,2017-05-23,6.0,0.9059971139883691
earlier_diagnostic,BASE,2017-05-24,6.0,0.9128814818153692
earlier_diagnostic,BASE,2017-05-25,6.0,0.9033363616333383
earlier_diagnostic,BASE,2017-05-26,6.0,0.9036017138592775
earlier_diagnostic,BASE,2017-05-31,6.0,0.9044868043382919
earlier_diagnostic,BASE,2017-06-01,6.0,0.8103312087541353
earlier_diagnostic,BASE,2017-06-02,6.0,0.8082210417929984
earlier_diagnostic,BASE,2017-06-05,6.0,0.7788625461257463
earlier_diagnostic,BASE,2017-06-06,6.0,0.7825993353631673
earlier_diagnostic,BASE,2017-06-07,6.0,0.7849776424321544
earlier_diagnostic,BASE,2017-06-08,6.0,0.7855671929772493
earlier_diagnostic,BASE,2017-06-09,6.0,0.7915608348838443
earlier_diagnostic,BASE,2017-06-12,6.0,0.7990088940482667
