fit_origin,cycles,rows,split_nodes,leaves,maximum_library_prediction_difference,cycle_weighted_training_mse,baseline_mse
2021-11-01,20,844,480,560,0.0,0.003999469488774417,0.004838098632019743
2021-12-01,20,844,480,560,0.0,0.003999469488774417,0.004838098632019743
2022-01-04,20,844,480,560,0.0,0.003999469488774417,0.004838098632019743
2022-02-07,20,892,475,555,0.0,0.003953473625966735,0.004826266810260414
2022-03-01,20,892,475,555,0.0,0.003953473625966735,0.004826266810260414
2022-04-01,20,892,475,555,0.0,0.003953473625966735,0.004826266810260414
2022-05-05,20,892,475,555,0.0,0.003953473625966735,0.004826266810260414
2022-06-01,20,892,475,555,0.0,0.003953473625966735,0.004826266810260414
2022-07-01,20,892,475,555,0.0,0.003953473625966735,0.004826266810260414
2022-08-01,20,892,475,555,0.0,0.003953473625966735,0.004826266810260414
2022-09-01,20,890,477,557,0.0,0.0015376544050557238,0.002102211977536245
2022-10-10,20,885,479,559,0.0,0.0014057046256589884,0.001813608722669916
2022-11-01,20,885,479,559,0.0,0.0014057046256589884,0.001813608722669916
2022-12-01,20,885,479,559,0.0,0.0014057046256589884,0.001813608722669916
2023-01-03,20,885,479,559,0.0,0.0014057046256589884,0.001813608722669916
2023-02-01,20,885,479,559,0.0,0.0014057046256589884,0.001813608722669916
2023-03-01,20,885,479,559,0.0,0.0014057046256589884,0.001813608722669916
2023-04-03,20,885,479,559,0.0,0.0014057046256589884,0.001813608722669916
2023-05-04,20,885,479,559,0.0,0.0014057046256589884,0.001813608722669916
2023-06-01,20,885,479,559,0.0,0.0014057046256589884,0.001813608722669916
2023-07-03,20,885,479,559,0.0,0.0014057046256589884,0.001813608722669916
2023-08-01,20,885,479,559,0.0,0.0014057046256589884,0.001813608722669916
2023-09-01,20,885,479,559,0.0,0.0014057046256589884,0.001813608722669916
2023-10-09,20,885,479,559,0.0,0.0014057046256589884,0.001813608722669916
2023-11-01,20,885,479,559,0.0,0.0014057046256589884,0.001813608722669916
2023-12-01,20,885,479,559,0.0,0.0014057046256589884,0.001813608722669916
2024-01-02,20,885,479,559,0.0,0.0014057046256589884,0.001813608722669916
2024-02-01,20,885,479,559,0.0,0.0014057046256589884,0.001813608722669916
2024-03-01,20,885,479,559,0.0,0.0014057046256589884,0.001813608722669916
2024-04-01,20,885,479,559,0.0,0.0014057046256589884,0.001813608722669916
2024-05-06,20,885,479,559,0.0,0.0014057046256589884,0.001813608722669916
2024-06-03,20,885,480,560,0.0,0.0013111468382421376,0.0017937101229100916
2024-07-01,20,885,480,560,0.0,0.0013111468382421376,0.0017937101229100916
2024-08-01,20,915,480,560,0.0,0.0013209640087598756,0.0018155443763166108
2024-09-02,20,915,480,560,0.0,0.0013209640087598756,0.0018155443763166108
2024-10-08,20,896,479,559,0.0,0.0012372826436703305,0.001734756152863308
2024-11-01,20,842,479,559,0.0,0.0016518947126039885,0.002327974255241928
2024-12-02,20,842,479,559,0.0,0.0016518947126039885,0.002327974255241928
2025-01-02,20,842,479,559,0.0,0.0016518947126039885,0.002327974255241928
2025-02-05,20,842,479,559,0.0,0.0016518947126039885,0.002327974255241928
2025-03-03,20,842,479,559,0.0,0.0016518947126039885,0.002327974255241928
2025-04-01,20,842,479,559,0.0,0.0016518947126039885,0.002327974255241928
2025-05-06,20,842,479,559,0.0,0.0016518947126039885,0.002327974255241928
2025-06-03,20,842,479,559,0.0,0.0016518947126039885,0.002327974255241928
2025-07-01,20,842,479,559,0.0,0.0016518947126039885,0.002327974255241928
2025-08-01,20,842,475,555,0.0,0.0016448471157141918,0.002487362740214398
2025-09-01,20,842,475,555,0.0,0.0016448471157141918,0.002487362740214398
2025-10-09,20,842,475,555,0.0,0.0016448471157141918,0.002487362740214398
2025-11-03,20,842,478,558,0.0,0.0019809514715933927,0.0029531493469904524
2025-12-01,20,842,478,558,0.0,0.0019809514715933927,0.0029531493469904524
2026-01-05,20,842,478,558,0.0,0.0019809514715933927,0.0029531493469904524
2026-02-02,20,842,480,560,0.0,0.002003778598464987,0.0029934299006987887
2026-03-02,20,795,480,560,0.0,0.0019575231778840977,0.0028263074325378078
2026-04-01,20,795,480,560,0.0,0.0019575231778840977,0.0028263074325378078
2026-05-06,20,795,480,560,0.0,0.0019575231778840977,0.0028263074325378078
2026-06-01,20,795,480,560,0.0,0.0019575231778840977,0.0028263074325378078
2026-07-01,20,795,480,560,0.0,0.0019575231778840977,0.0028263074325378078
2026-08-03,20,790,461,541,0.0,0.0020071520132259597,0.0027931943347039266
