period,cost,model,entry,start_index,start_equity,exit,end_index,days,profit,total_return,end_equity,drawdown,commission,slippage
early,STRESS,NO_FACTOR_LEARNER,2019-03-04,1013,213203.14516,2019-10-14,1162,150,9130.494799999957,0.042825328834374954,222333.63995999994,-0.046537047657504216,138.9052,401.39999999999543
main,BASE,CONFIRMED_STUMP,2020-01-02,0,200000.0,2020-02-10,21,22,-10629.639640000038,-0.05314819820000016,189370.36035999996,-0.10869032838772252,75.83964,236.1999999999922
main,BASE,CONFIRMED_STUMP,2020-07-06,120,189370.36035999996,2021-08-09,388,269,14218.012740000035,0.0750804545810182,203588.3731,-0.09654499362482838,130.48726,391.7999999999879
main,BASE,CONFIRMED_STUMP,2021-08-16,393,203588.3731,2021-09-13,413,21,2153.343419999961,0.010576946940591192,205741.71651999996,-0.01626840251026107,48.95658,145.80000000000553
main,BASE,CONFIRMED_STUMP,2021-09-22,418,205741.71651999996,2021-12-13,471,54,10530.64737999998,0.05118382192060844,216272.36389999994,-0.025098398889062956,85.35262,250.8000000000095
main,BASE,CONFIRMED_STUMP,2021-12-20,476,216272.36389999994,2022-05-09,565,90,-29279.088140000007,-0.13538062659516714,186993.27575999993,-0.14508428298241904,100.18814,304.4000000000147
main,BASE,CONFIRMED_STUMP,2022-05-16,570,186993.27575999993,2022-06-13,589,20,3538.432679999998,0.018922780327895072,190531.70843999993,-0.010533182698837518,28.567320000000002,86.99999999999815
main,BASE,CONFIRMED_STUMP,2022-06-20,594,190531.70843999993,2022-08-08,629,36,-4105.551520000008,-0.021547864938674444,186426.15691999992,-0.05942957002792726,62.751520000000006,218.39999999997593
main,BASE,CONFIRMED_STUMP,2022-09-05,649,186426.15691999992,2022-09-13,654,6,2892.307460000011,0.015514493823102216,189318.46437999993,-0.003325514600916124,57.19254000000001,208.2000000000079
main,BASE,CONFIRMED_STUMP,2022-09-19,658,189318.46437999993,2022-10-10,668,11,-4858.563120000006,-0.025663440361780587,184459.90125999993,-0.025663440361780587,64.96312,165.59999999998473
main,BASE,CONFIRMED_STUMP,2023-04-10,791,184459.90125999993,2023-06-05,828,38,-10792.773199999996,-0.058510132154886985,173667.12805999993,-0.0738385670615801,72.9732,228.60000000001452
main,BASE,CONFIRMED_STUMP,2024-10-14,1155,173667.12805999993,2025-04-14,1277,123,-8069.035780000006,-0.046462654562999695,165598.09227999992,-0.08777764828665235,73.93578,214.49999999999827
main,BASE,CONFIRMED_STUMP,2025-08-04,1353,165598.09227999992,2026-04-07,1514,162,15925.507580000034,0.09616963191262218,181523.59985999996,-0.05719962363055486,108.59242000000002,363.60000000000593
main,BASE,CONFIRMED_STUMP,2026-04-13,1518,181523.59985999996,2026-05-18,1540,23,4171.77760000003,0.022982012273982555,185695.37746,-0.019971158191120386,43.522400000000005,136.80000000000518
main,BASE,CONFIRMED_STUMP,2026-06-01,1550,185695.37746,2026-06-08,1555,6,-3537.659260000015,-0.019050874116465555,182157.71819999997,-0.02406558582921592,48.759260000000005,150.6000000000057
main,STRESS,CONFIRMED_STUMP,2020-01-02,0,200000.0,2020-02-10,21,22,-9445.89480000001,-0.047229473999999994,190554.1052,-0.09690421966814189,132.8948,377.7999999999952
main,STRESS,CONFIRMED_STUMP,2020-07-06,120,190554.1052,2021-08-09,388,269,13842.133359999978,0.07264148597308728,204396.23855999997,-0.09746968488483454,259.26664,706.0000000000006
main,STRESS,CONFIRMED_STUMP,2021-08-16,393,204396.23855999997,2021-09-13,413,21,1970.4854399999895,0.009640517134181792,206366.72399999996,-0.01664872888060054,98.31456,286.500000000009
main,STRESS,CONFIRMED_STUMP,2021-09-22,418,206366.72399999996,2021-12-13,471,54,10261.375360000005,0.04972398243817655,216628.09935999996,-0.025110530600637504,168.82464000000004,467.29999999997
main,STRESS,CONFIRMED_STUMP,2021-12-20,476,216628.09935999996,2022-05-09,565,90,-29663.101919999957,-0.13693099836833633,186964.99744,-0.1457675184950208,197.80192000000002,563.4000000000152
main,STRESS,CONFIRMED_STUMP,2022-05-16,570,186964.99744,2022-06-13,589,20,3440.2653599999903,0.01840058517425991,190405.2628,-0.010537492346771593,57.134640000000005,156.60000000000593
main,STRESS,CONFIRMED_STUMP,2022-06-20,594,190405.2628,2022-08-08,629,36,-4312.262880000024,-0.02264781349310485,186092.99991999997,-0.05964405757821445,123.86288,363.99999999999227
main,STRESS,CONFIRMED_STUMP,2022-09-05,649,186092.99991999997,2022-09-13,654,6,2688.5445599999803,0.014447316992878712,188781.54447999995,-0.0033236219547526646,114.05544,345.9999999999926
main,STRESS,CONFIRMED_STUMP,2022-09-19,658,188781.54447999995,2022-10-10,668,11,-5070.901119999995,-0.02686121216969506,183710.64335999996,-0.02686121216969506,129.30112000000003,329.6000000000003
main,STRESS,CONFIRMED_STUMP,2023-04-10,791,183710.64335999996,2023-06-05,828,38,-10978.65903999997,-0.059760604171888665,172731.98432,-0.07390867128537404,142.25904,404.59999999999485
main,STRESS,CONFIRMED_STUMP,2024-10-14,1155,172731.98432,2025-04-14,1277,123,-8057.2874399999855,-0.04664618120216346,164674.69688,-0.08731342914429252,140.28744,386.1000000000006
main,STRESS,CONFIRMED_STUMP,2025-08-04,1353,164674.69688,2026-04-07,1514,162,15518.265000000014,0.09423588015655082,180192.96188000002,-0.057464709088587695,212.435,600.999999999997
main,STRESS,CONFIRMED_STUMP,2026-04-13,1518,180192.96188000002,2026-05-18,1540,23,4016.0650000000023,0.022287579703998084,184209.02688000002,-0.02039383716700105,86.43500000000002,227.00000000001532
main,STRESS,CONFIRMED_STUMP,2026-06-01,1550,184209.02688000002,2026-06-08,1555,6,-3657.4414799999795,-0.019854843934345112,180551.58540000004,-0.024473893205515518,96.74148,248.99999999999469
main,BASE,NO_FACTOR_LEARNER,2020-01-02,0,200000.0,2020-02-10,21,22,-10629.639640000038,-0.05314819820000016,189370.36035999996,-0.10869032838772252,75.83964,236.1999999999922
main,BASE,NO_FACTOR_LEARNER,2020-07-06,120,189370.36035999996,2022-08-08,629,510,-4445.703139999969,-0.023476235307090976,184924.65722,-0.20420457952287274,235.40314,735.5999999999821
main,BASE,NO_FACTOR_LEARNER,2023-04-10,791,184924.65722,2023-06-05,828,38,-10820.532920000027,-0.05851319711858183,174104.12429999997,-0.07384143722149938,73.13292,229.10000000001457
main,BASE,NO_FACTOR_LEARNER,2024-10-14,1155,174104.12429999997,2025-04-14,1277,123,-7881.863539999991,-0.045270975467638586,166222.26075999998,-0.08658994857737434,74.66354000000001,211.1999999999988
main,STRESS,NO_FACTOR_LEARNER,2020-01-02,0,200000.0,2020-02-10,21,22,-9445.89480000001,-0.047229473999999994,190554.1052,-0.09690421966814189,132.8948,377.7999999999952
main,STRESS,NO_FACTOR_LEARNER,2020-07-06,120,190554.1052,2022-08-08,629,510,-5203.839080000063,-0.027308984367134248,185350.26611999993,-0.20599590760256548,459.73908,1297.100000000008
main,STRESS,NO_FACTOR_LEARNER,2023-04-10,791,185350.26611999993,2023-06-05,828,38,-11084.239880000008,-0.05980158600270813,174266.02623999992,-0.07393904849077804,143.53988,408.1999999999948
main,STRESS,NO_FACTOR_LEARNER,2024-10-14,1155,174266.02623999992,2025-04-14,1277,123,-8143.985719999997,-0.04673306608130301,166122.04051999992,-0.08728356587599029,141.88572,390.50000000000057
