fit_origin,training_start,training_end,confirmation_start,confirmation_end,training_signal_origins,training_winner,no_factor_training_winner,no_factor_policy,primary_policy,feature_policy_accepted,internal_training_accounts,internal_confirmation_accounts,reason
2017-02-03,2015-02-05,2016-08-01,2016-08-02,2017-02-03,72,HIGH_Q75,CASH,PASSIVE,PASSIVE,False,8,3,训练或确认没有支持分界规则，采用无因子规则
2017-03-01,2015-03-10,2016-08-25,2016-08-26,2017-03-01,71,LOW_Q50,PASSIVE,PASSIVE,LOW_Q50,True,8,2,分界规则在随后确认段优于无因子规则
2017-04-05,2015-04-13,2016-09-29,2016-09-30,2017-04-05,70,LOW_Q50,CASH,PASSIVE,PASSIVE,False,8,3,训练或确认没有支持分界规则，采用无因子规则
2017-05-02,2015-05-08,2016-11-01,2016-11-02,2017-05-02,72,LOW_Q50,CASH,PASSIVE,LOW_Q50,True,8,3,分界规则在随后确认段优于无因子规则
2017-06-01,2015-06-05,2016-11-29,2016-11-30,2017-06-01,72,LOW_Q50,CASH,CASH,CASH,False,8,3,训练或确认没有支持分界规则，采用无因子规则
2017-07-03,2015-07-08,2016-12-29,2016-12-30,2017-07-03,71,LOW_Q50,CASH,PASSIVE,PASSIVE,False,8,3,训练或确认没有支持分界规则，采用无因子规则
2017-08-01,2015-08-06,2017-02-06,2017-02-07,2017-08-01,72,LOW_Q50,CASH,PASSIVE,PASSIVE,False,8,3,训练或确认没有支持分界规则，采用无因子规则
2017-09-01,2015-09-10,2017-03-09,2017-03-10,2017-09-01,72,LOW_Q75,CASH,PASSIVE,PASSIVE,False,8,3,训练或确认没有支持分界规则，采用无因子规则
2017-10-09,2015-10-16,2017-04-11,2017-04-12,2017-10-09,73,LOW_Q75,CASH,PASSIVE,PASSIVE,False,8,3,训练或确认没有支持分界规则，采用无因子规则
2017-11-01,2015-11-10,2017-05-05,2017-05-08,2017-11-01,72,LOW_Q75,CASH,PASSIVE,PASSIVE,False,8,3,训练或确认没有支持分界规则，采用无因子规则
2017-12-01,2015-12-10,2017-06-08,2017-06-09,2017-12-01,73,LOW_Q75,CASH,PASSIVE,PASSIVE,False,8,3,训练或确认没有支持分界规则，采用无因子规则
2018-01-02,2016-01-11,2017-07-07,2017-07-10,2018-01-02,73,LOW_Q75,PASSIVE,PASSIVE,PASSIVE,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2018-02-01,2016-02-17,2017-08-08,2017-08-09,2018-02-01,74,LOW_Q75,PASSIVE,PASSIVE,LOW_Q75,True,8,2,分界规则在随后确认段优于无因子规则
2018-03-01,2016-03-09,2017-08-29,2017-08-30,2018-03-01,74,PASSIVE,PASSIVE,PASSIVE,PASSIVE,False,8,1,训练或确认没有支持分界规则，采用无因子规则
2018-04-02,2016-04-11,2017-09-28,2017-09-29,2018-04-02,73,PASSIVE,PASSIVE,PASSIVE,PASSIVE,False,8,1,训练或确认没有支持分界规则，采用无因子规则
2018-05-02,2016-05-06,2017-10-31,2017-11-01,2018-05-02,74,PASSIVE,PASSIVE,PASSIVE,PASSIVE,False,8,1,训练或确认没有支持分界规则，采用无因子规则
2018-06-01,2016-06-07,2017-11-30,2017-12-01,2018-06-01,73,PASSIVE,PASSIVE,PASSIVE,PASSIVE,False,8,1,训练或确认没有支持分界规则，采用无因子规则
2018-07-02,2016-07-07,2017-12-28,2017-12-29,2018-07-02,74,PASSIVE,PASSIVE,PASSIVE,PASSIVE,False,8,1,训练或确认没有支持分界规则，采用无因子规则
2018-08-01,2016-08-08,2018-01-30,2018-01-31,2018-08-01,74,PASSIVE,PASSIVE,PASSIVE,PASSIVE,False,8,1,训练或确认没有支持分界规则，采用无因子规则
2018-09-03,2016-09-08,2018-03-09,2018-03-12,2018-09-03,74,LOW_Q75,PASSIVE,PASSIVE,LOW_Q75,True,8,2,分界规则在随后确认段优于无因子规则
2018-10-08,2016-10-14,2018-04-09,2018-04-10,2018-10-08,75,HIGH_Q25,PASSIVE,PASSIVE,PASSIVE,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2018-11-01,2016-11-09,2018-05-07,2018-05-08,2018-11-01,75,LOW_Q75,PASSIVE,PASSIVE,LOW_Q75,True,8,2,分界规则在随后确认段优于无因子规则
2018-12-03,2016-12-09,2018-06-06,2018-06-07,2018-12-03,75,PASSIVE,PASSIVE,PASSIVE,PASSIVE,False,8,1,训练或确认没有支持分界规则，采用无因子规则
2019-01-02,2017-01-09,2018-07-05,2018-07-06,2019-01-02,74,CASH,CASH,CASH,CASH,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2019-02-01,2017-02-15,2018-08-06,2018-08-07,2019-02-01,75,CASH,CASH,CASH,CASH,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2019-03-01,2017-03-08,2018-08-27,2018-08-28,2019-03-01,75,CASH,CASH,PASSIVE,PASSIVE,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2019-04-01,2017-04-10,2018-09-26,2018-09-27,2019-04-01,74,CASH,CASH,PASSIVE,PASSIVE,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2019-05-06,2017-05-10,2018-11-01,2018-11-02,2019-05-06,74,LOW_Q75,CASH,PASSIVE,PASSIVE,False,8,3,训练或确认没有支持分界规则，采用无因子规则
2019-06-03,2017-06-09,2018-11-29,2018-11-30,2019-06-03,74,CASH,CASH,PASSIVE,PASSIVE,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2019-07-01,2017-07-06,2018-12-26,2018-12-27,2019-07-01,74,CASH,CASH,PASSIVE,PASSIVE,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2019-08-01,2017-08-08,2019-01-30,2019-01-31,2019-08-01,74,CASH,CASH,PASSIVE,PASSIVE,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2019-09-02,2017-09-07,2019-03-08,2019-03-11,2019-09-02,74,CASH,CASH,PASSIVE,PASSIVE,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2019-10-08,2017-10-12,2019-04-08,2019-04-09,2019-10-08,74,CASH,CASH,CASH,CASH,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2019-11-01,2017-11-07,2019-05-07,2019-05-08,2019-11-01,73,CASH,CASH,PASSIVE,PASSIVE,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2019-12-02,2017-12-06,2019-06-05,2019-06-06,2019-12-02,73,CASH,CASH,PASSIVE,PASSIVE,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2020-01-02,2018-01-08,2019-07-08,2019-07-09,2020-01-02,72,HIGH_Q75,CASH,PASSIVE,PASSIVE,False,8,3,训练或确认没有支持分界规则，采用无因子规则
2020-02-03,2018-01-30,2019-07-30,2019-07-31,2020-02-03,72,CASH,CASH,CASH,CASH,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2020-03-02,2018-03-06,2019-08-27,2019-08-28,2020-03-02,72,HIGH_Q75,CASH,CASH,CASH,False,8,3,训练或确认没有支持分界规则，采用无因子规则
2020-04-01,2018-04-09,2019-09-27,2019-09-30,2020-04-01,71,CASH,CASH,CASH,CASH,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2020-05-06,2018-05-10,2019-11-04,2019-11-05,2020-05-06,72,CASH,CASH,CASH,CASH,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2020-06-01,2018-06-05,2019-11-28,2019-11-29,2020-06-01,71,CASH,CASH,CASH,CASH,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2020-07-01,2018-07-04,2019-12-26,2019-12-27,2020-07-01,71,PASSIVE,PASSIVE,PASSIVE,PASSIVE,False,8,1,训练或确认没有支持分界规则，采用无因子规则
2020-08-03,2018-08-06,2020-02-06,2020-02-07,2020-08-03,70,PASSIVE,PASSIVE,PASSIVE,PASSIVE,False,8,1,训练或确认没有支持分界规则，采用无因子规则
2020-09-01,2018-09-04,2020-03-06,2020-03-09,2020-09-01,70,PASSIVE,PASSIVE,PASSIVE,PASSIVE,False,8,1,训练或确认没有支持分界规则，采用无因子规则
2020-10-09,2018-10-12,2020-04-08,2020-04-09,2020-10-09,71,HIGH_Q75,PASSIVE,PASSIVE,PASSIVE,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2020-11-02,2018-11-05,2020-04-30,2020-05-06,2020-11-02,70,HIGH_Q75,PASSIVE,PASSIVE,PASSIVE,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2020-12-01,2018-12-04,2020-06-03,2020-06-04,2020-12-01,70,PASSIVE,PASSIVE,PASSIVE,PASSIVE,False,8,1,训练或确认没有支持分界规则，采用无因子规则
2021-01-04,2019-01-08,2020-07-08,2020-07-09,2021-01-04,69,PASSIVE,PASSIVE,PASSIVE,PASSIVE,False,8,1,训练或确认没有支持分界规则，采用无因子规则
2021-02-01,2019-02-12,2020-08-05,2020-08-06,2021-02-01,69,PASSIVE,PASSIVE,PASSIVE,PASSIVE,False,8,1,训练或确认没有支持分界规则，采用无因子规则
2021-03-01,2019-03-05,2020-08-26,2020-08-27,2021-03-01,69,PASSIVE,PASSIVE,PASSIVE,PASSIVE,False,8,1,训练或确认没有支持分界规则，采用无因子规则
2021-04-01,2019-04-08,2020-09-28,2020-09-29,2021-04-01,70,PASSIVE,PASSIVE,PASSIVE,PASSIVE,False,8,1,训练或确认没有支持分界规则，采用无因子规则
2021-05-06,2019-05-10,2020-11-04,2020-11-05,2021-05-06,71,PASSIVE,PASSIVE,PASSIVE,PASSIVE,False,8,1,训练或确认没有支持分界规则，采用无因子规则
2021-06-01,2019-06-05,2020-11-30,2020-12-01,2021-06-01,71,PASSIVE,PASSIVE,PASSIVE,PASSIVE,False,8,1,训练或确认没有支持分界规则，采用无因子规则
2021-07-01,2019-07-05,2020-12-29,2020-12-30,2021-07-01,72,PASSIVE,PASSIVE,PASSIVE,PASSIVE,False,8,1,训练或确认没有支持分界规则，采用无因子规则
2021-08-02,2019-08-06,2021-01-29,2021-02-01,2021-08-02,70,LOW_Q75,PASSIVE,PASSIVE,LOW_Q75,True,8,2,分界规则在随后确认段优于无因子规则
2021-09-01,2019-09-05,2021-03-09,2021-03-10,2021-09-01,71,LOW_Q75,PASSIVE,PASSIVE,LOW_Q75,True,8,2,分界规则在随后确认段优于无因子规则
2021-10-08,2019-10-11,2021-04-07,2021-04-08,2021-10-08,72,LOW_Q75,PASSIVE,PASSIVE,LOW_Q75,True,8,2,分界规则在随后确认段优于无因子规则
2021-11-01,2019-11-04,2021-04-29,2021-04-30,2021-11-01,71,LOW_Q75,PASSIVE,PASSIVE,LOW_Q75,True,8,2,分界规则在随后确认段优于无因子规则
2021-12-01,2019-12-04,2021-06-03,2021-06-04,2021-12-01,72,LOW_Q75,PASSIVE,PASSIVE,LOW_Q75,True,8,2,分界规则在随后确认段优于无因子规则
2022-01-04,2020-01-07,2021-07-07,2021-07-08,2022-01-04,72,LOW_Q75,PASSIVE,PASSIVE,LOW_Q75,True,8,2,分界规则在随后确认段优于无因子规则
2022-02-07,2020-02-11,2021-08-03,2021-08-04,2022-02-07,73,LOW_Q75,PASSIVE,PASSIVE,LOW_Q75,True,8,2,分界规则在随后确认段优于无因子规则
2022-03-01,2020-03-04,2021-08-25,2021-08-26,2022-03-01,73,LOW_Q75,PASSIVE,PASSIVE,LOW_Q75,True,8,2,分界规则在随后确认段优于无因子规则
2022-04-01,2020-04-07,2021-09-29,2021-09-30,2022-04-01,73,LOW_Q75,PASSIVE,PASSIVE,LOW_Q75,True,8,2,分界规则在随后确认段优于无因子规则
2022-05-05,2020-05-07,2021-11-02,2021-11-03,2022-05-05,74,LOW_Q75,PASSIVE,PASSIVE,LOW_Q75,True,8,2,分界规则在随后确认段优于无因子规则
2022-06-01,2020-06-03,2021-11-29,2021-11-30,2022-06-01,74,LOW_Q75,PASSIVE,PASSIVE,LOW_Q75,True,8,2,分界规则在随后确认段优于无因子规则
2022-07-01,2020-07-06,2021-12-28,2021-12-29,2022-07-01,74,LOW_Q75,PASSIVE,PASSIVE,PASSIVE,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2022-08-01,2020-08-04,2022-01-27,2022-01-28,2022-08-01,74,LOW_Q75,CASH,CASH,CASH,False,8,3,训练或确认没有支持分界规则，采用无因子规则
2022-09-01,2020-09-04,2022-03-08,2022-03-09,2022-09-01,75,LOW_Q25,CASH,CASH,LOW_Q25,True,8,3,分界规则在随后确认段优于无因子规则
2022-10-10,2020-10-13,2022-04-08,2022-04-11,2022-10-10,74,LOW_Q75,CASH,CASH,CASH,False,8,3,训练或确认没有支持分界规则，采用无因子规则
2022-11-01,2020-11-04,2022-05-05,2022-05-06,2022-11-01,75,LOW_Q25,CASH,CASH,CASH,False,8,3,训练或确认没有支持分界规则，采用无因子规则
2022-12-01,2020-12-04,2022-06-07,2022-06-08,2022-12-01,75,LOW_Q25,CASH,CASH,CASH,False,8,3,训练或确认没有支持分界规则，采用无因子规则
2023-01-03,2021-01-06,2022-07-07,2022-07-08,2023-01-03,75,LOW_Q25,CASH,CASH,CASH,False,8,3,训练或确认没有支持分界规则，采用无因子规则
2023-02-01,2021-01-28,2022-07-29,2022-08-01,2023-02-01,75,LOW_Q25,CASH,CASH,CASH,False,8,3,训练或确认没有支持分界规则，采用无因子规则
2023-03-01,2021-03-04,2022-08-26,2022-08-29,2023-03-01,75,LOW_Q25,CASH,CASH,CASH,False,8,3,训练或确认没有支持分界规则，采用无因子规则
2023-04-03,2021-04-07,2022-09-29,2022-09-30,2023-04-03,75,LOW_Q25,CASH,PASSIVE,PASSIVE,False,8,3,训练或确认没有支持分界规则，采用无因子规则
2023-05-04,2021-05-07,2022-11-02,2022-11-03,2023-05-04,75,CASH,CASH,PASSIVE,PASSIVE,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2023-06-01,2021-06-04,2022-11-30,2022-12-01,2023-06-01,75,CASH,CASH,CASH,CASH,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2023-07-03,2021-07-05,2022-12-28,2022-12-29,2023-07-03,74,CASH,CASH,CASH,CASH,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2023-08-01,2021-08-03,2023-02-03,2023-02-06,2023-08-01,74,CASH,CASH,CASH,CASH,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2023-09-01,2021-09-03,2023-03-08,2023-03-09,2023-09-01,75,CASH,CASH,CASH,CASH,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2023-10-09,2021-10-12,2023-04-06,2023-04-07,2023-10-09,74,CASH,CASH,CASH,CASH,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2023-11-01,2021-11-04,2023-05-04,2023-05-05,2023-11-01,75,CASH,CASH,CASH,CASH,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2023-12-01,2021-12-06,2023-06-05,2023-06-06,2023-12-01,75,CASH,CASH,CASH,CASH,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2024-01-02,2022-01-05,2023-07-06,2023-07-07,2024-01-02,74,CASH,CASH,CASH,CASH,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2024-02-01,2022-02-11,2023-08-07,2023-08-08,2024-02-01,75,CASH,CASH,CASH,CASH,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2024-03-01,2022-03-04,2023-08-28,2023-08-29,2024-03-01,75,CASH,CASH,CASH,CASH,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2024-04-01,2022-04-06,2023-09-26,2023-09-27,2024-04-01,74,LOW_Q25,CASH,CASH,CASH,False,8,3,训练或确认没有支持分界规则，采用无因子规则
2024-05-06,2022-05-09,2023-11-01,2023-11-02,2024-05-06,72,LOW_Q25,CASH,CASH,CASH,False,8,3,训练或确认没有支持分界规则，采用无因子规则
2024-06-03,2022-06-07,2023-11-29,2023-11-30,2024-06-03,73,CASH,CASH,CASH,CASH,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2024-07-01,2022-07-04,2023-12-26,2023-12-27,2024-07-01,73,CASH,CASH,CASH,CASH,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2024-08-01,2022-08-04,2024-01-29,2024-01-30,2024-08-01,74,CASH,CASH,CASH,CASH,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2024-09-02,2022-09-05,2024-03-07,2024-03-08,2024-09-02,72,CASH,CASH,CASH,CASH,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2024-10-08,2022-10-10,2024-04-03,2024-04-08,2024-10-08,72,LOW_Q25,CASH,PASSIVE,PASSIVE,False,8,3,训练或确认没有支持分界规则，采用无因子规则
2024-11-01,2022-11-03,2024-05-06,2024-05-07,2024-11-01,72,LOW_Q25,CASH,PASSIVE,PASSIVE,False,8,3,训练或确认没有支持分界规则，采用无因子规则
2024-12-02,2022-12-02,2024-06-04,2024-06-05,2024-12-02,72,LOW_Q25,CASH,PASSIVE,PASSIVE,False,8,3,训练或确认没有支持分界规则，采用无因子规则
2025-01-02,2023-01-04,2024-07-05,2024-07-08,2025-01-02,71,LOW_Q25,CASH,PASSIVE,PASSIVE,False,8,3,训练或确认没有支持分界规则，采用无因子规则
2025-02-05,2023-02-06,2024-07-31,2024-08-01,2025-02-05,71,LOW_Q25,CASH,PASSIVE,PASSIVE,False,8,3,训练或确认没有支持分界规则，采用无因子规则
2025-03-03,2023-03-02,2024-08-26,2024-08-27,2025-03-03,72,LOW_Q25,CASH,PASSIVE,PASSIVE,False,8,3,训练或确认没有支持分界规则，采用无因子规则
2025-04-01,2023-03-31,2024-09-26,2024-09-27,2025-04-01,72,CASH,CASH,CASH,CASH,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2025-05-06,2023-05-05,2024-11-01,2024-11-04,2025-05-06,71,CASH,CASH,CASH,CASH,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2025-06-03,2023-06-01,2024-11-28,2024-11-29,2025-06-03,71,LOW_Q75,CASH,CASH,CASH,False,8,3,训练或确认没有支持分界规则，采用无因子规则
2025-07-01,2023-07-03,2024-12-26,2024-12-27,2025-07-01,71,CASH,CASH,CASH,CASH,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2025-08-01,2023-08-03,2025-02-06,2025-02-07,2025-08-01,72,CASH,CASH,PASSIVE,PASSIVE,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2025-09-01,2023-09-01,2025-03-07,2025-03-10,2025-09-01,72,CASH,CASH,PASSIVE,PASSIVE,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2025-10-09,2023-10-11,2025-04-09,2025-04-10,2025-10-09,72,CASH,CASH,PASSIVE,PASSIVE,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2025-11-03,2023-11-03,2025-05-07,2025-05-08,2025-11-03,72,LOW_Q75,CASH,PASSIVE,PASSIVE,False,8,3,训练或确认没有支持分界规则，采用无因子规则
2025-12-01,2023-12-01,2025-06-05,2025-06-06,2025-12-01,72,LOW_Q75,CASH,PASSIVE,PASSIVE,False,8,3,训练或确认没有支持分界规则，采用无因子规则
2026-01-05,2024-01-04,2025-07-08,2025-07-09,2026-01-05,72,LOW_Q75,PASSIVE,PASSIVE,PASSIVE,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2026-02-02,2024-02-01,2025-08-05,2025-08-06,2026-02-02,72,PASSIVE,PASSIVE,PASSIVE,PASSIVE,False,8,1,训练或确认没有支持分界规则，采用无因子规则
2026-03-02,2024-02-29,2025-08-25,2025-08-26,2026-03-02,73,HIGH_Q50,PASSIVE,PASSIVE,PASSIVE,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2026-04-01,2024-04-01,2025-09-24,2025-09-25,2026-04-01,72,HIGH_Q50,PASSIVE,PASSIVE,HIGH_Q50,True,8,2,分界规则在随后确认段优于无因子规则
2026-05-06,2024-05-07,2025-10-31,2025-11-03,2026-05-06,73,HIGH_Q50,PASSIVE,PASSIVE,HIGH_Q50,True,8,2,分界规则在随后确认段优于无因子规则
2026-06-01,2024-05-31,2025-11-26,2025-11-27,2026-06-01,74,HIGH_Q50,PASSIVE,PASSIVE,HIGH_Q50,True,8,2,分界规则在随后确认段优于无因子规则
2026-07-01,2024-07-02,2025-12-25,2025-12-26,2026-07-01,73,PASSIVE,PASSIVE,PASSIVE,PASSIVE,False,8,1,训练或确认没有支持分界规则，采用无因子规则
2026-08-03,2024-08-02,2026-01-29,2026-01-30,2026-08-03,73,PASSIVE,PASSIVE,PASSIVE,PASSIVE,False,8,1,训练或确认没有支持分界规则，采用无因子规则
2026-09-01,2024-09-02,2026-03-09,2026-03-10,2026-09-01,73,PASSIVE,PASSIVE,PASSIVE,PASSIVE,False,8,1,训练或确认没有支持分界规则，采用无因子规则
