cost,model,signal,name,assumption,reused,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target
STRESS,S1_TREND_REBOUND__TRIGGER,S1_TREND_REBOUND,趋势突破与震荡反弹切换,TRIGGER,False,0.15902174240000325,0.022514976565591583,0.027748235088661873,0.10502826294745368,0.26419779124162507,-0.26060591624883384,1604,0.2317100258638358,108,9833.251520000002,27497.500000000044,False,3.632294465205632e-11,-0.013569967948151063,False
STRESS,S1_TREND_REBOUND__DAY_LOW,S1_TREND_REBOUND,趋势突破与震荡反弹切换,DAY_LOW,False,0.12226737040000143,0.01755566250567042,0.023165180065472565,0.10747410837671105,0.2155419608997874,-0.2743773089157185,1604,0.23166904094399537,108,9683.925920000001,27030.800000000047,False,3.632294465205632e-11,-0.018529282008072228,False
STRESS,S1_TREND_REBOUND__CLOSE_NEXT_OPEN,S1_TREND_REBOUND,趋势突破与震荡反弹切换,CLOSE_NEXT_OPEN,True,0.26155696080000185,0.03567645456455206,0.04088555401048567,0.10822206191252165,0.3777931531514747,-0.1972793291889378,1604,0.23666456310844947,106,10110.40784,28249.50000000005,False,4.058620106661692e-11,-0.00040848994919058523,False
STRESS,R2_Z_CONFIRM__TRIGGER,R2_Z_CONFIRM,偏离均值后首日回升,TRIGGER,False,0.029200938399999522,0.0043519714914048305,0.006523272725601006,0.06605520736072958,0.09875485955221072,-0.24191255025265196,1604,0.13028335852857217,52,4414.11232,12081.700000000073,False,3.041122909053229e-11,-0.03173297302233782,False
STRESS,R2_Z_CONFIRM__DAY_LOW,R2_Z_CONFIRM,偏离均值后首日回升,DAY_LOW,False,0.010127083600000125,0.001521373001259099,0.0038030891713531274,0.06752517658450977,0.05632105480825286,-0.25592308740166014,1604,0.13026813113365523,52,4364.88328,11897.700000000077,False,3.183231456205249e-11,-0.03456357151248355,False
STRESS,R2_Z_CONFIRM__CLOSE_NEXT_OPEN,R2_Z_CONFIRM,偏离均值后首日回升,CLOSE_NEXT_OPEN,True,0.1276542904000001,0.018291073337305782,0.020548926908292454,0.06965614253699935,0.2950052380143998,-0.1693117977204964,1604,0.13399032179493472,50,4440.04192,12120.90000000008,False,3.041122909053229e-11,-0.017793871176436864,False
STRESS,D60_INTRA__TRIGGER,D60_INTRA,六十日日内强于隔夜,TRIGGER,False,0.47379192640000445,0.06026015334988573,0.06697741787153058,0.13036277829947232,0.5137771589806758,-0.1791163449214948,1604,0.45199548735911066,36,3528.91472,9706.000000000056,False,6.30961949354969e-11,0.024175208836143082,False
STRESS,D60_INTRA__DAY_LOW,D60_INTRA,六十日日内强于隔夜,DAY_LOW,False,0.3672572648000017,0.04832539994617437,0.05609259623257191,0.13350464010304727,0.42015465671662133,-0.2049910864125044,1604,0.45196155488292306,36,3424.9470400000005,9441.999999999993,False,5.911715561524034e-11,0.012240455432431727,False
STRESS,D60_INTRA__CLOSE_NEXT_OPEN,D60_INTRA,六十日日内强于隔夜,CLOSE_NEXT_OPEN,True,0.38531544719999883,0.05040274439009225,0.05793014045341707,0.13250975343169305,0.43717642628683373,-0.2266211253845608,1604,0.45699346185317385,36,3416.2105600000004,9416.300000000003,False,5.877609510207549e-11,0.014317799876349603,False
STRESS,BUY_HOLD,BUY_HOLD,买入持有,BUY_HOLD,True,0.26485864240000195,0.036084944513742646,0.05169164368473765,0.18016774072774588,0.28690843031022767,-0.4097147841252319,1604,0.9532622781788082,2,171.47152,483.99999999998965,False,6.184563972055912e-11,0.0,False
