cost,model,signal,name,assumption,reused,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target
STRESS,S1_TREND_REBOUND__TRIGGER,S1_TREND_REBOUND,趋势突破与震荡反弹切换,TRIGGER,False,0.18174937259999865,0.03370825299842659,0.03850140653846221,0.10366436197662711,0.37140446151728596,-0.17429040782630917,1219,0.2291154708156463,74,7156.625480000001,20292.600000000042,False,7.821654435247183e-11,-0.004992019087260081,False
STRESS,S1_TREND_REBOUND__DAY_LOW,S1_TREND_REBOUND,趋势突破与震荡反弹切换,DAY_LOW,False,0.12905507579999706,0.024389657999584195,0.030182268173259058,0.11021139539452315,0.2738579623750861,-0.18725863477467494,1219,0.22994096840967215,74,6971.48484,19779.20000000001,False,6.065192792448215e-11,-0.014310614086102479,False
STRESS,S1_TREND_REBOUND__CLOSE_NEXT_OPEN,S1_TREND_REBOUND,趋势突破与震荡反弹切换,CLOSE_NEXT_OPEN,False,0.09831131319999897,0.018790661342569844,0.0250282114917975,0.11311756924283305,0.22125839212535278,-0.1953409312425453,1219,0.2372194528598872,74,6756.03736,19103.500000000047,False,3.7488234738702886e-11,-0.01990961074311683,False
STRESS,R2_Z_CONFIRM__TRIGGER,R2_Z_CONFIRM,偏离均值后首日回升,TRIGGER,False,-0.010608130200000034,-0.0021149719382358018,0.00026636155285053576,0.06907271325738765,0.0038562485862975297,-0.11694700604290839,1219,0.07840362992699806,28,2308.7260400000005,6632.599999999987,False,3.205968823749572e-11,-0.040815244023922476,False
STRESS,R2_Z_CONFIRM__DAY_LOW,R2_Z_CONFIRM,偏离均值后首日回升,DAY_LOW,False,-0.05492122660000059,-0.01115134712905441,-0.0080982135238951,0.07848817646348918,-0.1031774961374239,-0.13407038940987467,1219,0.07922722873017242,28,2246.1453200000005,6462.3999999999605,False,3.444711182964966e-11,-0.049851619214741086,False
STRESS,R2_Z_CONFIRM__CLOSE_NEXT_OPEN,R2_Z_CONFIRM,偏离均值后首日回升,CLOSE_NEXT_OPEN,False,-0.0770807381999995,-0.015798138817055007,-0.012750204491217247,0.07917265364512976,-0.16104303574775486,-0.12849375388038783,1219,0.07842137788356975,26,2036.6476400000001,5826.999999999994,False,2.7199575924896635e-11,-0.054498410902741684,False
STRESS,D60_INTRA__TRIGGER,D60_INTRA,六十日日内强于隔夜,TRIGGER,False,0.23271878200000085,0.04241014880416796,0.05230290158712841,0.1463231184915994,0.3574479694412143,-0.22638541408410956,1219,0.5329552157938152,42,3566.9436,10181.100000000039,False,2.8194335754960775e-11,0.003709876718481289,False
STRESS,D60_INTRA__DAY_LOW,D60_INTRA,六十日日内强于隔夜,DAY_LOW,False,0.05582904339999903,0.01084340516535337,0.023102140057001574,0.15597434220091635,0.14811500232033578,-0.31051360595469024,1219,0.5329953710726282,42,3211.5913200000005,9109.799999999956,False,2.9046987037872896e-11,-0.027856866920333304,False
STRESS,D60_INTRA__CLOSE_NEXT_OPEN,D60_INTRA,六十日日内强于隔夜,CLOSE_NEXT_OPEN,False,0.36134381880000144,0.06315294160890451,0.07384538805587401,0.15803210868865677,0.46728091315517883,-0.2089991592990782,1219,0.5522534552348668,34,3352.43624,9629.399999999976,False,1.0231815394945443e-10,0.02445266952321784,False
STRESS,BUY_HOLD,BUY_HOLD,买入持有,BUY_HOLD,True,0.21077794240000033,0.038700272085686674,0.06989107720459181,0.2516713023637165,0.2777077741807245,-0.45042134867956046,1219,0.9631159747963955,2,170.01152000000002,498.5999999999943,False,5.4569682106375694e-11,0.0,False
