period,origin,status,reference_budget131,independent_objective_regret,training_terminal_open_excluded,source_cost
evaluation,2021-12-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2022-01-04,BUDGET_OPTIMIZATION_COMPLETE,0.2276965246143657,-6.526953998976792e-14,True,BASE
evaluation,2022-02-07,BUDGET_OPTIMIZATION_COMPLETE,0.2675986018096663,-6.353110041084492e-13,True,BASE
evaluation,2022-03-01,BUDGET_OPTIMIZATION_COMPLETE,0.3869069351168532,-5.730970033387614e-14,True,BASE
evaluation,2022-04-01,BUDGET_OPTIMIZATION_COMPLETE,0.0857506315910009,-1.8032751398881774e-13,True,BASE
evaluation,2022-05-05,BUDGET_OPTIMIZATION_COMPLETE,0.0857506315910009,0.0,True,BASE
evaluation,2022-06-01,BUDGET_OPTIMIZATION_COMPLETE,0.3163397119244214,-4.9668277303516195e-14,True,BASE
evaluation,2022-07-01,BUDGET_OPTIMIZATION_COMPLETE,0.2684554451811969,-6.46047153491161e-13,True,BASE
evaluation,2022-08-01,BUDGET_OPTIMIZATION_COMPLETE,0.6185748419229224,-1.3259532632026866e-12,True,BASE
evaluation,2022-09-01,BUDGET_OPTIMIZATION_COMPLETE,0.6185748419229224,0.0,True,BASE
evaluation,2022-10-10,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2022-11-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2022-12-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2023-01-03,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2023-02-01,BUDGET_OPTIMIZATION_COMPLETE,0.9561042524005487,0.0,True,BASE
evaluation,2023-03-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2023-04-03,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2023-05-04,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2023-06-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2023-07-03,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2023-08-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2023-09-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2023-10-09,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2023-11-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2023-12-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2024-01-02,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2024-02-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2024-03-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2024-04-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2024-05-06,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2024-06-03,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2024-07-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2024-08-01,BUDGET_OPTIMIZATION_COMPLETE,1.0,0.0,True,BASE
evaluation,2024-09-02,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2024-10-08,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2024-11-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2024-12-02,BUDGET_OPTIMIZATION_COMPLETE,1.0,0.0,True,BASE
evaluation,2025-01-02,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2025-02-05,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2025-03-03,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2025-04-01,BUDGET_OPTIMIZATION_COMPLETE,1.0,0.0,True,BASE
evaluation,2025-05-06,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2025-06-03,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2025-07-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2025-08-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2025-09-01,BUDGET_OPTIMIZATION_COMPLETE,0.618421521056292,-8.218035627005627e-14,True,BASE
evaluation,2025-10-09,BUDGET_OPTIMIZATION_COMPLETE,0.618421521056292,0.0,True,BASE
evaluation,2025-11-03,BUDGET_OPTIMIZATION_COMPLETE,0.618421521056292,0.0,True,BASE
evaluation,2025-12-01,BUDGET_OPTIMIZATION_COMPLETE,0.618421521056292,0.0,True,BASE
evaluation,2026-01-05,BUDGET_OPTIMIZATION_COMPLETE,0.6226769806978016,-1.722811888808795e-12,True,BASE
evaluation,2026-02-02,BUDGET_OPTIMIZATION_COMPLETE,0.5022183753478255,-3.0123803841999863e-13,True,BASE
evaluation,2026-03-02,BUDGET_OPTIMIZATION_COMPLETE,0.5022183753478255,0.0,True,BASE
evaluation,2026-04-01,BUDGET_OPTIMIZATION_COMPLETE,0.5022183753478255,0.0,True,BASE
evaluation,2026-05-06,BUDGET_OPTIMIZATION_COMPLETE,0.2837738200772179,-2.4931228956304174e-15,True,BASE
evaluation,2026-06-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2026-07-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2026-08-03,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2014-12-31,WARMUP_USE143,0.0,,True,BASE
earlier_diagnostic,2015-01-05,WARMUP_USE143,0.0,,True,BASE
earlier_diagnostic,2015-02-02,WARMUP_USE143,0.0,,True,BASE
earlier_diagnostic,2015-03-02,WARMUP_USE143,0.0,,True,BASE
earlier_diagnostic,2015-04-01,WARMUP_USE143,0.0,,True,BASE
earlier_diagnostic,2015-05-04,WARMUP_USE143,0.0,,True,BASE
earlier_diagnostic,2015-06-01,WARMUP_USE143,0.0,,True,BASE
earlier_diagnostic,2015-07-01,WARMUP_USE143,0.0,,True,BASE
earlier_diagnostic,2015-08-03,WARMUP_USE143,0.0,,True,BASE
earlier_diagnostic,2015-09-01,WARMUP_USE143,0.0,,True,BASE
earlier_diagnostic,2015-10-08,WARMUP_USE143,0.0,,True,BASE
earlier_diagnostic,2015-11-02,WARMUP_USE143,0.0,,True,BASE
earlier_diagnostic,2015-12-01,WARMUP_USE143,0.0,,True,BASE
earlier_diagnostic,2016-01-04,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2016-02-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2016-03-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2016-04-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2016-05-03,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2016-06-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2016-07-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2016-08-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2016-09-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2016-10-10,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2016-11-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2016-12-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2017-01-03,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2017-02-03,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2017-03-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2017-04-05,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2017-05-02,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2017-06-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2017-07-03,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2017-08-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2017-09-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2017-10-09,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2017-11-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2017-12-01,BUDGET_OPTIMIZATION_COMPLETE,1.0,0.0,True,BASE
earlier_diagnostic,2018-01-02,BUDGET_OPTIMIZATION_COMPLETE,1.0,0.0,True,BASE
earlier_diagnostic,2018-02-01,BUDGET_OPTIMIZATION_COMPLETE,1.0,0.0,True,BASE
earlier_diagnostic,2018-03-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2018-04-02,BUDGET_OPTIMIZATION_COMPLETE,1.0,0.0,True,BASE
earlier_diagnostic,2018-05-02,BUDGET_OPTIMIZATION_COMPLETE,1.0,0.0,True,BASE
earlier_diagnostic,2018-06-01,BUDGET_OPTIMIZATION_COMPLETE,1.0,0.0,True,BASE
earlier_diagnostic,2018-07-02,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2018-08-01,BUDGET_OPTIMIZATION_COMPLETE,1.0,0.0,True,BASE
earlier_diagnostic,2018-09-03,BUDGET_OPTIMIZATION_COMPLETE,1.0,0.0,True,BASE
earlier_diagnostic,2018-10-08,BUDGET_OPTIMIZATION_COMPLETE,1.0,0.0,True,BASE
earlier_diagnostic,2018-11-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2018-12-03,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2019-01-02,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2019-02-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2019-03-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2019-04-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2019-05-06,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2019-06-03,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2019-07-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2019-08-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2019-09-02,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2019-10-08,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2019-11-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
earlier_diagnostic,2019-12-02,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
