period,origin,origin_index,decision_time,training_source_cost,available_calendar_rows,previous_valid_131_budget,training_start,training_end,status,reference_budget131,complete_pair_rows,previous_worst_block_growth,chosen_worst_block_growth,chosen_block_growths,numerical_candidate_weight
evaluation,2022-05-05,2415,2022-05-05 15:05:00,BASE,564,0.08575063159100091,2021-05-06,2022-05-05,BUDGET_OPTIMIZATION_COMPLETE,0.08575063159100091,242.0,0.0,0.0,"[0.00035303769793982296, 0.00011957569290394695, 0.0]",0.22222222222222227
evaluation,2022-06-01,2434,2022-06-01 15:05:00,BASE,583,0.08575063159100091,2021-06-02,2022-06-01,BUDGET_OPTIMIZATION_COMPLETE,0.31633971192442145,242.0,6.434674087180426e-05,7.945227885660194e-05,"[7.945227885660457e-05, 0.00022183126498956802, 7.945227885660194e-05]",0.31633971192442145
evaluation,2022-07-01,2455,2022-07-01 15:05:00,BASE,604,0.31633971192442145,2021-07-02,2022-07-01,BUDGET_OPTIMIZATION_COMPLETE,0.2684554451811969,242.0,4.3815963559942386e-05,0.00010500722645464679,"[0.00010500722645464814, 0.00023118499836284316, 0.00010500722645464679]",0.2684554451811969
evaluation,2022-08-01,2476,2022-08-01 15:05:00,BASE,625,0.2684554451811969,2021-08-02,2022-08-01,BUDGET_OPTIMIZATION_COMPLETE,0.6185748419229224,242.0,0.00010500722645464679,0.00018474730131730235,"[0.00018474730131730417, 0.00038098191701176125, 0.00018474730131730235]",0.6185748419229224
evaluation,2022-09-01,2499,2022-09-01 15:05:00,BASE,648,0.6185748419229224,2021-09-02,2022-09-01,BUDGET_OPTIMIZATION_COMPLETE,0.6185748419229224,242.0,0.0,0.0,"[0.0003549163742430729, 0.0, 6.63816795487822e-05]",0.5
evaluation,2022-10-10,2520,2022-10-10 15:05:00,BASE,669,0.6185748419229224,2021-10-12,2022-10-10,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-9.312299198681223e-05,-3.770017569628954e-05,"[8.139008732536552e-05, 4.3087130307815905e-05, -3.770017569628954e-05]",0.0
evaluation,2022-11-01,2536,2022-11-01 15:05:00,BASE,685,0.0,2021-11-03,2022-11-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-3.770017569628954e-05,-3.770017569628954e-05,"[9.464571826190057e-05, 4.30871303078159e-05, -3.770017569628954e-05]",0.0
evaluation,2022-12-01,2558,2022-12-01 15:05:00,BASE,707,0.0,2021-12-03,2022-12-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-3.770017569628954e-05,-3.770017569628954e-05,"[8.7118431088777e-05, 4.3087130307815905e-05, -3.770017569628954e-05]",0.0
evaluation,2023-01-03,2580,2023-01-03 15:05:00,BASE,729,0.0,2022-01-05,2023-01-03,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,0.0,0.0,"[0.0, 5.852388879381791e-06, 0.0]",0.5
evaluation,2023-02-01,2596,2023-02-01 15:05:00,BASE,745,0.0,2022-01-27,2023-02-01,BUDGET_OPTIMIZATION_COMPLETE,0.9561042524005487,242.0,-5.246788696830628e-05,0.0,"[0.00013442779793612826, 1.35112476376722e-06, 0.0]",0.9561042524005487
evaluation,2023-03-01,2616,2023-03-01 15:05:00,BASE,765,0.9561042524005487,2022-03-03,2023-03-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-0.00012227995894201088,-3.723474142843412e-05,"[4.30871303078159e-05, -3.723474142843412e-05, 0.0]",0.0
evaluation,2023-04-03,2639,2023-04-03 15:05:00,BASE,788,0.0,2022-04-07,2023-04-03,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-3.723474142843412e-05,-3.723474142843412e-05,"[4.3087130307815905e-05, -3.723474142843412e-05, 0.0]",0.0
evaluation,2023-05-04,2658,2023-05-04 15:05:00,BASE,807,0.0,2022-05-09,2023-05-04,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-3.5868510713746155e-06,-3.5868510713746155e-06,"[9.439239950756403e-06, -3.5868510713746155e-06, 0.0]",0.0
evaluation,2023-06-01,2678,2023-06-01 15:05:00,BASE,827,0.0,2022-06-07,2023-06-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-5.49927753267542e-05,-5.49927753267542e-05,"[-5.49927753267542e-05, 0.0, 0.0]",0.0
evaluation,2023-07-03,2698,2023-07-03 15:05:00,BASE,847,0.0,2022-07-05,2023-07-03,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-3.723474142843412e-05,-3.723474142843412e-05,"[-3.723474142843412e-05, 0.0, 0.0]",0.0
evaluation,2023-08-01,2719,2023-08-01 15:05:00,BASE,868,0.0,2022-08-03,2023-08-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-3.723474142843412e-05,-3.723474142843412e-05,"[-3.723474142843412e-05, 0.0, 0.0]",0.0
evaluation,2023-09-01,2742,2023-09-01 15:05:00,BASE,891,0.0,2022-09-05,2023-09-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.5
evaluation,2023-10-09,2762,2023-10-09 15:05:00,BASE,911,0.0,2022-10-11,2023-10-09,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.5
evaluation,2023-11-01,2779,2023-11-01 15:05:00,BASE,928,0.0,2022-11-03,2023-11-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.5
evaluation,2023-12-01,2801,2023-12-01 15:05:00,BASE,950,0.0,2022-12-05,2023-12-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.5
evaluation,2024-01-02,2822,2024-01-02 15:05:00,BASE,971,0.0,2023-01-04,2024-01-02,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.5
evaluation,2024-02-01,2844,2024-02-01 15:05:00,BASE,993,0.0,2023-02-10,2024-02-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.5
evaluation,2024-03-01,2859,2024-03-01 15:05:00,BASE,1008,0.0,2023-03-03,2024-03-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,0.0,0.0,"[0.0, 0.0, 0.00011277751727048536]",0.5
evaluation,2024-04-01,2880,2024-04-01 15:05:00,BASE,1029,0.0,2023-04-03,2024-04-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,0.0,0.0,"[0.0, 0.0, 0.00011277751727048536]",0.5
evaluation,2024-05-06,2900,2024-05-06 15:05:00,BASE,1049,0.0,2023-05-05,2024-05-06,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,0.0,0.0,"[0.0, 0.0, 0.00011277751727048536]",0.5
evaluation,2024-06-03,2920,2024-06-03 15:05:00,BASE,1069,0.0,2023-06-02,2024-06-03,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,0.0,0.0,"[0.0, 0.0, 0.00011277751727048536]",0.5
evaluation,2024-07-01,2939,2024-07-01 15:05:00,BASE,1088,0.0,2023-07-03,2024-07-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-0.00011825635585423414,-0.00011825635585423414,"[0.0, 0.00011138520224245468, -0.00011825635585423414]",0.0
evaluation,2024-08-01,2962,2024-08-01 15:05:00,BASE,1111,0.0,2023-08-03,2024-08-01,BUDGET_OPTIMIZATION_COMPLETE,1.0,242.0,-6.308290943168899e-05,-4.7244495812030244e-05,"[0.0, 0.0001678271565061255, -4.7244495812030244e-05]",1.0
evaluation,2024-09-02,2984,2024-09-02 15:05:00,BASE,1133,1.0,2023-09-04,2024-09-02,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-0.00041912271350145444,-0.00015393786591219008,"[0.0, 0.00011138520224245468, -0.00015393786591219008]",0.0
evaluation,2024-10-08,3003,2024-10-08 15:05:00,BASE,1152,0.0,2023-10-09,2024-10-08,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,0.0,0.0,"[0.0, 0.00011138520224245468, 0.0003360121469015734]",0.5
evaluation,2024-11-01,3021,2024-11-01 15:05:00,BASE,1170,0.0,2023-11-02,2024-11-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-0.00013291591950424341,-0.00013291591950424341,"[0.00011138520224245468, -0.00013291591950424341, 0.00047058951539961984]",0.0
evaluation,2024-12-02,3042,2024-12-02 15:05:00,BASE,1191,0.0,2023-12-01,2024-12-02,BUDGET_OPTIMIZATION_COMPLETE,1.0,242.0,-6.230410808068049e-05,-4.66612304316348e-05,"[0.00016782715650612547, -4.66612304316348e-05, 0.00013151720013605833]",1.0
evaluation,2025-01-02,3064,2025-01-02 15:05:00,BASE,1213,1.0,2024-01-03,2025-01-02,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-0.0004139483590137822,-0.00015203739843179268,"[0.00011138520224245468, -0.00015203739843179268, 0.0004899500128137635]",0.0
evaluation,2025-02-05,3082,2025-02-05 15:05:00,BASE,1231,0.0,2024-01-29,2025-02-05,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,0.0,0.0,"[0.00011138520224245468, 0.0003318638487916774, 0.0]",0.5
evaluation,2025-03-03,3100,2025-03-03 15:05:00,BASE,1249,0.0,2024-03-01,2025-03-03,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-0.00011679640084368805,-0.00011679640084368805,"[-0.00011679640084368805, 0.0004486602496353654, 0.0]",0.0
evaluation,2025-04-01,3121,2025-04-01 15:05:00,BASE,1270,0.0,2024-04-01,2025-04-01,BUDGET_OPTIMIZATION_COMPLETE,1.0,242.0,-6.230410808068048e-05,-4.666123043163478e-05,"[-4.666123043163478e-05, 0.0001298935309985761, 0.0]",1.0
evaluation,2025-05-06,3142,2025-05-06 15:05:00,BASE,1291,1.0,2024-05-07,2025-05-06,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-0.0003251819585322453,-0.00012285423959790528,"[-0.00012285423959790528, 0.00045471808838958266, 0.0005003513470118344]",0.0
evaluation,2025-06-03,3161,2025-06-03 15:05:00,BASE,1310,0.0,2024-06-03,2025-06-03,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-7.19918674856233e-05,-7.19918674856233e-05,"[-7.19918674856233e-05, 0.0004038557162773007, 0.0005018072314209174]",0.0
evaluation,2025-07-01,3181,2025-07-01 15:05:00,BASE,1330,0.0,2024-07-02,2025-07-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,0.0,0.0,"[0.0004486602496353654, 0.0, 0.000522154257955122]",0.5
evaluation,2025-08-01,3204,2025-08-01 15:05:00,BASE,1353,0.0,2024-08-02,2025-08-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,0.0,0.0,"[0.0003941679568723579, 0.0, 0.000522154257955122]",0.5
evaluation,2025-09-01,3225,2025-09-01 15:05:00,BASE,1374,0.0,2024-09-02,2025-09-01,BUDGET_OPTIMIZATION_COMPLETE,0.618421521056292,242.0,2.180291094328752e-05,0.000261408324410066,"[0.00032988100522149123, 0.0002614083244100661, 0.000261408324410066]",0.618421521056292
evaluation,2025-10-09,3247,2025-10-09 15:05:00,BASE,1396,0.618421521056292,2024-10-11,2025-10-09,BUDGET_OPTIMIZATION_COMPLETE,0.618421521056292,242.0,0.0,0.0,"[0.0, 0.00037117859453544887, 0.00015026592590811595]",0.5
evaluation,2025-11-03,3264,2025-11-03 15:05:00,BASE,1413,0.618421521056292,2024-11-05,2025-11-03,BUDGET_OPTIMIZATION_COMPLETE,0.618421521056292,242.0,0.0,0.0,"[0.0, 0.0005195893855558102, 0.0]",0.5
evaluation,2025-12-01,3284,2025-12-01 15:05:00,BASE,1433,0.618421521056292,2024-12-03,2025-12-01,BUDGET_OPTIMIZATION_COMPLETE,0.618421521056292,242.0,0.0,0.0,"[0.0, 0.0005195893855558102, 0.0]",0.5
evaluation,2026-01-05,3307,2026-01-05 15:05:00,BASE,1456,0.618421521056292,2025-01-06,2026-01-05,BUDGET_OPTIMIZATION_COMPLETE,0.6226769806978016,242.0,0.00025818106114574413,0.00025980148277137706,"[0.0002598014827713783, 0.00025980148277137706, 0.0003484615859784235]",0.6226769806978016
evaluation,2026-02-02,3327,2026-02-02 15:05:00,BASE,1476,0.6226769806978016,2025-02-11,2026-02-02,BUDGET_OPTIMIZATION_COMPLETE,0.5022183753478255,242.0,0.00015237454129911953,0.00017545617973750195,"[0.0003436930282658198, 0.00017545617973750209, 0.00017545617973750195]",0.5022183753478255
evaluation,2026-03-02,3341,2026-03-02 15:05:00,BASE,1490,0.5022183753478255,2025-03-03,2026-03-02,BUDGET_OPTIMIZATION_COMPLETE,0.5022183753478255,242.0,0.0,0.0,"[0.000519149208003322, 0.0, 0.0002531649142254783]",0.5
evaluation,2026-04-01,3363,2026-04-01 15:05:00,BASE,1512,0.5022183753478255,2025-04-02,2026-04-01,BUDGET_OPTIMIZATION_COMPLETE,0.5022183753478255,242.0,0.0,0.0,"[0.000519149208003322, 0.0, 0.0002531649142254783]",0.5
evaluation,2026-05-06,3384,2026-05-06 15:05:00,BASE,1533,0.5022183753478255,2025-05-07,2026-05-06,BUDGET_OPTIMIZATION_COMPLETE,0.28377382007721796,242.0,0.00010931834537867965,0.00013465256095653242,"[0.000134652560956533, 0.00016297604253234698, 0.00013465256095653242]",0.28377382007721796
evaluation,2026-06-01,3402,2026-06-01 15:05:00,BASE,1551,0.28377382007721796,2025-06-03,2026-06-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-7.857360745392377e-05,-7.695148134447028e-05,"[2.1533739203246938e-05, 0.0003727342129830407, -7.695148134447028e-05]",0.0
evaluation,2026-07-01,3423,2026-07-01 15:05:00,BASE,1572,0.0,2025-07-02,2026-07-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,0.0,0.0,"[0.0, 0.0003045748663854784, 0.0001205273318932597]",0.5
evaluation,2026-08-03,3446,2026-08-03 15:05:00,BASE,1595,0.0,2025-08-04,2026-08-03,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,0.0,0.0,"[0.0, 0.00030457486638547844, 2.939408020061246e-05]",0.5
earlier_diagnostic,2014-12-31,632,2014-12-31 15:05:00,BASE,0,0.0,,,WARMUP_USE143,0.0,,,,,
earlier_diagnostic,2015-01-05,633,2015-01-05 15:05:00,BASE,1,0.0,,,WARMUP_USE143,0.0,,,,,
earlier_diagnostic,2015-02-02,653,2015-02-02 15:05:00,BASE,21,0.0,,,WARMUP_USE143,0.0,,,,,
earlier_diagnostic,2015-03-02,668,2015-03-02 15:05:00,BASE,36,0.0,,,WARMUP_USE143,0.0,,,,,
earlier_diagnostic,2015-04-01,690,2015-04-01 15:05:00,BASE,58,0.0,,,WARMUP_USE143,0.0,,,,,
earlier_diagnostic,2015-05-04,711,2015-05-04 15:05:00,BASE,79,0.0,,,WARMUP_USE143,0.0,,,,,
earlier_diagnostic,2015-06-01,731,2015-06-01 15:05:00,BASE,99,0.0,,,WARMUP_USE143,0.0,,,,,
earlier_diagnostic,2015-07-01,752,2015-07-01 15:05:00,BASE,120,0.0,,,WARMUP_USE143,0.0,,,,,
earlier_diagnostic,2015-08-03,775,2015-08-03 15:05:00,BASE,143,0.0,,,WARMUP_USE143,0.0,,,,,
earlier_diagnostic,2015-09-01,796,2015-09-01 15:05:00,BASE,164,0.0,,,WARMUP_USE143,0.0,,,,,
earlier_diagnostic,2015-10-08,816,2015-10-08 15:05:00,BASE,184,0.0,,,WARMUP_USE143,0.0,,,,,
earlier_diagnostic,2015-11-02,833,2015-11-02 15:05:00,BASE,201,0.0,,,WARMUP_USE143,0.0,,,,,
earlier_diagnostic,2015-12-01,854,2015-12-01 15:05:00,BASE,222,0.0,,,WARMUP_USE143,0.0,,,,,
earlier_diagnostic,2016-01-04,877,2016-01-04 15:05:00,BASE,245,0.0,2015-01-08,2016-01-04,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-0.0003421419003902311,-0.0003421419003902311,"[0.0015753720393843255, -0.0003421419003902311, 0.0004986956141789588]",0.5
earlier_diagnostic,2016-02-01,897,2016-02-01 15:05:00,BASE,265,0.0,2015-02-05,2016-02-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-0.00026434878312268895,-0.00026434878312268895,"[0.001981987354843966, -0.00026434878312268895, 0.0003433887489363247]",0.6666666666666667
earlier_diagnostic,2016-03-01,913,2016-03-01 15:05:00,BASE,281,0.0,2015-03-06,2016-03-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,0.00019634879583298867,0.00019634879583298867,"[0.0014961097899814351, 0.0002986141415762668, 0.00019634879583298867]",0.5
earlier_diagnostic,2016-04-01,936,2016-04-01 15:05:00,BASE,304,0.0,2015-04-09,2016-04-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-7.697843898307879e-05,-7.697843898307879e-05,"[0.0002231607563545362, 0.000568566966085963, -7.697843898307879e-05]",0.5
earlier_diagnostic,2016-05-03,956,2016-05-03 15:05:00,BASE,324,0.0,2015-05-08,2016-05-03,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-8.452964862988979e-05,-8.452964862988979e-05,"[-8.452964862988979e-05, 0.000492538878201441, 0.0001682255399823263]",0.6666666666666667
earlier_diagnostic,2016-06-01,977,2016-06-01 15:05:00,BASE,345,0.0,2015-06-08,2016-06-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-0.00023103987113622343,-0.00023103987113622343,"[-0.00023103987113622343, 0.00038124470104638293, 1.0296057794118582e-05]",0.6666666666666667
earlier_diagnostic,2016-07-01,997,2016-07-01 15:05:00,BASE,365,0.0,2015-07-07,2016-07-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-6.196793690864326e-05,-6.196793690864326e-05,"[0.0005356289529869906, -4.309007478554975e-05, -6.196793690864326e-05]",0.37557257202698896
earlier_diagnostic,2016-08-01,1018,2016-08-01 15:05:00,BASE,386,0.0,2015-08-05,2016-08-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-6.172707215528249e-06,-6.172707215528249e-06,"[0.000498711585416969, -6.172707215528249e-06, 0.00019103388629939725]",0.5
earlier_diagnostic,2016-09-01,1041,2016-09-01 15:05:00,BASE,409,0.0,2015-09-09,2016-09-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-0.0002564549964871788,-0.0002564549964871788,"[0.000492538878201441, -0.0002564549964871788, 0.00045069457024266566]",0.5
earlier_diagnostic,2016-10-10,1061,2016-10-10 15:05:00,BASE,429,0.0,2015-10-14,2016-10-10,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,5.375797515563298e-05,5.375797515563298e-05,"[0.00022362629214548753, 5.375797515563298e-05, 0.00013660393645431883]",0.5
earlier_diagnostic,2016-11-01,1077,2016-11-01 15:05:00,BASE,445,0.0,2015-11-05,2016-11-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-6.120290065051176e-05,-6.120290065051176e-05,"[1.4276456487802514e-05, -6.120290065051176e-05, 0.00025300182320804046]",0.5
earlier_diagnostic,2016-12-01,1099,2016-12-01 15:05:00,BASE,467,0.0,2015-12-07,2016-12-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-6.172707215528249e-06,-6.172707215528249e-06,"[-6.172707215528249e-06, 0.00018867544325866395, 0.0]",0.5
earlier_diagnostic,2017-01-03,1121,2017-01-03 15:05:00,BASE,489,0.0,2016-01-07,2017-01-03,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-0.00024811902296544057,-0.00024811902296544057,"[-0.00024811902296544057, 0.0004367944662241045, 0.0]",0.5
earlier_diagnostic,2017-02-03,1139,2017-02-03 15:05:00,BASE,507,0.0,2016-02-02,2017-02-03,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,0.0,0.0,"[1.691685652426291e-05, 0.00017175858673440102, 0.0]",0.5
earlier_diagnostic,2017-03-01,1157,2017-03-01 15:05:00,BASE,525,0.0,2016-03-04,2017-03-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-5.473821689630489e-05,-5.473821689630489e-05,"[-5.473821689630489e-05, 0.0002434136601549687, 0.0]",0.34569422563886715
earlier_diagnostic,2017-04-05,1180,2017-04-05 15:05:00,BASE,548,0.0,2016-04-07,2017-04-05,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,0.0,0.0,"[0.00018867544325866395, 0.0, 0.0]",0.5
earlier_diagnostic,2017-05-02,1198,2017-05-02 15:05:00,BASE,566,0.0,2016-05-04,2017-05-02,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,0.0,0.0,"[2.2526761794637996e-05, 0.0, 0.0]",0.5
earlier_diagnostic,2017-06-01,1218,2017-06-01 15:05:00,BASE,586,0.0,2016-06-01,2017-06-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,0.0,0.0,"[0.00014852572305449718, 0.0, 0.00012938143926469978]",0.5
