event_id,event_origin_start,event_origin_end,event_entry_start,event_entry_end,event_horizon_end,first_breach_date,positive_origin_count,positive_training_weight_sum,split_group_id,bootstrap_event_block_id,calendar_year_block_id
BAD10_V2_EVENT_0013,2018-04-10,2018-04-12,2018-04-11,2018-04-13,2018-04-26,2018-04-17,3,1.0,BAD10_V2_EVENT_0013,BAD10_V2_EVENT_0013,CALENDAR_YEAR_2018
BAD10_V2_EVENT_0014,2018-05-16,2018-06-29,2018-05-17,2018-07-02,2018-07-13,2018-05-30,21,1.0,BAD10_V2_EVENT_0014,BAD10_V2_EVENT_0014,CALENDAR_YEAR_2018
BAD10_V2_EVENT_0015,2018-07-20,2018-09-04,2018-07-23,2018-09-05,2018-09-18,2018-08-02,18,1.0,BAD10_V2_EVENT_0015,BAD10_V2_EVENT_0015,CALENDAR_YEAR_2018
BAD10_V2_EVENT_0016,2018-09-19,2018-10-25,2018-09-20,2018-10-26,2018-11-08,2018-10-11,13,1.0,BAD10_V2_EVENT_0016,BAD10_V2_EVENT_0016,CALENDAR_YEAR_2018
BAD10_V2_EVENT_0017,2018-11-19,2018-11-19,2018-11-20,2018-11-20,2018-12-03,2018-11-23,1,1.0,BAD10_V2_EVENT_0017,BAD10_V2_EVENT_0017,CALENDAR_YEAR_2018
BAD10_V2_EVENT_0018,2018-12-11,2018-12-19,2018-12-12,2018-12-20,2019-01-04,2018-12-20,7,1.0,BAD10_V2_EVENT_0018,BAD10_V2_EVENT_0018,CALENDAR_YEAR_2018
BAD10_V2_EVENT_0019,2019-03-06,2019-03-18,2019-03-07,2019-03-19,2019-04-01,2019-03-08,2,1.0,BAD10_V2_EVENT_0019,BAD10_V2_EVENT_0019,CALENDAR_YEAR_2019
BAD10_V2_EVENT_0020,2019-04-12,2019-04-30,2019-04-15,2019-05-06,2019-05-17,2019-04-25,12,1.0,BAD10_V2_EVENT_0020,BAD10_V2_EVENT_0020,CALENDAR_YEAR_2019
BAD10_V2_EVENT_0021,2019-07-23,2019-07-31,2019-07-24,2019-08-01,2019-08-14,2019-08-05,7,1.0,BAD10_V2_EVENT_0021,BAD10_V2_EVENT_0021,CALENDAR_YEAR_2019
BAD10_V2_EVENT_0022,2020-01-09,2020-01-22,2020-01-10,2020-01-23,2020-02-13,2020-01-23,10,1.0,BAD10_V2_EVENT_0022,BAD10_V2_EVENT_0022,CALENDAR_YEAR_2020
BAD10_V2_EVENT_0023,2020-02-20,2020-03-17,2020-02-21,2020-03-18,2020-03-31,2020-02-28,14,1.0,BAD10_V2_EVENT_0023,BAD10_V2_EVENT_0023,CALENDAR_YEAR_2020
BAD10_V2_EVENT_0024,2020-07-06,2020-07-20,2020-07-07,2020-07-21,2020-08-03,2020-07-16,8,1.0,BAD10_V2_EVENT_0024,BAD10_V2_EVENT_0024,CALENDAR_YEAR_2020
BAD10_V2_EVENT_0025,2020-08-28,2020-09-02,2020-08-31,2020-09-03,2020-09-16,2020-09-07,4,1.0,BAD10_V2_EVENT_0025,BAD10_V2_EVENT_0025,CALENDAR_YEAR_2020
BAD10_V2_EVENT_0026,2021-01-25,2021-01-25,2021-01-26,2021-01-26,2021-02-08,2021-01-29,1,1.0,BAD10_V2_EVENT_0026,BAD10_V2_EVENT_0026,CALENDAR_YEAR_2021
BAD10_V2_EVENT_0027,2021-02-08,2021-03-11,2021-02-09,2021-03-12,2021-03-25,2021-02-22,16,1.0,BAD10_V2_EVENT_0027,BAD10_V2_EVENT_0027,CALENDAR_YEAR_2021
BAD10_V2_EVENT_0028,2021-04-02,2021-04-02,2021-04-06,2021-04-06,2021-04-19,2021-04-12,1,1.0,BAD10_V2_EVENT_0028,BAD10_V2_EVENT_0028,CALENDAR_YEAR_2021
BAD10_V2_EVENT_0029,2021-06-01,2021-06-01,2021-06-02,2021-06-02,2021-06-16,2021-06-16,1,1.0,BAD10_V2_EVENT_0029,BAD10_V2_EVENT_0029,CALENDAR_YEAR_2021
BAD10_V2_EVENT_0030,2021-07-13,2021-07-23,2021-07-14,2021-07-26,2021-08-06,2021-07-26,9,1.0,BAD10_V2_EVENT_0030,BAD10_V2_EVENT_0030,CALENDAR_YEAR_2021
BAD10_V2_EVENT_0031,2021-08-09,2021-08-11,2021-08-10,2021-08-12,2021-08-25,2021-08-20,3,1.0,BAD10_V2_EVENT_0031,BAD10_V2_EVENT_0031,CALENDAR_YEAR_2021
BAD10_V2_EVENT_0032,2021-12-10,2021-12-10,2021-12-13,2021-12-13,2021-12-24,2021-12-20,1,1.0,BAD10_V2_EVENT_0032,BAD10_V2_EVENT_0032,CALENDAR_YEAR_2021
BAD10_V2_EVENT_0033,2021-12-30,2021-12-31,2021-12-31,2022-01-04,2022-01-17,2022-01-14,2,1.0,BAD10_V2_EVENT_0033,BAD10_V2_EVENT_0033,CALENDAR_YEAR_2022
BAD10_V2_EVENT_0034,2022-01-17,2022-01-24,2022-01-18,2022-01-25,2022-02-14,2022-01-28,6,1.0,BAD10_V2_EVENT_0034,BAD10_V2_EVENT_0034,CALENDAR_YEAR_2022
BAD10_V2_EVENT_0035,2022-02-21,2022-03-11,2022-02-22,2022-03-14,2022-03-25,2022-03-07,15,1.0,BAD10_V2_EVENT_0035,BAD10_V2_EVENT_0035,CALENDAR_YEAR_2022
BAD10_V2_EVENT_0036,2022-04-06,2022-04-22,2022-04-07,2022-04-25,2022-05-11,2022-04-20,13,1.0,BAD10_V2_EVENT_0036,BAD10_V2_EVENT_0036,CALENDAR_YEAR_2022
BAD10_V2_EVENT_0037,2022-07-01,2022-07-21,2022-07-04,2022-07-22,2022-08-04,2022-07-15,6,1.0,BAD10_V2_EVENT_0037,BAD10_V2_EVENT_0037,CALENDAR_YEAR_2022
BAD10_V2_EVENT_0038,2022-09-07,2022-09-21,2022-09-08,2022-09-22,2022-10-12,2022-09-19,9,1.0,BAD10_V2_EVENT_0038,BAD10_V2_EVENT_0038,CALENDAR_YEAR_2022
BAD10_V2_EVENT_0039,2022-10-13,2022-10-26,2022-10-14,2022-10-27,2022-11-09,2022-10-24,8,1.0,BAD10_V2_EVENT_0039,BAD10_V2_EVENT_0039,CALENDAR_YEAR_2022
BAD10_V2_EVENT_0040,2023-01-20,2023-01-20,2023-01-30,2023-01-30,2023-02-10,2023-02-06,1,1.0,BAD10_V2_EVENT_0040,BAD10_V2_EVENT_0040,CALENDAR_YEAR_2023
BAD10_V2_EVENT_0041,2023-03-02,2023-03-03,2023-03-03,2023-03-06,2023-03-17,2023-03-16,2,1.0,BAD10_V2_EVENT_0041,BAD10_V2_EVENT_0041,CALENDAR_YEAR_2023
BAD10_V2_EVENT_0042,2023-04-17,2023-04-19,2023-04-18,2023-04-20,2023-05-08,2023-04-24,3,1.0,BAD10_V2_EVENT_0042,BAD10_V2_EVENT_0042,CALENDAR_YEAR_2023
BAD10_V2_EVENT_0043,2023-05-15,2023-05-22,2023-05-16,2023-05-23,2023-06-05,2023-05-29,2,1.0,BAD10_V2_EVENT_0043,BAD10_V2_EVENT_0043,CALENDAR_YEAR_2023
BAD10_V2_EVENT_0044,2023-08-03,2023-08-25,2023-08-04,2023-08-28,2023-09-08,2023-08-11,8,1.0,BAD10_V2_EVENT_0044,BAD10_V2_EVENT_0044,CALENDAR_YEAR_2023
BAD10_V2_EVENT_0045,2023-09-27,2023-10-17,2023-09-28,2023-10-18,2023-10-31,2023-10-19,9,1.0,BAD10_V2_EVENT_0045,BAD10_V2_EVENT_0045,CALENDAR_YEAR_2023
BAD10_V2_EVENT_0046,2023-11-21,2023-11-24,2023-11-22,2023-11-27,2023-12-08,2023-12-05,4,1.0,BAD10_V2_EVENT_0046,BAD10_V2_EVENT_0046,CALENDAR_YEAR_2023
BAD10_V2_EVENT_0047,2023-12-28,2024-01-03,2023-12-29,2024-01-04,2024-01-17,2024-01-08,3,1.0,BAD10_V2_EVENT_0047,BAD10_V2_EVENT_0047,CALENDAR_YEAR_2024
BAD10_V2_EVENT_0048,2024-01-25,2024-01-26,2024-01-26,2024-01-29,2024-02-19,2024-02-02,2,1.0,BAD10_V2_EVENT_0048,BAD10_V2_EVENT_0048,CALENDAR_YEAR_2024
BAD10_V2_EVENT_0049,2024-07-19,2024-07-22,2024-07-22,2024-07-23,2024-08-05,2024-07-30,2,1.0,BAD10_V2_EVENT_0049,BAD10_V2_EVENT_0049,CALENDAR_YEAR_2024
BAD10_V2_EVENT_0050,2024-08-30,2024-08-30,2024-09-02,2024-09-02,2024-09-13,2024-09-12,1,1.0,BAD10_V2_EVENT_0050,BAD10_V2_EVENT_0050,CALENDAR_YEAR_2024
BAD10_V2_EVENT_0051,2024-09-30,2024-10-10,2024-10-08,2024-10-11,2024-10-24,2024-10-08,4,1.0,BAD10_V2_EVENT_0051,BAD10_V2_EVENT_0051,CALENDAR_YEAR_2024
BAD10_V2_EVENT_0052,2024-11-07,2024-11-14,2024-11-08,2024-11-15,2024-11-28,2024-11-15,6,1.0,BAD10_V2_EVENT_0052,BAD10_V2_EVENT_0052,CALENDAR_YEAR_2024
BAD10_V2_EVENT_0053,2024-12-09,2024-12-31,2024-12-10,2025-01-02,2025-01-15,2024-12-16,9,1.0,BAD10_V2_EVENT_0053,BAD10_V2_EVENT_0053,CALENDAR_YEAR_2024
BAD10_V2_EVENT_0054,2025-03-21,2025-04-02,2025-03-24,2025-04-03,2025-04-17,2025-04-07,9,1.0,BAD10_V2_EVENT_0054,BAD10_V2_EVENT_0054,CALENDAR_YEAR_2025
BAD10_V2_EVENT_0055,2025-11-07,2025-11-13,2025-11-10,2025-11-14,2025-11-27,2025-11-21,5,1.0,BAD10_V2_EVENT_0055,BAD10_V2_EVENT_0055,CALENDAR_YEAR_2025
BAD10_V2_EVENT_0056,2026-03-09,2026-03-18,2026-03-10,2026-03-19,2026-04-01,2026-03-23,8,1.0,BAD10_V2_EVENT_0056,BAD10_V2_EVENT_0056,CALENDAR_YEAR_2026
BAD10_V2_EVENT_0057,2026-05-13,2026-06-02,2026-05-14,2026-06-03,2026-06-16,2026-05-21,4,1.0,BAD10_V2_EVENT_0057,BAD10_V2_EVENT_0057,CALENDAR_YEAR_2026
BAD10_V2_EVENT_0058,2026-06-22,2026-07-14,2026-06-23,2026-07-15,2026-07-28,2026-07-02,12,1.0,BAD10_V2_EVENT_0058,BAD10_V2_EVENT_0058,CALENDAR_YEAR_2026
