block_id,origin_date,entry_date,horizon_end_date,minimum_path_return
NON_EVENT_BLOCK_0065,2020-06-01,2020-06-02,2020-06-15,-0.003024193548387122
NON_EVENT_BLOCK_0066,2020-06-15,2020-06-16,2020-07-01,0.005757196495619343
NON_EVENT_BLOCK_0067,2020-08-03,2020-08-04,2020-08-17,-0.03340895029903068
NON_EVENT_BLOCK_0068,2020-09-16,2020-09-17,2020-09-30,-0.014246225813310698
NON_EVENT_BLOCK_0069,2020-09-30,2020-10-09,2020-10-22,0.0038127515356916053
NON_EVENT_BLOCK_0070,2020-10-22,2020-10-23,2020-11-05,-0.01697019867549665
NON_EVENT_BLOCK_0071,2020-11-05,2020-11-06,2020-11-19,-0.007664380798709236
NON_EVENT_BLOCK_0072,2020-11-19,2020-11-20,2020-12-03,-0.0044000000000000705
NON_EVENT_BLOCK_0073,2020-12-03,2020-12-04,2020-12-17,-0.032421875000000044
NON_EVENT_BLOCK_0074,2020-12-17,2020-12-18,2020-12-31,-0.011198428290766116
NON_EVENT_BLOCK_0075,2020-12-31,2021-01-04,2021-01-15,0.01022727272727253
NON_EVENT_BLOCK_0076,2021-04-19,2021-04-20,2021-05-06,-0.0019719976336027845
NON_EVENT_BLOCK_0077,2021-05-06,2021-05-07,2021-05-20,-0.014587029371180948
NON_EVENT_BLOCK_0078,2021-06-16,2021-06-17,2021-06-30,0.0037254901960783737
NON_EVENT_BLOCK_0079,2021-08-25,2021-08-26,2021-09-08,-0.01791465378421908
NON_EVENT_BLOCK_0080,2021-09-08,2021-09-09,2021-09-24,-0.028225004969190892
NON_EVENT_BLOCK_0081,2021-09-24,2021-09-27,2021-10-15,-0.004853387259858399
NON_EVENT_BLOCK_0082,2021-10-15,2021-10-18,2021-10-29,-0.01099340395762538
NON_EVENT_BLOCK_0083,2021-10-29,2021-11-01,2021-11-12,-0.013112769820455838
NON_EVENT_BLOCK_0084,2021-11-12,2021-11-15,2021-11-26,-0.01186168073984728
NON_EVENT_BLOCK_0085,2021-11-26,2021-11-29,2021-12-10,0.0022448979591835894
NON_EVENT_BLOCK_0086,2022-05-11,2022-05-12,2022-05-25,-0.0010113780025284846
NON_EVENT_BLOCK_0087,2022-05-25,2022-05-26,2022-06-09,0.0022596033140849237
NON_EVENT_BLOCK_0088,2022-06-09,2022-06-10,2022-06-23,0.008896369319547848
NON_EVENT_BLOCK_0089,2022-08-04,2022-08-05,2022-08-18,0.00240615976900882
NON_EVENT_BLOCK_0090,2022-08-18,2022-08-19,2022-09-01,-0.030224321133412113
NON_EVENT_BLOCK_0091,2022-11-09,2022-11-10,2022-11-23,0.0
NON_EVENT_BLOCK_0092,2022-11-23,2022-11-24,2022-12-07,-0.015064935064935114
NON_EVENT_BLOCK_0093,2022-12-07,2022-12-08,2022-12-21,-0.03038605230386049
NON_EVENT_BLOCK_0094,2022-12-21,2022-12-22,2023-01-05,-0.006384065372829428
NON_EVENT_BLOCK_0095,2023-01-05,2023-01-06,2023-01-19,0.003722084367245637
NON_EVENT_BLOCK_0096,2023-02-10,2023-02-13,2023-02-24,-0.014914425427872802
NON_EVENT_BLOCK_0097,2023-03-17,2023-03-20,2023-03-31,-0.005563985837127028
NON_EVENT_BLOCK_0098,2023-03-31,2023-04-03,2023-04-17,0.003209876543209811
NON_EVENT_BLOCK_0099,2023-06-05,2023-06-06,2023-06-19,-0.013000520020800876
NON_EVENT_BLOCK_0100,2023-06-19,2023-06-20,2023-07-05,-0.0248667850799289
NON_EVENT_BLOCK_0101,2023-07-05,2023-07-06,2023-07-19,-0.008205128205128198
NON_EVENT_BLOCK_0102,2023-07-19,2023-07-20,2023-08-02,-0.012745347947998975
NON_EVENT_BLOCK_0103,2023-09-08,2023-09-11,2023-09-22,-0.01784776902887142
NON_EVENT_BLOCK_0104,2023-10-31,2023-11-01,2023-11-14,-0.014945652173913082
NON_EVENT_BLOCK_0105,2023-12-08,2023-12-11,2023-12-22,-0.020639534883720834
NON_EVENT_BLOCK_0106,2024-02-19,2024-02-20,2024-03-04,0.0053207212533255
NON_EVENT_BLOCK_0107,2024-03-04,2024-03-05,2024-03-18,0.002275960170696978
NON_EVENT_BLOCK_0108,2024-03-18,2024-03-19,2024-04-01,-0.02593418851087559
NON_EVENT_BLOCK_0109,2024-04-01,2024-04-02,2024-04-17,-0.03265420039073397
NON_EVENT_BLOCK_0110,2024-04-17,2024-04-18,2024-05-06,-0.012697516930022523
NON_EVENT_BLOCK_0111,2024-05-06,2024-05-07,2024-05-20,-0.006584362139917754
NON_EVENT_BLOCK_0112,2024-05-20,2024-05-21,2024-06-03,-0.026365860288121712
NON_EVENT_BLOCK_0113,2024-06-03,2024-06-04,2024-06-18,-0.014225941422594146
NON_EVENT_BLOCK_0114,2024-06-18,2024-06-19,2024-07-02,-0.022209727298284965
NON_EVENT_BLOCK_0115,2024-07-02,2024-07-03,2024-07-16,-0.017172295363480305
NON_EVENT_BLOCK_0116,2024-08-05,2024-08-06,2024-08-19,-0.016919486581096765
NON_EVENT_BLOCK_0117,2024-10-24,2024-10-25,2024-11-07,-0.01021934197407759
NON_EVENT_BLOCK_0118,2025-01-15,2025-01-16,2025-02-06,-0.0028234086242300283
NON_EVENT_BLOCK_0119,2025-02-06,2025-02-07,2025-02-20,0.01093312992626494
NON_EVENT_BLOCK_0120,2025-02-20,2025-02-21,2025-03-06,-0.013640873015873023
NON_EVENT_BLOCK_0121,2025-03-06,2025-03-07,2025-03-20,-0.008663366336633671
NON_EVENT_BLOCK_0122,2025-04-17,2025-04-18,2025-05-06,0.0023334197562872028
NON_EVENT_BLOCK_0123,2025-05-06,2025-05-07,2025-05-20,-0.005822784810126658
NON_EVENT_BLOCK_0124,2025-05-20,2025-05-21,2025-06-04,-0.015484515484515349
NON_EVENT_BLOCK_0125,2025-06-04,2025-06-05,2025-06-18,-0.0015082956259427904
NON_EVENT_BLOCK_0126,2025-06-18,2025-06-19,2025-07-02,-0.006413545407901511
NON_EVENT_BLOCK_0127,2025-07-02,2025-07-03,2025-07-16,0.005007511266900355
NON_EVENT_BLOCK_0128,2025-07-16,2025-07-17,2025-07-30,0.00811010076185803
NON_EVENT_BLOCK_0129,2025-07-30,2025-07-31,2025-08-13,-0.020848140251125358
NON_EVENT_BLOCK_0130,2025-08-13,2025-08-14,2025-08-27,-0.002110199296600057
NON_EVENT_BLOCK_0131,2025-08-27,2025-08-28,2025-09-10,-0.002908928171850511
NON_EVENT_BLOCK_0132,2025-09-10,2025-09-11,2025-09-24,0.014800088358736474
NON_EVENT_BLOCK_0133,2025-09-24,2025-09-25,2025-10-16,-0.003860175852455683
NON_EVENT_BLOCK_0134,2025-10-16,2025-10-17,2025-10-30,-0.0193001060445388
NON_EVENT_BLOCK_0135,2025-11-27,2025-11-28,2025-12-11,0.003029647262497104
NON_EVENT_BLOCK_0136,2025-12-11,2025-12-12,2025-12-25,-0.012398460880718165
NON_EVENT_BLOCK_0137,2025-12-25,2025-12-26,2026-01-12,-0.0027276542173730878
NON_EVENT_BLOCK_0138,2026-01-12,2026-01-13,2026-01-26,-0.019301097114993837
NON_EVENT_BLOCK_0139,2026-01-26,2026-01-27,2026-02-09,-0.02376910016977929
NON_EVENT_BLOCK_0140,2026-02-09,2026-02-10,2026-03-03,-0.013099514050285088
NON_EVENT_BLOCK_0141,2026-04-01,2026-04-02,2026-04-16,-0.016589250165892522
NON_EVENT_BLOCK_0142,2026-04-16,2026-04-17,2026-04-30,0.0004222081486171536
NON_EVENT_BLOCK_0143,2026-07-28,2026-07-29,2026-08-11,-0.00540657439446357
