event_id,event_origin_start,event_origin_end,event_entry_start,event_entry_end,event_horizon_end,bad10_origin_count,worst_minimum_path_return,worst_origin_date,first_breach_date
BAD10_EVENT_0016,2018-09-19,2018-10-25,2018-09-20,2018-10-26,2018-11-08,13,-0.10670117917745181,2018-09-27,2018-10-11
BAD10_EVENT_0017,2018-11-19,2018-11-19,2018-11-20,2018-11-20,2018-12-03,1,-0.04269392663860494,2018-11-19,2018-11-23
BAD10_EVENT_0018,2018-12-11,2018-12-19,2018-12-12,2018-12-20,2019-01-04,7,-0.06752215093186686,2018-12-13,2018-12-20
BAD10_EVENT_0019,2019-03-06,2019-03-18,2019-03-07,2019-03-19,2019-04-01,2,-0.04412532637075717,2019-03-06,2019-03-08
BAD10_EVENT_0020,2019-04-12,2019-04-30,2019-04-15,2019-05-06,2019-05-17,12,-0.11189320388349522,2019-04-19,2019-04-25
BAD10_EVENT_0021,2019-07-23,2019-07-31,2019-07-24,2019-08-01,2019-08-14,7,-0.06110969061621063,2019-07-30,2019-08-05
BAD10_EVENT_0022,2020-01-09,2020-01-22,2020-01-10,2020-01-23,2020-02-13,10,-0.1292241789623989,2020-01-13,2020-01-23
BAD10_EVENT_0023,2020-02-20,2020-03-17,2020-02-21,2020-03-18,2020-03-31,14,-0.13702903767698582,2020-03-05,2020-02-28
BAD10_EVENT_0024,2020-07-06,2020-07-20,2020-07-07,2020-07-21,2020-08-03,8,-0.06622923928644653,2020-07-13,2020-07-16
BAD10_EVENT_0025,2020-08-28,2020-09-02,2020-08-31,2020-09-03,2020-09-16,4,-0.06066734074823066,2020-08-28,2020-09-07
BAD10_EVENT_0026,2021-01-25,2021-01-25,2021-01-26,2021-01-26,2021-02-08,1,-0.046192259675405856,2021-01-25,2021-01-29
BAD10_EVENT_0027,2021-02-08,2021-03-11,2021-02-09,2021-03-12,2021-03-25,16,-0.10898353614889045,2021-02-23,2021-02-22
BAD10_EVENT_0028,2021-04-02,2021-04-02,2021-04-06,2021-04-06,2021-04-19,1,-0.04368838198337521,2021-04-02,2021-04-12
BAD10_EVENT_0029,2021-06-01,2021-06-01,2021-06-02,2021-06-02,2021-06-16,1,-0.045038310596150155,2021-06-01,2021-06-16
BAD10_EVENT_0030,2021-07-13,2021-07-23,2021-07-14,2021-07-26,2021-08-06,9,-0.07696737044145874,2021-07-22,2021-07-26
BAD10_EVENT_0031,2021-08-09,2021-08-11,2021-08-10,2021-08-12,2021-08-25,3,-0.05198116908591599,2021-08-10,2021-08-20
BAD10_EVENT_0032,2021-12-10,2021-12-10,2021-12-13,2021-12-13,2021-12-24,1,-0.04044900329011025,2021-12-10,2021-12-20
BAD10_EVENT_0033,2021-12-30,2021-12-31,2021-12-31,2022-01-04,2022-01-17,2,-0.04597014925373144,2021-12-31,2022-01-14
BAD10_EVENT_0034,2022-01-17,2022-01-24,2022-01-18,2022-01-25,2022-02-14,6,-0.0542056074766355,2022-01-18,2022-01-28
BAD10_EVENT_0035,2022-02-21,2022-03-11,2022-02-22,2022-03-14,2022-03-25,15,-0.13442265795206976,2022-03-02,2022-03-07
BAD10_EVENT_0036,2022-04-06,2022-04-22,2022-04-07,2022-04-25,2022-05-11,13,-0.0941091954022989,2022-04-13,2022-04-20
BAD10_EVENT_0037,2022-07-01,2022-07-21,2022-07-04,2022-07-22,2022-08-04,6,-0.0510384445426425,2022-07-04,2022-07-15
BAD10_EVENT_0038,2022-09-07,2022-09-21,2022-09-08,2022-09-22,2022-10-12,9,-0.06409025444071059,2022-09-09,2022-09-19
BAD10_EVENT_0039,2022-10-13,2022-10-26,2022-10-14,2022-10-27,2022-11-09,8,-0.09148827726809383,2022-10-17,2022-10-24
BAD10_EVENT_0040,2023-01-20,2023-01-20,2023-01-30,2023-01-30,2023-02-10,1,-0.04389671361502334,2023-01-20,2023-02-06
BAD10_EVENT_0041,2023-03-02,2023-03-03,2023-03-03,2023-03-06,2023-03-17,2,-0.046776539020843555,2023-03-02,2023-03-16
BAD10_EVENT_0042,2023-04-17,2023-04-19,2023-04-18,2023-04-20,2023-05-08,3,-0.04886856042368792,2023-04-18,2023-04-24
BAD10_EVENT_0043,2023-05-15,2023-05-22,2023-05-16,2023-05-23,2023-06-05,2,-0.041593143433324986,2023-05-22,2023-05-29
BAD10_EVENT_0044,2023-08-03,2023-08-25,2023-08-04,2023-08-28,2023-09-08,8,-0.06847960444993828,2023-08-10,2023-08-11
BAD10_EVENT_0045,2023-09-27,2023-10-17,2023-09-28,2023-10-18,2023-10-31,9,-0.05994694960212199,2023-10-11,2023-10-19
BAD10_EVENT_0046,2023-11-21,2023-11-24,2023-11-22,2023-11-27,2023-12-08,4,-0.05026091733040372,2023-11-21,2023-12-05
BAD10_EVENT_0047,2023-12-28,2024-01-03,2023-12-29,2024-01-04,2024-01-17,3,-0.045973729297544175,2023-12-29,2024-01-08
BAD10_EVENT_0048,2024-01-25,2024-01-26,2024-01-26,2024-01-29,2024-02-19,2,-0.04293005103572489,2024-01-26,2024-02-02
BAD10_EVENT_0049,2024-07-19,2024-07-22,2024-07-22,2024-07-23,2024-08-05,2,-0.04561891515994443,2024-07-19,2024-07-30
BAD10_EVENT_0050,2024-08-30,2024-08-30,2024-09-02,2024-09-02,2024-09-13,1,-0.04525288376220038,2024-08-30,2024-09-12
BAD10_EVENT_0051,2024-09-30,2024-10-10,2024-10-08,2024-10-11,2024-10-24,4,-0.1703178694158075,2024-09-30,2024-10-08
BAD10_EVENT_0052,2024-11-07,2024-11-14,2024-11-08,2024-11-15,2024-11-28,6,-0.06627078384798102,2024-11-11,2024-11-15
BAD10_EVENT_0053,2024-12-09,2024-12-31,2024-12-10,2025-01-02,2025-01-15,9,-0.06826523122094441,2024-12-30,2024-12-16
BAD10_EVENT_0054,2025-03-21,2025-04-02,2025-03-24,2025-04-03,2025-04-17,9,-0.08267130089374375,2025-03-24,2025-04-07
BAD10_EVENT_0055,2025-11-07,2025-11-13,2025-11-10,2025-11-14,2025-11-27,5,-0.05338595762359777,2025-11-10,2025-11-21
BAD10_EVENT_0056,2026-03-09,2026-03-18,2026-03-10,2026-03-19,2026-04-01,8,-0.05964763319889632,2026-03-11,2026-03-23
BAD10_EVENT_0057,2026-05-13,2026-06-02,2026-05-14,2026-06-03,2026-06-16,4,-0.045463569585070474,2026-05-13,2026-05-21
BAD10_EVENT_0058,2026-06-22,2026-07-14,2026-06-23,2026-07-15,2026-07-28,12,-0.0668971126474176,2026-07-09,2026-07-02
