period,cost,signal_origin_start,protection_origin,earliest_execution_date,comparison_terminal,fixed_protection_distance,protected_actual_interval_return,baseline_actual_interval_return,interval_return_difference
evaluation,STRESS,2024-03-04,2024-04-12,2024-04-15,2024-05-24,0.03450582051822147,-0.016940443833483143,0.0300889943321192,-0.047029438165602344
evaluation,STRESS,2024-06-17,2024-06-25,2024-06-26,2024-07-18,0.015839408251473522,-0.025256384048463087,-0.005296506033205084,-0.019959878015258004
evaluation,STRESS,2024-08-27,2024-09-06,2024-09-09,2024-09-12,0.022558651598348495,-0.02623699568647464,-0.03599456751992469,0.009757571833450052
evaluation,STRESS,2024-10-08,2024-10-09,2024-10-10,2024-10-22,0.08708538936918342,-0.05171522022338382,-0.06712053271280793,0.015405312489424117
evaluation,STRESS,2025-12-18,2026-02-02,2026-02-03,2026-02-04,0.027403585238541625,0.014772618454383268,0.01733699829414692,-0.002564379839763653
evaluation,STRESS,2026-06-04,2026-06-08,2026-06-09,2026-06-23,0.030101538250226323,-0.032205745796873075,0.03144580251910667,-0.06365154831597974
earlier_diagnostic,BASE,2014-12-31,2015-01-19,2015-01-20,2015-05-15,0.083824521052954,-0.07323403559999975,0.3025797866000002,-0.3758138221999999
earlier_diagnostic,BASE,2015-09-28,2015-11-27,2015-11-30,2015-12-29,0.07200741996984464,0.11800676121692266,0.16580638855382412,-0.04779962733690146
earlier_diagnostic,BASE,2016-04-29,2016-05-06,2016-05-09,2016-07-28,0.024098680994449218,-0.013367834030140635,0.02617022347357434,-0.039538057503714974
earlier_diagnostic,BASE,2016-09-06,2016-09-14,2016-09-19,2016-10-10,0.02672916234095042,-0.03347200361014091,-0.02414673306871573,-0.009325270541425179
earlier_diagnostic,BASE,2017-10-20,2017-11-15,2017-11-16,2017-12-28,0.011871259970020767,0.03290724968956105,0.009365162672357874,0.023542087017203173
earlier_diagnostic,BASE,2018-10-08,2018-10-11,2018-10-12,2018-10-19,0.050103757354916206,-0.0523128756964889,-0.07851958565238293,0.026206709955894025
earlier_diagnostic,BASE,2019-11-11,2019-11-22,2019-11-25,2019-12-09,0.023644796188587683,-0.013233832094224907,-0.000399557927574401,-0.012834274166650506
earlier_diagnostic,STRESS,2014-12-31,2015-01-19,2015-01-20,2015-05-15,0.083824521052954,-0.07472507120000005,0.3010135732000001,-0.37573864440000015
earlier_diagnostic,STRESS,2015-09-28,2015-11-27,2015-11-30,2015-12-29,0.07200741996984464,0.11648082562357542,0.16435255024335094,-0.04787172461977551
earlier_diagnostic,STRESS,2016-04-29,2016-05-06,2016-05-09,2016-07-28,0.024098680994449218,-0.015018545805961958,0.024479948394798612,-0.03949849420076057
earlier_diagnostic,STRESS,2016-09-06,2016-09-14,2016-09-19,2016-10-10,0.02672916234095042,-0.03504930433084685,-0.025698627778275918,-0.009350676552570936
earlier_diagnostic,STRESS,2017-10-20,2017-11-15,2017-11-16,2017-12-28,0.011871259970020767,0.03144694594904296,0.007957387772725477,0.023489558176317482
earlier_diagnostic,STRESS,2018-10-08,2018-10-11,2018-10-12,2018-10-19,0.050103757354916206,-0.05383427717667144,-0.08004189438593323,0.02620761720926179
earlier_diagnostic,STRESS,2019-11-11,2019-11-22,2019-11-25,2019-12-09,0.023644796188587683,-0.014634921826743974,-0.0018057821830030907,-0.012829139643740883
