fit_index,fit_origin,status,training_cycles,training_rows,whole_cycles_mature,original_support_identical,maximum_gradient_residual
2920,2024-06-03,FIT_COMPLETE,20,885,True,True,4.2392304944183223e-17
2939,2024-07-01,FIT_COMPLETE,20,885,True,True,4.2392304944183223e-17
2962,2024-08-01,FIT_COMPLETE,20,915,True,True,7.567731163948821e-17
2984,2024-09-02,FIT_COMPLETE,20,915,True,True,7.567731163948821e-17
3003,2024-10-08,FIT_COMPLETE,20,896,True,True,5.551115123125783e-17
3021,2024-11-01,FIT_COMPLETE,20,842,True,True,1.3530843112619095e-16
3042,2024-12-02,FIT_COMPLETE,20,842,True,True,1.3530843112619095e-16
3064,2025-01-02,FIT_COMPLETE,20,842,True,True,1.3530843112619095e-16
3082,2025-02-05,FIT_COMPLETE,20,842,True,True,1.3530843112619095e-16
3100,2025-03-03,FIT_COMPLETE,20,842,True,True,1.3530843112619095e-16
3121,2025-04-01,FIT_COMPLETE,20,842,True,True,1.3530843112619095e-16
3142,2025-05-06,FIT_COMPLETE,20,842,True,True,1.3530843112619095e-16
3161,2025-06-03,FIT_COMPLETE,20,842,True,True,1.3530843112619095e-16
3181,2025-07-01,FIT_COMPLETE,20,842,True,True,1.3530843112619095e-16
3204,2025-08-01,FIT_COMPLETE,20,842,True,True,5.551115123125783e-17
3225,2025-09-01,FIT_COMPLETE,20,842,True,True,5.551115123125783e-17
3247,2025-10-09,FIT_COMPLETE,20,842,True,True,5.551115123125783e-17
3264,2025-11-03,FIT_COMPLETE,20,842,True,True,6.245004513516506e-17
3284,2025-12-01,FIT_COMPLETE,20,842,True,True,6.245004513516506e-17
3307,2026-01-05,FIT_COMPLETE,20,842,True,True,6.245004513516506e-17
3327,2026-02-02,FIT_COMPLETE,20,842,True,True,1.0755285551056204e-16
3341,2026-03-02,FIT_COMPLETE,20,795,True,True,8.315830662963819e-17
3363,2026-04-01,FIT_COMPLETE,20,795,True,True,8.315830662963819e-17
3384,2026-05-06,FIT_COMPLETE,20,795,True,True,8.315830662963819e-17
3402,2026-06-01,FIT_COMPLETE,20,795,True,True,8.315830662963819e-17
3423,2026-07-01,FIT_COMPLETE,20,795,True,True,8.315830662963819e-17
3446,2026-08-03,FIT_COMPLETE,20,790,True,True,9.8879238130678e-17
