date,wealth_close,reference_new_buy,reference_holding,reference_entry_wealth_open,reference_entry_date,reference_state,stage,target,price_upgrade,stage_status
2012-12-03,0.8237327188940087,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-12-04,0.830261136712749,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-12-05,0.8594470046082945,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-12-06,0.8582949308755756,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-12-07,0.8755760368663589,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-12-10,0.8836405529953912,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-12-11,0.8809523809523805,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-12-12,0.8828725038402453,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-12-13,0.875960061443932,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-12-14,0.9201228878648229,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-12-17,0.9228110599078337,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-12-18,0.9212749615975419,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-12-19,0.9236112463691332,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-12-20,0.929841339093377,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-12-21,0.9259475311407247,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-12-24,0.9267262927312552,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-12-25,0.9524254252187607,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-12-26,0.9551510907856173,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-12-27,0.9532041868092912,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-12-28,0.9672218954388395,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-12-31,0.9827971272494489,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-01-04,0.9851334120210402,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-01-07,0.9866909352021012,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-01-08,0.9824077464541837,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-01-09,0.9816289848636532,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-01-10,0.9839652696352447,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-01-11,0.9691687994151656,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
