period,cost,date,own_cycle,own_entry_date,own_shares,single_entry_so_far,pure_learned_at_entry,reference_learning_status,status,own_prediction,reference_prediction,sign_disagreement,confirmed_exit_disagreement,own_log_holding_days,own_cycle_return,own_cycle_drawdown,own_entry_mode,own_mom5,own_mom20,own_sma120,own_vol20,own_negative_count,reference_negative_count,prediction_difference,entry_age_difference,return_input_difference,drawdown_input_difference
evaluation,BASE,2020-09-04,2,2020-08-19,100,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,0.007642744116740359,0.008515955705559478,False,False,2.6390573296152584,-0.018495934959349647,-0.018495934959349647,1.0,-0.01805918153839746,0.013341869785239723,0.1441568980529906,0.17890058365775777,0.0,0.0,-0.0008732115888191189,0.0,-0.009878767222465834,-0.0005988432367544094
evaluation,BASE,2020-09-07,2,2020-08-19,100,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,0.005297319971700232,0.006152991381576397,False,False,2.70805020110221,-0.038211382113821024,-0.038211382113821024,1.0,-0.029567009086874013,-0.010301783527825594,0.1193111931119315,0.1925792705955411,0.0,0.0,-0.0008556714098761648,0.0,-0.009680332676891279,-0.0005868142879109639
evaluation,BASE,2020-09-08,2,2020-08-19,100,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,0.0006847132427617586,0.0015447244907269043,False,False,2.772588722239781,-0.033333333333333326,-0.033333333333333326,1.0,-0.03145954802012964,0.0046364677367434805,0.12270872758890672,0.1902893660694335,0.0,0.0,-0.0008600112479651457,0.0,-0.009729429884043794,-0.0005897905226763811
evaluation,BASE,2020-09-09,2,2020-08-19,100,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,-0.007022831175575006,-0.00618289167877136,False,False,2.833213344056216,-0.055894308943089555,-0.055894308943089555,1.0,-0.05425982636810856,-0.012196577852075847,0.0944562472756405,0.20620061074738225,1.0,1.0,-0.0008399394968036464,0.0,-0.009502355300963772,-0.000576025436886396
evaluation,BASE,2020-09-10,2,2020-08-19,100,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,-0.007247037354479659,-0.00640637455132787,False,False,2.8903717578961645,-0.055081300813008216,-0.055081300813008216,1.0,-0.049312413540010626,-0.008140576232121145,0.09321356346705567,0.20601547003159343,2.0,2.0,-0.0008406628031517888,0.0,-0.009510538168822524,-0.000576521476014058
evaluation,BASE,2021-07-29,3,2021-07-29,43500,True,False,,NOT_COMPARABLE_MULTIPLE_FILLS_OR_OTHER_ENTRY,,,False,False,,,,,,,,,,,,,,
evaluation,BASE,2021-07-30,3,2021-07-29,43500,True,False,,NOT_COMPARABLE_MULTIPLE_FILLS_OR_OTHER_ENTRY,,,False,False,,,,,,,,,,,,,,
evaluation,BASE,2021-08-02,3,2021-07-29,43500,True,False,,NOT_COMPARABLE_MULTIPLE_FILLS_OR_OTHER_ENTRY,,,False,False,,,,,,,,,,,,,,
evaluation,BASE,2021-08-03,3,2021-07-29,43500,True,False,,NOT_COMPARABLE_MULTIPLE_FILLS_OR_OTHER_ENTRY,,,False,False,,,,,,,,,,,,,,
evaluation,BASE,2021-08-04,3,2021-07-29,43500,True,False,,NOT_COMPARABLE_MULTIPLE_FILLS_OR_OTHER_ENTRY,,,False,False,,,,,,,,,,,,,,
