period,cost,cycle,entry_date,entry_origin,buy_debit,gross_price_profit,commission,slippage,dividend_recognized,held_closes,buy_trades,sell_trades,exit_date,exit_origin,terminal_exit,net_profit,cycle_net_return,net_profit_137,net_profit_difference
evaluation,STRESS,4,2021-01-05,2021-01-04,6930.1,210.60000000000036,10.0,15.599999999999437,93.6,12,1,1,2021-01-21,2021-01-20,False,278.60000000000093,0.04020144009465966,278.60000000000093,0.0
evaluation,STRESS,5,2021-02-03,2021-02-02,2753.5,-51.0,10.0,6.000000000000227,0.0,12,1,1,2021-02-26,2021-02-25,False,-67.00000000000023,-0.02433266751407308,-78.40000000000009,11.399999999999864
evaluation,STRESS,6,2021-07-29,2021-07-28,101553.40512,4119.299999999988,82.76688000000001,227.69999999998413,0.0,9,1,1,2021-08-11,2021-08-10,False,3808.833120000004,0.03750571549520489,8298.472160000028,-4489.639040000025
evaluation,STRESS,7,2021-10-29,2021-10-28,31699.07456,960.5000000000045,28.021440000000002,70.4000000000053,0.0,31,1,2,2021-12-13,2021-12-10,False,862.0785599999992,0.027195701198413764,897.1757999999975,-35.09723999999824
evaluation,STRESS,8,2022-05-13,2022-05-12,87265.49223999999,930.6999999999898,70.07607999999999,201.70000000000488,0.0,19,2,2,2022-06-10,2022-06-09,False,658.923919999985,0.007550795888342599,682.5756799999979,-23.651760000012928
evaluation,STRESS,9,2022-08-10,2022-08-09,74493.68556,-524.3999999999933,61.49916,176.99999999999625,0.0,17,1,2,2022-09-02,2022-09-01,False,-762.8991599999895,-0.010241125194235718,-798.7141199999922,35.81496000000277
evaluation,STRESS,10,2024-02-19,2024-02-08,70628.44008,2110.899999999994,57.25764,167.20000000000016,0.0,4,1,1,2024-02-23,2024-02-22,False,1886.442359999994,0.026709387293040072,1967.676720000003,-81.23436000000879
evaluation,STRESS,11,2024-06-18,2024-06-17,91704.06696,-206.39999999999418,73.1688,206.40000000000018,0.0,22,1,1,2024-07-18,2024-07-17,False,-485.9687999999944,-0.005299315680426333,-506.6883999999973,20.719600000002856
evaluation,STRESS,12,2024-08-02,2024-08-01,70347.32768,-649.6000000000058,55.93056,162.40000000000015,0.0,2,1,1,2024-08-06,2024-08-05,False,-867.9305600000059,-0.01233779005718737,-906.4102399999944,38.479679999988434
evaluation,STRESS,13,2024-08-28,2024-08-27,70544.80664000001,-2319.9000000000087,55.418440000000004,167.20000000000016,0.0,11,1,1,2024-09-12,2024-09-11,False,-2542.518440000009,-0.03604118518567689,-2652.004880000003,109.48643999999422
evaluation,STRESS,14,2024-09-25,2024-09-24,70936.26315999999,10515.399999999994,60.8594,182.6999999999979,0.0,3,1,1,2024-09-30,2024-09-27,False,10271.840599999998,0.14480380192612333,10727.242399999994,-455.401799999996
evaluation,STRESS,15,2025-04-09,2025-04-08,86221.17468000001,4590.099999999991,70.71084,186.40000000001052,0.0,10,1,1,2025-04-23,2025-04-22,False,4332.989159999981,0.05025435081441853,9405.58563999996,-5072.596479999978
evaluation,STRESS,16,2025-06-03,2025-05-30,13830.53,-150.5,10.988600000000002,28.000000000000025,308.0,11,1,1,2025-06-18,2025-06-17,False,118.51139999999998,0.008568825634303239,125.28347999999956,-6.772079999999576
evaluation,STRESS,17,2025-12-19,2025-12-18,164977.96480000002,7232.5,134.6818,352.00000000002376,0.0,18,1,2,2026-01-16,2026-01-15,False,6745.818199999976,0.04088920728400194,7905.982399999973,-1160.1641999999965
evaluation,STRESS,18,2026-02-03,2026-02-02,2792.0000000000005,7.200000000000273,10.0,6.000000000000405,0.0,1,1,1,2026-02-04,2026-02-03,False,-8.800000000000132,-0.003151862464183428,-8.800000000000132,0.0
evaluation,STRESS,19,2026-05-06,2026-04-30,160965.3604,-908.5,128.2262,328.0000000000085,0.0,8,2,2,2026-05-18,2026-05-15,False,-1364.7262000000087,-0.008478384396547524,-1456.0354399999858,91.30923999997708
evaluation,STRESS,20,2026-06-05,2026-06-04,86029.398,2975.0,69.909,192.49999999998658,0.0,11,1,1,2026-06-23,2026-06-22,False,2712.591000000013,0.031530977352648835,2898.59724,-186.00623999998697
evaluation,STRESS,21,2026-07-23,2026-07-22,82231.67952,-1616.800000000003,65.04352,171.99999999999633,0.0,6,1,1,2026-07-31,2026-07-30,False,-1853.8435199999992,-0.02254415245828849,-1972.4032799999927,118.5597599999935
evaluation,STRESS,22,2026-08-07,2026-08-06,81532.90012,536.3000000000029,65.34556,172.9999999999963,0.0,5,1,1,2026-08-14,2026-08-13,True,297.9544400000066,0.0036544074792075067,316.89951999999806,-18.945079999991435
earlier_diagnostic,BASE,1,2015-01-05,2014-12-31,66101.43135999999,-5146.400000000009,26.4048,73.59999999999438,644.0000000000001,11,2,1,2015-01-20,2015-01-19,False,-4602.404800000003,-0.0696264015061111,-5948.61299999999,1346.2081999999873
earlier_diagnostic,BASE,2,2015-02-11,2015-02-10,94492.29468,32500.79999999999,44.40428,137.00000000000927,0.0,60,3,3,2015-05-15,2015-05-14,False,32319.39571999998,0.342032076048637,39496.75364,-7177.357920000024
earlier_diagnostic,BASE,3,2015-06-03,2015-06-02,56760.3498,-5940.000000000007,21.498400000000004,65.99999999999272,0.0,13,1,1,2015-06-23,2015-06-19,False,-6027.4984,-0.10619205873886281,-9589.201999999988,3561.703599999988
earlier_diagnostic,BASE,4,2015-06-24,2015-06-23,47939.586,-3470.0000000000073,18.466,59.99999999999339,0.0,3,1,1,2015-06-29,2015-06-26,False,-3548.4660000000003,-0.0740195378408149,-4151.7052199999935,603.2392199999931
earlier_diagnostic,BASE,5,2015-07-10,2015-07-09,28709.34072,1606.0000000000036,11.79534,36.49999999999922,0.0,1,1,1,2015-07-13,2015-07-10,False,1557.7046600000044,0.05425776492717749,5483.973940000017,-3926.2692800000127
earlier_diagnostic,BASE,6,2015-08-28,2015-08-27,33124.52358,-393.9000000000051,13.160300000000001,40.39999999999555,0.0,10,1,1,2015-09-15,2015-09-14,False,-447.46030000000064,-0.013508429756561668,-1275.926399999999,828.4660999999983
earlier_diagnostic,BASE,7,2015-09-29,2015-09-28,110190.43368000002,7626.0,45.72792,124.79999999999279,0.0,60,3,2,2015-12-29,2015-12-28,False,7455.472080000007,0.06765988508268485,6310.787459999993,1144.6846200000136
earlier_diagnostic,BASE,8,2016-01-07,2016-01-06,55958.989559999995,-4408.200000000004,21.48484,63.19999999999304,0.0,3,1,1,2016-01-12,2016-01-11,False,-4492.884839999998,-0.0802888843298835,-4578.192779999995,85.30793999999696
earlier_diagnostic,BASE,9,2016-02-01,2016-01-29,53336.6652,2675.4000000000015,21.850920000000002,72.80000000000814,0.0,8,1,1,2016-02-18,2016-02-17,False,2580.7490799999932,0.0483860224542121,2736.72841999999,-155.97933999999668
earlier_diagnostic,BASE,10,2016-03-02,2016-03-01,38298.95826,1663.7000000000044,15.638780000000002,52.40000000000005,0.0,1,1,1,2016-03-03,2016-03-02,False,1595.6612200000043,0.04166330606612182,1632.2030800000027,-36.54185999999845
earlier_diagnostic,BASE,11,2016-05-03,2016-04-29,209072.00604,1905.7000000000116,84.40874,263.2000000000169,0.0,60,3,3,2016-07-28,2016-07-27,False,1558.0912599999947,0.007452414550907872,223.3842599999704,1334.7070000000242
earlier_diagnostic,BASE,12,2017-05-18,2017-05-17,82660.82886000001,7338.600000000006,34.506,97.20000000000009,0.0,60,1,1,2017-08-14,2017-08-11,False,7206.894000000006,0.08718632633367482,7266.21,-59.31599999999435
earlier_diagnostic,BASE,13,2018-02-13,2018-02-12,99170.53014,3162.5,40.26748,126.50000000000854,0.0,10,1,1,2018-03-06,2018-03-05,False,2995.7325199999914,0.030207890547432656,4606.086759999987,-1610.354239999996
earlier_diagnostic,BASE,14,2018-10-09,2018-10-08,85107.018,-6553.199999999997,32.70504,101.60000000000008,0.0,8,1,1,2018-10-19,2018-10-18,False,-6687.505039999997,-0.07857759791325314,-6792.820079999994,105.31503999999677
earlier_diagnostic,BASE,15,2019-02-28,2019-02-27,76004.89794000001,2898.0,30.958920000000003,82.80000000000926,0.0,4,1,1,2019-03-06,2019-03-05,False,2784.2410799999907,0.03663239022040308,5971.995359999981,-3187.75427999999
earlier_diagnostic,BASE,16,2019-05-31,2019-05-30,141663.02694,8016.899999999994,58.226220000000005,155.20000000000016,0.0,16,3,1,2019-06-25,2019-06-24,False,7803.473779999995,0.05508475957742368,9801.89384000001,-1998.420060000015
earlier_diagnostic,STRESS,1,2015-01-05,2014-12-31,66150.44959999999,-5146.400000000009,50.781760000000006,147.20000000000013,644.0000000000001,11,2,1,2015-01-20,2015-01-19,False,-4700.381760000008,-0.07105593066142983,-6069.726,1369.3442399999913
earlier_diagnostic,STRESS,2,2015-02-11,2015-02-10,94575.81520000001,32472.9,88.52092,246.59999999999718,0.0,60,3,3,2015-05-15,2015-05-14,False,32137.779080000004,0.3398096967183213,39213.55540000002,-7075.776320000015
earlier_diagnostic,STRESS,3,2015-06-03,2015-06-02,56804.7128,-5940.000000000007,43.0012,121.00000000000134,0.0,13,1,1,2015-06-23,2015-06-19,False,-6104.001200000008,-0.10745589404687576,-9710.911000000002,3606.909799999994
earlier_diagnostic,STRESS,4,2015-06-24,2015-06-23,47969.18,-3470.0000000000073,36.932,99.99999999999787,0.0,3,1,1,2015-06-29,2015-06-26,False,-3606.932000000005,-0.07519269664397026,-4220.110439999999,613.1784399999938
earlier_diagnostic,STRESS,5,2015-07-10,2015-07-09,28729.687280000002,1606.0000000000036,23.590680000000003,65.69999999999925,0.0,1,1,1,2015-07-13,2015-07-10,False,1516.7093200000045,0.05279240616920507,5318.871040000016,-3802.161720000012
earlier_diagnostic,STRESS,6,2015-08-28,2015-08-27,33151.35524,-393.9000000000051,26.320600000000002,80.80000000000007,0.0,10,1,1,2015-09-15,2015-09-14,False,-501.0206000000052,-0.015113125734162451,-1423.6922000000031,922.671599999998
earlier_diagnostic,STRESS,7,2015-09-29,2015-09-28,109951.9632,7571.299999999988,90.8554,248.80000000000018,0.0,60,3,2,2015-12-29,2015-12-28,False,7231.644599999988,0.06577094568876227,6057.454720000018,1174.18987999997
earlier_diagnostic,STRESS,8,2016-01-07,2016-01-06,56001.79176,-4408.200000000004,42.969680000000004,126.3999999999931,0.0,3,1,1,2016-01-12,2016-01-11,False,-4577.569679999998,-0.08173970039418606,-4635.513599999993,57.94391999999516
earlier_diagnostic,STRESS,9,2016-02-01,2016-01-29,53365.53768,2675.4000000000015,43.69456000000001,127.40000000000214,0.0,8,1,1,2016-02-18,2016-02-17,False,2504.305439999999,0.04692739076324433,2628.144720000002,-123.83928000000287
earlier_diagnostic,STRESS,10,2016-03-02,2016-03-01,38319.72176,1663.7000000000044,31.27232,91.70000000000154,0.0,1,1,1,2016-03-03,2016-03-02,False,1540.7276800000027,0.040207172944775646,1564.2502400000044,-23.522560000001704
earlier_diagnostic,STRESS,11,2016-05-03,2016-04-29,208617.21352,1677.6000000000058,167.28816,524.800000000004,0.0,60,3,3,2016-07-28,2016-07-27,False,985.5118400000017,0.004724019765058943,-206.5119199999972,1192.023759999999
earlier_diagnostic,STRESS,12,2017-05-18,2017-05-17,82045.10492,7278.200000000012,68.444,192.80000000000018,0.0,60,1,1,2017-08-14,2017-08-11,False,7016.956000000011,0.08552558994033901,7075.188000000006,-58.231999999994514
earlier_diagnostic,STRESS,13,2018-02-13,2018-02-12,98848.72368000001,3150.0,80.21664000000001,226.8000000000086,0.0,10,1,1,2018-03-06,2018-03-05,False,2842.983359999991,0.028760951625470606,4343.446799999987,-1500.463439999996
earlier_diagnostic,STRESS,14,2018-10-09,2018-10-08,84504.18815999999,-6501.599999999991,64.89504,201.6000000000002,0.0,8,1,1,2018-10-19,2018-10-18,False,-6768.095039999992,-0.08009182961660197,-6875.525120000003,107.430080000011
earlier_diagnostic,STRESS,15,2019-02-28,2019-02-27,75326.6186,2870.0,61.3196,164.00000000000014,0.0,4,1,1,2019-03-06,2019-03-05,False,2644.6804,0.03510950642884692,5663.486319999999,-3018.805919999999
earlier_diagnostic,STRESS,16,2019-05-31,2019-05-30,140302.79867999998,11644.800000000003,116.7324,307.2000000000003,0.0,22,3,2,2019-07-03,2019-07-02,False,11220.867600000001,0.0799760782077651,15522.638439999992,-4301.77083999999
