period,budget_source_cost,origin_index,origin,window_start,window_end,sample_count,mean_reference,mean_runs,positive_mean_reference,positive_mean_runs,old_budget_reference,old_budget_runs,budget_reference,budget_runs,status
evaluation,BASE,2192,2021-06-01,2020-06-03,2021-06-01,242,0.0003918252249383534,0.0003125551709127504,0.0003918252249383534,0.0003125551709127504,0.556269349979439,0.44373065002056106,0.556269349979439,0.44373065002056106,UPDATED_POSITIVE_MEAN
evaluation,BASE,2213,2021-07-01,2020-07-06,2021-07-01,242,0.00024010513592636392,0.0003125551709127504,0.00024010513592636392,0.0003125551709127504,0.556269349979439,0.44373065002056106,0.4344533757085277,0.5655466242914723,UPDATED_POSITIVE_MEAN
evaluation,BASE,2235,2021-08-02,2020-08-05,2021-08-02,242,0.00011565267817981402,0.0003125551709127504,0.00011565267817981402,0.0003125551709127504,0.4344533757085277,0.5655466242914723,0.2700853765873258,0.7299146234126742,UPDATED_POSITIVE_MEAN
evaluation,BASE,2257,2021-09-01,2020-09-04,2021-09-01,242,0.00018472020222452915,0.0003125551709127504,0.00018472020222452915,0.0003125551709127504,0.2700853765873258,0.7299146234126742,0.37146460935545805,0.6285353906445421,UPDATED_POSITIVE_MEAN
evaluation,BASE,2277,2021-10-08,2020-10-12,2021-10-08,242,0.0002705622342971032,0.0003125551709127504,0.0002705622342971032,0.0003125551709127504,0.37146460935545805,0.6285353906445421,0.4639927257868982,0.5360072742131018,UPDATED_POSITIVE_MEAN
evaluation,BASE,2293,2021-11-01,2020-11-03,2021-11-01,242,0.0002723634151690708,0.0003125551709127504,0.0002723634151690708,0.0003125551709127504,0.4639927257868982,0.5360072742131018,0.46564329062193854,0.5343567093780616,UPDATED_POSITIVE_MEAN
evaluation,BASE,2315,2021-12-01,2020-12-03,2021-12-01,242,0.00026748337347350505,0.0003125551709127504,0.00026748337347350505,0.0003125551709127504,0.46564329062193854,0.5343567093780616,0.46114758417741336,0.5388524158225866,UPDATED_POSITIVE_MEAN
evaluation,BASE,2338,2022-01-04,2021-01-06,2022-01-04,242,0.00026965946325697656,5.592412581913806e-05,0.00026965946325697656,5.592412581913806e-05,0.46114758417741336,0.5388524158225866,0.8282341994637078,0.1717658005362923,UPDATED_POSITIVE_MEAN
evaluation,BASE,2357,2022-02-07,2021-02-02,2022-02-07,242,0.00021540952366012097,0.0,0.00021540952366012097,0.0,0.8282341994637078,0.1717658005362923,1.0,0.0,UPDATED_POSITIVE_MEAN
evaluation,BASE,2373,2022-03-01,2021-03-03,2022-03-01,242,0.00018148383800187424,0.0,0.00018148383800187424,0.0,1.0,0.0,1.0,0.0,UPDATED_POSITIVE_MEAN
evaluation,BASE,2396,2022-04-01,2021-04-06,2022-04-01,242,0.00018148383800187424,0.0,0.00018148383800187424,0.0,1.0,0.0,1.0,0.0,UPDATED_POSITIVE_MEAN
evaluation,BASE,2415,2022-05-05,2021-05-06,2022-05-05,242,0.00018148383800187424,0.0,0.00018148383800187424,0.0,1.0,0.0,1.0,0.0,UPDATED_POSITIVE_MEAN
evaluation,BASE,2434,2022-06-01,2021-06-02,2022-06-01,242,0.00020095977706043034,0.0,0.00020095977706043034,0.0,1.0,0.0,1.0,0.0,UPDATED_POSITIVE_MEAN
evaluation,BASE,2455,2022-07-01,2021-07-02,2022-07-01,242,0.00019785314213366102,0.0,0.00019785314213366102,0.0,1.0,0.0,1.0,0.0,UPDATED_POSITIVE_MEAN
evaluation,BASE,2476,2022-08-01,2021-08-02,2022-08-01,242,0.00022758482768068814,0.0,0.00022758482768068814,0.0,1.0,0.0,1.0,0.0,UPDATED_POSITIVE_MEAN
evaluation,BASE,2499,2022-09-01,2021-09-02,2022-09-01,242,2.9724204485174916e-05,0.0,2.9724204485174916e-05,0.0,1.0,0.0,1.0,0.0,UPDATED_POSITIVE_MEAN
evaluation,BASE,2520,2022-10-10,2021-10-12,2022-10-10,242,2.963794680239148e-05,0.0,2.963794680239148e-05,0.0,1.0,0.0,1.0,0.0,UPDATED_POSITIVE_MEAN
evaluation,BASE,2536,2022-11-01,2021-11-03,2022-11-01,242,3.40679302708483e-05,0.0,3.40679302708483e-05,0.0,1.0,0.0,1.0,0.0,UPDATED_POSITIVE_MEAN
evaluation,BASE,2558,2022-12-01,2021-12-03,2022-12-01,242,3.151708037066807e-05,0.0,3.151708037066807e-05,0.0,1.0,0.0,1.0,0.0,UPDATED_POSITIVE_MEAN
evaluation,BASE,2580,2023-01-03,2022-01-05,2023-01-03,242,2.3283500728715352e-06,0.0,2.3283500728715352e-06,0.0,1.0,0.0,1.0,0.0,UPDATED_POSITIVE_MEAN
evaluation,BASE,2596,2023-02-01,2022-01-27,2023-02-01,242,2.3283500728715352e-06,0.00010914328717381711,2.3283500728715352e-06,0.00010914328717381711,1.0,0.0,0.020887376649172708,0.9791126233508273,UPDATED_POSITIVE_MEAN
evaluation,BASE,2616,2023-03-01,2022-03-03,2023-03-01,242,2.3283500728715352e-06,0.00010914328717381711,2.3283500728715352e-06,0.00010914328717381711,0.020887376649172708,0.9791126233508273,0.020887376649172708,0.9791126233508273,UPDATED_POSITIVE_MEAN
evaluation,BASE,2639,2023-04-03,2022-04-07,2023-04-03,242,2.3283500728715352e-06,0.00018057493255045642,2.3283500728715352e-06,0.00018057493255045642,0.020887376649172708,0.9791126233508273,0.012729952352285292,0.9872700476477148,UPDATED_POSITIVE_MEAN
evaluation,BASE,2658,2023-05-04,2022-05-09,2023-05-04,242,2.3283500728715352e-06,0.00016987472236273122,2.3283500728715352e-06,0.00016987472236273122,0.012729952352285292,0.9872700476477148,0.013520955462291463,0.9864790445377086,UPDATED_POSITIVE_MEAN
evaluation,BASE,2678,2023-06-01,2022-06-07,2023-06-01,242,-1.8106165422704745e-05,0.00016987472236273122,0.0,0.00016987472236273122,0.013520955462291463,0.9864790445377086,0.0,1.0,UPDATED_POSITIVE_MEAN
evaluation,BASE,2698,2023-07-03,2022-07-05,2023-07-03,242,-1.2176647752477565e-05,0.00016987472236273122,0.0,0.00016987472236273122,0.0,1.0,0.0,1.0,UPDATED_POSITIVE_MEAN
evaluation,BASE,2719,2023-08-01,2022-08-03,2023-08-01,242,-1.2176647752477565e-05,0.00016987472236273122,0.0,0.00016987472236273122,0.0,1.0,0.0,1.0,UPDATED_POSITIVE_MEAN
evaluation,BASE,2742,2023-09-01,2022-09-05,2023-09-01,242,0.0,0.00016987472236273122,0.0,0.00016987472236273122,0.0,1.0,0.0,1.0,UPDATED_POSITIVE_MEAN
evaluation,BASE,2762,2023-10-09,2022-10-11,2023-10-09,242,0.0,0.00016987472236273122,0.0,0.00016987472236273122,0.0,1.0,0.0,1.0,UPDATED_POSITIVE_MEAN
evaluation,BASE,2779,2023-11-01,2022-11-03,2023-11-01,242,0.0,0.00016987472236273122,0.0,0.00016987472236273122,0.0,1.0,0.0,1.0,UPDATED_POSITIVE_MEAN
evaluation,BASE,2801,2023-12-01,2022-12-05,2023-12-01,242,0.0,0.00016987472236273122,0.0,0.00016987472236273122,0.0,1.0,0.0,1.0,UPDATED_POSITIVE_MEAN
evaluation,BASE,2822,2024-01-02,2023-01-04,2024-01-02,242,0.0,0.00016987472236273122,0.0,0.00016987472236273122,0.0,1.0,0.0,1.0,UPDATED_POSITIVE_MEAN
evaluation,BASE,2844,2024-02-01,2023-02-10,2024-02-01,242,0.0,6.0731435188914106e-05,0.0,6.0731435188914106e-05,0.0,1.0,0.0,1.0,UPDATED_POSITIVE_MEAN
evaluation,BASE,2859,2024-03-01,2023-03-03,2024-03-01,242,3.7342221892207905e-05,6.0731435188914106e-05,3.7342221892207905e-05,6.0731435188914106e-05,0.0,1.0,0.3807569025525391,0.619243097447461,UPDATED_POSITIVE_MEAN
evaluation,BASE,2880,2024-04-01,2023-04-03,2024-04-01,242,3.7342221892207905e-05,8.26539751117017e-05,3.7342221892207905e-05,8.26539751117017e-05,0.3807569025525391,0.619243097447461,0.31119504471455256,0.6888049552854475,UPDATED_POSITIVE_MEAN
evaluation,BASE,2900,2024-05-06,2023-05-05,2024-05-06,242,3.7342221892207905e-05,0.00011653994416901568,3.7342221892207905e-05,0.00011653994416901568,0.31119504471455256,0.6888049552854475,0.24266763880455727,0.7573323611954428,UPDATED_POSITIVE_MEAN
evaluation,BASE,2920,2024-06-03,2023-06-02,2024-06-03,242,3.7342221892207905e-05,9.39968789387246e-05,3.7342221892207905e-05,9.39968789387246e-05,0.24266763880455727,0.7573323611954428,0.2843191529099703,0.7156808470900298,UPDATED_POSITIVE_MEAN
evaluation,BASE,2939,2024-07-01,2023-07-03,2024-07-01,242,-1.6507101846456744e-06,9.39968789387246e-05,0.0,9.39968789387246e-05,0.2843191529099703,0.7156808470900298,0.0,1.0,UPDATED_POSITIVE_MEAN
evaluation,BASE,2962,2024-08-01,2023-08-03,2024-08-01,242,1.675832085954197e-05,9.39968789387246e-05,1.675832085954197e-05,9.39968789387246e-05,0.0,1.0,0.1513095628021634,0.8486904371978367,UPDATED_POSITIVE_MEAN
evaluation,BASE,2984,2024-09-02,2023-09-04,2024-09-02,242,-1.3130643106082478e-05,9.39968789387246e-05,0.0,9.39968789387246e-05,0.1513095628021634,0.8486904371978367,0.0,1.0,UPDATED_POSITIVE_MEAN
evaluation,BASE,3003,2024-10-08,2023-10-09,2024-10-08,242,0.00015058026423680717,9.39968789387246e-05,0.00015058026423680717,9.39968789387246e-05,0.0,1.0,0.6156759469904205,0.38432405300957956,UPDATED_POSITIVE_MEAN
evaluation,BASE,3021,2024-11-01,2023-11-02,2024-11-01,242,0.00015058026423680717,3.395984628029545e-05,0.00015058026423680717,3.395984628029545e-05,0.6156759469904205,0.38432405300957956,0.8159757995964343,0.18402420040356568,UPDATED_POSITIVE_MEAN
evaluation,BASE,3042,2024-12-02,2023-12-01,2024-12-02,242,0.00015058026423680717,3.395984628029545e-05,0.00015058026423680717,3.395984628029545e-05,0.8159757995964343,0.18402420040356568,0.8159757995964343,0.18402420040356568,UPDATED_POSITIVE_MEAN
evaluation,BASE,3064,2025-01-02,2024-01-03,2025-01-02,242,0.00015058026423680717,3.395984628029545e-05,0.00015058026423680717,3.395984628029545e-05,0.8159757995964343,0.18402420040356568,0.8159757995964343,0.18402420040356568,UPDATED_POSITIVE_MEAN
evaluation,BASE,3082,2025-02-05,2024-01-29,2025-02-05,242,0.00015058026423680717,3.395984628029545e-05,0.00015058026423680717,3.395984628029545e-05,0.8159757995964343,0.18402420040356568,0.8159757995964343,0.18402420040356568,UPDATED_POSITIVE_MEAN
evaluation,BASE,3100,2025-03-03,2024-03-01,2025-03-03,242,0.00011323804234459925,3.395984628029545e-05,0.00011323804234459925,3.395984628029545e-05,0.8159757995964343,0.18402420040356568,0.7692912133622002,0.2307087866377998,UPDATED_POSITIVE_MEAN
evaluation,BASE,3121,2025-04-01,2024-04-01,2025-04-01,242,0.00011323804234459925,3.515415513629e-05,0.00011323804234459925,3.515415513629e-05,0.7692912133622002,0.2307087866377998,0.7630997065002874,0.23690029349971278,UPDATED_POSITIVE_MEAN
evaluation,BASE,3142,2025-05-06,2024-05-07,2025-05-06,242,0.00027933531665056614,-8.258009788872023e-05,0.00027933531665056614,0.0,0.7630997065002874,0.23690029349971278,1.0,0.0,UPDATED_POSITIVE_MEAN
evaluation,BASE,3161,2025-06-03,2024-06-03,2025-06-03,242,0.0002798166287815913,-6.003703265842915e-05,0.0002798166287815913,0.0,1.0,0.0,1.0,0.0,UPDATED_POSITIVE_MEAN
evaluation,BASE,3181,2025-07-01,2024-07-02,2025-07-01,242,0.000325568552909525,-6.483483101722595e-05,0.000325568552909525,0.0,1.0,0.0,1.0,0.0,UPDATED_POSITIVE_MEAN
evaluation,BASE,3204,2025-08-01,2024-08-02,2025-08-01,242,0.00030715952186533734,0.00015421502703864384,0.00030715952186533734,0.00015421502703864384,1.0,0.0,0.6657487340708552,0.33425126592914484,UPDATED_POSITIVE_MEAN
evaluation,BASE,3225,2025-09-01,2024-09-02,2025-09-01,242,0.0003137103148295069,0.00015421502703864384,0.0003137103148295069,0.00015421502703864384,0.6657487340708552,0.33425126592914484,0.6704281362002025,0.3295718637997974,UPDATED_POSITIVE_MEAN
evaluation,BASE,3247,2025-10-09,2024-10-11,2025-10-09,242,0.00017333757848807217,0.000282678444549016,0.00017333757848807217,0.000282678444549016,0.6704281362002025,0.3295718637997974,0.38011291211575365,0.6198870878842464,UPDATED_POSITIVE_MEAN
evaluation,BASE,3264,2025-11-03,2024-11-05,2025-11-03,242,0.00017333757848807217,0.000300825504813244,0.00017333757848807217,0.000300825504813244,0.38011291211575365,0.6198870878842464,0.3655653183314599,0.6344346816685402,UPDATED_POSITIVE_MEAN
evaluation,BASE,3284,2025-12-01,2024-12-03,2025-12-01,242,0.00017333757848807217,0.000300825504813244,0.00017333757848807217,0.000300825504813244,0.3655653183314599,0.6344346816685402,0.3655653183314599,0.6344346816685402,UPDATED_POSITIVE_MEAN
evaluation,BASE,3307,2026-01-05,2025-01-06,2026-01-05,242,0.00028091105497087346,0.000300825504813244,0.00028091105497087346,0.000300825504813244,0.3655653183314599,0.6344346816685402,0.4828836184459845,0.5171163815540154,UPDATED_POSITIVE_MEAN
evaluation,BASE,3327,2026-02-02,2025-02-11,2026-02-02,242,0.0002639731010159738,0.000300825504813244,0.0002639731010159738,0.000300825504813244,0.4828836184459845,0.5171163815540154,0.4673756243226161,0.532624375677384,UPDATED_POSITIVE_MEAN
evaluation,BASE,3341,2026-03-02,2025-03-03,2026-03-02,242,0.00027637152989627353,0.000300825504813244,0.00027637152989627353,0.000300825504813244,0.4673756243226161,0.532624375677384,0.4788166142179877,0.5211833857820122,UPDATED_POSITIVE_MEAN
evaluation,BASE,3363,2026-04-01,2025-04-02,2026-04-01,242,0.00027637152989627353,0.000300825504813244,0.00027637152989627353,0.000300825504813244,0.4788166142179877,0.5211833857820122,0.4788166142179877,0.5211833857820122,UPDATED_POSITIVE_MEAN
evaluation,BASE,3384,2026-05-06,2025-05-07,2026-05-06,242,0.00011675917639484435,0.000300825504813244,0.00011675917639484435,0.000300825504813244,0.4788166142179877,0.5211833857820122,0.2796059856818876,0.7203940143181125,UPDATED_POSITIVE_MEAN
evaluation,BASE,3402,2026-06-01,2025-06-03,2026-06-01,242,0.00010773615001059134,0.000300825504813244,0.00010773615001059134,0.000300825504813244,0.2796059856818876,0.7203940143181125,0.26369618572512704,0.7363038142748729,UPDATED_POSITIVE_MEAN
evaluation,BASE,3423,2026-07-01,2025-07-02,2026-07-01,242,0.0001437581676109121,0.0003056233031720408,0.0001437581676109121,0.0003056233031720408,0.26369618572512704,0.7363038142748729,0.31990230340481923,0.6800976965951808,UPDATED_POSITIVE_MEAN
evaluation,BASE,3446,2026-08-03,2025-08-04,2026-08-03,242,0.00011399997787013756,8.6573445116171e-05,0.00011399997787013756,8.6573445116171e-05,0.31990230340481923,0.6800976965951808,0.5683703063586812,0.43162969364131876,UPDATED_POSITIVE_MEAN
earlier_diagnostic,BASE,632,2014-12-31,,,0,,,,,0.5,0.5,0.5,0.5,INITIAL_HALF
earlier_diagnostic,BASE,633,2015-01-05,2015-01-05,2015-01-05,1,,,,,0.5,0.5,0.5,0.5,INSUFFICIENT_WINDOW
earlier_diagnostic,BASE,653,2015-02-02,2015-01-05,2015-02-02,21,,,,,0.5,0.5,0.5,0.5,INSUFFICIENT_WINDOW
earlier_diagnostic,BASE,668,2015-03-02,2015-01-05,2015-03-02,36,,,,,0.5,0.5,0.5,0.5,INSUFFICIENT_WINDOW
earlier_diagnostic,BASE,690,2015-04-01,2015-01-05,2015-04-01,58,,,,,0.5,0.5,0.5,0.5,INSUFFICIENT_WINDOW
earlier_diagnostic,BASE,711,2015-05-04,2015-01-05,2015-05-04,79,,,,,0.5,0.5,0.5,0.5,INSUFFICIENT_WINDOW
earlier_diagnostic,BASE,731,2015-06-01,2015-01-05,2015-06-01,99,,,,,0.5,0.5,0.5,0.5,INSUFFICIENT_WINDOW
earlier_diagnostic,BASE,752,2015-07-01,2015-01-05,2015-07-01,120,,,,,0.5,0.5,0.5,0.5,INSUFFICIENT_WINDOW
earlier_diagnostic,BASE,775,2015-08-03,2015-01-05,2015-08-03,143,,,,,0.5,0.5,0.5,0.5,INSUFFICIENT_WINDOW
earlier_diagnostic,BASE,796,2015-09-01,2015-01-05,2015-09-01,164,,,,,0.5,0.5,0.5,0.5,INSUFFICIENT_WINDOW
earlier_diagnostic,BASE,816,2015-10-08,2015-01-05,2015-10-08,184,,,,,0.5,0.5,0.5,0.5,INSUFFICIENT_WINDOW
earlier_diagnostic,BASE,833,2015-11-02,2015-01-05,2015-11-02,201,,,,,0.5,0.5,0.5,0.5,INSUFFICIENT_WINDOW
earlier_diagnostic,BASE,854,2015-12-01,2015-01-05,2015-12-01,222,,,,,0.5,0.5,0.5,0.5,INSUFFICIENT_WINDOW
earlier_diagnostic,BASE,877,2016-01-04,2015-01-08,2016-01-04,242,0.0005923774568790142,0.00042790966077085765,0.0005923774568790142,0.00042790966077085765,0.5,0.5,0.5805987810994769,0.4194012189005231,UPDATED_POSITIVE_MEAN
earlier_diagnostic,BASE,897,2016-02-01,2015-02-05,2016-02-01,242,0.0007005097866883447,0.0005047386354869867,0.0007005097866883447,0.0005047386354869867,0.5805987810994769,0.4194012189005231,0.5812160993531997,0.4187839006468002,UPDATED_POSITIVE_MEAN
earlier_diagnostic,BASE,913,2016-03-01,2015-03-06,2016-03-01,242,0.0006766998658050568,0.0004764637430230641,0.0006766998658050568,0.0004764637430230641,0.5812160993531997,0.4187839006468002,0.5868203441597843,0.4131796558402157,UPDATED_POSITIVE_MEAN
earlier_diagnostic,BASE,936,2016-04-01,2015-04-09,2016-04-01,242,0.00024791099061528945,4.6707313686363674e-05,0.00024791099061528945,4.6707313686363674e-05,0.5868203441597843,0.4131796558402157,0.8414649972374388,0.1585350027625612,UPDATED_POSITIVE_MEAN
earlier_diagnostic,BASE,956,2016-05-03,2015-05-08,2016-05-03,242,0.00019769849930184372,0.0,0.00019769849930184372,0.0,0.8414649972374388,0.1585350027625612,1.0,0.0,UPDATED_POSITIVE_MEAN
earlier_diagnostic,BASE,977,2016-06-01,2015-06-08,2016-06-01,242,6.096089977460944e-05,0.0,6.096089977460944e-05,0.0,1.0,0.0,1.0,0.0,UPDATED_POSITIVE_MEAN
earlier_diagnostic,BASE,997,2016-07-01,2015-07-07,2016-07-01,242,0.00015235807953224424,0.0,0.00015235807953224424,0.0,1.0,0.0,1.0,0.0,UPDATED_POSITIVE_MEAN
earlier_diagnostic,BASE,1018,2016-08-01,2015-08-05,2016-08-01,242,0.00023829338841687634,0.0,0.00023829338841687634,0.0,1.0,0.0,1.0,0.0,UPDATED_POSITIVE_MEAN
earlier_diagnostic,BASE,1041,2016-09-01,2015-09-09,2016-09-01,242,0.00023829338841687634,0.0,0.00023829338841687634,0.0,1.0,0.0,1.0,0.0,UPDATED_POSITIVE_MEAN
earlier_diagnostic,BASE,1061,2016-10-10,2015-10-14,2016-10-10,242,0.00014778173403338064,-7.702358312202516e-05,0.00014778173403338064,0.0,1.0,0.0,1.0,0.0,UPDATED_POSITIVE_MEAN
earlier_diagnostic,BASE,1077,2016-11-01,2015-11-05,2016-11-01,242,7.659771355049704e-05,-7.702358312202516e-05,7.659771355049704e-05,0.0,1.0,0.0,1.0,0.0,UPDATED_POSITIVE_MEAN
earlier_diagnostic,BASE,1099,2016-12-01,2015-12-07,2016-12-01,242,6.85311065632034e-05,-7.702358312202516e-05,6.85311065632034e-05,0.0,1.0,0.0,1.0,0.0,UPDATED_POSITIVE_MEAN
earlier_diagnostic,BASE,1121,2017-01-03,2016-01-07,2017-01-03,242,6.983128238199886e-05,-7.702358312202516e-05,6.983128238199886e-05,0.0,1.0,0.0,1.0,0.0,UPDATED_POSITIVE_MEAN
earlier_diagnostic,BASE,1139,2017-02-03,2016-02-02,2017-02-03,242,6.983128238199886e-05,-7.702358312202516e-05,6.983128238199886e-05,0.0,1.0,0.0,1.0,0.0,UPDATED_POSITIVE_MEAN
earlier_diagnostic,BASE,1157,2017-03-01,2016-03-04,2017-03-01,242,6.983128238199886e-05,-1.5464996113498316e-05,6.983128238199886e-05,0.0,1.0,0.0,1.0,0.0,UPDATED_POSITIVE_MEAN
earlier_diagnostic,BASE,1180,2017-04-05,2016-04-07,2017-04-05,242,6.983128238199886e-05,-1.5464996113498316e-05,6.983128238199886e-05,0.0,1.0,0.0,1.0,0.0,UPDATED_POSITIVE_MEAN
earlier_diagnostic,BASE,1198,2017-05-02,2016-05-04,2017-05-02,242,1.3843636582273188e-05,-1.5464996113498316e-05,1.3843636582273188e-05,0.0,1.0,0.0,1.0,0.0,UPDATED_POSITIVE_MEAN
earlier_diagnostic,BASE,1218,2017-06-01,2016-06-01,2017-06-01,242,9.65837829336467e-05,-1.5464996113498316e-05,9.65837829336467e-05,0.0,1.0,0.0,1.0,0.0,UPDATED_POSITIVE_MEAN
earlier_diagnostic,BASE,1240,2017-07-03,2016-07-05,2017-07-03,242,0.0001834231741382092,-1.5464996113498316e-05,0.0001834231741382092,0.0,1.0,0.0,1.0,0.0,UPDATED_POSITIVE_MEAN
earlier_diagnostic,BASE,1261,2017-08-01,2016-08-03,2017-08-01,242,0.00022902325188714972,-1.5464996113498316e-05,0.00022902325188714972,0.0,1.0,0.0,1.0,0.0,UPDATED_POSITIVE_MEAN
earlier_diagnostic,BASE,1284,2017-09-01,2016-09-05,2017-09-01,242,0.00020440712946250786,-1.5464996113498316e-05,0.00020440712946250786,0.0,1.0,0.0,1.0,0.0,UPDATED_POSITIVE_MEAN
earlier_diagnostic,BASE,1305,2017-10-09,2016-10-13,2017-10-09,242,0.00020440712946250786,6.155858700852685e-05,0.00020440712946250786,6.155858700852685e-05,1.0,0.0,0.7685469096343817,0.23145309036561848,UPDATED_POSITIVE_MEAN
earlier_diagnostic,BASE,1322,2017-11-01,2016-11-07,2017-11-01,242,0.00020440712946250786,0.00012167731738974535,0.00020440712946250786,0.00012167731738974535,0.7685469096343817,0.23145309036561848,0.62685335481555,0.37314664518444995,UPDATED_POSITIVE_MEAN
earlier_diagnostic,BASE,1344,2017-12-01,2016-12-07,2017-12-01,242,0.00020440712946250786,0.0001652198244415336,0.00020440712946250786,0.0001652198244415336,0.62685335481555,0.37314664518444995,0.5530092632681053,0.4469907367318948,UPDATED_POSITIVE_MEAN
earlier_diagnostic,BASE,1365,2018-01-02,2017-01-06,2018-01-02,242,0.00020440712946250786,0.00014780961897506326,0.00020440712946250786,0.00014780961897506326,0.5530092632681053,0.4469907367318948,0.5803447177604564,0.4196552822395437,UPDATED_POSITIVE_MEAN
earlier_diagnostic,BASE,1387,2018-02-01,2017-02-14,2018-02-01,242,0.00020440712946250786,0.00017921553861055723,0.00020440712946250786,0.00017921553861055723,0.5803447177604564,0.4196552822395437,0.5328338142509772,0.46716618574902274,UPDATED_POSITIVE_MEAN
earlier_diagnostic,BASE,1402,2018-03-01,2017-03-07,2018-03-01,242,0.00029183254599402425,0.00013738760463142145,0.00029183254599402425,0.00013738760463142145,0.5328338142509772,0.46716618574902274,0.679913432695961,0.3200865673040389,UPDATED_POSITIVE_MEAN
earlier_diagnostic,BASE,1424,2018-04-02,2017-04-10,2018-04-02,242,0.0002847432737186525,0.00013738760463142145,0.0002847432737186525,0.00013738760463142145,0.679913432695961,0.3200865673040389,0.6745378941042887,0.32546210589571145,UPDATED_POSITIVE_MEAN
earlier_diagnostic,BASE,1442,2018-05-02,2017-05-05,2018-05-02,242,0.0002847432737186525,0.00013738760463142145,0.0002847432737186525,0.00013738760463142145,0.6745378941042887,0.32546210589571145,0.6745378941042887,0.32546210589571145,UPDATED_POSITIVE_MEAN
earlier_diagnostic,BASE,1464,2018-06-01,2017-06-08,2018-06-01,242,0.0002173065130913396,0.00013738760463142145,0.0002173065130913396,0.00013738760463142145,0.6745378941042887,0.32546210589571145,0.6126589143527679,0.38734108564723224,UPDATED_POSITIVE_MEAN
earlier_diagnostic,BASE,1484,2018-07-02,2017-07-06,2018-07-02,242,0.0001365686488127665,0.00013738760463142145,0.0001365686488127665,0.00013738760463142145,0.6126589143527679,0.38734108564723224,0.4985053164358196,0.5014946835641804,UPDATED_POSITIVE_MEAN
earlier_diagnostic,BASE,1506,2018-08-01,2017-08-07,2018-08-01,242,6.804554625709562e-05,0.00013738760463142145,6.804554625709562e-05,0.00013738760463142145,0.4985053164358196,0.5014946835641804,0.33122962853265137,0.6687703714673487,UPDATED_POSITIVE_MEAN
