comparison,month,delta_sum,days
BASE_M1_MINUS_M0,2025-09,-0.0004511467002028535,22
BASE_M1_MINUS_M0,2025-10,0.0,17
BASE_M1_MINUS_M0,2025-11,0.0,20
BASE_M1_MINUS_M0,2025-12,3.363060717243016e-06,23
BASE_M1_MINUS_M0,2026-01,1.7781589740639703e-06,20
BASE_M1_MINUS_M0,2026-02,1.7420191017469833e-06,14
BASE_M1_MINUS_M0,2026-03,-5.6551174228092194e-05,22
BASE_M1_MINUS_M0,2026-04,-3.0264375812549815e-05,21
BASE_M1_MINUS_M0,2026-05,-0.00808093566377932,18
BASE_M1_MINUS_M0,2026-06,-0.014009957114432425,21
BASE_M1_MINUS_M0,2026-07,0.0018735328992215416,24
BASE_M1_MINUS_VOL_ONLY,2023-01,0.0,16
BASE_M1_MINUS_VOL_ONLY,2023-02,0.01876487806864846,20
BASE_M1_MINUS_VOL_ONLY,2023-03,0.0035461062630427476,23
BASE_M1_MINUS_VOL_ONLY,2023-04,-0.0006182244085798372,19
BASE_M1_MINUS_VOL_ONLY,2023-05,4.230138886474055e-05,20
BASE_M1_MINUS_VOL_ONLY,2023-06,-0.01897059947970825,20
BASE_M1_MINUS_VOL_ONLY,2023-07,-0.040246015174048466,21
BASE_M1_MINUS_VOL_ONLY,2023-08,0.0002978777293097812,23
BASE_M1_MINUS_VOL_ONLY,2023-09,0.016992879383104342,20
BASE_M1_MINUS_VOL_ONLY,2023-10,0.024950923200313002,17
BASE_M1_MINUS_VOL_ONLY,2023-11,-0.008411578539368136,22
BASE_M1_MINUS_VOL_ONLY,2023-12,0.016301855890984762,21
BASE_M1_MINUS_VOL_ONLY,2024-01,-0.0011924660992582714,22
BASE_M1_MINUS_VOL_ONLY,2024-02,3.810606276932749e-05,15
BASE_M1_MINUS_VOL_ONLY,2024-03,-5.69172955178221e-06,21
BASE_M1_MINUS_VOL_ONLY,2024-04,-0.017125544121616376,20
BASE_M1_MINUS_VOL_ONLY,2024-05,-0.0006584955401299775,20
BASE_M1_MINUS_VOL_ONLY,2024-06,0.024527184694762894,19
BASE_M1_MINUS_VOL_ONLY,2024-07,-0.00675298926329404,23
BASE_M1_MINUS_VOL_ONLY,2024-08,0.023637497699114385,22
BASE_M1_MINUS_VOL_ONLY,2024-09,0.0014919220825201363,19
BASE_M1_MINUS_VOL_ONLY,2024-10,2.3292210436287597e-05,18
BASE_M1_MINUS_VOL_ONLY,2024-11,-0.0017765805321146022,21
BASE_M1_MINUS_VOL_ONLY,2024-12,-0.0024442202693248927,22
BASE_M1_MINUS_VOL_ONLY,2025-01,0.021266081622845823,18
BASE_M1_MINUS_VOL_ONLY,2025-02,-0.0046344447463883,18
BASE_M1_MINUS_VOL_ONLY,2025-03,0.0013764869865956486,21
BASE_M1_MINUS_VOL_ONLY,2025-04,-0.0012828192415165196,21
BASE_M1_MINUS_VOL_ONLY,2025-05,3.7468761322489996e-06,19
BASE_M1_MINUS_VOL_ONLY,2025-06,1.8292436881339746e-05,20
BASE_M1_MINUS_VOL_ONLY,2025-07,-3.133195528426391e-05,23
BASE_M1_MINUS_VOL_ONLY,2025-08,-0.10541190058036798,21
BASE_M1_MINUS_VOL_ONLY,2025-09,-0.021991265725361475,22
BASE_M1_MINUS_VOL_ONLY,2025-10,-0.002438585607449806,17
BASE_M1_MINUS_VOL_ONLY,2025-11,0.01353471689097241,20
BASE_M1_MINUS_VOL_ONLY,2025-12,-0.0016689999768734198,23
BASE_M1_MINUS_VOL_ONLY,2026-01,5.91988779896635e-06,20
BASE_M1_MINUS_VOL_ONLY,2026-02,6.084965006980525e-06,14
BASE_M1_MINUS_VOL_ONLY,2026-03,-8.142166236457804e-06,22
BASE_M1_MINUS_VOL_ONLY,2026-04,2.8832435656322986e-05,21
BASE_M1_MINUS_VOL_ONLY,2026-05,-0.008083984477877837,18
BASE_M1_MINUS_VOL_ONLY,2026-06,-0.014002656598521956,21
BASE_M1_MINUS_VOL_ONLY,2026-07,0.032677681903093836,24
STRESS_M1_MINUS_M0,2023-01,0.0,16
STRESS_M1_MINUS_M0,2023-02,0.018291888552350977,20
STRESS_M1_MINUS_M0,2023-03,0.0023265163200612005,23
STRESS_M1_MINUS_M0,2023-04,-0.006024924816041,19
STRESS_M1_MINUS_M0,2023-05,-0.001304305833353503,20
STRESS_M1_MINUS_M0,2023-06,-5.659270883695555e-06,20
STRESS_M1_MINUS_M0,2023-07,-0.037526470713327376,21
STRESS_M1_MINUS_M0,2023-08,6.161977463015056e-05,23
STRESS_M1_MINUS_M0,2023-09,-4.399150678402464e-06,20
STRESS_M1_MINUS_M0,2023-10,0.02469665188277914,17
STRESS_M1_MINUS_M0,2023-11,-0.009025833924455662,22
STRESS_M1_MINUS_M0,2023-12,0.01586791454127512,21
STRESS_M1_MINUS_M0,2024-01,-0.001570116948681921,22
STRESS_M1_MINUS_M0,2024-02,-9.557253451208947e-05,15
STRESS_M1_MINUS_M0,2024-03,-2.380777793686839e-06,21
STRESS_M1_MINUS_M0,2024-04,-1.1303991844791028e-06,20
STRESS_M1_MINUS_M0,2024-05,0.0,20
STRESS_M1_MINUS_M0,2024-06,0.0,19
STRESS_M1_MINUS_M0,2024-07,0.0,23
STRESS_M1_MINUS_M0,2024-08,0.022713646255386744,22
STRESS_M1_MINUS_M0,2024-09,0.23410608250227438,19
STRESS_M1_MINUS_M0,2024-10,0.06368173069145167,18
STRESS_M1_MINUS_M0,2024-11,-0.0006324328110163258,21
STRESS_M1_MINUS_M0,2024-12,0.0,22
STRESS_M1_MINUS_M0,2025-01,0.0,18
STRESS_M1_MINUS_M0,2025-02,-4.6336622939735506e-06,18
STRESS_M1_MINUS_M0,2025-03,0.001053043860369085,21
STRESS_M1_MINUS_M0,2025-04,-0.0018681990521566272,21
STRESS_M1_MINUS_M0,2025-05,0.008115632078819712,19
STRESS_M1_MINUS_M0,2025-06,-0.0007005423194449412,20
STRESS_M1_MINUS_M0,2025-07,-1.7972785928521695e-05,23
STRESS_M1_MINUS_M0,2025-08,-0.10602449103251943,21
STRESS_M1_MINUS_M0,2025-09,0.00018228841581802158,22
STRESS_M1_MINUS_M0,2025-10,0.0,17
STRESS_M1_MINUS_M0,2025-11,0.0,20
STRESS_M1_MINUS_M0,2025-12,1.9560869148338433e-05,23
STRESS_M1_MINUS_M0,2026-01,5.095847014691124e-06,20
STRESS_M1_MINUS_M0,2026-02,1.560498172681335e-05,14
STRESS_M1_MINUS_M0,2026-03,-9.674951406601906e-05,22
STRESS_M1_MINUS_M0,2026-04,4.4770513697445224e-06,21
STRESS_M1_MINUS_M0,2026-05,-0.008423818098306834,18
STRESS_M1_MINUS_M0,2026-06,-0.01398637770859179,21
STRESS_M1_MINUS_M0,2026-07,0.002407626157608478,24
STRESS_M1_MINUS_VOL_ONLY,2023-01,0.0,16
STRESS_M1_MINUS_VOL_ONLY,2023-02,0.018291888552350977,20
STRESS_M1_MINUS_VOL_ONLY,2023-03,0.0037166873696407032,23
STRESS_M1_MINUS_VOL_ONLY,2023-04,-0.0010758994636804742,19
STRESS_M1_MINUS_VOL_ONLY,2023-05,-9.626371985194115e-05,20
STRESS_M1_MINUS_VOL_ONLY,2023-06,-0.01954703535712632,20
STRESS_M1_MINUS_VOL_ONLY,2023-07,-0.040250915978527035,21
STRESS_M1_MINUS_VOL_ONLY,2023-08,1.8601620539904218e-05,23
STRESS_M1_MINUS_VOL_ONLY,2023-09,0.01663220266875709,20
STRESS_M1_MINUS_VOL_ONLY,2023-10,0.025013547321077745,17
STRESS_M1_MINUS_VOL_ONLY,2023-11,-0.009063609280910101,22
STRESS_M1_MINUS_VOL_ONLY,2023-12,0.015866659792166282,21
STRESS_M1_MINUS_VOL_ONLY,2024-01,-0.0015315606315146058,22
STRESS_M1_MINUS_VOL_ONLY,2024-02,5.257169969141717e-05,15
STRESS_M1_MINUS_VOL_ONLY,2024-03,-6.4439611936473185e-06,21
STRESS_M1_MINUS_VOL_ONLY,2024-04,-0.017155876111619173,20
STRESS_M1_MINUS_VOL_ONLY,2024-05,-0.0004054710330640976,20
STRESS_M1_MINUS_VOL_ONLY,2024-06,0.02472039558233008,19
STRESS_M1_MINUS_VOL_ONLY,2024-07,-0.0067046480947732245,23
STRESS_M1_MINUS_VOL_ONLY,2024-08,0.023880481747094673,22
STRESS_M1_MINUS_VOL_ONLY,2024-09,0.0005348332341065243,19
STRESS_M1_MINUS_VOL_ONLY,2024-10,9.57819216607092e-06,18
STRESS_M1_MINUS_VOL_ONLY,2024-11,-0.0019069646142820806,21
STRESS_M1_MINUS_VOL_ONLY,2024-12,-0.0022663178495782033,22
STRESS_M1_MINUS_VOL_ONLY,2025-01,0.02147286521591052,18
STRESS_M1_MINUS_VOL_ONLY,2025-02,-0.004934486038973285,18
STRESS_M1_MINUS_VOL_ONLY,2025-03,0.0010597252874899876,21
STRESS_M1_MINUS_VOL_ONLY,2025-04,-0.0018718733924065756,21
STRESS_M1_MINUS_VOL_ONLY,2025-05,1.9207813514499072e-05,19
STRESS_M1_MINUS_VOL_ONLY,2025-06,-2.7337759442080944e-05,20
STRESS_M1_MINUS_VOL_ONLY,2025-07,-1.8033399632133573e-05,23
STRESS_M1_MINUS_VOL_ONLY,2025-08,-0.10606435787623247,21
STRESS_M1_MINUS_VOL_ONLY,2025-09,-0.021809774749784072,22
STRESS_M1_MINUS_VOL_ONLY,2025-10,-0.002343386182403595,17
STRESS_M1_MINUS_VOL_ONLY,2025-11,0.01356863077588455,20
STRESS_M1_MINUS_VOL_ONLY,2025-12,-0.002002522911306981,23
STRESS_M1_MINUS_VOL_ONLY,2026-01,5.262043824449947e-06,20
STRESS_M1_MINUS_VOL_ONLY,2026-02,2.2332651664624947e-05,14
STRESS_M1_MINUS_VOL_ONLY,2026-03,-1.3722876036403875e-05,22
STRESS_M1_MINUS_VOL_ONLY,2026-04,-8.964836841762747e-07,21
STRESS_M1_MINUS_VOL_ONLY,2026-05,-0.008445280911975828,18
STRESS_M1_MINUS_VOL_ONLY,2026-06,-0.013995550076912555,21
STRESS_M1_MINUS_VOL_ONLY,2026-07,0.033183100389478914,24
