fit_index,fit_origin,fit_time,status,training_cycle_count,training_rows,latest_exit_index,oldest_exit_date,newest_exit_date,oldest_cycle_age_calendar_days,cycles_older_than_365_calendar_days,cycles_older_than_1095_calendar_days,effective_weighted_cycles
1041,2016-09-01,2016-09-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,8,320,1016,2014-10-30,2016-07-28,672,5,0,6.786041479824756
1061,2016-10-10,2016-10-10 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,8,320,1016,2014-10-30,2016-07-28,711,5,0,6.786041479824756
1077,2016-11-01,2016-11-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,8,320,1016,2014-10-30,2016-07-28,733,5,0,6.786041479824755
1099,2016-12-01,2016-12-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,9,379,1079,2014-10-30,2016-11-03,763,5,0,7.235095541387839
1121,2017-01-03,2017-01-03 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,9,379,1079,2014-10-30,2016-11-03,796,6,0,7.2350955413878415
1139,2017-02-03,2017-02-03 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,9,379,1079,2014-10-30,2016-11-03,827,7,0,7.235095541387839
1157,2017-03-01,2017-03-01 15:05:00,FIT_COMPLETE,10,438,1142,2014-10-30,2017-02-08,853,7,0,7.681441710533661
1180,2017-04-05,2017-04-05 15:05:00,FIT_COMPLETE,10,438,1142,2014-10-30,2017-02-08,888,7,0,7.681441710533661
1198,2017-05-02,2017-05-02 15:05:00,FIT_COMPLETE,10,438,1142,2014-10-30,2017-02-08,915,7,0,7.6814417105336625
1218,2017-06-01,2017-06-01 15:05:00,FIT_COMPLETE,11,497,1205,2014-10-30,2017-05-11,945,7,0,8.105290720566714
1240,2017-07-03,2017-07-03 15:05:00,FIT_COMPLETE,11,497,1205,2014-10-30,2017-05-11,977,7,0,8.10529072056671
1261,2017-08-01,2017-08-01 15:05:00,FIT_COMPLETE,11,497,1205,2014-10-30,2017-05-11,1006,8,0,8.10529072056671
1284,2017-09-01,2017-09-01 15:05:00,FIT_COMPLETE,12,556,1270,2014-10-30,2017-08-14,1037,8,0,8.484689186223129
1305,2017-10-09,2017-10-09 15:05:00,FIT_COMPLETE,12,556,1270,2014-10-30,2017-08-14,1075,8,0,8.484689186223129
1322,2017-11-01,2017-11-01 15:05:00,FIT_COMPLETE,12,556,1270,2014-10-30,2017-08-14,1098,8,1,8.484689186223129
1344,2017-12-01,2017-12-01 15:05:00,FIT_COMPLETE,13,615,1333,2014-10-30,2017-11-16,1128,9,1,8.83290046983832
1365,2018-01-02,2018-01-02 15:05:00,FIT_COMPLETE,13,615,1333,2014-10-30,2017-11-16,1160,9,1,8.832900469838322
1387,2018-02-01,2018-02-01 15:05:00,FIT_COMPLETE,13,615,1333,2014-10-30,2017-11-16,1190,9,2,8.832900469838318
1402,2018-03-01,2018-03-01 15:05:00,FIT_COMPLETE,14,671,1393,2014-10-30,2018-02-09,1218,10,3,9.166630623294562
1424,2018-04-02,2018-04-02 15:05:00,FIT_COMPLETE,14,671,1393,2014-10-30,2018-02-09,1250,10,3,9.166630623294564
1442,2018-05-02,2018-05-02 15:05:00,FIT_COMPLETE,14,671,1393,2014-10-30,2018-02-09,1280,10,3,9.166630623294562
1464,2018-06-01,2018-06-01 15:05:00,FIT_COMPLETE,14,671,1393,2014-10-30,2018-02-09,1310,11,4,9.166630623294562
1484,2018-07-02,2018-07-02 15:05:00,FIT_COMPLETE,14,671,1393,2014-10-30,2018-02-09,1341,11,5,9.16663062329456
1506,2018-08-01,2018-08-01 15:05:00,FIT_COMPLETE,14,671,1393,2014-10-30,2018-02-09,1371,11,5,9.16663062329456
1529,2018-09-03,2018-09-03 15:05:00,FIT_COMPLETE,14,671,1393,2014-10-30,2018-02-09,1404,12,5,9.166630623294564
1548,2018-10-08,2018-10-08 15:05:00,FIT_COMPLETE,14,671,1393,2014-10-30,2018-02-09,1439,12,5,9.16663062329456
1566,2018-11-01,2018-11-01 15:05:00,FIT_COMPLETE,15,678,1557,2014-10-30,2018-10-19,1463,12,5,8.575953273690374
1588,2018-12-03,2018-12-03 15:05:00,FIT_COMPLETE,15,678,1557,2014-10-30,2018-10-19,1495,13,5,8.575953273690372
1608,2019-01-02,2019-01-02 15:05:00,FIT_COMPLETE,15,678,1557,2014-10-30,2018-10-19,1525,13,6,8.575953273690374
1630,2019-02-01,2019-02-01 15:05:00,FIT_COMPLETE,15,678,1557,2014-10-30,2018-10-19,1555,13,7,8.575953273690372
1645,2019-03-01,2019-03-01 15:05:00,FIT_COMPLETE,15,678,1557,2014-10-30,2018-10-19,1583,14,7,8.575953273690374
1666,2019-04-01,2019-04-01 15:05:00,FIT_COMPLETE,15,678,1557,2014-10-30,2018-10-19,1614,14,7,8.575953273690372
1687,2019-05-06,2019-05-06 15:05:00,FIT_COMPLETE,15,678,1557,2014-10-30,2018-10-19,1649,14,7,8.575953273690372
1707,2019-06-03,2019-06-03 15:05:00,FIT_COMPLETE,16,721,1688,2014-10-30,2019-05-07,1677,14,7,7.846433795127926
1726,2019-07-01,2019-07-01 15:05:00,FIT_COMPLETE,16,721,1688,2014-10-30,2019-05-07,1705,14,7,7.846433795127928
1749,2019-08-01,2019-08-01 15:05:00,FIT_COMPLETE,17,759,1730,2014-10-30,2019-07-05,1736,14,8,7.962013939120728
1771,2019-09-02,2019-09-02 15:05:00,FIT_COMPLETE,17,759,1730,2014-10-30,2019-07-05,1768,14,8,7.962013939120728
1791,2019-10-08,2019-10-08 15:05:00,FIT_COMPLETE,17,759,1730,2014-10-30,2019-07-05,1804,14,8,7.962013939120728
1809,2019-11-01,2019-11-01 15:05:00,FIT_COMPLETE,17,759,1730,2014-10-30,2019-07-05,1828,15,8,7.962013939120724
1830,2019-12-02,2019-12-02 15:05:00,FIT_COMPLETE,17,759,1730,2014-10-30,2019-07-05,1859,15,9,7.962013939120726
1852,2020-01-02,2020-01-02 15:05:00,FIT_COMPLETE,17,759,1730,2014-10-30,2019-07-05,1890,15,9,7.962013939120728
1868,2020-02-03,2020-02-03 15:05:00,FIT_COMPLETE,17,759,1730,2014-10-30,2019-07-05,1922,15,9,7.962013939120729
1888,2020-03-02,2020-03-02 15:05:00,FIT_COMPLETE,17,759,1730,2014-10-30,2019-07-05,1950,15,10,7.962013939120728
1910,2020-04-01,2020-04-01 15:05:00,FIT_COMPLETE,18,787,1899,2014-10-30,2020-03-17,1980,15,10,7.300065484803463
1931,2020-05-06,2020-05-06 15:05:00,FIT_COMPLETE,18,787,1899,2014-10-30,2020-03-17,2015,15,10,7.300065484803464
1949,2020-06-01,2020-06-01 15:05:00,FIT_COMPLETE,19,829,1945,2014-10-30,2020-05-26,2041,16,11,7.456265052306125
1969,2020-07-01,2020-07-01 15:05:00,FIT_COMPLETE,19,829,1945,2014-10-30,2020-05-26,2071,16,11,7.456265052306125
1992,2020-08-03,2020-08-03 15:05:00,FIT_COMPLETE,19,829,1945,2014-10-30,2020-05-26,2104,17,11,7.456265052306125
2013,2020-09-01,2020-09-01 15:05:00,FIT_COMPLETE,19,829,1945,2014-10-30,2020-05-26,2133,17,12,7.456265052306122
2035,2020-10-09,2020-10-09 15:05:00,FIT_COMPLETE,20,888,2029,2014-10-30,2020-09-23,2171,17,12,7.604395320659216
2051,2020-11-02,2020-11-02 15:05:00,FIT_COMPLETE,20,888,2029,2014-10-30,2020-09-23,2195,17,12,7.604395320659216
2072,2020-12-01,2020-12-01 15:05:00,FIT_COMPLETE,20,888,2029,2014-10-30,2020-09-23,2224,17,13,7.604395320659216
2095,2021-01-04,2021-01-04 15:05:00,FIT_COMPLETE,20,888,2029,2014-10-30,2020-09-23,2258,17,13,7.604395320659218
2115,2021-02-01,2021-02-01 15:05:00,FIT_COMPLETE,20,888,2029,2014-10-30,2020-09-23,2286,17,13,7.604395320659216
2130,2021-03-01,2021-03-01 15:05:00,FIT_COMPLETE,20,862,2130,2015-01-20,2021-03-01,2232,16,13,7.567322681844055
2153,2021-04-01,2021-04-01 15:05:00,FIT_COMPLETE,20,862,2130,2015-01-20,2021-03-01,2263,17,13,7.567322681844055
2174,2021-05-06,2021-05-06 15:05:00,FIT_COMPLETE,20,862,2130,2015-01-20,2021-03-01,2298,17,13,7.567322681844055
2192,2021-06-01,2021-06-01 15:05:00,FIT_COMPLETE,20,862,2130,2015-01-20,2021-03-01,2324,18,13,7.567322681844056
2213,2021-07-01,2021-07-01 15:05:00,FIT_COMPLETE,20,862,2130,2015-01-20,2021-03-01,2354,18,13,7.5673226818440575
2235,2021-08-02,2021-08-02 15:05:00,FIT_COMPLETE,20,844,2232,2015-02-03,2021-07-28,2372,17,12,7.4657316106951885
2257,2021-09-01,2021-09-01 15:05:00,FIT_COMPLETE,20,844,2232,2015-02-03,2021-07-28,2402,17,12,7.4657316106951885
2277,2021-10-08,2021-10-08 15:05:00,FIT_COMPLETE,20,844,2232,2015-02-03,2021-07-28,2439,18,12,7.465731610695187
2293,2021-11-01,2021-11-01 15:05:00,FIT_COMPLETE,20,844,2232,2015-02-03,2021-07-28,2463,18,13,7.465731610695189
2315,2021-12-01,2021-12-01 15:05:00,FIT_COMPLETE,20,844,2232,2015-02-03,2021-07-28,2493,18,13,7.4657316106951885
2338,2022-01-04,2022-01-04 15:05:00,FIT_COMPLETE,20,844,2232,2015-02-03,2021-07-28,2527,18,13,7.465731610695187
2357,2022-02-07,2022-02-07 15:05:00,FIT_COMPLETE,20,892,2347,2015-05-12,2022-01-17,2463,17,12,7.24535597272675
2373,2022-03-01,2022-03-01 15:05:00,FIT_COMPLETE,20,892,2347,2015-05-12,2022-01-17,2485,17,12,7.245355972726749
2396,2022-04-01,2022-04-01 15:05:00,FIT_COMPLETE,20,892,2347,2015-05-12,2022-01-17,2516,18,12,7.245355972726749
2415,2022-05-05,2022-05-05 15:05:00,FIT_COMPLETE,20,892,2347,2015-05-12,2022-01-17,2550,18,12,7.245355972726751
2434,2022-06-01,2022-06-01 15:05:00,FIT_COMPLETE,20,892,2347,2015-05-12,2022-01-17,2577,18,13,7.245355972726749
2455,2022-07-01,2022-07-01 15:05:00,FIT_COMPLETE,20,892,2347,2015-05-12,2022-01-17,2607,18,13,7.24535597272675
2476,2022-08-01,2022-08-01 15:05:00,FIT_COMPLETE,20,892,2347,2015-05-12,2022-01-17,2638,19,14,7.245355972726746
2499,2022-09-01,2022-09-01 15:05:00,FIT_COMPLETE,20,890,2479,2015-06-23,2022-08-04,2627,18,13,6.855660539613203
2520,2022-10-10,2022-10-10 15:05:00,FIT_COMPLETE,20,885,2504,2015-12-29,2022-09-08,2477,17,12,7.2359772677460885
2536,2022-11-01,2022-11-01 15:05:00,FIT_COMPLETE,20,885,2504,2015-12-29,2022-09-08,2499,17,12,7.2359772677460885
2558,2022-12-01,2022-12-01 15:05:00,FIT_COMPLETE,20,885,2504,2015-12-29,2022-09-08,2529,17,12,7.2359772677460885
2580,2023-01-03,2023-01-03 15:05:00,FIT_COMPLETE,20,885,2504,2015-12-29,2022-09-08,2562,17,12,7.2359772677460885
2596,2023-02-01,2023-02-01 15:05:00,FIT_COMPLETE,20,885,2504,2015-12-29,2022-09-08,2591,18,12,7.2359772677460885
2616,2023-03-01,2023-03-01 15:05:00,FIT_COMPLETE,20,885,2504,2015-12-29,2022-09-08,2619,18,12,7.2359772677460885
2639,2023-04-03,2023-04-03 15:05:00,FIT_COMPLETE,20,885,2504,2015-12-29,2022-09-08,2652,18,13,7.2359772677460885
2658,2023-05-04,2023-05-04 15:05:00,FIT_COMPLETE,20,885,2504,2015-12-29,2022-09-08,2683,18,13,7.235977267746092
2678,2023-06-01,2023-06-01 15:05:00,FIT_COMPLETE,20,885,2504,2015-12-29,2022-09-08,2711,18,14,7.23597726774609
2698,2023-07-03,2023-07-03 15:05:00,FIT_COMPLETE,20,885,2504,2015-12-29,2022-09-08,2743,18,14,7.235977267746087
2719,2023-08-01,2023-08-01 15:05:00,FIT_COMPLETE,20,885,2504,2015-12-29,2022-09-08,2772,18,14,7.2359772677460885
2742,2023-09-01,2023-09-01 15:05:00,FIT_COMPLETE,20,885,2504,2015-12-29,2022-09-08,2803,19,14,7.2359772677460885
2762,2023-10-09,2023-10-09 15:05:00,FIT_COMPLETE,20,885,2504,2015-12-29,2022-09-08,2841,20,15,7.2359772677460885
2779,2023-11-01,2023-11-01 15:05:00,FIT_COMPLETE,20,885,2504,2015-12-29,2022-09-08,2864,20,15,7.2359772677460885
2801,2023-12-01,2023-12-01 15:05:00,FIT_COMPLETE,20,885,2504,2015-12-29,2022-09-08,2894,20,15,7.235977267746087
2822,2024-01-02,2024-01-02 15:05:00,FIT_COMPLETE,20,885,2504,2015-12-29,2022-09-08,2926,20,15,7.2359772677460885
2844,2024-02-01,2024-02-01 15:05:00,FIT_COMPLETE,20,885,2504,2015-12-29,2022-09-08,2956,20,15,7.235977267746087
2859,2024-03-01,2024-03-01 15:05:00,FIT_COMPLETE,20,885,2504,2015-12-29,2022-09-08,2985,20,16,7.235977267746087
2880,2024-04-01,2024-04-01 15:05:00,FIT_COMPLETE,20,885,2504,2015-12-29,2022-09-08,3016,20,16,7.235977267746085
2900,2024-05-06,2024-05-06 15:05:00,FIT_COMPLETE,20,885,2504,2015-12-29,2022-09-08,3051,20,16,7.235977267746087
2920,2024-06-03,2024-06-03 15:05:00,FIT_COMPLETE,20,885,2910,2016-01-12,2024-05-20,3065,19,15,4.519996999171801
2939,2024-07-01,2024-07-01 15:05:00,FIT_COMPLETE,20,885,2910,2016-01-12,2024-05-20,3093,19,15,4.519996999171801
2962,2024-08-01,2024-08-01 15:05:00,FIT_COMPLETE,20,915,2945,2016-07-28,2024-07-09,2926,18,15,4.911530240034946
2984,2024-09-02,2024-09-02 15:05:00,FIT_COMPLETE,20,915,2945,2016-07-28,2024-07-09,2958,18,15,4.911530240034945
3003,2024-10-08,2024-10-08 15:05:00,FIT_COMPLETE,20,896,2989,2016-11-03,2024-09-09,2896,17,14,5.546940747113474
3021,2024-11-01,2024-11-01 15:05:00,FIT_COMPLETE,20,842,3005,2017-02-08,2024-10-10,2823,16,13,6.33607010385599
3042,2024-12-02,2024-12-02 15:05:00,FIT_COMPLETE,20,842,3005,2017-02-08,2024-10-10,2854,16,13,6.336070103855991
3064,2025-01-02,2025-01-02 15:05:00,FIT_COMPLETE,20,842,3005,2017-02-08,2024-10-10,2885,16,13,6.336070103855992
3082,2025-02-05,2025-02-05 15:05:00,FIT_COMPLETE,20,842,3005,2017-02-08,2024-10-10,2919,16,14,6.336070103855989
3100,2025-03-03,2025-03-03 15:05:00,FIT_COMPLETE,20,842,3005,2017-02-08,2024-10-10,2945,16,14,6.336070103855989
3121,2025-04-01,2025-04-01 15:05:00,FIT_COMPLETE,20,842,3005,2017-02-08,2024-10-10,2974,16,14,6.336070103855991
3142,2025-05-06,2025-05-06 15:05:00,FIT_COMPLETE,20,842,3005,2017-02-08,2024-10-10,3009,16,14,6.336070103855991
3161,2025-06-03,2025-06-03 15:05:00,FIT_COMPLETE,20,842,3005,2017-02-08,2024-10-10,3037,17,14,6.336070103855989
3181,2025-07-01,2025-07-01 15:05:00,FIT_COMPLETE,20,842,3005,2017-02-08,2024-10-10,3065,17,14,6.336070103855989
3204,2025-08-01,2025-08-01 15:05:00,FIT_COMPLETE,20,842,3187,2017-05-11,2025-07-09,3004,17,13,6.39141253769779
3225,2025-09-01,2025-09-01 15:05:00,FIT_COMPLETE,20,842,3187,2017-05-11,2025-07-09,3035,17,14,6.391412537697792
3247,2025-10-09,2025-10-09 15:05:00,FIT_COMPLETE,20,842,3187,2017-05-11,2025-07-09,3073,18,15,6.391412537697793
3264,2025-11-03,2025-11-03 15:05:00,FIT_COMPLETE,20,842,3250,2017-08-14,2025-10-14,3003,18,14,6.718038869836971
3284,2025-12-01,2025-12-01 15:05:00,FIT_COMPLETE,20,842,3250,2017-08-14,2025-10-14,3031,18,14,6.718038869836971
3307,2026-01-05,2026-01-05 15:05:00,FIT_COMPLETE,20,842,3250,2017-08-14,2025-10-14,3066,18,14,6.718038869836972
3327,2026-02-02,2026-02-02 15:05:00,FIT_COMPLETE,20,842,3313,2017-11-16,2026-01-13,3000,17,13,7.127819696121725
3341,2026-03-02,2026-03-02 15:05:00,FIT_COMPLETE,20,795,3329,2018-02-09,2026-02-04,2943,16,12,7.784294709599297
3363,2026-04-01,2026-04-01 15:05:00,FIT_COMPLETE,20,795,3329,2018-02-09,2026-02-04,2973,16,12,7.784294709599297
3384,2026-05-06,2026-05-06 15:05:00,FIT_COMPLETE,20,795,3329,2018-02-09,2026-02-04,3008,16,12,7.7842947095992985
3402,2026-06-01,2026-06-01 15:05:00,FIT_COMPLETE,20,795,3329,2018-02-09,2026-02-04,3034,16,12,7.784294709599295
3423,2026-07-01,2026-07-01 15:05:00,FIT_COMPLETE,20,795,3329,2018-02-09,2026-02-04,3064,16,12,7.7842947095992985
3446,2026-08-03,2026-08-03 15:05:00,FIT_COMPLETE,20,790,3436,2018-10-19,2026-07-20,2845,16,11,8.090624550102168
