model,period,cost,comparison,terminal_equity_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference,sharpe_difference
REDUCE_100_HALF,evaluation,STRESS,INTENT_MIX_BAND_20,428.6976799996337,-866.0000000000291,-1567.3999999999978,-793.4976799999995,-2068.600000000024,-0.005794171815000748
REDUCE_100_HALF,evaluation,STRESS,TWO_CLOSE_ZERO_EXIT,-687.7971200001775,-1663.2999999999884,-3285.7000000000007,-1111.1028799999995,-3150.1000000000204,-0.009371613779183052
REDUCE_100_HALF,evaluation,STRESS,BUY_HOLD,120956.28607999979,154585.0,-13346.400000000001,5401.8139200000005,14880.50000000003,0.8648481190216513
REDUCE_100_HALF,earlier_diagnostic,BASE,ADD_GATE_EXPOSURE_105,2940.62509999983,2911.6999999999825,-129.39999999999964,-37.92510000000016,-120.4000000000051,0.01287604202058934
REDUCE_100_HALF,earlier_diagnostic,BASE,ADD_GATE_BAND20_LOWER01,6051.247600000002,6075.299999999988,51.09999999999991,20.152399999999943,54.999999999990905,-0.0027737666205331912
REDUCE_100_HALF,earlier_diagnostic,BASE,INTENT_MIX_BAND_00,1041.5847999998368,56.29999999998836,-232.19999999999982,-511.8847999999998,-705.6000000000022,0.05425956200913218
REDUCE_100_HALF,earlier_diagnostic,BASE,INTENT_MIX_BAND_20,-6519.247819999931,-6786.299999999988,-82.79999999999973,-83.85217999999963,-266.00000000001455,-0.01268992785710843
REDUCE_100_HALF,earlier_diagnostic,BASE,TWO_CLOSE_ZERO_EXIT,-5265.0721000000485,-6125.1999999999825,-156.69999999999982,-204.42790000000014,-812.4000000000087,0.05561117075698463
REDUCE_100_HALF,earlier_diagnostic,BASE,BUY_HOLD,93779.3893399999,113486.49999999999,-13609.899999999998,1586.81066,4510.4000000000815,0.959543981563002
REDUCE_100_HALF,earlier_diagnostic,STRESS,ADD_GATE_EXPOSURE_105,121.06199999997625,159.60000000000582,-134.5,-20.762000000000626,-75.20000000000437,-0.009989917800113934
REDUCE_100_HALF,earlier_diagnostic,STRESS,ADD_GATE_BAND20_LOWER01,6214.560799999919,6322.899999999994,41.399999999999636,41.03919999999971,108.69999999999891,-0.0012138079398118506
REDUCE_100_HALF,earlier_diagnostic,STRESS,INTENT_MIX_BAND_00,-930.2646399999503,-2592.600000000006,-236.20000000000027,-613.6353600000002,-1284.8999999999942,0.04238749661018315
REDUCE_100_HALF,earlier_diagnostic,STRESS,INTENT_MIX_BAND_20,-6240.165200000105,-6822.299999999988,-87.90000000000009,-165.73479999999972,-504.3000000000011,-0.0103583406763601
REDUCE_100_HALF,earlier_diagnostic,STRESS,TWO_CLOSE_ZERO_EXIT,-7378.923880000075,-9192.799999999988,-157.20000000000027,-469.1761199999996,-1501.8999999999942,0.043046800143464736
REDUCE_100_HALF,earlier_diagnostic,STRESS,BUY_HOLD,93908.04071999996,119282.2,-13642.599999999997,3098.55928,8632.999999999985,0.9520756078411607
REDUCE_105_UPPER00,evaluation,BASE,ADD_GATE_EXPOSURE_105,-5977.052980000444,-6136.899999999907,-77.5,-62.34702000000016,-174.99999999988904,-0.038558558402639775
REDUCE_105_UPPER00,evaluation,BASE,ADD_GATE_BAND20_LOWER01,11029.44803999993,10707.400000000081,741.1000000000004,94.05195999999978,325.00000000009277,-0.04899901355717806
REDUCE_105_UPPER00,evaluation,BASE,INTENT_MIX_BAND_00,9113.806559999997,11215.100000000035,-3782.6000000000004,-689.6065599999997,-991.6999999998843,-0.04474861551332521
REDUCE_105_UPPER00,evaluation,BASE,INTENT_MIX_BAND_20,7958.169519999996,9357.900000000052,-2301.7000000000007,-263.8695200000002,-638.099999999884,-0.027173130360490738
REDUCE_105_UPPER00,evaluation,BASE,TWO_CLOSE_ZERO_EXIT,5853.853739999759,8378.20000000007,-4125.4000000000015,-346.35374000000047,-1254.699999999868,-0.03467120403363455
REDUCE_105_UPPER00,evaluation,BASE,BUY_HOLD,142575.19758000007,168485.10000000003,-13896.000000000002,2992.20242,9021.699999999933,0.907853375843416
REDUCE_105_UPPER00,evaluation,STRESS,ADD_GATE_EXPOSURE_105,-5667.230479999853,-6019.299999999901,-66.79999999999927,-114.5695199999991,-304.3000000000029,-0.03804977723285141
REDUCE_105_UPPER00,evaluation,STRESS,ADD_GATE_BAND20_LOWER01,10634.728799999808,10640.100000000064,736.0000000000018,191.3711999999996,550.0000000000036,-0.04565684762714062
