round,title,source,main_scope,main_rows,earlier_scope,earlier_rows
62,多数成分上涨与二十日价格趋势,reports\research\510300_breadth_majority_trend_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
63,有效广度筛选原学习进入，缺失沿用原基线,reports\research\510300_breadth_learned_entry_gate_v1_output_fix\result.json,FULL_SAVED_CSV,8,FULL_SAVED_CSV,8
64,急跌与学习信号合并使用完整预算,reports\research\510300_panic_learned_signal_union_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
65,按短期波动选择急跌或原学习策略,reports\research\510300_volatility_expert_router_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
66,平均真实波幅趋势通道独立进出场,reports\research\510300_atr_trend_bands_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
67,季度估计噪声和每日连续趋势,reports\research\510300_continuous_trend_filter_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
68,过去现金分红收益率与资金利率比较,reports\research\510300_cash_distribution_funding_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
69,低开收复进入与日内转弱退出,reports\research\510300_gap_recovery_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
70,海外九天与30天预期波动关系,reports\research\510300_volatility_term_v1_output_fix\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
71,条件中位数继续价值学习退出,reports\research\510300_median_continuation_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
72,逐个删除旧周期且全部模型同意退出,reports\research\510300_deleted_cycle_stability_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
73,只用持有时间实际盈亏与回撤学习退出,reports\research\510300_position_state_exit_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
74,价格极值与加速保护价的独立进出场,reports\research\510300_parabolic_reversal_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
75,原退出不变，增加一次下午进入,reports\research\510300_afternoon_entry_v1_output_fix\result.json,FULL_SAVED_CSV,6,FULL_SAVED_CSV,6
76,两原策略按已实现风险分配预算,reports\research\510300_two_policy_risk_budget_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
77,按实际承担股票风险日估计两策略风险,reports\research\510300_active_risk_budget_v1\result.json,FULL_SAVED_CSV,12,FULL_SAVED_CSV,12
78,三项短期反转与独立退出,reports\research\510300_composite_streak_reversal_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
79,继续持有占优概率退出,reports\research\510300_directional_continuation_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
80,按经济错判损失学习持仓退出,reports\research\510300_economic_regret_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
81,先半仓、参考价格确认后补足，实际持仓来源修正版,reports\research\510300_staged_entry_v1_1\result.json,FULL_SAVED_CSV,12,FULL_SAVED_CSV,12
82,两条原策略非负最小方差预算,reports\research\510300_two_policy_min_variance_v1\result.json,FULL_SAVED_CSV,12,FULL_SAVED_CSV,12
83,两条原策略最差5%日损失预算,reports\research\510300_two_policy_tail_loss_v1\result.json,FULL_SAVED_CSV,14,FULL_SAVED_CSV,14
84,两条原策略累计净值自然预算,reports\research\510300_two_policy_wealth_budget_v1\result.json,FULL_SAVED_CSV,14,FULL_SAVED_CSV,14
85,价格恐慌波动带回落后进入,reports\research\510300_synthetic_fear_recovery_v1\result.json,FULL_SAVED_CSV,14,FULL_SAVED_CSV,14
86,原八项退出增加过去流动性代理,reports\research\510300_liquidity_increment_exit_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
87,按原八项相似持仓状态进行核岭退出,reports\research\510300_kernel_continuation_exit_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
88,加入压缩后突破的三策略最小方差预算,reports\research\510300_three_policy_min_variance_v1\result.json,FULL_SAVED_CSV,14,FULL_SAVED_CSV,14
89,根据过去净夏普选择两父组合或现金,reports\research\510300_past_sharpe_parent_selector_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
90,三个市场因子预测两父组合未来相对收益,reports\research\510300_contextual_parent_advantage_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
91,连续策略参考历史与新资金账户分开建账,reports\research\510300_continuous_reference_min_variance_v1\result.json,FULL_SAVED_CSV,8,FULL_SAVED_CSV,8
92,按已成熟完整周期的最大本金损失分预算,reports\research\510300_cycle_adverse_risk_v1\result.json,FULL_SAVED_CSV,8,FULL_SAVED_CSV,8
93,上市前指数周期补充的因果退出学习,reports\research\510300_index_prehistory_exit_v1\result.json,FULL_SAVED_CSV,8,FULL_SAVED_CSV,8
94,原91与92的自身净值高点回撤控制,reports\research\510300_own_cushion_risk_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
95,九项进入前因子预测完整交易收益,reports\research\510300_entry_payoff_gate_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
96,同组买入与等待动作价值及同模型对照,reports\research\510300_entry_wait_policy_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
97,全部固定混合比例的累计增长汇总预算,reports\research\510300_universal_reference_budget_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
98,两条连续参考的过去均值协方差切点预算,reports\research\510300_tangency_reference_budget_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
99,整窗已知现金与可识别风险方向的预算,reports\research\510300_known_cash_risk_budget_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
100,高低点时间进入与明确自然退出,reports\research\510300_aroon_time_entry_v1\result.json,FULL_SAVED_CSV,8,FULL_SAVED_CSV,8
101,成交额涨跌分布恢复后的进入退出,reports\research\510300_directional_turnover_recovery_v1\result.json,FULL_SAVED_CSV,8,FULL_SAVED_CSV,8
102,原八项退出增加浮盈正部与周期回撤交互,reports\research\510300_profit_drawdown_interaction_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
103,九项交互学习参考与原急跌的连续风险预算,reports\research\510300_continuous_interaction_budget_v1\result.json,FULL_SAVED_CSV,8,FULL_SAVED_CSV,8
104,两套退出模型的成熟同期误差混合,reports\research\510300_paired_forecast_mse_exit_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
105,价格路径曲折度的趋势震荡状态切换,reports\research\510300_choppiness_state_entry_v1\result.json,FULL_SAVED_CSV,8,FULL_SAVED_CSV,8
106,原八项真实持仓状态的非线性提升退出,reports\research\510300_boosted_continuation_exit_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
107,原八项退出加入隔夜下行风险占比,reports\research\510300_overnight_downside_exit_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
108,三类自然参考按共同持仓时段共享继续价值,reports\research\510300_shared_episode_continuation_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
109,预测波动与普通波动的同规则仓位比较,reports\research\510300_conditional_variance_budget_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
110,原急跌回升事前止盈限价与两成交情景,reports\research\510300_standing_profit_limit_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
111,每日涨跌观察状态的成熟开盘均值进出场,reports\research\510300_observed_return_state_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
112,中点移动乘区间除实际成交量的零线进出场,reports\research\510300_ease_of_movement_v1\result.json,FULL_SAVED_CSV,8,FULL_SAVED_CSV,8
113,原八项退出加入距最近持仓高点的时间,reports\research\510300_peak_age_exit_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
114,周期固定截距与周期内变化学习退出,reports\research\510300_within_cycle_exit_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
115,买入前上下文与周期内退出,reports\research\510300_entry_context_intercept_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
116,成交份额补充周期内退出,reports\research\510300_signed_volume_within_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
117,市场路径与已付买入费用分离,reports\research\510300_market_path_exit_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
118,逐持仓日倒推后续退出,reports\research\510300_finite_horizon_exit_v1\result.json,FULL_SAVED_CSV,12,FULL_SAVED_CSV,12
119,周期稳健学习退出,reports\research\510300_robust_cycle_exit_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
120,固定云图进入与退出,reports\research\510300_ichimoku_cloud_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
121,联合进入、持有和退出,reports\research\510300_joint_entry_exit_v1\result.json,FULL_SAVED_CSV,12,FULL_SAVED_CSV,12
122,不同历史周期的相似状态退出,reports\research\510300_cycle_analogue_exit_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
123,逐日行情持续时间预测,reports\research\510300_bayesian_run_length_v1\result.json,FULL_SAVED_CSV,12,FULL_SAVED_CSV,12
124,连续回撤资金预算,reports\research\510300_conditional_drawdown_budget_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
125,长短量价力度回调交易,reports\research\510300_force_pullback_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
126,不同起点自适应策略组合,reports\research\510300_adaptive_regret_experts_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
127,日内隔夜强弱补充周期内退出,reports\research\510300_session_strength_within_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
128,每笔入场固定退出模型版本,reports\research\510300_entry_vintage_exit_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
129,缩量日累计涨跌趋势,reports\research\510300_negative_volume_trend_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
130,九次相对弱势反弹与强势退出,reports\research\510300_setup_nine_reversal_v1\result.json,FULL_SAVED_CSV,10,FULL_SAVED_CSV,10
22,补齐字段后的两机构公司因子,reports\research\510300_forward_eps_two_institution_features_v3\result.json,NO_METRIC_ROWS,0,NO_METRIC_ROWS,0
22,原十九轮三方法来源重放,reports\research\510300_forward_eps_two_institution_policy_v3\result.json,FULL_SAVED_CSV,10,NO_METRIC_ROWS,0
22,补齐字段后的报告PE关系条件,reports\research\510300_forward_eps_valuation_consistency_features_v2\result.json,NO_METRIC_ROWS,0,NO_METRIC_ROWS,0
22,原二十轮三方法来源重放,reports\research\510300_forward_eps_valuation_consistency_policy_v2\result.json,FULL_SAVED_CSV,10,NO_METRIC_ROWS,0
